latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.769476,-73.985122,46.59,48.26,1979,210213,1998.0,"7,874,785",1-01026-0049,1011317501.0,R4-CONDOMINIUM,166518.0,7.0,1987.0,11.75,1-01008-0029
40.765476,-73.977817,31.94,31.6,1900,66173,1912.0,"1,477,097",1-01011-0025,1010117504.0,R9-CONDOMINIUM,61791.0,5.0,1930.0,12.86,1-01274-0016
40.757593,-73.978862,46.22,42.75,1986,168998,2005.0,"6,186,451",1-01318-0019,1012637501.0,R4-CONDOMINIUM,166518.0,5.0,1987.0,14.15,1-00890-0011
40.709455,-74.00747,29.55,28.62,1900,31118,1930.0, ,1-00065-0020,1000787504.0,RR-CONDOMINIUM,37800.0,1.0,1900.0, ,
40.787121,-73.979709,34.19,31.66,1900,35200,1920.0,"540,606",1-01519-0040,1012457501.0,R9-CONDOMINIUM,21000.0,7.0,1910.0,10.16,1-01075-0047
40.737567,-74.008899,51.68,55.54,1987,85030,2007.0, ,1-00642-0004,1006417503.0,R4-CONDOMINIUM,26250.0,2.0,1900.0, ,
40.724894,-74.000498,26.88,33.49,1900,17400,1907.0, ,1-00496-0012,1005007501.0,R4-CONDOMINIUM,38880.0,2.0,1920.0, ,
40.723527,-74.001681,26.88,46.9,1910,20670,1929.0, ,1-00501-0006,1004877501.0,R4-CONDOMINIUM,38880.0,2.0,1920.0, ,
40.725888,-74.008154,44.05,41.2,1910,21740,2005.0, ,1-00504-0019,1005947506.0,R4-CONDOMINIUM,20670.0,2.0,1910.0, ,
40.725873,-73.986546,37.59,35.41,1930,12225,1900.0,"1,131,418",1-00412-0008,1004477501.0,R9-CONDOMINIUM,16454.0,3.0,2005.0,9.26,1-00411-0058
40.722221,-74.009741,30.76,31.97,1900,26712,1920.0, ,1-00220-0027,1002197501.0,R4-CONDOMINIUM,38880.0,1.0,1920.0, ,
40.705581,-74.017969,45.58,49.57,2004,278142,2003.0, ,1-00016-0185,1000167513.0,R4-CONDOMINIUM,356483.0,1.0,2004.0, ,
40.738725,-73.994129,39.07,39.07,1962,43770,1961.0,"855,056",1-00792-0008,1008197502.0,R4-CONDOMINIUM,41300.0,5.0,1907.0,7.16,1-00793-0001
40.718425,-74.003932,26.49,31.97,1900,26712,1860.0, ,1-00220-0027,1001757503.0,R4-CONDOMINIUM,434418.0,1.0,1988.0, ,
40.709089,-74.013118,41.51,40.74,2004,14261,1903.0, ,1-00097-0032,1000537501.0,R4-CONDOMINIUM,290116.0,1.0,1930.0, ,
40.736499,-73.992635,47.94,49.56,1910,10458,1910.0, ,1-00872-0052,1008437502.0,R2-CONDOMINIUM,10458.0,5.0,1910.0, ,
40.74811,-74.001223,44.05,42.2,1999,58394,1912.0,"1,121,853",1-00720-0045,1007227501.0,R4-CONDOMINIUM,152342.0,4.0,1927.0,11.57,1-00771-0001
40.770304,-73.9665,41.4,41.4,1929,41692,1927.0,"1,229,031",1-01379-0030,1013847501.0,R4-CONDOMINIUM,73396.0,8.0,1914.0,10.79,1-01424-0029
40.769465,-73.967894,34.59,50.15,1962,105282,1955.0,"1,977,521",1-01418-0011,1013827501.0,R9-CONDOMINIUM,83220.0,8.0,1961.0,10.23,1-01426-0029
40.717549,-74.005523,33.47,34.26,1900,159000,1900.0, ,1-00077-0024,1001737501.0,R4-CONDOMINIUM,41900.0,1.0,1920.0, ,
40.71916,-74.007201,30.76,31.97,1900,26712,1915.0, ,1-00220-0027,1001897507.0,R4-CONDOMINIUM,38880.0,1.0,1920.0, ,
40.710372,-74.008062,35.98,35.98,1900,58354,1900.0,"633,328",1-00065-0010,1000797502.0,R4-CONDOMINIUM,52969.0,1.0,1930.0,12.59,1-00107-0042
40.760741,-73.966628,32.15,33.79,1959,84000,1963.0, ,1-01331-0039,1013317501.0,R4-CONDOMINIUM,108559.0,6.0,1961.0, ,
40.709311,-74.017764,43.96,28.02,1998,230766,1987.0,"13,482,072",1-00016-0020,1000167505.0,R4-CONDOMINIUM,331500.0,1.0,2000.0,12.81,1-00016-0180
40.763155,-73.981745,39.64,44.07,1925,243671,1968.0,"8,683,684",1-01008-0029,1010067501.0,R4-CONDOMINIUM,190289.0,5.0,1987.0,11.04,1-01272-0001
40.765152,-73.979199,40.3,36.31,1940,387428,1986.0,"9,194,966",1-01030-0058,1010097501.0,R4-CONDOMINIUM,396834.0,5.0,1965.0,10.62,1-01028-0017
40.728891,-74.00061,27.21,29.13,1900,11994,1900.0, ,1-00540-0006,1005407501.0,R9-CONDOMINIUM,11310.0,2.0,1910.0, ,
40.759668,-73.995593,8.32,37.16,2005,25398,2001.0, ,1-01078-0053,1010707501.0,RR-CONDOMINIUM,22500.0,4.0,1999.0, ,
40.793013,-73.973853,31.62,39.68,1925,37674,1930.0,"573,753",1-01253-0035,1012417501.0,R4-CONDOMINIUM,22290.0,7.0,1930.0,6.98,1-01869-0059
40.71776,-73.991126,38.41,46.14,1900,11543,1900.0, ,1-00414-0018,1004137501.0,R2-CONDOMINIUM,9450.0,3.0,1900.0, ,
40.717036,-74.009354,35.98,46.9,1910,20670,1910.0,"1,244,619",1-00501-0006,1001417504.0,R4-CONDOMINIUM,58354.0,1.0,1900.0,10.27,1-00071-0001
40.723645,-73.993787,30.13,34.84,1982,184900,1987.0, ,1-00493-0041,1005087501.0,R4-CONDOMINIUM,17400.0,2.0,1900.0, ,
40.756241,-73.98148,47.73,50.95,2001,81050,2008.0, ,1-01041-0019,1012607502.0,R4-CONDOMINIUM,42396.0,5.0,1939.0, ,
40.774428,-73.98354,45.08,46.59,1981,408644,1989.0,"13,635,707",1-01113-0001,1011377501.0,R4-CONDOMINIUM,568001.0,7.0,1986.0,10.72,1-01048-0020
40.734537,-73.996218,26.3,29.99,1900,20634,1912.0, ,1-00575-0013,1005757502.0,R4-CONDOMINIUM,27184.0,2.0,1912.0, ,
40.742013,-73.994645,45.21,47.2,1999,68260,2006.0, ,1-00717-0077,1007977501.0,R4-CONDOMINIUM,41423.0,4.0,2000.0, ,
40.732502,-73.987743,37.07,49.39,1930,92304,1964.0,"3,117,805",1-00468-0001,1004697501.0,R9-CONDOMINIUM,158505.0,3.0,1962.0,10.27,1-00556-0001
40.732574,-73.993469,28.66,30.35,1962,124630,1928.0, ,1-00557-0017,1005617502.0,R4-CONDOMINIUM,43395.0,2.0,1940.0, ,
40.724367,-74.010178,26.9,24.24,1900,15918,1920.0, ,1-00489-0036,1005957503.0,R4-CONDOMINIUM,38880.0,1.0,1920.0, ,
40.727754,-74.004012,29.38,21.35,1937,20035,1900.0, ,1-00520-0051,1005207501.0,R4-CONDOMINIUM,11892.0,2.0,1920.0, ,
40.734687,-74.009277,48.54,55.54,1987,85030,1905.0, ,1-00642-0004,1006377508.0,R4-CONDOMINIUM,38520.0,2.0,1920.0, ,
40.764493,-73.97551,39.64,47.28,1948,269346,1969.0,"2,668,941",1-01274-0006,1012737501.0,R4-CONDOMINIUM,303642.0,5.0,1963.0,12.05,1-01271-0007
40.712968,-73.995008,33.56,26.38,1945,14200,1989.0, ,1-00163-0021,1002777501.0,R4-CONDOMINIUM,14261.0,3.0,2004.0, ,
40.768529,-73.981588,53.14,55.68,2002,460000,1960.0, ,1-01117-0001,1011137502.0,R4-CONDOMINIUM,375121.0,7.0,2003.0, ,
40.766902,-73.983296,45.08,40.12,1979,311689,1987.0,"13,943,673",1-01028-0017,1010487503.0,R4-CONDOMINIUM,396834.0,4.0,1965.0,13.43,1-01105-0029
