school_name,survey_pp_es,n_chronic_absent_ems_allem,teacher_ethnicity_pacific,n_chronic_absent_ems_allep,n_pct_accel_try_all,n_pct_core_soc_all,n_chronic_absent_ems_allgf,val_prof_pct_watn3_elalevel34,n_prof_2plus_watn5_elalevel1,val_pct_accel_p_lote_all,ethnicity_black_pct,val_prof_pct_watn5_elalevel2,qr_5_1,ethnicity_hispanic_pct_dist,val_chronic_absent_ems_allea,n_prof_2plus_watn3_elalevel1,rating_ela_grade_5_pct_rs,ethnicity_white_pct,qr_4_1,val_interaction_k8_all,n_pct_accel_p_all,qr_2_2,near_pct_white,survey_pp_ct,val_pct_core_mth_all,teacher_ethnicity_black_pct,n_pct_accel_p_sci_all,n_pct_accelerated_all,n_chronic_absent_ems_all,n_prof_pct_watn3_mthlevel2,teacher_ethnicity_amerindian,n_pct_accel_sci_all,qr_1_3,val_pct_core_soc_all,n_hs_9gr_credits_all,n_attendance_k8_all,near_pct_black,n_chronic_absent_ems_allei,ethnicity_amerindian_pct,temp_housing_pct,val_pct_accel_lote_all,val_prof_2plus_watn5_elalevel1,ethnicity_pacific_pct_dist,n_pct_accel_p_lote_all,n_pct_core_ela_all,ethnicity_black_pct_dist,val_prof_pct_watn5_elalevel34,val_prof_pct_watn3_elalevel2,teach_3_more_exp,n_chronic_absent_ems_alleh,n_prof_2plus_watn5_mthlevel1
P.S. 256 Benjamin Banneker,0.99,2,0,No Data,No Data,No Data,107,0.556,No Data,No Data,0.626,No Data,Developing,0.209,No Data,6,No Data,0.036,Proficient,0.656,No Data,Developing,0.065,No Data,No Data,0.611,No Data,No Data,203,7,0,No Data,Developing,No Data,No Data,213,0.565,1,0.005,0.195,No Data,No Data,0.006,No Data,No Data,0.443,No Data,No Data,0.778,67,No Data
Cynthia Jenkins School,0.33,1,No Data,1,No Data,No Data,158,0.375,No Data,No Data,0.849,No Data,Proficient,0.165,No Data,18,No Data,0.0,Proficient,0.866,No Data,Developing,0.007,0.47,No Data,0.621,No Data,No Data,342,17,No Data,No Data,Proficient,No Data,No Data,365,0.876,5,0.012,0.194,No Data,No Data,0.009,No Data,No Data,0.568,No Data,0,0.862,33,No Data
P.S. Q086,0.84,3,0,2,No Data,No Data,371,0.649,No Data,No Data,0.06,No Data,Proficient,0.274,0.759,20,No Data,0.024,Well Developed,0.901,No Data,Proficient,0.023,0.83,No Data,No Data,No Data,No Data,765,52,0,No Data,Well Developed,No Data,No Data,798,0.111,21,0.028,0.093,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.226,1,244,No Data
P.S. 081 Thaddeus Stevens,0.81,3,0,11,No Data,No Data,131,0.389,No Data,No Data,0.539,No Data,Developing,0.232,No Data,3,No Data,0.045,Proficient,0.798,No Data,Developing,0.045,0.83,No Data,0.7,No Data,No Data,267,19,0,No Data,Proficient,No Data,No Data,284,0.538,3,0.012,0.257,No Data,No Data,0.01,No Data,No Data,0.697,No Data,0,0.767,91,No Data
The SEEALL Academy,0.93,10,0,2,143,490,505,No Data,32,No Data,0.01,0.743,Proficient,0.254,0.95,No Data,No Data,0.226,Proficient,0.964,59,Proficient,0.244,0.91,1,No Data,59,143,1063,No Data,0,143,Well Developed,1,146,1083,0.015,5,0.005,0.048,0,0.75,0.003,No Data,490,0.017,0.947,No Data,0.837,318,14
Community Voices Middle School,0.77,No Data,0,2,118,330,150,No Data,37,No Data,0.829,0.5,Developing,0.161,No Data,No Data,2.27,0.012,Proficient,0.825,26,Proficient,0.009,0.76,0.603,0.462,25,118,352,No Data,0,118,Developing,0.921,89,367,0.86,8,0.024,0.2,0,0.595,0.009,No Data,330,0.612,0.889,No Data,0.692,42,27
P.S. 005 Dr. Ronald McNair,0.58,1,0,No Data,No Data,No Data,99,No Data,No Data,No Data,0.798,No Data,Developing,0.232,No Data,1,No Data,0.027,Well Developed,0.845,No Data,Developing,0.049,0.75,No Data,0.85,No Data,No Data,198,4,0,No Data,Proficient,No Data,No Data,212,0.634,No Data,0.0,0.333,No Data,No Data,0.01,No Data,No Data,0.697,No Data,No Data,0.6,34,No Data
P.S. 015 Roberto Clemente,0.92,No Data,0,3,No Data,No Data,93,No Data,No Data,No Data,0.278,No Data,Proficient,0.529,0.905,4,No Data,0.051,Well Developed,0.874,No Data,Proficient,0.079,0.91,No Data,No Data,No Data,No Data,185,10,0,No Data,Well Developed,No Data,No Data,194,0.189,2,0.011,0.386,No Data,No Data,0.005,No Data,No Data,0.153,No Data,No Data,0.696,98,No Data
P.S. 084 Lillian Weber,0.91,21,0,No Data,No Data,No Data,319,0.8,No Data,No Data,0.085,No Data,Proficient,0.293,0.864,6,No Data,0.506,Proficient,0.952,No Data,Proficient,0.436,0.95,No Data,No Data,No Data,No Data,590,15,0,No Data,Well Developed,No Data,No Data,607,0.118,1,0.002,0.066,No Data,No Data,0.003,No Data,No Data,0.206,No Data,0.059,0.769,200,No Data
P.S. 174 William Sidney Mount,0.7,30,0,1,No Data,No Data,312,0.797,No Data,No Data,0.033,No Data,Proficient,0.274,0.945,5,No Data,0.297,Well Developed,0.978,No Data,Proficient,0.334,0.77,No Data,No Data,No Data,No Data,645,21,0,No Data,Proficient,No Data,No Data,654,0.031,4,0.006,0.021,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.273,0.978,163,No Data
P.S. 024 Spuyten Duyvil,0.81,33,0,2,No Data,No Data,402,0.831,No Data,No Data,0.081,No Data,Proficient,0.76,0.935,1,No Data,0.346,Proficient,0.949,No Data,Proficient,0.344,0.84,No Data,No Data,No Data,No Data,851,24,0,No Data,Proficient,No Data,No Data,856,0.076,5,0.006,0.034,No Data,No Data,0.002,No Data,No Data,0.134,No Data,0.464,0.925,372,No Data
P.S. 221 The North Hills School,0.94,11,0,No Data,No Data,No Data,289,0.794,No Data,No Data,0.024,No Data,No Data,0.141,0.923,4,No Data,0.186,No Data,0.912,No Data,Well Developed,0.23,0.97,No Data,No Data,No Data,No Data,630,8,0,No Data,No Data,No Data,No Data,643,0.026,No Data,0.0,0.006,No Data,No Data,0.003,No Data,No Data,0.045,No Data,No Data,0.9,93,No Data
P.S. 245,0.95,1,0,No Data,No Data,No Data,130,0.5,No Data,No Data,0.506,No Data,No Data,0.158,No Data,5,No Data,0.012,No Data,0.953,No Data,Proficient,0.074,0.99,No Data,0.37,No Data,No Data,261,18,0,No Data,No Data,No Data,No Data,268,0.482,8,0.024,0.119,No Data,No Data,0.006,No Data,No Data,0.334,No Data,0.176,0.852,113,No Data
Samara Community School,0.92,1,0,No Data,No Data,No Data,137,No Data,No Data,No Data,0.113,No Data,No Data,0.696,No Data,No Data,No Data,0.008,No Data,0.901,No Data,Proficient,0.011,0.96,No Data,No Data,No Data,No Data,262,No Data,0,No Data,No Data,No Data,No Data,267,0.322,No Data,0.0,0.18,No Data,No Data,0.003,No Data,No Data,0.231,No Data,No Data,0.577,230,No Data
Frederick Douglass Academy II Secondary School,0.76,1,0,No Data,21,69,35,No Data,8,No Data,0.63,No Data,Proficient,0.352,No Data,No Data,2.26,0.041,Proficient,0.862,20,Proficient,0.094,0.74,0.971,0.379,20,21,76,No Data,0,21,Proficient,1,21,83,0.387,4,0.055,0.165,0,No Data,0.003,No Data,69,0.212,No Data,No Data,0.759,19,5
P.S. 199X - The Shakespeare School,0.92,2,No Data,3,No Data,No Data,321,0.647,No Data,No Data,0.268,No Data,Proficient,0.692,No Data,24,No Data,0.015,Well Developed,0.914,No Data,Proficient,0.016,0.9,No Data,0.182,No Data,No Data,654,23,No Data,No Data,Well Developed,No Data,No Data,690,0.317,16,0.026,0.309,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.108,0.891,439,No Data
Bronx Latin,0.87,1,0,1,71,212,116,No Data,37,No Data,0.194,0.391,Proficient,0.699,No Data,No Data,2.39,0.014,Well Developed,0.87,71,Proficient,0.017,0.88,1,0.213,71,71,221,No Data,0,71,Well Developed,0.991,78,226,0.359,1,0.005,0.124,0,0.514,0.003,No Data,212,0.25,No Data,No Data,0.489,171,33
P.S. 208 Elsa Ebeling,0.74,2,0,1,No Data,No Data,158,0.593,No Data,No Data,0.897,No Data,Proficient,0.08,No Data,9,No Data,0.003,Proficient,0.805,No Data,Proficient,0.008,0.75,No Data,0.394,No Data,No Data,329,17,0,No Data,Proficient,No Data,No Data,339,0.901,2,0.003,0.106,No Data,No Data,0.006,No Data,No Data,0.843,No Data,0,0.879,25,No Data
P.S. 043,0.49,2,0,6,71,231,397,No Data,35,No Data,0.611,No Data,Developing,0.399,No Data,No Data,No Data,0.028,Proficient,0.757,71,Developing,0.032,0.54,0.944,0.171,No Data,71,816,No Data,0,71,Proficient,No Data,57,861,0.651,4,0.004,0.191,0,0.543,0.011,No Data,231,0.232,No Data,No Data,0.771,273,35
P.S./M.S. 200 - The Magnet School of Global Studie,0.92,6,0,No Data,60,175,243,No Data,13,0,0.214,No Data,Proficient,0.272,0.879,No Data,No Data,0.114,Well Developed,0.952,60,Well Developed,0.136,0.86,1,No Data,58,60,511,No Data,0,60,Well Developed,0.983,57,519,0.123,5,0.01,0.07,0,No Data,0.002,60,175,0.043,0.867,No Data,0.909,268,8
P.S. X114 - Luis Llorens Torres Schools,0.86,2,No Data,2,No Data,No Data,304,0.545,No Data,No Data,0.192,No Data,Proficient,0.692,0.81,35,No Data,0.028,Proficient,0.867,No Data,Proficient,0.013,0.87,No Data,0.367,No Data,No Data,656,35,No Data,No Data,Proficient,No Data,No Data,700,0.239,6,0.008,0.341,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.061,0.783,481,No Data
J.H.S. 143 Eleanor Roosevelt,0.93,1,No Data,No Data,73,206,102,No Data,44,No Data,0.054,No Data,Developing,0.897,No Data,No Data,2.02,0.05,Proficient,0.849,51,Proficient,0.03,0.91,0.932,No Data,17,73,231,No Data,No Data,73,Proficient,0.981,92,239,0.052,1,0.005,0.257,0,0.523,0.001,No Data,206,0.064,No Data,No Data,0.909,203,41
Washington Heights Expeditionary Learning School,0.85,4,0,No Data,79,249,216,No Data,39,0,0.006,0.333,Proficient,0.848,No Data,No Data,No Data,0.059,Proficient,0.876,79,Well Developed,0.031,0.91,0.984,No Data,No Data,79,481,No Data,0,79,Well Developed,1,77,490,0.034,No Data,0.0,0.134,0,0.872,0.001,76,249,0.068,No Data,No Data,0.747,440,38
J.H.S. 167 Robert F. Wagner,0.87,54,0,6,439,1312,629,No Data,47,No Data,0.073,0.469,No Data,0.188,0.968,No Data,3.38,0.536,No Data,0.956,165,Well Developed,0.691,0.85,0.999,0.056,98,439,1374,No Data,0,439,No Data,1,385,1385,0.029,8,0.005,0.033,0,0.83,0.003,No Data,1312,0.09,0.897,No Data,0.822,222,36
Concourse Village Elementary School,0.99,No Data,0,2,No Data,No Data,152,0.486,No Data,No Data,0.32,No Data,Well Developed,0.669,No Data,No Data,No Data,0.014,Well Developed,1,No Data,Well Developed,0.023,0.99,No Data,0,No Data,No Data,296,No Data,0,No Data,Well Developed,No Data,No Data,305,0.347,1,0.003,0.197,No Data,No Data,0.003,No Data,No Data,0.294,No Data,No Data,0.731,193,No Data
P.S. 181 Brookfield,0.78,9,0,2,No Data,No Data,149,0.864,No Data,No Data,0.736,No Data,Proficient,0.165,No Data,2,No Data,0.01,Well Developed,0.739,No Data,Proficient,0.008,0.77,No Data,0.441,No Data,No Data,310,13,0,No Data,Well Developed,No Data,No Data,331,0.804,7,0.024,0.092,No Data,No Data,0.009,No Data,No Data,0.568,No Data,No Data,0.853,52,No Data
"Ballet Tech, NYC Public School for Dance",0.87,16,0,No Data,19,68,82,No Data,1,No Data,0.177,No Data,No Data,0.174,1,No Data,No Data,0.22,No Data,0.937,18,Well Developed,0.161,0.92,1,No Data,No Data,19,142,No Data,0,19,No Data,1,21,142,0.247,2,0.014,0.043,0,No Data,0.003,No Data,68,0.075,1,No Data,0.8,29,No Data
P.S. 159 Luis Munoz Marin Biling,0.94,1,No Data,No Data,No Data,No Data,119,No Data,No Data,No Data,0.129,No Data,Developing,0.76,No Data,3,No Data,0.021,Proficient,0.859,No Data,Proficient,0.014,0.95,No Data,No Data,No Data,No Data,200,7,No Data,No Data,Proficient,No Data,No Data,205,0.368,1,0.005,0.242,No Data,No Data,0.002,No Data,No Data,0.134,No Data,No Data,0.857,169,No Data
P.S. 179 Kensington,0.83,2,0,3,No Data,No Data,399,0.642,No Data,No Data,0.039,No Data,Proficient,0.247,0.808,22,No Data,0.154,Proficient,0.819,No Data,Proficient,0.169,0.85,No Data,No Data,No Data,No Data,790,30,0,No Data,Well Developed,No Data,No Data,822,0.034,7,0.009,0.109,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.079,0.952,188,No Data
Medgar Evers College Preparatory School,0.88,2,0,2,138,510,279,No Data,1,0,0.852,No Data,Proficient,0.142,No Data,No Data,3.53,0.01,Proficient,0.972,133,Proficient,0.117,0.82,0.851,0.561,15,138,522,No Data,0,138,Well Developed,0.908,103,525,0.657,18,0.035,0.057,0,No Data,0.004,51,510,0.775,0.942,No Data,0.773,27,3
Channel View School for Research,0.88,9,0,4,134,449,260,No Data,21,No Data,0.384,0.474,No Data,0.405,0.9,No Data,2.73,0.079,No Data,0.935,129,Well Developed,0.152,0.92,0.982,0.192,128,134,466,No Data,0,134,No Data,0.993,116,472,0.529,11,0.024,0.048,0,0.81,0.013,No Data,449,0.184,0.763,No Data,0.692,198,21
P.S. 013 Clement C. Moore,0.79,11,0,1,No Data,No Data,742,0.581,No Data,No Data,0.081,No Data,Proficient,0.687,0.896,29,No Data,0.048,Proficient,0.999,No Data,Proficient,0.057,0.84,No Data,No Data,No Data,No Data,1432,64,0,No Data,Well Developed,No Data,No Data,1459,0.097,9,0.006,0.127,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.148,0.88,803,No Data
P.S. 012 James B. Colgate,0.95,9,0,4,No Data,No Data,536,0.735,No Data,No Data,0.003,No Data,Well Developed,0.687,0.88,8,No Data,0.033,Well Developed,0.978,No Data,Well Developed,0.042,0.93,No Data,No Data,No Data,No Data,1151,34,0,No Data,Well Developed,No Data,No Data,1178,0.001,10,0.009,0.101,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.059,0.987,469,No Data
P.S. 199 Frederick Wachtel,0.89,6,0,No Data,No Data,No Data,256,0.667,No Data,No Data,0.067,No Data,Well Developed,0.255,0.832,5,No Data,0.475,Proficient,0.928,No Data,Proficient,0.456,0.9,No Data,0,No Data,No Data,544,12,0,No Data,Well Developed,No Data,No Data,557,0.021,4,0.007,0.084,No Data,No Data,0.003,No Data,No Data,0.075,No Data,No Data,0.746,114,No Data
Grant Avenue Elementary School,0.92,No Data,0,3,No Data,No Data,197,0.5,No Data,No Data,0.279,No Data,Proficient,0.692,1,16,No Data,0.022,Well Developed,0.993,No Data,Proficient,0.015,0.93,No Data,0.175,No Data,No Data,412,26,0,No Data,Well Developed,No Data,No Data,425,0.33,5,0.012,0.237,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.242,0.875,267,No Data
P.S. 199 Maurice A. Fitzgerald,0.8,5,0,2,No Data,No Data,326,0.763,No Data,No Data,0.059,No Data,Proficient,0.687,0.864,25,No Data,0.077,Proficient,0.889,No Data,Well Developed,0.184,0.77,No Data,0,No Data,No Data,672,31,0,No Data,Proficient,No Data,No Data,700,0.058,8,0.011,0.128,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.167,0.982,364,No Data
P.S. 076 A. Philip Randolph,0.85,2,0,1,54,148,197,No Data,30,No Data,0.757,No Data,Proficient,0.3,No Data,No Data,No Data,0.035,Proficient,0.974,28,Proficient,0.096,0.79,1,0.533,No Data,54,364,No Data,No Data,54,Well Developed,0.993,48,393,0.481,No Data,0.0,0.299,0,0.633,0.003,No Data,148,0.279,No Data,No Data,0.9,76,30
P.S. 124 Silas B. Dutcher,0.78,12,0,No Data,No Data,No Data,137,0.706,No Data,No Data,0.029,No Data,Developing,0.324,0.972,3,No Data,0.185,Proficient,0.913,No Data,Proficient,0.541,0.84,No Data,No Data,No Data,No Data,250,5,0,No Data,Proficient,No Data,No Data,256,0.041,No Data,0.0,0.092,No Data,No Data,0.004,No Data,No Data,0.067,No Data,No Data,0.731,144,No Data
P.S. 029 Queens,0.87,2,0,2,No Data,No Data,330,0.808,No Data,No Data,0.018,No Data,Proficient,0.271,0.922,11,No Data,0.088,Well Developed,0.995,No Data,Proficient,0.076,0.86,No Data,0,No Data,No Data,707,26,0,No Data,Well Developed,No Data,No Data,719,0.025,No Data,0.0,0.08,No Data,No Data,0.002,No Data,No Data,0.034,No Data,0.121,0.836,464,No Data
Young Leaders Elementary School,0.98,2,0,1,No Data,No Data,101,No Data,No Data,No Data,0.206,No Data,Proficient,0.669,No Data,11,No Data,0.01,Well Developed,0.836,No Data,Proficient,0.011,0.97,No Data,0.233,No Data,No Data,204,17,0,No Data,Proficient,No Data,No Data,220,0.19,No Data,0.0,0.304,No Data,No Data,0.003,No Data,No Data,0.294,No Data,0.1,0.7,157,No Data
Scholars' Academy,0.97,11,0,5,229,620,343,No Data,6,0,0.145,0.882,No Data,0.405,0.986,No Data,3.72,0.4,No Data,0.901,229,Well Developed,0.142,0.96,1,No Data,229,229,630,No Data,0,229,No Data,1,194,631,0.5,7,0.011,0.014,0,No Data,0.013,225,620,0.184,0.959,No Data,0.838,115,5
P.S. 65 - The Raymond York Elementary School,0.94,No Data,0,15,No Data,No Data,223,0.528,No Data,No Data,0.061,No Data,Proficient,0.457,0.684,7,No Data,0.047,Well Developed,0.905,No Data,Well Developed,0.037,0.96,No Data,No Data,No Data,No Data,439,13,0,No Data,Well Developed,No Data,No Data,450,0.053,31,0.071,0.061,No Data,No Data,0.012,No Data,No Data,0.196,No Data,0.133,0.919,187,No Data
P.S. 043 Jonas Bronck,0.95,3,No Data,1,No Data,No Data,182,0.618,No Data,No Data,0.251,No Data,Proficient,0.669,No Data,9,No Data,0.006,Proficient,0.873,No Data,Proficient,0.011,0.94,No Data,0.244,No Data,No Data,335,21,No Data,No Data,Well Developed,No Data,No Data,351,0.205,1,0.003,0.213,No Data,No Data,0.003,No Data,No Data,0.294,No Data,0.103,0.878,246,No Data
M.S. 839,0.96,14,0,1,106,360,163,No Data,6,No Data,0.107,No Data,Proficient,0.401,0.907,No Data,2.83,0.459,Proficient,1,106,Proficient,0.187,No Data,1,0.219,106,106,365,No Data,0,106,Proficient,No Data,94,374,0.33,1,0.003,0.066,0,No Data,0.003,No Data,360,0.123,No Data,No Data,0.781,99,5
The Fresh Creek School,0.91,No Data,No Data,No Data,No Data,No Data,89,No Data,No Data,No Data,0.65,No Data,Proficient,0.443,No Data,1,No Data,0.019,Proficient,0.698,No Data,Developing,0.015,0.91,No Data,0.429,No Data,No Data,170,6,No Data,No Data,Well Developed,No Data,No Data,188,0.697,6,0.038,0.231,No Data,No Data,0.007,No Data,No Data,0.413,No Data,No Data,0.571,51,No Data
A.C.E. Academy for Scholars at the Geraldine Ferra,0.96,18,0,No Data,No Data,No Data,276,0.82,No Data,No Data,0.026,No Data,Proficient,0.687,0.944,6,No Data,0.305,Proficient,0.978,No Data,Well Developed,0.309,0.94,No Data,0.135,No Data,No Data,556,11,0,No Data,Well Developed,No Data,No Data,563,0.015,4,0.007,0.073,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.118,0.946,263,No Data
Bedford Park Elementary School,0.9,2,0,2,No Data,No Data,231,No Data,No Data,No Data,0.072,No Data,Proficient,0.76,0.641,No Data,No Data,0.102,Proficient,0.805,No Data,Proficient,0.094,0.87,No Data,No Data,No Data,No Data,488,No Data,0,No Data,Proficient,No Data,No Data,505,0.087,5,0.011,0.229,No Data,No Data,0.002,No Data,No Data,0.134,No Data,No Data,0.514,331,No Data
Bronx Dance Academy School,0.8,No Data,0,2,84,257,200,No Data,30,No Data,0.18,0.677,Proficient,0.751,No Data,No Data,2.35,0.023,Proficient,0.901,No Data,Proficient,0.044,0.75,0.996,No Data,No Data,84,264,No Data,0,84,Proficient,0.996,76,278,0.265,No Data,0.0,0.169,0,0.933,0.004,No Data,257,0.158,0.81,No Data,0.833,206,39
