tr6_no,block,exterior_wall_type_s_,qewi_zip,qewi_signed_date,lot,prior_cycle_filing_date
TR6-907109-9C-N1,2132,,,,47,
TR6-904494-9A-N1,1306,,,,33,
TR6-700021-7A-I1,15,BRICK MASONRY; METAL SIDING/PANELS,,2012-02-15T00:00:00.000,7502,
TR6-916496-9A-N1,2165,,,,7501,
TR6-811580-8A-N1,9694,,,,52,
TR6-903595-9C-I1,1162,MASONRY LOAD-BEARING WALL,10001,2023-12-29T00:00:00.000,46,2019-02-14T00:00:00.000
TR6-813925-8C-N1,2703,,,,7501,
TR6-814345-8A-N1,4959,,,,37,
TR6-902317-9B-N1,848,,,,50,
TR6-813156-8A-I1,3276,BRICK MASONRY; STUCCO,07024,2018-10-30T20:00:00.000,5,2010-10-13T00:00:00.000
TR6-917402-9A-I1,925,CONCRETE FRAME; MASONRY CAVITY WALL,11563,2022-02-17T00:00:00.000,7501,
TR6-918595-9B-N1,2290,,,,7502,
TR6-804125-8C-A1,1262,STONE LIMESTONE; BRICK MASONRY; METAL SIDING/PANELS; STUCCO,11581,,9,2019-02-20T00:00:00.000
TR6-902764-9A-I1,896,OTHER,10016,2020-02-19T19:00:00.000,17,2010-10-29T00:00:00.000
TR6-907128-9A-N1,2136,,,,7501,
tr6-917408-9a-n1,1029,,,,7502,
TR6-916568-9B-N1,577,,,,36,
TR6-902162-9A-I1,834,STEEL FRAME,10001,2022-10-31T00:00:00.000,7501,2017-11-29T00:00:00.000
TR6-810771-8C-N1,1433,,,,7501,
TR6-906175-9A-N1,1734,,,,1,
tr6-805723-8b-n1,1527,,,,35,
TR6-806053-8A-N1,1649,,,,1,
TR6-901895-9A-N1,809,,,,49,
Te6-805131-8C-N1,1412,,,,63,
TR6-814688-8A-N1,224,,,,1,
TR6-809632-8B-N1,3078,,,,1,
TR6-803664-8C-N1,1183,,,,42,
TR6-900985-9B-N1,520,,,,29,
TR6-914975-9C-N1,7423,,,,11,
TR6-918505-9A-N1,1974,,,,1,
TR6-908359-9B-N1,3797,,,,1,
TR6-917345-9C-N1,1171,,,,7512,
TR6-901469-9C-N1,721,,,,7501,
TR6-810850-8B-N1,1558,,,,26,
TR6-814706-8B-N1,407,,,,37,
TR6-813434-8A-N1,695,,,,7505,
TR6-802582-8A-N1,875,,,,7503,
TR6-905973-9B-N1,1610,,,,1,
-TR6-913996-9A-N1,2465,,,,25,
TR6-902154-9A-N1,834,,,,16,
TR6-810020-8B-N1,5287,,,,7501,
TR6-814133-8A-N1,1849,,,,7502,
TR6-810186-8A-N1,6964,,,,2,
TR6-807872-8B-N1,2877,,,,453,
TR6-914581-9A-N1,794,,,,62,
tr6-814311-8b-n1,4960,,,,7502,
TR6-913122-9B-N1,717,,,,77,
TR6-803487-8B-N1,1138,,,,7502,
TR6-903127-9C-N1,1011,,,,1,
TR6-902840-9B-N1,917,,,,17,
TR6-700671-7C-I1,343,STUCCO; OTHER,,2015-06-05T00:00:00.000,67,2009-06-03T00:00:00.000
TR6-814253-8B-N1,6100,,,,13,
TR6-903514-9C-N1,1143,,,,20,
TR6-807801-8B-I1,2830,BRICK MASONRY; STUCCO,10804,2018-10-01T20:00:00.000,5,2012-12-07T00:00:00.000
TR6-807690-8C-N1,2623,,,,135,
TR6-811021-8A-N1,2159,,,,2,
TR6-800468-8C-N1,212,,,,7505,
TR6-810779-8B-N1,1440,,,,1,
TR6-911776-9B-N1,15810,,,,25,
TR6-807785-8C-N1,2821,,,,68,
TR6-805992-8B-N1,1618,,,,1,
TR6-914907-9A-N1,699,,,,33,
TR6-807890-8B-N1,2880,,,,17,
TR6-701504-7B-I1,740,CONCRETE BLOCK MASONRY; STUCCO,,2013-06-17T00:00:00.000,7502,2006-11-17T00:00:00.000
TR6-909067-9B-N1,208,,,,101,
TR6-902419-9A-N1,859,,,,77,
TR6-909176-9A-N1,394,,,,1,
TR6-800530-8C-N1,253,,,,1,
TR6-807611-8A-N1,2505,,,,19,
TR6-703475-7C-N1,1131,,,,16,
TR6-910929-9A-N1,2099,,,,40,
TR6-903981-9A-N1,1245,,,,75,
TR6,1721,,,,7501,
TR6-917359-9A-N1,595,,,,7508,
TR6-807730-8B-N1,2678,,,,1,
TR6-816646-8A-N1,1954,,,,36,
TR6-809441-8A-N1,1874,,,,1,
TR6-802530-8A-N1,869,,,,16,
TR6-801266-8B-N1,577,,,,30,
TR6-911946-9A-N1,3034,,,,22,
TR6-803784-8B-N1,1210,,,,26,
TR6-806269-8A-N1,1825,,,,1,
TR6-918568-9C-N1,5401,,,,7501,
TR6-806361-8A-N1,1855,,,,1,
TR6-812180-8A-N1,1325,,,,1,
TR6-810542-8A-N1,236,,,,66,
TR6-805307-8B-I1,1457,BRICK MASONRY; CONCRETE BLOCK MASONRY; STUCCO; TERRA COTTA,10012-323,2019-01-22T19:00:00.000,3,2012-08-14T00:00:00.000
TR6-907792-9A-N1,2824,,,,15,
TR6-912267-9C-N1,2892,,,,11,
TR6-810348-8A-N1,7405,,,,736,
TR6-917272-9B-N1,760,,,,39,
TR6-613076-NA-I1,1603,BRICK MASONRY; OTHER,,2008-10-03T00:00:00.000,63,
TR6-902377-9A-N1,855,,,,37,
TR6-905016-9B-N1,1397,,,,4,
TR6-914972-9A-N1,219,,,,7505,
TR6-917243-9C-I1,1072,CURTAIN WALL; OTHER,10038,2023-01-19T00:00:00.000,15,
TR6-803319-8A-N1,1066,,,,32,
TR6-814489-8B-N1,640,,,,21,
TR6-816606-8C-I1,1992,BRICK MASONRY; METAL SIDING/PANELS,10803,2018-07-12T20:00:00.000,20,
TR6-802305-8B-I1,847,BRICK MASONRY; CAST IRON; TERRA COTTA,10018,2017-01-04T00:00:00.000,40,2011-05-27T00:00:00.000
TR6-610970-NA-I1,2134,BRICK MASONRY; OTHER,,2007-02-14T00:00:00.000,1,2000-09-13T00:00:00.000
TR6-809148-8A-N1,265,,,,40,
TR6-916870-9A-N1,4649,,,,31,
TR6-905246-9C-N1,1441,,,,33,
TR6-905488-9A-N1,1499,,,,40,
TR6-808368-8A-N1,3886,,,,2,
TR6-810480-8A-N1,8689,,,,97,
TR6-910605-9B-N1,490,,,,101,
TR6-809963-8B-N1,4838,,,,1,
TR6-802211-8B-N1,838,,,,62,
TR6-900961-9C-N1,511,,,,12,
TR6-809661-8A-N1,3315,,,,1,
TR6-904683-9C-N1,1341,,,,32,
TR6-911144-9A-N1,3159,,,,7501,
TR6-907741-9A-N1,2724,,,,101,
TR6-800237-8A-N1,86,,,,1,
TR6-908099-9C-N1,3252,,,,361,
TR6-802453-8C-N1,862,,,,9,
TR6-810606-8B-N1,490,,,,101,
TR6-905129-9C-N1,1412,,,,12,
TR6-807686-8C-N1,2621,,,,1,
TR6-804211-8C-I1,1272,BRICK MASONRY; TERRA COTTA; STONE LIMESTONE; OTHER,10001,2019-04-03T20:00:00.000,20,2013-05-17T00:00:00.000
TR6-808182-8B-N1,3318,,,,98,
TR6-918255-9A-N1,4995,,,,7501,
TR6-802365-8C-N1,851,,,,41,
TR6-806864-8C-N1,1992,,,,13,
TR6-918224-9B-N1,1710,,,,7501,
TR6-913694-9C-N1,1152,,,,7501,
TR6-810603-8B-N1,490,,,,101,
TR6-806885-8A-N1,1994,,,,88,
TR6-905044-9C-N1,1402,,,,1,
TR6-800946-8A-I1,505,BRICK MASONRY; OTHER,10013,2017-02-16T00:00:00.000,31,2011-12-09T00:00:00.000
TR6-802562-8C-N1,873,,,,19,
