externalreferencenumber,pedestriancount,dateassigned,pedestriancount2,statusdescription,targetdate,pm_count,studystatus,consultant
DOT-245697-W5M6/111032144969/CRM0585260,,,,Engineering Study Completed     (Signals Engineering),2015-01-30T00:00:00.000,,CLOSED,No
CU-10-641,,,,L/T Approval,2011-02-18T00:00:00.000,,CLOSED,No
DOT-272631-N1F4/CRM0363318,,,,Engineering Study Completed     (Signals Engineering),2015-11-18T00:00:00.000,,CLOSED,No
CCU11-4753,,,,Engineering Study Completed     (Signals Engineering),2011-08-16T00:00:00.000,,CLOSED,No
DOT-352075-G3R1,,2017-10-06T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-01-25T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-267150-F0P1,,,,Engineering Study Completed     (Signals Engineering),2015-09-25T00:00:00.000,,CLOSED,No
0510,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
"CCU-13-2729, SR #1-1-837901962",,2013-04-26T00:00:00.000,,LPI under Review (with Timing Unit),2013-06-26T00:00:00.000,,CLOSED,No
,,2018-06-11T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-220993-T7P8/CRM0090190/120TH PCT-TIR7-14.,,,,Engineering Study Completed     (Signals Engineering),2014-05-30T00:00:00.000,,CLOSED,No
,,2016-05-12T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CCU11-10464/11697963545/14472,,,,Engineering Study Completed     (Signals Engineering),2012-01-16T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
QBC11-2312,,,,Engineering Study Completed     (Signals Engineering),2012-03-29T00:00:00.000,,CLOSED,No
XBC06-138,,,,Engineering Study Completed     (Signals Engineering),2006-04-25T00:00:00.000,,CLOSED,No
SR11571958229,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-478174-N8X5,,2020-10-15T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2021-01-07T00:00:00.000,,CLOSED,No
CCU06-2917//11234417080,,,,Engineering Study Completed     (Signals Engineering),2006-08-14T00:00:00.000,,CLOSED,No
CCU08-6620/10965,,,,Engineering Study Completed     (Signals Engineering),2009-01-05T00:00:00.000,,CLOSED,No
QBC-12-1765,2013-10-10T00:00:00.000,2013-03-22T00:00:00.000,,L/T under Review (with Timing Unit),2013-09-13T00:00:00.000,2013-10-10T00:00:00.000,CLOSED,No
,,,,L/T Approval,2004-11-07T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
"B/C LOG #061-11, SBC-11-125; B/C LOG #271-12, SBC-12-465",,2011-03-23T00:00:00.000,,L/T under Review (with Timing Unit),2011-09-01T00:00:00.000,,CLOSED,No
QBC11-2051,,,,Engineering Study Completed     (Signals Engineering),2012-02-01T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-393302-S1S7,,2018-10-18T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-12-14T00:00:00.000,,CLOSED,No
BT4708/EL2001-17,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
409TN90122,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
26614,,,,Engineering Study Completed     (Signals Engineering),2000-09-21T00:00:00.000,,CLOSED,No
QBC-09-567,,,,Engineering Study Completed     (Signals Engineering),2009-08-06T00:00:00.000,,CLOSED,No
DOT-257123-R2H4; DOT-234695-L5X5; DOT-21721-K3Z9; DOT-258574-W1N2; DOT-275487-Q6J7;; DOT-296675-B1V9; DOT-291841-M8Z6; DOT-327807-L0T5; DOT-291841-M8Z6; DOT-318511-H4J3,,,,Engineering Study Completed     (Signals Engineering),2015-10-21T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-659244-V6Z6,,2024-07-25T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2024-09-05T00:00:00.000,,CLOSED,No
,,,,LPI Approval,2016-02-29T00:00:00.000,,CLOSED,No
bbc11-1904,,,,Engineering Study Completed     (Signals Engineering),2012-02-22T00:00:00.000,,CLOSED,No
DOT-308788-V1T0,,2016-09-26T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-03-25T00:00:00.000,,CLOSED,No
DOT-280097-Z8K7/CRM0585397,,,,Engineering Study Completed     (Signals Engineering),2016-01-01T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-237276-P6H6; DOT-248820-S8F5,,,,LPI Approval,2015-04-30T00:00:00.000,,CLOSED,No
CCU09-3009/SR11478719818,,,,Engineering Study Completed     (Signals Engineering),2009-07-17T00:00:00.000,,CLOSED,No
DOT-244627-L4F3/CRM0585564,,,,Engineering Study Completed     (Signals Engineering),2015-01-27T00:00:00.000,,CLOSED,No
,,,,L/T Exists,2004-03-04T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,2014-06-11T00:00:00.000,,2014-06-12T00:00:00.000,LPI under Review (with Timing Unit),2014-06-03T00:00:00.000,2014-06-12T00:00:00.000,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-344238-S4Z9,,2017-08-09T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-02-27T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,2018-01-18T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
26593,,,,Engineering Study Completed     (Signals Engineering),2000-10-13T00:00:00.000,,CLOSED,No
CCU11-8135/SR#11677003179,,,,Engineering Study Completed     (Signals Engineering),2012-02-22T00:00:00.000,,CLOSED,No
CCU05-701/11150223590,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-314777-Z8R5,,2016-10-24T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
COMM. LOG #9160,,,,L/T Approval,2004-05-10T00:00:00.000,,CLOSED,No
QBC10-1558,,,,Engineering Study Completed     (Signals Engineering),2010-12-19T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CCU-09-5153,,,,Engineering Study Completed     (Signals Engineering),2009-09-09T00:00:00.000,,CLOSED,No
B99-0143/BBC953,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-349103-F5F8,,2017-09-14T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-04-12T00:00:00.000,,CLOSED,No
DOT-280811-Q1C0/DOT-280859-S6M0,,,,Engineering Study Completed     (Signals Engineering),2016-01-15T00:00:00.000,,CLOSED,No
QBC13-820,,,,Engineering Study Completed     (Signals Engineering),2013-09-18T00:00:00.000,,CLOSED,No
QBC00-0854,,,,Engineering Study Completed     (Signals Engineering),2000-08-04T00:00:00.000,,CLOSED,No
DOT-334143-F3T5,,2017-05-05T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-09-11T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-401831-H3F7,,2019-01-11T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-04-04T00:00:00.000,,CLOSED,No
DOT,,2020-07-20T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2020-10-06T00:00:00.000,,CLOSED,No
CCU13-1045/11830143413/11822454391,,,,Engineering Study Completed     (Signals Engineering),2013-05-03T00:00:00.000,,CLOSED,No
PB51065A,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-316460-F5K4/DOT-316758-S0H1,,2016-11-09T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-12-27T00:00:00.000,,CLOSED,No
DOT-351663-H2S9/DOT-351496-V9X0,,2017-10-03T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-12-22T00:00:00.000,,CLOSED,No
DOT-338058-Z4S6/DOT-338061-M8J0,,2017-06-09T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-01-05T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Study Request Denial,1996-10-21T00:00:00.000,,CLOSED,No
DOT-396027-Z9S6,,2018-11-08T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-01-30T00:00:00.000,,CLOSED,No
"CCU-13-2520, SR #1-1-830915375; DOT-239488-L1K1; DOT-216482-Z4R9",2013-10-17T00:00:00.000,2013-04-12T00:00:00.000,2013-10-22T00:00:00.000,L/T Approval,2013-09-20T00:00:00.000,2013-10-17T00:00:00.000,CLOSED,No
,,2016-04-06T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-05-27T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CCU05-657/11153338690,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
dot-261655-z7c0/crm0585214,,,,Engineering Study Completed     (Signals Engineering),2015-06-26T00:00:00.000,,CLOSED,No
QBC01-0289,,,,Engineering Study Completed     (Signals Engineering),2001-03-30T00:00:00.000,,CLOSED,No
DOT-360335-T7M5,,2018-05-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-384191-D8L0,,2018-08-13T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-10-17T00:00:00.000,,CLOSED,No
,,,,LPI Approval,2009-09-22T00:00:00.000,,CLOSED,No
DOT-235997-B6Y8,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-386307-Q5V8,,2018-08-13T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-12-01T00:00:00.000,,CLOSED,No
BT6218M,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
COMM. LOG #26410,,,,L/T Approval,2001-02-15T00:00:00.000,,CLOSED,No
TN61903,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
QBC04-309,,,,Engineering Study Completed     (Signals Engineering),2004-06-11T00:00:00.000,,CLOSED,No
DOT-251377-J7L6/112TH PCT. - #2,,,,Engineering Study Completed     (Signals Engineering),2015-04-23T00:00:00.000,,CLOSED,No
DOT-371714-K7X1,,2018-04-10T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-05-17T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
ccu-04-690,,,,VOID--Signals Engineering Studies     (Signals Engineering),2005-02-14T00:00:00.000,,CLOSED,No
QBC98-74,,,,Engineering Study Completed     (Signals Engineering),1998-02-04T00:00:00.000,,CLOSED,No
CCU12-439,,,,Engineering Study Completed     (Signals Engineering),2012-03-19T00:00:00.000,,CLOSED,No
QBC11-851,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-401241-C9T2,,2019-01-08T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-08-03T00:00:00.000,,CLOSED,No
DOT-448080-M1X5,,2020-01-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2020-08-18T00:00:00.000,,CLOSED,No
351-4125,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,2016-06-17T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-09-08T00:00:00.000,,CLOSED,No
,,,,LPI Approval,2016-02-29T00:00:00.000,,CLOSED,No
DOT-250941-H5K6/CRM05851400,,,,Engineering Study Completed     (Signals Engineering),2015-09-22T00:00:00.000,,CLOSED,No
BBC04-431,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-350231-W5D9,,2017-10-25T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,2016-06-14T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2016-08-26T00:00:00.000,,CLOSED,No
,,,,LPI Approval,2008-09-18T00:00:00.000,,CLOSED,No
DOT-249505-F5R1/CRM0585671/CRM0548606,,,,Engineering Study Completed     (Signals Engineering),2015-05-29T00:00:00.000,,CLOSED,No
BBC08-537,,,,L/T under Review (with Timing Unit),2008-01-25T00:00:00.000,,CLOSED,No
DOT-353163-K7L3,,2017-10-18T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-05-15T00:00:00.000,,CLOSED,No
DOT-397575-X8Y6,,2018-11-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-06-24T00:00:00.000,,CLOSED,No
DOT-248059-X6X8/109 PCT.,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CCU05-1246/11157788750,,,,Engineering Study Completed     (Signals Engineering),2005-05-09T00:00:00.000,,CLOSED,No
"CCU09-8683/SR11518924956, MAN. LOG #12357",,,,Engineering Study Completed     (Signals Engineering),2010-01-23T00:00:00.000,,CLOSED,No
SBC13-13/005-13,,,,Engineering Study Completed     (Signals Engineering),2013-02-26T00:00:00.000,,CLOSED,No
CCU11-687/SR11625535181,,,,Engineering Study Completed     (Signals Engineering),2011-04-15T00:00:00.000,,CLOSED,No
CCU09-7372/11509838009//IMA00240389/552549,,,,Engineering Study Completed     (Signals Engineering),2009-12-11T00:00:00.000,,CLOSED,No
DOT-246598-D7R1,,,,Engineering Study Completed     (Signals Engineering),2015-02-19T00:00:00.000,,CLOSED,No
31521,,,,Engineering Study Completed     (Signals Engineering),2001-12-05T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-216658-S4J6,,,,Engineering Study Completed     (Signals Engineering),2013-12-12T00:00:00.000,,CLOSED,No
DOT-397373-P6N5,,2018-11-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-02-12T00:00:00.000,,CLOSED,No
,,2019-10-29T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-319966-Q6Z5/111339121817,,2016-12-12T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2017-01-17T00:00:00.000,,CLOSED,No
DOT-258998-D1M9/DOT-258999-J8N2,,,,Engineering Study Completed     (Signals Engineering),2015-06-16T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
BBC05-484,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-291742-X0Y2,,,,Engineering Study Completed     (Signals Engineering),2016-05-13T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CEQRNO.05-DCP-080Q,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-406733-L6F5,,2019-03-05T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-05-24T00:00:00.000,,CLOSED,No
CCU11-11995/11707935967/14602,,,,Engineering Study Completed     (Signals Engineering),2012-02-23T00:00:00.000,,CLOSED,No
CCU,,,,Engineering Study Completed     (Signals Engineering),2006-12-09T00:00:00.000,,CLOSED,No
RH09-032,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-361011-R3R3,,2017-12-20T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-07-12T00:00:00.000,,CLOSED,No
DOT-405491-Y8P9,,2019-02-19T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-05-11T00:00:00.000,,CLOSED,No
SBC13-356/152-13,,,,Engineering Study Completed     (Signals Engineering),2013-06-27T00:00:00.000,,CLOSED,No
DOT-393123-W3W3,,2018-10-22T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2019-01-07T00:00:00.000,,CLOSED,No
DOT-221046-T9G4,,,,Engineering Study Completed     (Signals Engineering),2014-09-06T00:00:00.000,,CLOSED,No
79-07-01,,,,L/T Approval,2002-02-24T00:00:00.000,,CLOSED,No
QBC03-1688/104TH PRECINCT,,,,Engineering Study Completed     (Signals Engineering),2003-12-15T00:00:00.000,,CLOSED,No
QBC09-317,,,,Engineering Study Completed     (Signals Engineering),2009-06-14T00:00:00.000,,CLOSED,No
CCU11-5670/SR11659223313,,,,Engineering Study Completed     (Signals Engineering),2011-07-15T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
CCU-11-5906; DOT-374084-X5T7,,2011-08-23T00:00:00.000,,L/T Approval,2012-01-04T00:00:00.000,,CLOSED,No
DOT-360033-V8J2,,2017-12-06T00:00:00.000,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
9-13Q3-922,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-269401-X8B8/CRM0089928/CRM0585902,,,,Engineering Study Completed     (Signals Engineering),2015-10-19T00:00:00.000,,CLOSED,No
DOT-253156-P4H6,,,,Engineering Study Completed     (Signals Engineering),2015-04-30T00:00:00.000,,CLOSED,No
DOT-280674-F6N1/CRM0673661,,,,Engineering Study Completed     (Signals Engineering),2016-03-03T00:00:00.000,,CLOSED,No
,,,,L/T Approval,2002-10-05T00:00:00.000,,CLOSED,No
DOT-437823-W1Y9,,2020-07-14T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2020-06-23T00:00:00.000,,CLOSED,No
DOT-277860-P6T4/CRM0565133,,,,Engineering Study Completed     (Signals Engineering),2015-11-29T00:00:00.000,,CLOSED,No
DOT-260303-M8S6,,,,Engineering Study Completed     (Signals Engineering),2015-07-31T00:00:00.000,,CLOSED,No
10054/1-6419336/5057,,,,Engineering Study Completed     (Signals Engineering),2004-02-02T00:00:00.000,,CLOSED,No
CCU11-10957/11699246867,,,,Engineering Study Completed     (Signals Engineering),2011-12-30T00:00:00.000,,CLOSED,No
DOT-231558-S8R0/CRM0078189/DOT-231552-F0X8/CRM0078157,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-578362-H5Z0,,2023-01-20T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2023-08-18T00:00:00.000,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
BBC201,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
,,,,Engineering Study Completed     (Signals Engineering),,,CLOSED,No
DOT-361757-N9M6,,2018-01-02T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2018-03-13T00:00:00.000,,CLOSED,No
QBC01-0862,,,,Engineering Study Completed     (Signals Engineering),2001-07-24T00:00:00.000,,CLOSED,No
BT1293/8407-23,,,,Engineering Study Completed     (Signals Engineering),1999-09-27T00:00:00.000,,CLOSED,No
DOT-450065-L3Z2,,2020-02-26T00:00:00.000,,Engineering Study Completed     (Signals Engineering),2020-05-25T00:00:00.000,,CLOSED,No
"CCU-11-11830; CCU-12-4850, SR #1-1-754429772; XBC-12-584; DOT-326189-K9M0",,2011-12-14T00:00:00.000,,L/T Approval,2012-06-03T00:00:00.000,,CLOSED,No
,2015-09-16T00:00:00.000,,,L/T Exists,2015-10-18T00:00:00.000,2015-09-16T00:00:00.000,CLOSED,No
,,2011-04-30T00:00:00.000,,L/T Approval,2011-10-25T00:00:00.000,,CLOSED,No
