statusdate,locationtype,schoolname,findings,seasonal,crossstreet2
2012-11-02T00:00:00.000,Intersection,,,No,
2013-05-22T00:00:00.000,,,,No,
2016-10-27T00:00:00.000,,,,No,
2017-10-18T00:00:00.000,Intersection,,,No,
2018-06-27T00:00:00.000,Intersection,,,No,
2011-09-21T00:00:00.000,Intersection,,,No,
2017-09-14T00:00:00.000,Stretch,,,No,BROOKLYN AVENUE
2001-05-31T00:00:00.000,Intersection,,,No,
2017-06-12T00:00:00.000,Intersection,,,No,
2015-07-01T00:00:00.000,Intersection,,,No,
2022-12-02T00:00:00.000,Intersection,,,No,
2017-11-03T00:00:00.000,Intersection,,,No,
2018-06-06T00:00:00.000,Intersection,,,No,WEST   35 STREET
2005-08-17T00:00:00.000,Intersection,,,No,
2006-04-25T00:00:00.000,Stretch,,,No,
2016-01-06T00:00:00.000,Intersection,,,No,
2015-11-20T00:00:00.000,Intersection,,,No,
2015-05-15T00:00:00.000,Intersection,,,No,
2013-01-23T00:00:00.000,Intersection,,,No,
2011-10-24T00:00:00.000,,,,No,
2001-10-10T00:00:00.000,,,,No,
2001-03-15T00:00:00.000,,,,No,
2013-06-14T00:00:00.000,Intersection,COOKE CENTER ACADEMY,,No,
2018-02-13T00:00:00.000,Intersection,,,No,
2016-02-16T00:00:00.000,Stretch,,,No,EAST   16 STREET
2015-11-23T00:00:00.000,Stretch,,,No,74 STREET
2013-05-20T00:00:00.000,Intersection,,,No,
2014-09-02T00:00:00.000,,,,No,60TH STREETS
2015-05-08T00:00:00.000,Intersection,,,No,
2003-10-29T00:00:00.000,Intersection,,,No,
2019-04-18T00:00:00.000,Intersection,,,No,
2017-01-25T00:00:00.000,,,,No,
2008-12-09T00:00:00.000,,,REC'D FROM MBC UNDER 11011 - 11/03/08,No,
2020-12-15T00:00:00.000,Intersection,,,No,
2006-02-10T00:00:00.000,,,LPI APPROVAL,No,
2015-10-23T00:00:00.000,Intersection,,LPI APPROVAL,No,
2001-07-03T00:00:00.000,Intersection,,,No,
2004-06-06T00:00:00.000,,,,No,
2006-11-10T00:00:00.000,,,,No,
1999-11-19T00:00:00.000,Intersection,,,No,
2022-09-01T00:00:00.000,Intersection,,,No,
2006-09-27T00:00:00.000,,,,No,
2013-02-12T00:00:00.000,Stretch,,,No,
2006-04-18T00:00:00.000,Intersection,,,No,
2017-04-14T00:00:00.000,,,,No,
2010-02-04T00:00:00.000,Intersection,,,No,
2018-05-04T00:00:00.000,Intersection,,,No,
2001-01-31T00:00:00.000,,,,No,
2018-04-24T00:00:00.000,Intersection,,,No,EAST  125 STREET
1998-10-23T00:00:00.000,,,,No,
2014-10-23T00:00:00.000,Stretch,,,No,ARLENE STREET
2002-04-22T00:00:00.000,,,,No,
2011/12/06 00:00,,,,No,
2004/11/18 00:00,Intersection,,REFERRED TO MELITA AS PER RINA - 11/18/04,No,
2017-01-25T00:00:00.000,Intersection,,,No,
1997-06-25T00:00:00.000,Intersection,,,No,
2009-01-12T00:00:00.000,,,,No,
2023-06-21T00:00:00.000,Intersection,,,No,
2007-03-09T00:00:00.000,Intersection,,,No,
2013-10-22T00:00:00.000,Intersection,,,No,
2004-04-15T00:00:00.000,Intersection,,,No,
2005-05-31T00:00:00.000,Intersection,,,No,
2016-01-30T00:00:00.000,Intersection,,LPI APPROVAL,No,
2017-05-23T00:00:00.000,Intersection,,,No,
2015-04-03T00:00:00.000,Intersection,,,No,
2011-04-26T00:00:00.000,Intersection,,,No,
2018-03-30T00:00:00.000,Intersection,,,No,
2019-02-08T00:00:00.000,Intersection,,,No,SHORE PARKWAY
2001-05-15T00:00:00.000,,,,No,
1998-12-22T00:00:00.000,,,,No,
2020-09-10T00:00:00.000,Intersection,,,No,
2017-05-09T00:00:00.000,,,,No,
2015-07-22T00:00:00.000,Intersection,,,No,
2001-05-24T00:00:00.000,Intersection,,,No,
2010-12-29T00:00:00.000,Intersection,,,No,
2010-11-22T00:00:00.000,Stretch,,,No,
2020-10-16T00:00:00.000,Intersection,,,No,
2005-07-27T00:00:00.000,,,,No,
2018-08-16T00:00:00.000,Intersection,,,No,
,Intersection,,,No,
2017-09-25T00:00:00.000,Intersection,,,No,
2001/07/31 00:00,,,,No,
2013-07-19T00:00:00.000,Intersection,ST. JOHN LUTHERAN,L/T APPROVAL,No,
1999-03-25T00:00:00.000,Intersection,,,No,
2011-04-18T00:00:00.000,,OUR LADY OF THE MOST BLESSED SACRAMENT,L/T APPROVAL,No,(BOTH SERV. RDS.)
2008-11-25T00:00:00.000,,,,No,
2004-04-08T00:00:00.000,Intersection,,,No,
2008-07-01T00:00:00.000,,,,No,
2024-01-24T00:00:00.000,Intersection,,,No,
2012-04-23T00:00:00.000,Stretch,,,No,
2007-03-05T00:00:00.000,,,,No,
2002-06-26T00:00:00.000,Intersection,,,No,
2001-05-09T00:00:00.000,Intersection,,,No,
2006-02-01T00:00:00.000,,,,No,
2005-05-25T00:00:00.000,Intersection,,L/T EXISTS,No,
2019-05-16T00:00:00.000,Intersection,,,No,EAST TREMONT AVENUE
2018-01-22T00:00:00.000,Intersection,,,No,
2008-02-26T00:00:00.000,Intersection,,,No,
2020-10-27T00:00:00.000,Citywide,,,No,
2013-05-20T00:00:00.000,,,,No,
2016-01-25T00:00:00.000,,,LPI APPROVAL,No,
2015-10-14T00:00:00.000,,,,No,W. 168TH STREETS
2003-02-18T00:00:00.000,Intersection,,,No,
2010-01-13T00:00:00.000,,,,No,
2019-02-25T00:00:00.000,Intersection,,,No,WHITE PLAINS ROAD
2017-10-25T00:00:00.000,Intersection,,,No,
2018-02-14T00:00:00.000,Intersection,,,No,EAST HOUSTON STREET
2000-01-14T00:00:00.000,Stretch,,,No,
2017-06-26T00:00:00.000,Intersection,,,No,
2010-04-16T00:00:00.000,Intersection,,,No,
2012-02-03T00:00:00.000,Intersection,,,No,
,,,,No,
2020/10/27 00:00,Intersection,,,No,
2002-10-30T00:00:00.000,,,,No,
2012-05-16T00:00:00.000,,,,No,
2017-01-28T00:00:00.000,Intersection,,,No,
2006-06-02T00:00:00.000,Stretch,,,No,
2006-05-25T00:00:00.000,,,,No,
2003-06-03T00:00:00.000,,,,No,
2009-07-22T00:00:00.000,,,REC'D FROM MBC - 06/04/09 UNDER 11619,No,
2018-05-15T00:00:00.000,Intersection,,,No,
2011-06-16T00:00:00.000,Intersection,,L/T APPROVAL,No,
2018-01-22T00:00:00.000,Intersection,,,No,
2012-08-03T00:00:00.000,Intersection,,,No,
2019-03-05T00:00:00.000,Intersection,,,No,
2014-07-14T00:00:00.000,Intersection,,,No,
2017-11-15T00:00:00.000,Stretch,,,No,MOTHER GASTON BOULEVARD
2008-12-23T00:00:00.000,Intersection,OUR LADY STAR OF THE SEA,L/T APPROVAL,No,
2019-01-28T00:00:00.000,Intersection,,,No,
2008-02-21T00:00:00.000,,,,No,
2008-11-24T00:00:00.000,Intersection,,,No,
2014-11-12T00:00:00.000,Intersection,,,No,
2018-08-22T00:00:00.000,Intersection,,,No,
2019-11-20T00:00:00.000,Intersection,,,No,
2008-11-06T00:00:00.000,,,,No,
2012-07-25T00:00:00.000,,,,No,
2014-12-31T00:00:00.000,Intersection,,,No,
2019-10-11T00:00:00.000,Intersection,,,No,
2008-06-11T00:00:00.000,Intersection,,L/T APPROVAL,No,
2005-06-08T00:00:00.000,Stretch,,,No,4 AVENUE
2014-12-08T00:00:00.000,,,,No,
2004-06-23T00:00:00.000,,,,No,
2017-10-24T00:00:00.000,Intersection,,,No,
2009-12-15T00:00:00.000,,,,No,6 AVENUE
2005-03-15T00:00:00.000,,,,No,
2005-02-25T00:00:00.000,Intersection,,L/T APPROVAL,No,
2003-08-27T00:00:00.000,Intersection,,REQUEST FOR A L/T SIGNAL…FORWARDED TO ICU,No,
2016-02-11T00:00:00.000,Intersection,,,No,
2020-10-27T00:00:00.000,Intersection,,,No,
2016-11-07T00:00:00.000,,,,No,
2005-05-20T00:00:00.000,Intersection,,,No,
2011-09-15T00:00:00.000,Intersection,,,No,
2015/07/16 00:00,Intersection,,,No,
2007-10-24T00:00:00.000,Stretch,,,No,
