location_name,geocode,vio_n,rangea,:@computed_region_92fq_4b7q,postcode,major_n,census_tract
883 CLASSON AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.67009', 'longitude': '-73.961805', 'human_address': '{""address"": ""883 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,48.0,11225.0,,213.0
Bard High School Early College,"{'latitude': '40.718963', 'longitude': '-73.97594', 'human_address': '{""address"": ""525 EAST HOUSTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,251-500,50.0,10002.0,0.0,1002.0
P.S. 176 Cambria Heights,"{'latitude': '41.615667', 'longitude': '-81.518679', 'human_address': '{""address"": ""120 45 235 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,,11411.0,0.0,614.0
West Prep Academy,"{'latitude': '46.688595', 'longitude': '-123.749978', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10025.0,,189.0
P.S. 111 Seton Falls,"{'latitude': '40.884209', 'longitude': '-73.840213', 'human_address': '{""address"": ""3740 BAYCHESTER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,2.0,10466.0,0.0,484.0
Midwood High School,"{'latitude': '38.735809', 'longitude': '-120.799784', 'human_address': '{""address"": ""2839 BEDFORD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1751-2000,,11210.0,2.0,772.0
P.S. 035 Franz Siegel,"{'latitude': '42.153125', 'longitude': '-72.573047', 'human_address': '{""address"": ""261 EAST 163 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,10451.0,0.0,18302.0
MANHATTAN BUSINESS ACADEMY,"{'latitude': '26.777123', 'longitude': '-80.061719', 'human_address': '{""address"": ""351 WEST 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10011.0,,89.0
International High School at Lafayette,"{'latitude': '40.594021', 'longitude': '-73.98532', 'human_address': '{""address"": ""2630 BENSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,45.0,11214.0,0.0,306.0
Home Instruction - Brooklyn,"{'latitude': '40.577533', 'longitude': '-73.969551', 'human_address': '{""address"": ""3000 WEST 1 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,15.0,11224.0,,35602.0
The Forward School,"{'latitude': '40.880906', 'longitude': '-73.860905', 'human_address': '{""address"": ""3710 BARNES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,501-750,2.0,10467.0,0.0,390.0
P.S. 102 Jacques Cartier,"{'latitude': '43.395623', 'longitude': '-112.027864', 'human_address': '{""address"": ""315 EAST 113 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,10029.0,0.0,180.0
Belmont Preparatory High School,"{'latitude': '40.859933', 'longitude': '-73.888168', 'human_address': '{""address"": ""500 EAST FORDHAM ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,2001-2500,22.0,10458.0,2.0,387.0
108-35 167 STREET CONSOLIDATED LOCATION,"{'latitude': '40.696766', 'longitude': '-73.786934', 'human_addr ess': '{""address"": ""108 35 167 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1751-2000,6.0,11433.0,0.0,258.0
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,"{'latitude': '40.647265', 'longitude': '-73.891987', 'human_address': '{""address"": ""965 EAST 107TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,8.0,11236.0,1.0,984.0
800 VAN SICLEN AVE CONSOLIDATED LOCATION,"{'latitude': '40.660276', 'longitude': '-73.885481', 'human_address': '{""address"": ""800 VAN SICLEN AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,25.0,11207.0,,1104.0
P.S. 186 Dr. Irving A Gladstone,"{'latitude': '40.611293', 'longitude': '-73.994879', 'human_address': '{""address"": ""7601 19 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,45.0,11214.0,0.0,274.0
P.S./I.S. 045 Horace E. Greene,"{'latitude': '40.686637', 'longitude': '-73.910806', 'human_address': '{""address"": ""84 SCHAEFER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,37.0,11207.0,0.0,401.0
Humanities Preparatory Academy,"{'latitude': '26.777123', 'longitude': '-80.061719', 'human_address': '{""address"": ""351 WEST 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10011.0,,89.0
Â P.S. 93 - BRONX,"{'latitude': '40.821749', 'longitude': '-73.877066', 'human_address': '{""address"": ""1535 STORY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,43.0,10473.0,0.0,28.0
KINGS COLLEGIATE CHARTER SCHOOL(BS),"{'latitude': '39.978395', 'longitude': '-75.047807', 'human_address': '{""address"": ""1084 LENOX ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11212.0,,886.0
Cypress Hills Collegiate Preparatory School,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11208.0,,1180.0
P.S. 206 Joseph F Lamb,"{'latitude': '40.597507', 'longitude': '-73.948602', 'human_address': '{""address"": ""2200 GRAVESEND NECK ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,15.0,11229.0,0.0,59401.0
1700 FULTON STREET CONSOLIDATED LOCATION,"{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 FULTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,49.0,11213.0,,271.0
2021 BERGEN STREET CONSOLIDATED LOCATION,"{'latitude': '40.068155', 'longitude': '-75.048258', 'human_address': '{""address"": ""2021 Bergen Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,251-500,,11233.0,0.0,36501.0
School for Democracy and  Leadership,"{'latitude': '40.658787', 'longitude': '-73.942431', 'human_address': '{""address"": ""600 KINGSTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,11.0,11203.0,,810.0
P.S. 009 Teunis G. Bergen,"{'latitude': '40.678376', 'longitude': '-73.965492', 'human_address': '{""address"": ""80 UNDERHILL AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,48.0,11238.0,,205.0
605 SHEPHERD AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.66937', 'longitude': '-73.879604', 'human_address': '{""address"": ""605 SHEPHERD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,25.0,11208.0,0.0,1164.0
P.S. 212 Lady Deborah Moody,"{'latitude': '40.587822', 'longitude': '-73.985737', 'human_address': '{""address"": ""87 BAY 49 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,45.0,11214.0,0.0,314.0
P.S. 290 Juan Morel Campos,"{'latitude': '40.78649', 'longitude': '-73.719722', 'human_address': '{""address"": ""135 SCHENCK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11207.0,1.0,1198.0
1550 VYSE AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.834337', 'longitude': '-73.887413', 'human_address': '{""address"": ""1550 VYSE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,43.0,10460.0,0.0,157.0
223 GRAHAM AVENUE CONSOLIDATED LOCATION,"{'latitude': '41.868304', 'longitude': '-88.021736', 'human_address': '{""address"": ""223 GRAHAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1251-1500,,11206.0,1.0,505.0
P.S. 213 New Lots,"{'latitude': '40.660642', 'longitude': '-73.890025', 'human_address': '{""address"": ""580 HEGEMAN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,25.0,11207.0,0.0,1104.0
Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School,"{'latitude': '40.685105', 'longitude': '-73.947157', 'human_address': '{""address"": ""832 MARCY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,49.0,11216.0,,249.0
P.S. 006 Lillie D. Blake,"{'latitude': '39.609528', 'longitude': '-74.204694', 'human_address': '{""address"": ""45 EAST 81 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10028.0,0.0,142.0
P.S. 065,"{'latitude': '27.917365', 'longitude': '-82.453242', 'human_address': '{""address"": ""696 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,11208.0,0.0,117601.0
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),"{'latitude': '40.662442', 'longitude': '-73.936593', 'human_address': '{""address"": ""790 EAST NEW YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,17.0,11203.0,0.0,876.0
LA CIMA CHARTER SCHOOL(BN),"{'latitude': '42.232857', 'longitude': '-83.575862', 'human_address': '{""address"": ""800 GATES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11221.0,,293.0
P.S. 179 Kensington,"{'latitude': '31.65974', 'longitude': '-97.474877', 'human_address': '{""address"": ""202 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11218.0,1.0,488.0
Professional Performing Arts High School,"{'latitude': '27.55681', 'longitude': '-82.566745', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10036.0,,127.0
P.S. 042 Benjamin Altman,"{'latitude': '31.852838', 'longitude': '-82.607579', 'human_address': '{""address"": ""71 HESTER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10002.0,0.0,16.0
430 HOWARD AVENUE CONSOLIDATED LOCATION,"{'latitude': '39.798783', 'longitude': '-75.248275', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,11233.0,0.0,363.0
I.S. 285 Meyer Levin,"{'latitude': '35.300163', 'longitude': '-77.77611', 'human_address': '{""address"": ""5909 BEVERLY ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,11203.0,1.0,936.0
223 EAST 23 STREET CONSOLIDATED LOCATION,"{'latitude': '29.999634', 'longotude': '-90.268991', 'human_address': '{""address"": ""223 EAST 23 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10010.0,,64.0
Manhattan Charter School II,"{'latitude': '30.021328', 'longitude': '-93.83847', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,751-1000,,10002.0,0.0,201.0
P.S. 030 Hernandez/Hughes,"{'latitude': '40.021863', 'longitude': '-75.21517', 'human_address': '{""address"": ""144 176 EAST 128 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,10035.0,0.0,242.0
1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,"{'human_address': '{""address"": ""1010 REV J A POLITE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10459.0,,12901.0
P.S. 147 Isaac Remsen,"{'latitude': '40.704801', 'longitude': '-73.939232', 'human_address': '{""address"": ""325 BUSHWICK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,30.0,11206.0,0.0,485.0
616 QUINCY STREET CONSOLIDATED LOCATION,"{'latitude': '30.079916', 'longitude': '-93.767893', 'human_address': '{""address"": ""616 QUINCY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11221.0,,293.0
P.S. 160 William T. Sampson,"{'latitude': '40.637225', 'longitude': '-73.999373', 'human_address': '{""address"": ""5105 Fort Hamilton Park"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,18.0,11219.0,0.0,220.0
P.S. 195 Manhattan Beach,"{'latitude': '44.150758', 'longitude': '-92.898543', 'human_address': '{""address"": ""131 IRWIN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11235.0,0.0,620.0
P.S. 197 John B. Russwurm,"{'latitude': '37.971433', 'longitude': '-122.02334', 'human_address': '{""address"": ""2230 5 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,,10037.0,,212.0
TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN),"{'latitude': '30.079916', 'longitude': '-93.767893', 'human_address': '{""address"": ""616 QUINCY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,11221.0,,293.0
P.S. 067 Charles A. Dorsey,"{'latitude': '30.010951', 'longitude': '-91.84076', 'human_address': '{""address"": ""51 SAINT EDWARDS STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1-250,,11205.0,0.0,2901.0
Mott Hall High School,"{'latitude': '40.817202', 'longitude': '-73.947815', 'human_address': '{""address"": ""6 EDGECOMBE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,36.0,10030.0,,22102.0
P.S. 056 Lewis H. Latimer,"{'latitude': '40.807968', 'longitude': '-74.227247', 'human_address': '{""address"": ""170 GATES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11238.0,,231.0
Satellite East Middle School,"{'latitude': '37.32742', 'longitude': '-80.815882', 'human_address': '{""address"": ""344 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11216.0,0.0,265.0
Brooklyn Theatre Arts High School,"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,8.0,11236.0,,950.0
BRONX BRIDGES HIGH SCHOOL,"{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10473.0,,16.0
P.S. 256 Benjamin Banneker,"{'latitude': '43.18524', 'longitude': '-77.596175', 'human_address': '{""address"": ""114 KOSCIUSKO STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,11216.0,0.0,253.0
Origins High School,"{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",9.0,4000+,8.0,11235.0,4.0,626.0
1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,"{'latitude': '40.579689', 'longitude': '-73.956244', 'human_address': '{""address"": ""1075 OCEAN VIEW AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,15.0,11235.0,,61004.0
P.S. 052 Sheepshead Bay,"{'latitude': '42.130399', 'longitude': '-80.014514', 'human_address': '{""address"": ""2675 EAST 29 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,751-1000,,11235.0,0.0,600.0
J.H.S. 062 Ditmas,"{'latitude': '40.63867', 'longitude': '-73.971815', 'human_address': '{""address"": ""700 CORTELYOU ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,27.0,11218.0,0.0,490.0
P.S. 309 The George E. Wibecan Preparatory Academy,"{'latitude': '42.103577', 'longitude': '-86.44529', 'human_address': '{""address"": ""794 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,751-1000,,11221.0,2.0,385.0
J.H.S. 218 James P. Sinnott,"{'latitude': '41.722526', 'longitude': '-81.260519', 'human_address': '{""address"": ""370 FOUNTAIN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,,11208.0,0.0,1118.0
P.S. 130 Hernando De Soto,"{'latitude': '38.115123', 'longitude': '-122.265407', 'human_address': '{""address"": ""143 BAXTER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,10013.0,0.0,41.0
P.S. 452,"{'latitude': '34.8215', 'longitude': '-118.268509', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,10024.0,,161.0
The East Village Community School,"{'latitude': '41.663277', 'longitude': '-103.091767', 'human_address': '{""address"": ""610 EAST 12 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,,10009.0,1.0,28.0
P.S. 200 Benson School,"{'latitude': '46.210374', 'longitude': '-119.754029', 'human_address': '{""address"": ""1940 BENSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11214.0,0.0,282.0
Innovation Diploma Plus,"{'latitude': '40.785643', 'longitude': '-73.974264', 'human_address': '{""address"": ""145 WEST 84 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,1751-2000,19.0,10024.0,6.0,169.0
"City Polytechnic High School of Engineering, Archi","{'latitude': '40.694892', 'longitude': '-73.985278', 'human_address': '{""address"": ""105 TECH PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,38.0,11201.0,,13.0
The Math & Science Exploratory School,"{'latitude': '31.226762', 'longitude': '-84.221511', 'human_address': '{""address"": ""345 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,1751-2000,,11217.0,1.0,39.0
Brownsville Academy High School,"{'latitude': '29.028226', 'longitude': '-81.280472', 'human_address': '{""address"": ""1150 EAST NEW YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11212.0,1.0,900.0
P.S. 189,"{'latitude': '40.852861', 'longitude': '-73.927424', 'human_address': '{""address"": ""2580 AMSTERDAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,39.0,10040.0,0.0,277.0
Brooklyn Environmental Exploration School (BEES),"{'latitude': '33.338527', 'longitude': '-89.747595', 'human_address': '{""address"": ""251 MCDOUGAL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11233.0,,369.0
317 EAST  67 STREET CONSOLIDATED LOCATION,"{'latitude': '39.006943', 'longitude': '-94.585196', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10065.0,,118.0
Manhattan Center for Science and Mathematics,"{'latitude': '38.370274', 'longitude': '-86.340305', 'human_address': '{""address"": ""260 PLEASANT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1-250,,10029.0,0.0,178.0
P.S. 247 Brooklyn,"{'latitude': '38.53198', 'longitude': '-121.422897', 'human_address': '{""address"": ""7000 21 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,11204.0,1.0,258.0
Yorkville East Middle School,"{'latitude': '40.770522', 'longitude': '-73.951072', 'human_address': '{""address"": ""1458 YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,751-1000,1.0,10075.0,,132.0
999 JAMAICA AVENUE CONSOLIDATED LOCATION,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11208.0,,1180.0
P.S./I.S. 295,"{'latitude': '40.521601', 'longitude': '-80.036677', 'human_address': '{""address"": ""222 14 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11428.0,0.0,568.0
Brooklyn Academy of Science and the Environment,"{'latitude': '40.67009', 'longitude': '-73.961805', 'human_address': '{""address"": ""883 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,48.0,11225.0,,213.0
The Fresh Creek School,"{'latitude': '35.122045', 'longitude': '-90.03296', 'human_address': '{""address"": ""875 WILLIAMS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1751-2000,,11207.0,0.0,982.0
P.S. M094,"{'latitude': '40.70649', 'longitude': '-74.017796', 'human_address': '{""address"": ""55 BATTERY PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,32.0,10280.0,0.0,31704.0
Academy for Young Writers,"{'latitude': '40.656944', 'longitude': '-73.874295', 'human_address': '{""address"": ""1065 ELTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",8.0,1251-1500,25.0,11208.0,4.0,1070.0
P.S. 372 -The Children's School,"{'latitude': '28.558325', 'longitude': '-81.764104', 'human_address': '{""address"": ""512 CARROLL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1-250,,11215.0,1.0,119.0
University Neighborhood Middle School,"{'latitude': '30.021328', 'longitude': '-93.83847', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,10002.0,,201.0
Millennium Brooklyn HS,"{'latitude': '64.748749', 'longitude': '-147.345471', 'human_address': '{""address"": ""237 7 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,11215.0,,155.0
South Shore Educational Complex Yabc,"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,8.0,11236.0,,950.0
P.S. 270 Johann DeKalb,"{'latitude': '40.670201', 'longitude': '-73.687729', 'human_address': '{""address"": ""241 EMERSON PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,251-500,,11205.0,0.0,193.0
"New Explorations into Science, Technology and Math","{'latitude': '40.687981', 'longitude': '-74.001276', 'human_address': '{""address"": ""111 COLUMBIA STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,501-750,27.0,10002.0,2.0,2201.0
The Children's Workshop School,"{'latitude': '41.663277', 'longitude': '-103.091767', 'human_address': '{""address"": ""610 EAST 12 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,251-500,,10009.0,,28.0
W. H. Maxwell Career and Technical Education High,"{'latitude': '40.513958', 'longitude': '-74.847748', 'human_address': '{""address"": ""145 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,1251-1500,,11207.0,0.0,1144.0
P.S. 015 Roberto Clemente,"{'latitude': '39.401034', 'longitude': '-81.438707', 'human_address': '{""address"": ""333 EAST 4 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1001-1250,,10009.0,0.0,2601.0
Ralph A. Fabrizio School,"{'latitude': '40.630549', 'longitude': '-74.01926', 'human_address': '{""address"": ""7109 6 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1501-1750,44.0,11209.0,0.0,134.0
231-249 EAST 56 STREET CONSOLIDATED LOCATION,"{'latitude': '33.857586', 'longitude': '-118.191865', 'human_address': '{""address"": ""231 249 EAST 56 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,501-750,,10022.0,0.0,108.0
P.S. 038 The Pacific,"{'latitude': '40.698923', 'longitude': '-73.400256', 'human_address': '{""address"": ""450 PACIFIC STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,501-750,,11217.0,0.0,39.0
P.S. K315,"{'latitude': '40.633264', 'longitude': '-73.9544', 'human_address': '{""address"": ""2310 GLENWOOD ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",0.0,1251-1500,26.0,11210.0,0.0,772.0
P.S. 029 Bardwell,"{'latitude': '40.61358', 'longitude': '-74.116167', 'human_address': '{""address"": ""1581 VICTORY BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1251-1500,13.0,10314.0,0.0,147.0
P.S. 130 Abram Stevens Hewitt,"{'latitude': '40.052985', 'longitude': '-77.542255', 'human_address': '{""address"": ""750 PROSPECT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,1501-1750,,10455.0,3.0,85.0
226 BRISTOL STREET CONSOLIDATED LOCATION,"{'latitude': '42.881722', 'longitude': '-78.848003', 'human_address': '{""address"": ""226 BRISTOL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,1-250,,11212.0,,924.0
ESPERANZA PREPARATORY ACADEMY,"{'latitude': '42.938054', 'longitude': '-78.902013', 'human_address': '{""address"": ""240 EAST 109 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,,10029.0,,170.0
Brooklyn Studio Secondary School,"{'latitude': '37.503577', 'longitude': '-99.374642', 'human_address': '{""address"": ""8310 21ST AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,,11214.0,1.0,288.0
P.S. 222 Katherine R. Snyder,"{'latitude': '40.613421', 'longitude': '-73.938675', 'human_address': '{""address"": ""3301 QUENTIN ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,251-500,8.0,11234.0,0.0,646.0
Life Sciences Secondary School,"{'latitude': '40.783529', 'longitude': '-73.945399', 'human_address': '{""address"": ""320 EAST 96 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,501-750,1.0,10128.0,,15601.0
Urban Assembly Maker Academy,"{'latitude': '37.010915', 'longitude': '-86.446631', 'human_address': '{""address"": ""411 PEARL STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,4000+,,10038.0,0.0,29.0
