latitude,longitude,nta,nocrim_n,school_year,register,schools_in_building,nypd_site_code
40.67944,-73.932407,Crown Heights North                                                        ,,2016 - 17,265.0,Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION,193.0
40.770419,-73.951135,Lenox Hill-Roosevelt Island                                                ,0.0,2016 - 17,436.0,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,609.0
40.709647,-73.95465,North Side-South Side                                                      ,1.0,2016 - 17,606.0,Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,58.0
40.789526,-73.967574,Upper West Side                                                            ,,2016 - 17,211.0,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,587.0
40.80247,-73.946716,Central Harlem South                                                       ,1.0,2016 - 17,362.0,P.S. 146 Ann M. Short,1054.0
40.726587,-73.95427,Greenpoint                                                                 ,0.0,2016 - 17,593.0,P.S. 031 Samuel F. Dupont,204.0
40.647323,-73.892022,Canarsie                                                                   ,3.0,2016 - 17,322.0,I.S. 364 Gateway,131.0
40.691146,-73.868328,park-cemetery-etc-Brooklyn                                                 ,,2016 - 17,230.0,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,315.0
40.815458,-73.952908,Manhattanville                                                             ,,2016 - 17,598.0,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,1065.0
40.818232,-73.919867,Melrose South-Mott Haven North                                             ,,2016 - 17,,Bronx Haven High School |  Bronx Design and Construction Academy |  Alfred E. Smith Campus YABC |  Alfred E. Smith Career and Technical Education Hig |  333 EAST 151 STREET CONSOLIDATED LOCATION,448.0
40.667377,-73.908214,Brownsville                                                                ,7.0,2016 - 17,821.0,P.S. 282 Park Slope,290.0
40.633237,-73.952929,Flatbush                                                                   ,20.0,2016 - 17,1902.0,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,1162.0
40.685492,-73.729982,Cambria Heights                                                            ,0.0,2016 - 17,945.0,P.S. 173 Fresh Meadows,859.0
40.802419,-73.942634,East Harlem North                                                          ,2.0,2016 - 17,508.0,P.S. 076 A. Philip Randolph,657.0
40.676094,-73.935688,Crown Heights North                                                        ,5.0,2016 - 17,226.0,Olympus Academy 755 East 100 Street,
40.634875,-73.981528,Borough Park                                                               ,,2016 - 17,1004.0,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,267.0
40.718895,-73.979308,Lower East Side                                                            ,5.0,2016 - 17,540.0,P.S. 020 Anna Silver,1061.0
40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park                            ,,2016 - 17,323.0,Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,527.0
40.686076,-73.945229,Bedford                                                                    ,1.0,2016 - 17,317.0,Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION,28.0
40.694926,-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,2016 - 17,690.0,"George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION",148.0
40.673073,-73.919594,Ocean Hill                                                                 ,4.0,2016 - 17,385.0,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,54.0
40.64883,-73.907774,Canarsie                                                                   ,2.0,2016 - 17,814.0,P.S. 66,156.0
40.692642,-73.958794,Clinton Hill                                                               ,,2016 - 17,203.0,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",86.0
40.663701,-73.936049,Crown Heights South                                                        ,7.0,2016 - 17,1489.0,J.H.S. 220 John J. Pershing,24.0
40.732447,-73.983031,Gramercy                                                                   ,,2016 - 17,411.0,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,539.0
40.815016,-73.945123,Central Harlem North-Polo Grounds                                          ,1.0,2016 - 17,1808.0,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,1069.0
40.681268,-73.884063,Cypress Hills-City Line                                                    ,0.0,2016 - 17,996.0,P.S. 108 Sal Abbracciamento,221.0
40.802917,-73.965613,Morningside Heights                                                        ,,2016 - 17,246.0,M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION,613.0
40.708723,-73.940002,Bushwick South                                                             ,,2016 - 17,357.0,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,251.0
40.582533,-73.973132,West Brighton                                                              ,3.0,2016 - 17,2025.0,I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION,28.0
40.846542,-73.935205,Washington Heights South                                                   ,0.0,2016 - 17,443.0,East Side Middle School,596.0
40.845469,-73.940468,Washington Heights South                                                   ,,2016 - 17,387.0,P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION,617.0
40.621507,-73.950473,Midwood                                                                    ,0.0,2016 - 17,693.0,P.S. 192 - The Magnet School for Math and Science,103.0
40.735494,-73.987659,Gramercy                                                                   ,,2016 - 17,,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,706.0
40.71466,-73.946108,East Williamsburg                                                          ,0.0,2016 - 17,1040.0,P.S. 131 Brooklyn,230.0
40.672462,-73.906552,Brownsville                                                                ,2.0,2016 - 17,802.0,PS/IS 30 Mary White Ovington,1100.0
40.793763,-73.949381,East Harlem South                                                          ,,2016 - 17,427.0,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,575.0
40.798884,-73.933319,East Harlem North                                                          ,,2016 - 17,959.0,Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION,559.0
40.674656,-73.927794,Crown Heights North                                                        ,,2016 - 17,281.0,P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION,154.0
40.724117,-73.986381,East Village                                                               ,0.0,2016 - 17,1012.0,The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION,663.0
40.718383,-73.984452,Lower East Side                                                            ,7.0,2016 - 17,382.0,P.S. 140 Nathan Straus,533.0
40.627029,-73.989672,Borough Park                                                               ,,2016 - 17,1160.0,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,101.0
40.797467,-73.930868,East Harlem North                                                          ,0.0,2016 - 17,884.0,P.S. 199 Jessie Isador Straus,560.0
40.696733,-73.943652,Stuyvesant Heights                                                         ,,2016 - 17,368.0,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,209.0
40.667456,-73.894747,East New York (Pennsylvania Ave)                                           ,,2016 - 17,466.0,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,1458.0
40.817372,-73.947712,Central Harlem North-Polo Grounds                                          ,3.0,2016 - 17,354.0,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,658.0
40.75924,-73.967203,Turtle Bay-East Midtown                                                    ,5.0,2016 - 17,2697.0,Fiorello H. LaGuardia High School of Music & Art a,1063.0
40.65843,-73.929076,Prospect Lefferts Gardens-Wingate                                          ,3.0,2016 - 17,900.0,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,166.0
40.678983,-73.976497,Park Slope-Gowanus                                                         ,,2016 - 17,166.0,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,298.0
40.72438,-73.98138,Lower East Side                                                            ,,2016 - 17,247.0,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,687.0
40.677564,-74.005166,Carroll Gardens-Columbia Street-Red Hook                                   ,,2016 - 17,327.0,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,1057.0
40.670349,-73.961695,Crown Heights South                                                        ,,2016 - 17,420.0,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,140.0
40.714201,-73.995087,Chinatown                                                                  ,9.0,2016 - 17,518.0,P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5,556.0
40.809672,-73.939872,Central Harlem North-Polo Grounds                                          ,0.0,2016 - 17,656.0,Dos Puentes Elementary School | P.S. 132 Juan Pable Duarte| 185 WADSWORTH AVENUE CONSOLIDATED LOCATION,695.0
40.7244,-74.004625,SoHo-TriBeCa-Civic Center-Little Italy                                     ,13.0,2016 - 17,1671.0,The High School of Fashion Industries,674.0
40.687466,-73.988288,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,0.0,2016 - 17,228.0,The Fresh Creek School,1332.0
40.670986,-73.908194,Brownsville                                                                ,,2016 - 17,218.0,P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION,182.0
40.765359,-73.960059,Lenox Hill-Roosevelt Island                                                ,,2016 - 17,459.0,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,1367.0
40.705204,-73.939407,Bushwick South                                                             ,3.0,2016 - 17,712.0,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,92.0
40.720581,-73.985645,Chinatown                                                                  ,,2016 - 17,283.0,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,661.0
40.697781,-73.947809,Bedford                                                                    ,4.0,2016 - 17,325.0,Evergreen Middle School for Urban Exploration,182.0
40.721981,-73.953281,North Side-South Side                                                      ,,2016 - 17,114.0,Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,15.0
40.669629,-73.979287,Park Slope-Gowanus                                                         ,,2016 - 17,421.0,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,138.0
40.823289,-73.907948,Morrisania-Melrose                                                         ,,2016 - 17,389.0,P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION,399.0
40.669001,-73.934635,Crown Heights North                                                        ,0.0,2016 - 17,471.0,New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION,22.0
,,,2.0,2016 - 17,1428.0,P.S. 102 The Bayview,218.0
40.802917,-73.965613,Morningside Heights                                                        ,6.0,2016 - 17,246.0,M.S. 328 - Manhattan Middle School for Scientific |  401 WEST 164 STREET CONSOLIDATED LOCATION,613.0
40.668856,-73.911499,Brownsville                                                                ,1.0,2016 - 17,682.0,P.S. 109,44.0
40.685004,-73.947152,Bedford                                                                    ,,2016 - 17,328.0,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION ,5.0
40.855698,-73.882715,Belmont                                                                    ,,2016 - 17,455.0,"H.E.R.O. High (Health, Education, and Research Occ |  Mott Haven Community High School |  Samuel Gompers Career and Technical Education High |  New Visions Charter High School for the Humanities455 SOUTHERN BLVD CONSOLIDATED LOCATION",448.0
40.601617,-73.959779,Homecrest                                                                  ,,2016 - 17,657.0,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,95.0
40.801007,-73.939349,East Harlem North                                                          ,,2016 - 17,375.0,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,676.0
40.790543,-73.944356,East Harlem South                                                          ,,2016 - 17,542.0,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",537.0
40.798884,-73.933319,East Harlem North                                                          ,,2016 - 17,161.0,Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION,559.0
40.774351,-73.984753,Lincoln Square                                                             ,,2016 - 17,408.0,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",537.0
40.725098,-73.845091,Forest Hills                                                               ,1.0,2016 - 17,508.0,SPRUCE STREET SCHOOL,1266.0
40.719819,-73.948625,Greenpoint                                                                 ,,2016 - 17,323.0,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,227.0
40.64859,-73.957138,Erasmus                                                                    ,0.0,2016 - 17,738.0,P.S. 006,199.0
40.696733,-73.943652,Stuyvesant Heights                                                         ,1.0,2016 - 17,686.0,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,209.0
40.813641,-73.925313,Mott Haven-Port Morris                                                     ,2.0,2016 - 17,880.0,M.S. 180 Dr. Daniel Hale Williams,342.0
40.711549,-73.986542,Lower East Side                                                            ,19.0,2016 - 17,783.0,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,603.0
40.623561,-73.946279,Midwood                                                                    ,0.0,2016 - 17,1270.0,Mark Twain I.S. 239 for the Gifted & Talented,1401.0
40.574607,-73.996292,Seagate-Coney Island                                                       ,1.0,2016 - 17,668.0,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,950.0
40.674656,-73.927794,Crown Heights North                                                        ,,2016 - 17,78.0,P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION,154.0
40.634085,-73.907925,Canarsie                                                                   ,,2016 - 17,792.0,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,25.0
40.675766,-73.869469,East New York                                                              ,0.0,2016 - 17,612.0,P.S. 158 Warwick,97.0
40.785803,-73.974614,Upper West Side                                                            ,,2016 - 17,460.0,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,709.0
40.735161,-73.982027,Gramercy                                                                   ,,2016 - 17,390.0,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,578.0
40.66011,-73.885387,East New York                                                              ,2.0,2016 - 17,371.0,P.S. 165 Ida Posner,240.0
40.694018,-73.915263,Bushwick South                                                             ,,2016 - 17,375.0,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,195.0
40.691146,-73.868328,park-cemetery-etc-Brooklyn                                                 ,,2016 - 17,215.0,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,315.0
40.681572,-73.945446,Bedford                                                                    ,,2016 - 17,293.0,P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION,284.0
40.646599,-73.878441,Starrett City                                                              ,12.0,2016 - 17,284.0,Bushwick Leaders High School for Academic Excellence ,233.0
40.65843,-73.929076,Prospect Lefferts Gardens-Wingate                                          ,,2016 - 17,127.0,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,166.0
40.79564,-73.94441,East Harlem South                                                          ,4.0,2016 - 17,1449.0,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,591.0
40.795157,-73.973292,Upper West Side                                                            ,6.0,2016 - 17,687.0,The Lexington Academy,543.0
40.64629,-74.001903,Sunset Park East                                                           ,,2016 - 17,471.0,P.S. 167 The Parkway|  New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION,22.0
40.788952,-73.944538,East Harlem South                                                          ,3.0,2016 - 17,1128.0,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,692.0
40.81027,-73.957482,Morningside Heights                                                        ,1.0,2016 - 17,350.0,P.S. 034 Franklin D. Roosevelt,578.0
40.64726,-73.881114,Starrett City                                                              ,,2016 - 17,324.0,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,190.0
40.716778,-73.989337,Chinatown                                                                  ,,2016 - 17,354.0,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",654.0
40.739178,-73.9955,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,2016 - 17,386.0,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,637.0
40.594291,-73.98577,Gravesend                                                                  ,,2016 - 17,273.0,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,1162.0
40.57752,-73.969517,West Brighton                                                              ,,2016 - 17,,P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION,1094.0
40.667456,-73.894747,East New York (Pennsylvania Ave)                                           ,,2016 - 17,,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,1458.0
40.85899,-73.922894,Marble Hill-Inwood                                                         ,1.0,2016 - 17,610.0,P.S. 004 Duke Ellington,
40.665035,-73.959031,Crown Heights South                                                        ,0.0,2016 - 17,130.0,P.S. 319,1062.0
40.659966,-73.904901,Brownsville                                                                ,,2016 - 17,115.0,Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION,247.0
40.658893,-73.942458,Prospect Lefferts Gardens-Wingate                                          ,,2016 - 17,246.0,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",149.0
40.651977,-74.006862,Sunset Park West                                                           ,,2016 - 17,486.0,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,1037.0
40.732447,-73.983031,Gramercy                                                                   ,,2016 - 17,268.0,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,562.0
40.606792,-74.00806,Bath Beach                                                                 ,10.0,2016 - 17,268.0,Khalil Gibran International Academy,147.0
40.577208,-73.985953,Seagate-Coney Island                                                       ,0.0,2016 - 17,509.0,P.S. K721 - Brooklyn Occupational Training Center,7.0
40.716778,-73.989337,Chinatown                                                                  ,,2016 - 17,352.0,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",654.0
40.70644,-74.017818,Battery Park City-Lower Manhattan                                          ,0.0,2016 - 17,401.0,"East Side Elementary School, PS 267",546.0
40.866706,-73.923948,Marble Hill-Inwood                                                         ,1.0,2016 - 17,703.0,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,545.0
40.765184,-73.992953,Clinton                                                                    ,10.0,2016 - 17,1291.0,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,534.0
