hospitalized_count,qn_hospitalized_count_7day_avg,qn_probable_case_count_7day_avg,bk_hospitalized_count_7day_avg,qn_hospitalized_count,bx_case_count_7day_avg,mn_death_count_7day_avg,qn_case_count,bx_probable_case_count_7day_avg,bx_probable_case_count,si_all_case_count_7day_avg,all_case_count_7day_avg
173,36,191,45,37,495,3,933,160,81,228,3598
22,9,24,7,1,56,1,90,14,8,37,845
144,30,167,44,35,333,2,658,125,135,167,2581
1353,505,60,433,426,1265,97,1560,40,39,469,5403
261,80,288,88,73,468,10,736,173,134,283,3816
88,18,138,17,17,204,1,759,70,80,179,2674
184,46,248,52,56,554,2,1143,202,235,292,4643
110,36,126,29,33,200,2,475,68,95,166,1849
25,8,13,11,3,41,1,43,15,18,22,245
34,7,5,12,6,52,1,58,2,4,18,267
173,54,232,50,46,464,3,517,139,111,405,3472
157,38,169,43,53,323,3,794,109,111,131,2553
143,36,163,41,43,320,2,669,114,150,148,2494
166,55,6,59,42,269,25,344,6,7,62,1260
65,16,33,20,12,66,2,111,27,23,45,512
26,9,10,14,9,60,1,61,8,10,31,505
22,6,16,6,3,42,1,104,9,8,32,650
38,15,27,19,13,61,2,68,24,26,40,469
87,24,155,36,17,387,1,483,110,73,275,3846
519,194,33,175,154,784,62,1109,24,19,204,3241
276,76,253,90,81,558,7,874,150,100,402,4205
118,30,120,33,36,231,1,515,90,121,116,1947
84,27,220,28,26,369,1,635,132,124,315,4312
135,33,118,33,37,238,1,553,86,95,162,2014
143,38,231,42,34,521,3,891,189,154,270,4024
91,34,90,40,28,166,4,274,67,63,116,1380
90,28,79,34,29,147,4,268,62,60,102,1215
128,29,135,33,31,310,2,677,98,92,197,2915
203,44,197,46,61,377,1,1575,120,220,316,4289
401,95,232,109,96,626,12,770,191,113,243,4151
98,26,73,34,23,140,3,239,57,39,99,1159
123,28,98,36,25,248,1,347,82,87,160,1970
310,113,351,108,96,948,8,1019,235,220,570,6346
159,32,178,43,24,457,2,925,146,172,224,3335
111,33,121,35,35,234,1,497,84,76,173,2047
207,70,222,72,63,392,7,733,140,119,283,3290
89,23,106,25,24,181,1,365,74,90,148,1732
144,58,103,78,37,410,14,364,61,33,248,3680
112,32,100,39,25,229,2,304,69,55,166,1922
7,0,0,0,2,0,0,1,0,0,0,0
53,12,84,16,11,109,1,353,55,67,104,1323
423,74,475,95,99,1520,3,5987,352,634,833,16386
208,88,307,92,76,516,8,545,182,122,330,4152
151,42,53,54,43,260,13,426,33,18,142,2079
140,33,106,36,40,236,2,394,69,93,175,1931
255,77,283,83,68,538,10,806,186,181,281,3860
163,42,165,40,48,334,2,506,108,118,295,2539
282,79,282,77,85,513,12,915,179,183,281,3816
198,59,189,64,55,308,6,564,123,138,222,2664
74,16,35,23,19,81,0,154,20,22,48,665
2,0,0,0,0,0,0,2,0,0,0,0
71,14,67,16,18,116,1,296,50,64,102,1223
74,24,2,29,21,179,9,138,1,0,42,850
328,83,291,92,105,488,9,1115,178,233,300,3934
397,112,335,110,103,908,8,1540,225,235,521,6070
