bx_hospitalized_count_7day_avg,incomplete,case_count,probable_case_count,si_case_count_7day_avg,mn_probable_case_count,qn_death_count_7day_avg,bk_death_count,bx_hospitalized_count,bk_case_count_7day_avg,hosp_count_7day_avg,si_probable_case_count_7day_avg
8,0,333,25,13,2,1,1,9,77,30,1
8,0,1310,368,90,94,2,3,13,370,47,22
27,0,1643,423,140,104,3,5,25,495,113,25
37,0,13167,1957,353,660,5,1,50,1902,175,52
11,0,196,13,13,1,10,5,4,95,54,0
7,0,681,86,30,32,3,3,5,168,31,6
15,0,956,339,122,48,3,1,17,523,91,33
8,0,906,259,52,56,2,3,6,264,40,12
30,0,3112,828,188,175,3,3,33,899,132,37
21,0,1148,415,191,76,3,1,15,439,122,46
30,0,1541,513,112,106,5,6,24,613,137,33
43,0,2575,749,222,122,15,21,38,804,236,57
10,0,2350,449,125,132,1,2,10,568,49,17
8,0,233,14,20,3,3,4,4,100,40,1
26,0,852,320,129,47,12,11,21,466,147,38
100,0,2639,7,173,1,7,14,158,831,504,1
9,0,337,75,37,28,6,1,5,165,41,5
21,0,1852,504,112,95,4,6,30,452,113,44
63,0,5305,1089,506,167,17,16,62,1505,355,98
22,0,1500,447,147,104,3,5,26,417,123,33
68,0,3624,973,182,166,21,27,80,878,303,50
124,0,9036,974,673,162,32,32,98,3451,552,79
17,0,3999,747,254,183,2,6,21,1014,91,47
11,0,1110,273,85,46,4,2,14,379,59,20
0,0,0,0,0,0,0,0,0,0,0,0
13,0,1619,445,154,125,2,0,14,736,71,29
263,0,55058,5871,2647,972,16,28,348,11598,1004,223
8,0,2305,392,126,144,1,2,7,587,47,17
22,0,2060,542,173,117,4,3,16,795,125,35
70,0,3474,974,208,151,20,25,70,938,313,48
6,0,257,76,28,17,3,3,11,87,42,7
8,0,288,18,13,6,1,3,8,71,34,0
52,0,2865,857,246,157,17,18,49,858,273,64
6,0,524,91,30,7,1,0,6,212,46,8
6,0,175,59,18,11,3,3,11,56,29,4
7,0,280,19,13,1,1,0,4,79,30,1
80,0,2919,1034,370,160,25,27,70,1406,394,81
10,0,361,24,13,1,6,3,11,94,49,0
47,0,3582,1076,281,148,8,6,52,853,241,71
5,0,206,44,17,8,3,4,0,51,30,5
9,0,297,22,14,1,1,1,14,63,33,1
102,0,2290,52,129,5,115,104,90,644,433,3
7,0,594,150,72,31,3,2,6,265,45,11
9,0,317,54,32,16,4,2,7,154,39,4
29,0,2298,570,110,108,5,5,33,644,138,39
20,0,1513,404,116,62,4,1,21,503,105,32
77,0,3481,910,382,130,26,22,69,1421,390,83
5,0,766,116,31,24,2,0,10,265,45,6
11,0,686,91,45,24,8,4,11,199,54,5
60,0,1512,18,85,2,71,57,64,454,244,2
18,0,3327,672,196,148,3,4,21,890,99,38
16,0,1539,470,135,107,3,2,23,324,77,61
96,0,6016,649,433,109,30,43,108,2158,395,49
116,0,17498,2492,1358,514,6,19,144,7101,497,149
214,0,47526,5753,2440,926,11,17,301,10317,825,201
3,0,233,66,27,14,2,1,6,52,25,6
20,0,896,420,160,71,2,6,14,354,90,60
49,0,1046,595,297,85,11,14,43,929,278,71
21,0,2066,499,168,110,3,4,22,769,121,35
14,0,1975,571,219,164,1,3,8,935,82,43
36,0,3661,872,207,161,5,5,31,929,166,66
24,0,1226,123,90,29,12,14,20,418,115,11
37,0,4991,1028,258,198,2,1,46,1144,172,56
9,0,586,205,85,31,4,4,2,348,57,18
6,0,271,25,18,6,1,3,4,83,27,1
322,0,4510,205,456,26,239,241,293,1249,1487,7
33,0,10881,1745,304,555,5,7,39,1453,164,49
9,0,1047,358,65,70,2,2,12,309,39,17
12,0,1569,452,106,106,2,2,8,391,71,26
7,0,1189,271,99,96,1,3,9,535,44,15
24,0,988,316,140,66,2,7,13,483,107,25
314,0,6129,92,345,18,83,133,350,1290,1517,1
13,0,655,202,56,18,8,8,18,209,75,16
9,0,1464,413,136,84,1,0,8,562,59,28
16,0,1302,452,115,85,4,4,18,474,87,33
11,0,180,13,13,1,9,6,12,95,53,0
57,0,1397,31,76,3,68,53,56,421,230,2
36,0,2910,696,199,107,5,5,34,902,158,62
116,0,7044,722,598,127,32,35,101,3031,514,68
