school_name,ell_arabic_2,math_l3_l4_1,year,math_level_2_1,ell_korean_1,math_level_1_2,math_level_3_1,grade_4,female_1,ell_other_1,math_level_4_1,other_2,white_2,ell_french_2,other_1,math_level_3_2,white_1,ell_russian_2,female_2,math_level_2_2,ell_russian_1,asian_2,hispanic_2,ela_test_takers,black_2,ela_level_3_1
P.S. 095 Sheila Mencher,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Liberty Avenue Middle School,No Data,s,2016-17,11,No Data,66.7%,s,No Data,21,No Data,s,s,s,No Data,s,s,s,No Data,53.8%,30.6%,No Data,s,100.0%,39,s,s
Professor Juan Bosch Public School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 001 Alfred E. Smith,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,39,No Data,No Data,s,s,No Data,s,No Data,s,No Data,52.7%,No Data,No Data,67.6%,16.2%,No Data,12.2%,No Data
P.S. 115 Alexander Humboldt,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 073 Bronx,No Data,s,2016-17,11,No Data,69.8%,s,22,57,No Data,s,s,s,No Data,s,s,s,No Data,48.7%,20.8%,No Data,s,100.0%,46,s,s
P.S. 112 Jose Celso Barbosa,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,16,s,No Data,s,s,s,s,No Data,s,s,36.4%,No Data,s,s,100.0%,No Data,s,No Data
P.S. 015 Patrick F. Daly,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
J.H.S. 143 Eleanor Roosevelt,s,s,2016-17,s,s,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
P.S./I.S. 137 Rachel Jean Mitchell,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
Soundview Academy for Culture and Scholarship,No Data,s,2016-17,41,No Data,37.6%,s,No Data,52,No Data,s,s,s,No Data,s,s,s,No Data,59.8%,48.2%,No Data,s,98.9%,81,s,s
P.S./I.S. 157 The Benjamin Franklin Health & Scien,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,6,No Data,No Data,s,s,No Data,s,No Data,s,No Data,50.0%,No Data,No Data,s,58.3%,No Data,s,No Data
M.S. 319 - Maria Teresa,s,s,2016-17,s,s,s,s,No Data,9,s,s,s,s,s,s,s,s,s,50.0%,s,s,s,100.0%,14,s,s
P.S. 345 Patrolman Robert Bolden,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,25,No Data,No Data,s,s,No Data,s,No Data,s,No Data,64.1%,No Data,No Data,s,74.4%,No Data,23.1%,No Data
Corona Arts & Sciences Academy,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 143 Louis Armstrong,No Data,15,2016-17,9,No Data,20.0%,9,13,25,No Data,6,s,s,No Data,s,30.0%,s,No Data,59.5%,30.0%,No Data,s,97.6%,29,s,s
P.S. 065,s,s,2016-17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
P.S. 163 Flushing Heights,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,100.0%,s,6,s,s
The New American Academy at Roberto Clemente State,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 058 The Carroll,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,73.3%,No Data,s,s,11,No Data,s,s,No Data,s,s,9,s,s
P.S. 024 Andrew Jackson,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 084 Lillian Weber,No Data,38,2016-17,s,No Data,s,20,13,45,No Data,18,s,43.2%,No Data,s,39.2%,35,No Data,55.6%,s,No Data,s,39.5%,51,8.6%,15
P.S. 047 John Randolph,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,No Data,s,No Data
P.S. 200- The James Mccune Smith School,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S./I.S. 157 The Benjamin Franklin Health & Scien,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,11,No Data,No Data,s,s,No Data,s,No Data,s,No Data,47.8%,No Data,No Data,s,73.9%,No Data,s,No Data
Lucero Elementary School,s,s,2016-17,24,s,45.6%,s,24,82,s,s,s,s,s,s,s,s,s,49.7%,42.1%,s,s,98.2%,55,s,s
P.S. 011 Highbridge,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,69,No Data,No Data,s,s,No Data,s,No Data,s,No Data,58.0%,No Data,No Data,s,87.4%,No Data,12.6%,No Data
P.S. 090 Horace Mann,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 345 Patrolman Robert Bolden,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,25,No Data,No Data,s,s,No Data,s,No Data,s,No Data,64.1%,No Data,No Data,s,74.4%,No Data,23.1%,No Data
P.S. 089 Cypress Hills,No Data,s,2016-17,11,No Data,81.7%,s,9,39,No Data,s,s,s,No Data,s,s,s,No Data,39.4%,15.5%,No Data,s,97.0%,71,s,s
Community Math & Science Prep,No Data,s,2016-17,11,No Data,78.3%,s,No Data,27,No Data,s,s,s,No Data,s,s,s,No Data,43.5%,18.3%,No Data,s,100.0%,37,s,s
P.S. 054 Samuel C. Barnes,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 020 Anna Silver,No Data,48,2016-17,15,No Data,14.9%,24,25,90,No Data,24,4.9%,6.8%,No Data,8,32.4%,11,No Data,55.6%,20.3%,No Data,56.8%,25.3%,72,6.2%,22
P.S. 112 Jose Celso Barbosa,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,100.0%,No Data,s,No Data
Amistad Dual Language School,No Data,s,2016-17,9,No Data,s,6,s,20,No Data,s,s,s,No Data,s,25.0%,s,No Data,60.6%,37.5%,No Data,s,97.0%,24,s,6
P.S. 380 John Wayne Elementary,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 065,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Urban Science Academy,s,s,2016-17,s,s,81.0%,s,No Data,10,s,s,s,s,s,s,s,s,s,47.6%,s,s,s,100.0%,21,s,s
P.S. 310 Marble Hill,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Bedford Park Elementary School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
"The Brooklyn New School, P.S. 146",No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 070 Max Schoenfeld,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,22,No Data,No Data,s,s,No Data,s,No Data,s,No Data,48.9%,No Data,No Data,s,77.8%,No Data,20.0%,No Data
P.S. 110 The Monitor,s,s,2016-17,s,s,s,s,No Data,s,s,s,s,100.0%,88.9%,s,s,9,s,s,s,s,s,s,s,s,s
P.S. 276 Louis Marshall,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 161 Pedro Albizu Campos,s,s,2016-17,23,s,46.0%,s,s,47,s,s,s,s,s,s,s,s,s,50.0%,36.5%,s,s,100.0%,60,s,s
P.S. 030 Wilton,No Data,s,2016-17,19,No Data,38.9%,s,18,52,No Data,s,s,s,No Data,s,s,s,No Data,50.5%,35.2%,No Data,s,96.1%,54,s,s
P.S. 276 Louis Marshall,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 023 The New Children's School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 196 Ten Eyck,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,32,No Data,No Data,s,s,No Data,s,No Data,s,No Data,47.8%,No Data,No Data,s,92.5%,No Data,s,No Data
P.S./I.S. 54,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,s,s,s
School for Global Leaders,No Data,s,2016-17,s,No Data,s,s,No Data,6,No Data,s,s,s,No Data,s,s,s,No Data,42.9%,s,No Data,92.9%,s,12,s,s
P.S. 200- The James Mccune Smith School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
M.S. 223 The Laboratory School of Finance and Tech,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
"P.S. 145, The Bloomingdale School",No Data,s,2016-17,12,No Data,36.8%,s,14,46,No Data,s,s,s,No Data,s,s,s,No Data,65.7%,31.6%,No Data,s,71.4%,38,18.6%,s
P.S. 189 The Bilingual Center,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Corona Arts & Sciences Academy,No Data,s,2016-17,43,No Data,27.3%,s,No Data,50,No Data,s,s,s,No Data,s,s,s,No Data,56.8%,48.9%,No Data,s,100.0%,80,s,20
P.S. 024,No Data,s,2016-17,s,No Data,s,s,s,12,No Data,s,s,s,No Data,s,s,s,No Data,60.0%,s,No Data,s,95.0%,11,s,s
P.S. 049 Willis Avenue,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,9,No Data,No Data,s,s,No Data,s,No Data,s,No Data,50.0%,No Data,No Data,s,100.0%,No Data,s,No Data
Washington Heights Academy,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 165 Robert E. Simon,No Data,s,2016-17,17,No Data,33.3%,s,10,37,No Data,s,s,s,No Data,s,s,s,No Data,53.6%,35.4%,No Data,s,97.1%,45,s,s
Brooklyn Arts and Science Elementary School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 197 The Ocean School,No Data,s,2016-17,23,No Data,29.4%,s,18,60,No Data,s,s,s,No Data,s,s,s,No Data,49.6%,45.1%,No Data,s,78.5%,49,17.4%,s
Soundview Academy for Culture and Scholarship,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,9,s,s
P.S. 161 Pedro Albizu Campos,No Data,35,2016-17,47,No Data,32.2%,25,16,94,No Data,10,s,s,No Data,s,20.7%,s,No Data,53.1%,38.8%,No Data,s,99.4%,119,s,s
P.S. 380 John Wayne Elementary,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,100.0%,No Data,s,No Data
Brooklyn Arbor Elementary School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,s,s,s
P.S. 020 Clinton Hill,No Data,s,2016-17,s,No Data,s,s,No Data,12,No Data,s,s,s,No Data,s,s,s,No Data,54.5%,s,No Data,s,s,s,63.6%,s
P.S. 109 Sedgwick,No Data,s,2016-17,s,No Data,85.7%,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,92.9%,s,s,s
P.S. 214 Michael Friedsam,No Data,s,2016-17,s,No Data,s,s,No Data,39,No Data,s,s,s,No Data,s,s,s,No Data,52.7%,s,No Data,33.8%,56.8%,s,9.5%,s
Elm Tree Elementary School,No Data,s,2016-17,s,No Data,s,s,No Data,9,No Data,s,s,s,No Data,s,s,s,No Data,36.0%,s,No Data,s,100.0%,s,s,s
P.S. 128 Audubon,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,21,s,No Data,s,s,s,s,No Data,s,s,48.8%,No Data,s,s,100.0%,No Data,s,No Data
Urban Science Academy,No Data,s,2016-17,12,No Data,66.7%,s,No Data,20,No Data,s,s,s,No Data,s,s,s,No Data,51.3%,30.8%,No Data,s,100.0%,39,s,s
P.S. 396,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
Sheridan Academy for Young Leaders,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,67,No Data,No Data,s,s,No Data,s,No Data,s,No Data,69.1%,No Data,No Data,s,85.6%,No Data,14.4%,No Data
P.S. 506: The School of Journalism & Technology,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 094 The Henry Longfellow,No Data,19,2016-17,8,No Data,18.2%,6,8,25,No Data,13,s,s,No Data,s,18.2%,s,No Data,50.0%,24.2%,No Data,56.0%,44.0%,33,s,9
P.S. 087 William Sherman,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,8,s,s
P.S. 154 Jonathan D. Hyatt,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 019 Marino Jeantet,No Data,70,2016-17,74,No Data,18.2%,46,62,213,No Data,24,s,s,No Data,s,26.1%,s,No Data,50.2%,42.0%,No Data,s,98.6%,172,s,50
P.S. 029 John M. Harrigan,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 094 The Henry Longfellow,No Data,259,2016-17,92,No Data,22.3%,94,155,496,No Data,165,s,s,No Data,s,20.8%,s,No Data,51.2%,20.4%,No Data,63.6%,35.4%,446,s,116
P.S. 110 The Monitor,No Data,24,2016-17,8,No Data,15.8%,18,No Data,76,No Data,6,s,82.1%,No Data,s,47.4%,128,No Data,48.7%,21.1%,No Data,s,9.0%,38,s,21
"P.S. 145, The Bloomingdale School",No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,88.9%,6,s,s
P.S. 188 The Island School,s,s,2016-17,s,s,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,80.0%,s,s,s
P.S. 506: The School of Journalism & Technology,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,23,No Data,No Data,s,s,No Data,s,No Data,s,No Data,51.1%,No Data,No Data,s,86.7%,No Data,s,No Data
The SEEALL Academy,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 009 Teunis G. Bergen,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 001 Alfred E. Smith,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 063 Author's Academy,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 019 Marino Jeantet,No Data,s,2016-17,s,No Data,s,s,s,17,No Data,s,s,s,No Data,s,s,s,No Data,37.0%,s,No Data,s,97.8%,s,s,s
P.S. 046 Edgar Allan Poe,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 048 P.O. Michael J. Buczek,No Data,s,2016-17,24,No Data,31.0%,s,25,62,No Data,s,s,s,No Data,s,s,s,No Data,47.0%,33.8%,No Data,s,98.5%,69,s,s
P.S. 015 Patrick F. Daly,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S./I.S. 54,No Data,s,2016-17,19,No Data,53.2%,s,27,68,No Data,s,s,s,No Data,s,s,s,No Data,55.3%,40.4%,No Data,s,95.9%,45,s,s
M.S. 390,s,s,2016-17,s,s,79.2%,s,No Data,8,s,s,s,s,s,s,s,s,s,33.3%,s,s,s,100.0%,23,s,s
Ralph A. Fabrizio School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
J.H.S. 218 James P. Sinnott,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
M.S. 113 Ronald Edmonds Learning Center,No Data,s,2016-17,s,No Data,s,s,No Data,7,No Data,s,s,s,No Data,s,s,s,No Data,53.8%,s,No Data,s,76.9%,13,s,s
Dos Puentes Elementary School,No Data,s,2016-17,s,No Data,66.7%,s,No Data,13,No Data,s,s,s,No Data,s,s,s,No Data,35.1%,s,No Data,s,97.3%,12,s,s
P.S. 046 Edgar Allan Poe,s,s,2016-17,25,s,50.8%,s,27,67,s,s,s,s,s,s,s,s,s,55.8%,38.5%,s,s,99.2%,62,s,s
P.S. 089 Elmhurst,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
Castle Bridge School,No Data,s,2016-17,s,No Data,s,s,41,60,No Data,7,s,18.2%,No Data,s,s,22,No Data,49.6%,s,No Data,s,62.8%,17,13.2%,6
P.S. 132 Juan Pablo Duarte,No Data,s,2016-17,20,No Data,44.8%,s,25,76,No Data,s,s,s,No Data,s,s,s,No Data,56.7%,29.9%,No Data,s,100.0%,60,s,16
I.S. 228 David A. Boody,No Data,78,2016-17,52,No Data,7.1%,46,No Data,96,No Data,32,s,47.5%,No Data,s,32.9%,75,No Data,60.8%,37.1%,No Data,22.2%,26.6%,151,s,84
P.S. 018 John Peter Zenger,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,11,s,No Data,s,s,s,s,No Data,s,s,40.7%,No Data,s,s,85.2%,No Data,s,No Data
P.S. 048 P.O. Michael J. Buczek,s,s,2016-17,12,s,42.9%,s,10,26,s,s,s,s,s,s,s,s,s,37.1%,34.3%,s,s,100.0%,33,s,s
Sunset Park Avenues Elementary School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,51,No Data,No Data,s,s,No Data,s,No Data,s,No Data,52.0%,No Data,No Data,s,99.0%,No Data,s,No Data
P.S. X114 - Luis Llorens Torres Schools,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. X088 - S. Silverstein Little Sparrow School,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 205 Fiorello Laguardia,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 143 Louis Armstrong,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,100.0%,7,s,s
Brooklyn Arbor Elementary School,No Data,s,2016-17,s,No Data,s,s,s,9,No Data,s,s,s,No Data,s,s,s,No Data,60.0%,s,No Data,s,80.0%,10,s,s
P.S. 161 Juan Ponce De Leon School,s,s,2016-17,7,s,55.6%,s,10,26,s,s,s,s,s,s,s,s,s,41.3%,25.9%,s,s,98.4%,26,s,s
P.S. 184m Shuang Wen,No Data,s,2016-17,s,No Data,s,s,s,12,No Data,8,s,s,No Data,s,s,s,No Data,41.4%,s,No Data,75.9%,24.1%,15,s,s
P.S. 095 Sheila Mencher,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 046 Edward C. Blum,No Data,s,2016-17,15,No Data,33.3%,s,13,43,No Data,s,s,s,No Data,s,s,s,No Data,53.1%,41.7%,No Data,s,74.1%,35,25.9%,11
The Angelo Patri Middle School,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,No Data,s,No Data
P.S. 81Q Jean Paul Richter,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 030 Wilton,s,s,2016-17,s,s,60.0%,s,10,18,s,s,s,s,s,s,s,s,s,47.4%,s,s,s,97.4%,20,s,s
Urban Science Academy,No Data,s,2016-17,12,No Data,66.7%,s,No Data,20,No Data,s,s,s,No Data,s,s,s,No Data,51.3%,30.8%,No Data,s,100.0%,39,s,s
P.S. 152 Evergreen,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data
P.S. 059 William Floyd,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,61.5%,s
P.S. 188 The Island School,No Data,s,2016-17,s,No Data,s,s,No Data,10,No Data,s,s,s,No Data,s,s,s,No Data,41.7%,s,No Data,s,62.5%,8,33.3%,s
P.S. 153 Adam Clayton Powell,No Data,s,2016-17,s,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,90.0%,s,s,s
The Family School,No Data,s,2016-17,s,No Data,s,s,7,14,No Data,s,s,s,No Data,s,s,s,No Data,53.8%,s,No Data,s,96.2%,13,s,s
P.S. 184m Shuang Wen,No Data,66,2016-17,s,No Data,s,15,17,49,No Data,51,s,8.0%,No Data,s,19.0%,8,No Data,49.0%,s,No Data,80.0%,7.0%,79,s,25
P.S. 5 Port Morris,No Data,No Data,2016-17,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s,s,No Data,s,No Data,s,No Data,s,No Data,No Data,s,s,No Data,s,No Data
P.S. 046 Alley Pond,No Data,s,2016-17,s,No Data,s,s,No Data,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,s,s,s,s,s
P.S. 098 Shorac Kappock,No Data,s,2016-17,9,No Data,67.5%,s,14,29,No Data,s,s,s,No Data,s,s,s,No Data,42.6%,22.5%,No Data,s,98.5%,40,s,s
Elm Tree Elementary School,No Data,s,2016-17,s,No Data,s,9,No Data,82,No Data,s,s,s,No Data,s,32.1%,s,No Data,51.6%,s,No Data,s,99.4%,28,s,12
P.S. 238 Anne Sullivan,s,No Data,2016-17,No Data,s,No Data,No Data,No Data,10,s,No Data,s,s,s,s,No Data,s,s,50.0%,No Data,s,s,100.0%,No Data,s,No Data
