beds,council_district,community_district_1,tier_3_support_location_name,highschool_network,borough_block_lot,administrative_district_code,open_date
332300010747,37,316,,,3036930001,23,2010-07-01T00:00:00.000
331500010136,38,307,NYCDOE Borough Office - Brooklyn North,,3007130020,15,1901-07-01T00:00:00.000
310600010018,10,112,NYCDOE Borough Office - Manhattan,,1022150824,6,1993-03-10T00:00:00.000
310300010149,9,110,NYCDOE Borough Office - Manhattan,,1016010001,3,1990-12-04T00:00:00.000
331300011499,35,308,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3011410005,13,1996-04-25T00:00:00.000
310400860849,8,111,,,1017970100,84,2005-07-01T00:00:00.000
332200010139,40,314,NYCDOE Borough Office - Brooklyn South,,3051440064,22,1902-07-01T00:00:00.000
332200010152,45,314,NYCDOE Borough Office - Brooklyn South,,3075510026,22,1907-07-01T00:00:00.000
307500011169,4,108,D75 CITYWIDE BCO,,1015167502,75,1973-07-01T00:00:00.000
331700010061,40,309,NYCDOE Borough Office - Brooklyn South,,3013160015,17,1958-07-01T00:00:00.000
310300010333,6,107,NYCDOE Borough Office - Manhattan,,1012230005,3,1999-07-01T00:00:00.000
331800011415,45,317,,Contact Superintendent,3047420001,18,1930-07-01T00:00:00.000
331800010219,41,317,NYCDOE Borough Office - Brooklyn South,,3046480001,18,1927-07-01T00:00:00.000
331300011527,33,302,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",3001400010,13,2006-07-01T00:00:00.000
333200011556,34,304,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3032420001,32,2003-07-01T00:00:00.000
331400010050,34,301,NYCDOE Borough Office - Brooklyn North,,3024190001,14,1915-07-01T00:00:00.000
331600861095,36,303,,,3017870014,84,2016-07-01T00:00:00.000
310500010302,9,110,,,1019600001,5,2004-09-08T00:00:00.000
332000010205,47,311,NYCDOE Borough Office - Brooklyn South,,3055710001,20,1925-07-01T00:00:00.000
331300011509,33,302,,"WATTS, KAREN",3001070001,13,1999-07-01T00:00:00.000
332300860942,42,316,,,3036360007,84,2009-07-01T00:00:00.000
332000010682,44,311,NYCDOE Borough Office - Brooklyn South,,3066180001,20,2009-07-01T00:00:00.000
332300010446,42,316,NYCDOE Borough Office - Brooklyn North,,3035970011,23,2012-07-01T00:00:00.000
332200010251,46,318,NYCDOE Borough Office - Brooklyn South,,3077580001,22,1952-07-01T00:00:00.000
310300011404,6,107,NYCDOE Citywide Office - Affinity Schools,"ROTONDO, PAUL",1012150001,3,2009-07-01T00:00:00.000
333200010151,37,304,NYCDOE Borough Office - Brooklyn North,,3034060001,32,1906-07-01T00:00:00.000
310100010363,2,103,NYCDOE Borough Office - Manhattan,,1004310014,1,1999-07-01T00:00:00.000
310300860923,9,110,,,1018280015,84,2008-07-01T00:00:00.000
310100010378,1,103,NYCDOE Borough Office - Manhattan,,1003540080,1,2008-07-01T00:00:00.000
331700010398,41,317,NYCDOE Borough Office - Brooklyn South,,3045950215,17,1977-07-01T00:00:00.000
331300010915,33,302,NYCDOE Borough Office - Brooklyn North,,3001310001,13,2019-07-01T00:00:00.000
331400010018,34,301,NYCDOE Borough Office - Brooklyn North,,3027870001,14,1916-07-01T00:00:00.000
310200010255,2,106,NYCDOE Borough Office - Manhattan,,1009250012,2,2000-06-21T00:00:00.000
331700011745,40,309,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3048110001,17,2012-07-01T00:00:00.000
331800010272,46,318,NYCDOE Borough Office - Brooklyn South,,3083290250,18,1957-07-01T00:00:00.000
333200010162,34,304,NYCDOE Borough Office - Brooklyn North,,3032120001,32,1909-07-01T00:00:00.000
331500010001,38,307,NYCDOE Borough Office - Brooklyn North,,3007550022,15,1965-07-01T00:00:00.000
331500010032,39,306,NYCDOE Borough Office - Brooklyn North,,3004370001,15,1951-07-01T00:00:00.000
331800011563,45,317,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3047420001,18,2007-07-01T00:00:00.000
331400011071,33,301,NYCDOE Borough Office - Brooklyn North,,3022270001,14,1970-07-01T00:00:00.000
310200011392,3,104,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1007420007,2,2009-07-01T00:00:00.000
310200010017,3,104,,,1010380014,2,1908-07-01T00:00:00.000
331300010915,33,302,NYCDOE Borough Office - Brooklyn North,,3001310001,13,2019-07-01T00:00:00.000
331300011492,35,302,NYCDOE Borough Office - Brooklyn North,,3020910003,13,2006-07-01T00:00:00.000
331700861041,35,309,,,3012970026,84,2013-07-01T00:00:00.000
310300010076,9,110,NYCDOE Borough Office - Manhattan,,1019260017,3,1965-07-01T00:00:00.000
310600010048,10,112,NYCDOE Borough Office - Manhattan,,1021670029,6,1993-07-01T00:00:00.000
310200010340,3,105,NYCDOE Borough Office - Manhattan,,1008187501,2,2014-07-01T00:00:00.000
332100011344,47,313,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3072500025,21,2005-07-01T00:00:00.000
332000010105,38,312,NYCDOE Borough Office - Brooklyn South,,3057020001,20,1926-07-01T00:00:00.000
331900860933,37,305,,,3039690001,84,2010-06-01T00:00:00.000
331900010328,42,305,NYCDOE Borough Office - Brooklyn North,,3037680001,19,1967-07-01T00:00:00.000
331400011558,33,301,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3023300011,14,2004-09-08T00:00:00.000
333200010116,37,304,NYCDOE Borough Office - Brooklyn North,,3033170001,32,1897-07-01 00:00:00.000
332000010179,39,312,NYCDOE Borough Office - Brooklyn South,,3053710001,20,1915-07-01T00:00:00.000
307500013753,35,302,D75 CITYWIDE BCO,,3020080001,75,1996-06-05T00:00:00.000
310100010364,2,103,NYCDOE Borough Office - Manhattan,,1003870001,1,1999-07-01T00:00:00.000
331600860860,41,303,,,3016730001,84,2004-09-08T00:00:00.000
332300010156,41,316,NYCDOE Borough Office - Brooklyn North,,3035350016,23,1999-07-01T00:00:00.000
310100010063,2,103,NYCDOE Borough Office - Manhattan,,1004310014,1,1905-07-01T00:00:00.000
331600860971,36,303,,,3015910045,84,2010-06-01T00:00:00.000
331300010571,35,308,,,3011450026,13,2004-09-08T00:00:00.000
310200010290,5,108,NYCDOE Borough Office - Manhattan,,1015450005,2,1999-07-01T00:00:00.000
331300010044,36,303,NYCDOE Borough Office - Brooklyn North,,3018210001,13,1951-07-01T00:00:00.000
310600010005,10,112,NYCDOE Borough Office - Manhattan,,1021500030,6,1993-07-01T00:00:00.000
331900010302,37,305,,,3039690001,19,1970-07-01T00:00:00.000
331900011660,37,305,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3037040001,19,1913-07-01T00:00:00.000
333200010347,34,304,NYCDOE Borough Office - Brooklyn North,,3031850001,32,2000-07-01T00:00:00.000
332100011348,47,313,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3068830001,21,2005-07-01T00:00:00.000
331300860937,36,303,,,3018230038,84,2010-06-01T00:00:00.000
310300010087,6,107,NYCDOE Borough Office - Manhattan,,1011490007,3,1955-07-01T00:00:00.000
310500860894,9,110,,,1017330017,84,2006-07-01T00:00:00.000
331300011483,33,302,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",3001400010,13,2004-09-08T00:00:00.000
331600010026,36,303,NYCDOE Borough Office - Brooklyn North,,3016160001,16,1956-07-01T00:00:00.000
331700011537,40,314,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",3051030010,17,2004-09-08T00:00:00.000
332000010229,43,311,NYCDOE Borough Office - Brooklyn South,,3063910024,20,1932-07-01T00:00:00.000
310200010104,2,106,NYCDOE Borough Office - Manhattan,,1009260001,2,1956-07-01T00:00:00.000
310200010167,4,108,NYCDOE Borough Office - Manhattan,,1014300005,2,1956-07-01T00:00:00.000
332300860936,41,316,,,3015500001,84,2010-06-01T00:00:00.000
331600010304,36,303,,,3017730014,16,1962-07-01T00:00:00.000
331500011462,39,306,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3010820001,15,2001-07-01T00:00:00.000
310200010002,1,103,NYCDOE Borough Office - Manhattan,,1002730001,2,1958-07-01T00:00:00.000
331400011330,36,303,,,3017430018,14,2005-07-01T00:00:00.000
307500011401,13,210,D75 CITYWIDE BCO,,2055310021,75,1999-07-01T00:00:00.000
310200010051,3,104,NYCDOE Borough Office - Manhattan,,1010730014,2,1905-07-01T00:00:00.000
310300010243,6,107,NYCDOE Borough Office - Manhattan,,1012140029,3,1999-07-01T00:00:00.000
332000010112,43,311,NYCDOE Borough Office - Brooklyn South,,3061800001,20,1905-07-01T00:00:00.000
332100010215,47,315,NYCDOE Borough Office - Brooklyn South,,3066810169,21,1925-07-01T00:00:00.000
331800010268,41,317,NYCDOE Borough Office - Brooklyn South,,3046230028,18,1953-07-01T00:00:00.000
331500010230,39,312,NYCDOE Borough Office - Brooklyn North,,3053230032,15,1930-07-01T00:00:00.000
310100010064,2,103,NYCDOE Borough Office - Manhattan,,1003870001,1,1954-07-01T00:00:00.000
310100010361,2,103,NYCDOE Borough Office - Manhattan,,1003940012,1,1999-07-01T00:00:00.000
331700861086,40,309,,,3050490055,84,2016-07-01T00:00:00.000
310200861104,1,101,,,1000220013,84,2016-07-01T00:00:00.000
331500011592,33,302,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",3001740001,15,2007-07-01T00:00:00.000
310600010187,10,112,NYCDOE Borough Office - Manhattan,,1021790365,6,1930-07-01T00:00:00.000
331500860878,38,307,,,3006340034,84,2005-07-01T00:00:00.000
331700860950,36,308,,,3013670022,84,2009-05-05T00:00:00.000
310200010001,1,103,NYCDOE Borough Office - Manhattan,,1002790040,2,1898-07-01 00:00:00.000
331700011470,40,309,,,3048110001,17,1955-07-01T00:00:00.000
332000010201,43,310,NYCDOE Borough Office - Brooklyn South,,3062780022,20,1925-07-01T00:00:00.000
331400011685,33,301,NYCDOE Citywide Office - Affinity Schools,"Cheng, Alan",3022070002,14,1996-06-05T00:00:00.000
332300010165,42,316,NYCDOE Borough Office - Brooklyn North,,3036220023,23,1912-07-01T00:00:00.000
310200011316,1,101,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1000220013,2,2005-07-01T00:00:00.000
310400010377,8,111,NYCDOE Borough Office - Manhattan,,1016890005,4,2008-07-01T00:00:00.000
332100010100,48,313,NYCDOE Borough Office - Brooklyn South,,3072810001,21,1924-07-01T00:00:00.000
310600010004,7,112,NYCDOE Borough Office - Manhattan,,1021180022,6,1995-07-01T00:00:00.000
310500011369,7,109,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",1019840033,5,2007-07-01T00:00:00.000
331800010252,41,317,,,3046690037,18,1939-07-01T00:00:00.000
331400011614,34,301,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",3030910001,14,2008-07-01T00:00:00.000
307500013077,39,306,D75 CITYWIDE BCO,,3009410050,75,1999-07-01T00:00:00.000
332300011645,37,316,,"HOROWITZ, . AIMEE",3015540016,23,1996-06-05T00:00:00.000
331500011423,33,302,NYCDOE Borough Office - Brooklyn North,"ROTONDO, PAUL",3001690009,15,2011-07-01T00:00:00.000
333200010562,37,304,NYCDOE Borough Office - Brooklyn North,,3034160001,32,2012-07-01T00:00:00.000
332300010631,42,316,,,3035970011,23,2008-07-01T00:00:00.000
332100011337,47,313,NYCDOE Citywide Office - Affinity Schools,"Cheng, Alan",3068830001,21,2005-07-01T00:00:00.000
332300010183,42,316,,,3035970011,23,1923-07-01T00:00:00.000
310200011408,3,104,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1010380014,2,1996-06-05T00:00:00.000
331500010107,39,306,NYCDOE Borough Office - Brooklyn North,,3011010001,15,1894-07-01 00:00:00.000
331600010243,36,308,NYCDOE Borough Office - Brooklyn North,,3013470001,16,1962-07-01T00:00:00.000
331400011494,36,303,,,3017430018,14,2006-07-01T00:00:00.000
310200011300,3,104,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",1010790029,2,2004-09-08T00:00:00.000
310300861034,9,110,,,0,84,2013-07-01T00:00:00.000
310200010077,5,108,NYCDOE Borough Office - Manhattan,,1015240023,2,1999-07-01T00:00:00.000
310500010154,9,110,NYCDOE Borough Office - Manhattan,,1019320010,5,1964-07-01T00:00:00.000
332200010315,45,314,NYCDOE Borough Office - Brooklyn South,,3075510026,22,1999-04-23T00:00:00.000
331400011632,33,301,,"ALCOFF, MICHAEL",3026700001,14,2008-07-01T00:00:00.000
332100010303,47,313,NYCDOE Borough Office - Brooklyn South,,3072500025,21,1965-07-01T00:00:00.000
331400011488,33,301,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3023300011,14,2004-09-08T00:00:00.000
333200010086,37,304,NYCDOE Borough Office - Brooklyn North,,3032890027,32,1892-07-01 00:00:00.000
310200010310,8,111,NYCDOE Borough Office - Manhattan,"ZWEIG, ROBERT",1016680001,4,2017-07-01T00:00:00.000
331500010448,39,306,NYCDOE Citywide Office - Affinity Schools,"Cheng, Alan",3003690001,15,2003-07-01T00:00:00.000
331800010208,45,317,NYCDOE Borough Office - Brooklyn South,,3047690025,18,1927-07-01T00:00:00.000
307500013231,44,312,D75 CITYWIDE BCO,,3054920001,75,1995-09-21T00:00:00.000
332100010177,44,311,NYCDOE Borough Office - Brooklyn South,,3066310001,21,1924-07-01T00:00:00.000
332000010748,43,311,NYCDOE Borough Office - Brooklyn South,,3063990040,20,2010-07-01T00:00:00.000
331500010896,38,307,NYCDOE Borough Office - Brooklyn North,,3007770001,15,2018-07-01T00:00:00.000
331400010126,33,301,NYCDOE Borough Office - Brooklyn North,,3027120001,14,1966-07-01T00:00:00.000
331900010190,42,305,NYCDOE Borough Office - Brooklyn North,,3038380018,19,1924-07-01T00:00:00.000
331800860943,46,318,,,3082300001,84,2013-07-01T00:00:00.000
332000010259,43,310,NYCDOE Borough Office - Brooklyn South,,3059230001,20,1939-07-01T00:00:00.000
310200010131,1,103,NYCDOE Borough Office - Manhattan,,1003010003,2,1983-07-01T00:00:00.000
331300011674,33,302,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",3001310001,13,2009-07-01T00:00:00.000
331900010557,42,305,NYCDOE Borough Office - Brooklyn North,,3038020015,19,2013-07-01T00:00:00.000
331800011673,41,317,NYCDOE Citywide Office - Affinity Schools,"ROTONDO, PAUL",3046500015,18,2009-07-01T00:00:00.000
332100011620,48,313,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3072610201,21,1957-07-01T00:00:00.000
310300011417,6,107,NYCDOE Citywide Office - Affinity Schools,"CINTRON, RICHARD",1012150001,3,2010-07-01T00:00:00.000
331300010046,35,302,NYCDOE Borough Office - Brooklyn North,,3020450011,13,1960-07-01T00:00:00.000
332100010199,48,314,NYCDOE Borough Office - Brooklyn South,,3067400025,21,1930-07-01T00:00:00.000
332200010206,48,315,NYCDOE Borough Office - Brooklyn South,,3073810201,22,1925-07-01T00:00:00.000
332000010069,38,310,NYCDOE Borough Office - Brooklyn South,,3057350032,20,2002-07-01T00:00:00.000
332000010310,38,310,NYCDOE Borough Office - Brooklyn South,,3057290024,20,2010-07-01T00:00:00.000
310600010128,10,112,NYCDOE Borough Office - Manhattan,,1021250001,6,1961-07-01T00:00:00.000
310600010218,10,112,,,1021720016,6,1991-07-01T00:00:00.000
331400010582,34,301,NYCDOE Borough Office - Brooklyn North,,3030460001,14,2004-09-08T00:00:00.000
332200011535,48,315,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3087600060,22,2002-07-01T00:00:00.000
331300010301,36,303,NYCDOE Borough Office - Brooklyn North,,3018680007,13,2002-07-01T00:00:00.000
331300011575,36,303,,"ROTONDO, PAUL",3018230038,13,1996-06-05T00:00:00.000
310500010410,7,109,,,1019840033,5,2009-07-01T00:00:00.000
332200010381,45,314,NYCDOE Borough Office - Brooklyn South,,3076290030,22,1999-07-01T00:00:00.000
331600011765,36,303,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3017010001,16,2014-07-01T00:00:00.000
310300010084,6,107,NYCDOE Borough Office - Manhattan,,1012050006,3,1962-07-01T00:00:00.000
310200011225,5,108,NYCDOE Borough Office - Manhattan,,1014420001,2,1999-07-01T00:00:00.000
310500010010,9,110,,,1020160100,5,1969-07-01T00:00:00.000
331500010118,39,306,NYCDOE Borough Office - Brooklyn North,,3009980001,15,2013-07-01T00:00:00.000
332200010203,46,318,NYCDOE Borough Office - Brooklyn South,,3078490001,22,1927-07-01T00:00:00.000
331900010214,37,305,NYCDOE Borough Office - Brooklyn North,,3042430001,19,1925-07-01T00:00:00.000
332100010209,48,313,NYCDOE Borough Office - Brooklyn South,,3072440001,21,1930-07-01T00:00:00.000
332200011425,48,315,NYCDOE Borough Office - Brooklyn South,"PRAYOR, MICHAEL",3067880001,22,1925-07-01T00:00:00.000
331800861033,46,318,,,0,84,2013-07-01T00:00:00.000
310200010042,1,103,NYCDOE Borough Office - Manhattan,,1003090001,2,1899-07-01 00:00:00.000
310600010321,10,112,,,1021120058,6,2004-09-08T00:00:00.000
310200011316,1,101,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1000220013,2,2005-07-01T00:00:00.000
331600860918,36,303,,,3016360001,84,2008-07-01T00:00:00.000
310200010212,3,104,NYCDOE Borough Office - Manhattan,,1010380014,2,1999-07-01T00:00:00.000
332200861053,48,315,,,3074250002,84,2013-07-01T00:00:00.000
332300010150,41,316,NYCDOE Borough Office - Brooklyn North,,3037440009,23,1907-07-01T00:00:00.000
332300010041,42,316,NYCDOE Borough Office - Brooklyn North,,3036040001,23,1965-07-01T00:00:00.000
331500010058,39,306,NYCDOE Borough Office - Brooklyn North,,3004490015,15,1957-07-01T00:00:00.000
332200010222,46,318,NYCDOE Borough Office - Brooklyn South,,3077060001,22,1929-07-01T00:00:00.000
310500010318,9,110,NYCDOE Borough Office - Manhattan,,1020360047,5,2005-07-01T00:00:00.000
310600010098,10,112,NYCDOE Borough Office - Manhattan,,1022290012,6,1924-07-01T00:00:00.000
332100861123,47,311,,,3068520018,84,2017-05-10T00:00:00.000
310500010125,7,109,NYCDOE Borough Office - Manhattan,,1019640012,5,1925-07-01T00:00:00.000
332100010228,47,311,NYCDOE Borough Office - Brooklyn South,,3070840001,21,1930-07-01T00:00:00.000
331300010117,33,303,,,3019260010,13,1955-07-01T00:00:00.000
331300860893,35,302,,,3020390002,84,2006-07-01T00:00:00.000
331700010002,40,309,NYCDOE Borough Office - Brooklyn South,,3050500051,17,1994-07-01T00:00:00.000
310400010013,8,111,,,1016120050,4,1958-07-01T00:00:00.000
330000011523,46,315,,,3084960100,17,1901-01-01T00:00:00.000
310400010045,8,111,,,1017970100,4,1958-07-01T00:00:00.000
331500011667,38,307,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3006880026,15,2009-07-01T00:00:00.000
310300010075,6,107,NYCDOE Borough Office - Manhattan,,1012530065,3,1950-07-01T00:00:00.000
331500010038,33,302,NYCDOE Borough Office - Brooklyn North,,3001910001,15,1965-07-01T00:00:00.000
332200010052,48,315,NYCDOE Borough Office - Brooklyn South,,3074740001,22,1950-07-01T00:00:00.000
331900010311,42,305,,,3038380018,19,1997-07-15T00:00:00.000
331700011408,40,314,NYCDOE Citywide Office - Affinity Schools,"WALSH, FRED",3051030010,17,2006-07-01T00:00:00.000
331500860927,38,306,,,3005390024,84,2008-07-01T00:00:00.000
331900010654,42,305,NYCDOE Borough Office - Brooklyn North,,3043490050,19,2013-07-01T00:00:00.000
331500010024,38,307,NYCDOE Borough Office - Brooklyn North,,3007010001,15,1997-07-01T00:00:00.000
331900010065,37,305,NYCDOE Borough Office - Brooklyn North,,3041020019,19,1873-07-01 00:00:00.000
332200010207,46,318,NYCDOE Borough Office - Brooklyn South,,3084840001,22,1926-07-01T00:00:00.000
331700010352,35,309,NYCDOE Borough Office - Brooklyn South,,3013010001,17,2005-07-01T00:00:00.000
331400010579,34,301,,,3030910001,14,1901-01-01T00:00:00.000
331300010258,36,303,,,3018450001,13,1955-07-01T00:00:00.000
331700011568,41,316,NYCDOE Borough Office - Brooklyn South,"ROTONDO, PAUL",3035080012,17,2004-09-08T00:00:00.000
332300010363,37,316,NYCDOE Borough Office - Brooklyn North,,3035070007,23,2012-07-01T00:00:00.000
310200010011,3,104,NYCDOE Borough Office - Manhattan,,1007440024,2,1925-07-01T00:00:00.000
331900010345,37,305,NYCDOE Borough Office - Brooklyn North,,3039900001,19,1967-07-01T00:00:00.000
332000010185,43,310,NYCDOE Borough Office - Brooklyn South,,3060430001,20,1921-07-01T00:00:00.000
332100010329,47,313,NYCDOE Borough Office - Brooklyn South,,3070510001,21,1974-07-01T00:00:00.000
332000010192,44,312,NYCDOE Borough Office - Brooklyn South,,3054450001,20,1924-07-01T00:00:00.000
310600010278,10,112,NYCDOE Borough Office - Manhattan,,1022150831,6,2004-09-08T00:00:00.000
310200011376,3,102,NYCDOE Borough Office - Manhattan,"ORLEN, VIVIAN",1004910016,2,2008-07-01T00:00:00.000
331400011478,34,301,NYCDOE Borough Office - Brooklyn North,"ROSS, JANICE",3030160001,14,1996-08-26T00:00:00.000
310500010286,7,109,NYCDOE Citywide Office - Affinity Schools,,1019840033,5,1999-07-01T00:00:00.000
