address,bin,dsny_section
"102-16 89th Ave, Jamaica, NY 11418, USA",4194447.0,QW093
"495 East 180th Street, Bronx, NY, USA",2011507.0,BX062
"30-05 Whitestone Expy, Flushing, NY, USA",4100748.0,QE073
"231-02 Mentone Ave, Jamaica, NY 11413, USA",4283794.0,QE136
"13 Essex Street, New York, NY, USA",1083703.0,MN032
"84 East 7th Street, New York, NY, USA",1006282.0,MN033
"3763 83rd St, Jackson Heights, NY 11372, EE. UU.",,QW032
"391/2 Washington Square South, New York, NY, USA",,MN022
"334 Madison Street, New York, NY, USA",1077526.0,MN031
"205 Hudson Street, New York, NY, USA",1002933.0,MN013
"874 Myrtle Ave, Brooklyn, NY 11206, USA",3048641.0,BKN031
"1114 Bedford Avenue, Brooklyn, NY, USA",3335041.0,BKN032
"218 West 234th Street, Bronx, NY 10463, USA",2083561.0,BX082
"55 West 55th Street, New York, NY, USA",1034819.0,MN052
"125 Cassidy Place, Staten Island, NY, USA",5001762.0,SI012
"602 East 9th Street, New York, NY, USA",1084768.0,MN034
"78-15 Northern Blvd, Flushing, NY, 11354, USA",4026787.0,QW031
"1090 Coney Island Avenue, Brooklyn, NY 11230, USA",3170238.0,BKS144
"4210 Farragut Rd, Brooklyn, NY, USA",3114510.0,BKN175
"122-05 Merrick Blvd, Jamaica, NY, USA",4000000.0,QE126
"12-10 36th Avenue, NY, New York 11106, USA",4004297.0,QW016
"20-20 129th Street, College Point, NY, USA",4099333.0,QE075
"265 Decatur Street, Brooklyn, NY 11233, USA",3047083.0,BKN034
"233 Butler St, Brooklyn, NY 11217, USA",3336080.0,BKS063
"146 West 228th Street, The Bronx, NY, USA",1064682.0,BX082
"169-65 137th Avenue, Jamaica, NY, USA",4436348.0,QE127
"218 East 81st Street, New York, NY 10028, USA",1048546.0,MN083
"204 1st Avenue, New York, NY 10009, USA",1005978.0,MN034
"169-65 137th Avenue, Jamaica, NY, USA",4436348.0,QE127
"2475 Boston Rd, Bronx, NY, USA",2051312.0,BX112
"2453 Westchester Avenue, Bronx, NY, USA",2041715.0,BX101
"2336, Linden Boulevard, New York, NY, 11208, USA",3000000.0,BKN053
"207 Bedford Avenue, Brooklyn, NY, USA",3062202.0,BKN012
"227 Bowery, New York, NY 10002, USA",1005706.0,MN032
"14 West 170th Street, Bronx, NY, USA",2008292.0,BX043
"138 New Dorp Lane, Staten Island, NY, USA",5107608.0,SI022
"3120 Ditmars Boulevard, Long Island City, NY 11105, USA",4017060.0,QW012
"2255 31st Street, Astoria, NY 11105, USA",4017050.0,QW012
"207 West 18th Street, New York, NY, USA",1013882.0,MN041
"795 Lexington Avenue, Brooklyn, NY, USA",3044164.0,BKN034
"645 10th Avenue, New York, NY, USA",1085777.0,MN043
"214 W 97th St, New York, NY 10025, USA",1088642.0,MN074
"2759 Webster Ave, Bronx, NY 10458, USA",2016403.0,BX072
"515 5th Avenue, Brooklyn, NY 11215, USA",3392322.0,BKS065
"195 Maujer Street, Brooklyn, NY, USA",3330102.0,BKN015
"4353 Broadway, New York, NY, USA",1064428.0,MN123
"520 50th St, Brooklyn, NY 11220, USA",3013309.0,BKS073
"375 Manor Rd, Staten Island, NY, USA",5009228.0,SI013
"41 Reid Avenue, Staten Island, NY, USA",5047613.0,SI021
"2219 41st Avenue, Astoria, NY, USA",4004951.0,QW016
"413 East 120th Street, New York, NY 10035, USA",1000000.0,MN113
"571 East 141st Street, Bronx, NY, USA",2003685.0,BX012
"2359 Jerome Avenue, Bronx, NY 10468, USA",2014279.0,BX071
"1566 Bedford Avenue, Brooklyn, NY, USA",3426810.0,BKN091
"1086 Morris Park Ave, The Bronx, NY 10461, USA",2094973.0,BX111
"420 W 145th St, New York, NY 10031, USA",1060948.0,MN093
"64 West 35th Street, New York, NY 10001, USA",1015868.0,MN052
"385 McDonald Ave, Brooklyn, NY 11218, USA",3343785.0,BKS125
"3915 Neptune Ave, Brooklyn, NY 11224, USA",3188543.0,BKS132
"71-63 Austin St, Flushing, NY 11375, USA",4078009.0,QW062
"1255 East Gun Hill Road, The Bronx, NY, USA",2060519.0,BX121
"188 Eckford Street, Brooklyn, NY, USA",3066172.0,BKN013
"237-08 Braddock Ave, Queens, NY 11426, USA",4167678.0,QE132
,,BKN041
"161, Decatur St, New York, NY, 11233, USA",3047058.0,BKN033
"207 Avenue A, New York, NY 10009, USA",1005995.0,MN034
"785 Courtlandt Avenue, Bronx, NY 10451, USA",2091223.0,BX011
"164 4th Avenue, Brooklyn, NY, USA",3429951.0,BKS063
,,
"346 East 9th Street, New York, NY, USA",1006378.0,MN034
"1552 Watson Avenue, The Bronx, NY, USA",2023488.0,BX091
"567 Driggs Avenue, Brooklyn, NY 11211, USA",3062105.0,BKN012
"601 W 114th St, New York, NY 10025, USA",1057367.0,MN091
"1180 Bay Street, Staten Island, NY, USA",5122853.0,SI011
"2790 West 5th Street, Brooklyn, NY, USA",3257105.0,BKS132
"1674, 3rd Avenue   , New York, NY, 10128, USA",1048399.0,MN085
"691 Co Op City Blvd, Bronx, NY, USA",2118946.0,
"86-24 Whitney Avenue, Queens, NY, USA",4311590.0,QW042
"181 West 135th Street, New York, NY, USA",1058264.0,MN103
"297 Brook Avenue, Bronx, NY, USA",2000338.0,BX011
"197 Marcy Avenue, Brooklyn, NY, USA",3060090.0,BKN014
"190 Wilson Avenue, Brooklyn, NY, USA",3325529.0,BKN041
"165 Conover Street, Brooklyn, NY 11231, USA",3008580.0,BKS061
"129 5th Avenue, Brooklyn, NY, USA",3019194.0,MN051
"279 Bushwick Avenue, Brooklyn, NY 11206, USA",3342175.0,BKN015
"2241 Southern Blvd, Bronx, NY, USA",2102581.0,BX061
"45-18 Broadway, Long Island City, NY 11103, USA",4012439.0,QW015
"104 Florence Place, Staten Island, NY, USA",5125358.0,SI037
"110 Greene Street, New York, NY, USA",1007605.0,MN021
"226 E 144th St, Bronx, NY 10451, USA",2000997.0,BX011
"2435 Hylan Blvd, Staten Island, NY, USA",5052814.0,SI022
"8923 5th Avenue, Brooklyn, NY, USA",3154224.0,BKS103
"4200 Baychester Avenue, Bronx, NY, USA",2069276.0,BX125
"48-15 31st Avenue, Astoria, NY, USA",4013656.0,QW015
"40 Barry Rd, New York, NY, USA",1086351.0,
"576 Willoughby Avenue, Brooklyn, NY, USA",3338630.0,BKN031
"197 East Broadway, New York, NY, USA",1003704.0,MN031
"760 Castle Hill Avenue, The Bronx, NY, USA",2022468.0,BX094
"58 Farragut Avenue, Staten Island, NY, USA",5119167.0,SI014
"26-04 18th Street, Long Island City, NY, USA",4020573.0,QW013
"29-16 Ditmars Blvd, Astoria, NY 11105, USA",4017611.0,QW011
"51 35th Street, Brooklyn, NY, USA",3336900.0,BKS072
"896 Central Avenue, Far Rockaway, NY 11691, USA",4297679.0,QE143
"481 3rd Avenue, New York, NY 10016, USA",1020078.0,MN062
"281 Bruckner Blvd, Bronx, NY, USA",2094035.0,BX012
"523 East 12th Street, New York, NY, USA",1005229.0,MN034
,,BKN052
"2046 Flatbush Avenue, Brooklyn, NY, USA",3219341.0,BKS186
"3680 East Tremont Avenue, Bronx, NY, USA",2079918.0,BX103
"800 Rockaway Avenue, Brooklyn, NY, USA",3082378.0,BKN161
"387, Bushwick Avenue, New York, NY, 11206, USA",3071529.0,BKN015
"1255 Westchester Avenue, The Bronx, NY, USA",2006301.0,BX031
"296 9th Avenue, New York, NY 10001, USA",1091055.0,MN042
"4332 White Plains Rd, Bronx, NY, USA",2069783.0,BX124
"223 Bedford Avenue, Brooklyn, NY 11211, USA",3062323.0,BKN012
,,QE132
"4068 3rd Avenue, Bronx, NY, USA",2117939.0,BX031
,,QE083
"85-12 101st St, Richmond Hill, NY 11418, USA",4191297.0,QW093
"402 3rd Avenue, New York, NY, USA",1018223.0,MN062
"758 Arthur Kill Rd, Staten Island, NY, USA",5148478.0,SI032
"14-02 124th Street, Flushing, NY, USA",4098378.0,QE075
"1949 Stillwell Avenue, Brooklyn, NY, USA",3189706.0,BKS116
,,BKS186
"1838 Park Place, Brooklyn, NY 11233, USA",3039399.0,BKN161
"2552 Linden Blvd, Brooklyn, NY, USA",3327477.0,BKN053
"114-05 Farmers Blvd, St. Albans, NY, USA",,QE125
"247 W 87th St, New York, NY 10024, USA",1080398.0,MN073
"1255 E Gun Hill Rd, Bronx, NY, USA",2060519.0,BX121
"158-02 Union Tpke, Flushing, NY, USA",4536425.0,QE084
"2113 Amsterdam Avenue, New York, NY 10032, USA",1062632.0,MN121
"1348 Southern Blvd, Bronx, NY, USA",2010557.0,BX031
"253 E 153rd St, The Bronx, NY, USA",,BX011
"1261 Broadway, New York, NY 10001, USA",1015803.0,MN051
"431 Broadway, Brooklyn, NY 11211, USA",3063620.0,BKN012
"655 Manhattan Avenue, Brooklyn, NY, USA",3066042.0,BKN011
"443 Castleton Avenue, Staten Island, NY, USA",5002996.0,SI012
"1255 Westchester Avenue, Bronx, NY, USA",2006301.0,BX031
"305 7th Avenue, New York, NY, USA",1015060.0,MN051
"619 West 179th Street, New York, NY 10033, USA",1063905.0,MN122
"19662 67th Avenue, NY, New York 11365, USA",4560823.0,QE081
"23-40 Astoria Blvd, Astoria, NY 11102, USA",4439576.0,QW013
,,MN084
"202-14 Hollis Avenue, St. Albans, NY, USA",,QE123
