source_relation,amazon_order_id,marketplace_id,replaced_order_id,seller_order_id,buyer_info_purchase_order_number,purchase_date,sales_channel,order_channel,order_type,order_status,payment_method,order_total_amount,order_total_currency_code,promise_response_due_date,last_update_date,latest_delivery_date,latest_ship_date,number_of_items_shipped,number_of_items_unshipped,earliest_delivery_date,earliest_ship_date,easy_ship_shipment_status,electronic_invoice_status,fulfillment_channel,fulfillment_supply_source_id,has_regulated_items,is_access_point_order,is_business_order,is_estimated_ship_date_set,is_global_express_enabled,is_iba,is_ispu,is_premium_order,is_prime,is_replacement_order,is_sold_by_ab,ship_service_level,shipment_service_level_category,automated_shipping_setting_automated_carrier,automated_shipping_setting_automated_ship_method,automated_shipping_setting_has_automated_shipping_settings,default_ship_from_location_address_line_1,default_ship_from_location_address_line_2,default_ship_from_location_address_line_3,default_ship_from_location_address_type,default_ship_from_location_city,default_ship_from_location_country_code,default_ship_from_location_county,default_ship_from_location_district,default_ship_from_location_municipality,default_ship_from_location_name,default_ship_from_location_phone,default_ship_from_location_postal_code,default_ship_from_location_state_or_region,shipping_address_address_type,shipping_address_city,shipping_address_country_code,shipping_address_county,shipping_address_district,shipping_address_municipality,shipping_address_postal_code,shipping_address_state_or_region
amazon_selling_partner.public,ORDER00010,MPIDRANDOM,REPLACED_ORDER_1058,SELLER_ORDER_7950,PO-1531,2025-01-27 18:11:28,Amazon.de,Amazon.de,StandardOrder,Canceled,COD,227.710000,USD,2025-01-28 18:11:28,2025-01-14 18:11:28,2025-02-01 00:00:00,2025-02-02 00:00:00,5,6,2025-01-30 00:00:28.112,2025-01-23 00:00:28.112,ReturnedToSeller,Accepted,AFN,Source-70,f,f,f,t,f,f,t,t,t,f,f,Same-Day,Standard,FedEx,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00011,MPIDRANDOM,REPLACED_ORDER_9607,SELLER_ORDER_8189,PO-2976,2025-01-08 18:11:28,Amazon.ca,Amazon.com,StandardOrder,Canceled,COD,277.890000,USD,2025-01-28 18:11:28,2025-01-01 18:11:28,2025-02-04 00:00:00,2025-02-10 00:00:00,9,2,2025-02-07 00:00:28.112,2025-01-21 00:00:28.112,Undeliverable,Accepted,AFN,Source-88,t,f,f,t,t,t,t,f,f,f,t,Standard,Standard,DHL,Expedited,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00012,MPIDRANDOM,REPLACED_ORDER_7459,SELLER_ORDER_9673,PO-7273,2025-01-21 18:11:28,Amazon.com,Amazon.ca,SourcingOnDemandOrder,Shipped,COD,128.630000,USD,2025-02-01 18:11:28,2025-01-18 18:11:28,2025-02-06 00:00:00,2025-02-06 00:00:00,0,7,2025-02-01 00:00:28.112,2025-01-26 00:00:28.112,ReturningToSeller,Accepted,AFN,Source-90,t,t,f,f,f,t,t,f,f,f,f,Same-Day,Standard,USPS,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00013,MPIDRANDOM,REPLACED_ORDER_7167,SELLER_ORDER_3875,PO-4455,2025-01-10 18:11:28,Amazon.de,Amazon.de,SourcingOnDemandOrder,Pending,COD,322.390000,USD,2025-01-28 18:11:28,2025-01-02 18:11:28,2025-01-29 00:00:00,2025-02-09 00:00:00,2,1,2025-02-03 00:00:28.112,2025-01-24 00:00:28.112,Lost,Accepted,MFN,Source-85,t,t,f,f,t,f,f,t,f,t,f,Standard,Standard,DHL,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00014,MPIDRANDOM,REPLACED_ORDER_8090,SELLER_ORDER_2366,PO-3951,2025-01-23 18:11:28,Amazon.com,Amazon.de,SourcingOnDemandOrder,Canceled,COD,88.280000,USD,2025-02-01 18:11:28,2025-01-13 18:11:28,2025-02-05 00:00:00,2025-02-10 00:00:00,0,4,2025-02-04 00:00:28.112,2025-01-19 00:00:28.112,PendingPickUp,Accepted,AFN,Source-13,t,f,f,f,f,t,f,t,f,f,f,Two-Day,Expedited,FedEx,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00015,MPIDRANDOM,REPLACED_ORDER_4090,SELLER_ORDER_7843,PO-6262,2025-01-22 18:11:28,Amazon.com,Amazon.com,SourcingOnDemandOrder,Pending,COD,242.400000,USD,2025-02-02 18:11:28,2025-01-27 18:11:28,2025-02-06 00:00:00,2025-02-06 00:00:00,6,5,2025-01-31 00:00:28.112,2025-01-18 00:00:28.112,Undeliverable,Accepted,MFN,Source-62,f,t,t,t,f,f,t,f,t,t,f,Expedited,Expedited,FedEx,Standard,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00016,MPIDRANDOM,REPLACED_ORDER_6401,SELLER_ORDER_6334,PO-1335,2025-01-08 18:11:28,Amazon.ca,Amazon.de,StandardOrder,Shipped,COD,241.040000,USD,2025-01-30 18:11:28,2025-01-26 18:11:28,2025-02-05 00:00:00,2025-02-10 00:00:00,1,1,2025-02-05 00:00:28.112,2025-01-18 00:00:28.112,Lost,Accepted,MFN,Source-92,t,f,f,f,f,t,t,t,t,f,t,Two-Day,Expedited,DHL,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00017,MPIDRANDOM,REPLACED_ORDER_3263,SELLER_ORDER_6338,PO-3854,2025-01-22 18:11:28,Amazon.com,Amazon.com,StandardOrder,Canceled,COD,174.620000,USD,2025-02-01 18:11:28,2025-01-12 18:11:28,2025-01-30 00:00:00,2025-02-12 00:00:00,3,0,2025-02-06 00:00:28.112,2025-01-25 00:00:28.112,Delivered,Accepted,MFN,Source-2,f,f,f,t,t,f,t,t,t,f,f,Two-Day,Expedited,USPS,Expedited,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00018,MPIDRANDOM,REPLACED_ORDER_5736,SELLER_ORDER_8167,PO-7359,2025-01-23 18:11:28,Amazon.ca,Amazon.com,StandardOrder,Canceled,COD,184.640000,USD,2025-01-29 18:11:28,2025-01-20 18:11:28,2025-01-29 00:00:00,2025-02-06 00:00:00,10,6,2025-01-31 00:00:28.112,2025-01-22 00:00:28.112,Delivered,Processing,AFN,Source-35,t,f,f,t,f,t,t,t,f,t,f,Standard,FreeEconomy,UPS,Expedited,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00019,MPIDRANDOM,REPLACED_ORDER_5018,SELLER_ORDER_6064,PO-2066,2025-01-17 18:11:28,Amazon.com,Amazon.de,StandardOrder,Pending,COD,374.680000,USD,2025-02-02 18:11:28,2025-01-01 18:11:28,2025-02-02 00:00:00,2025-02-03 00:00:00,2,1,2025-01-30 00:00:28.112,2025-01-20 00:00:28.112,Delivered,Processing,MFN,Source-94,t,f,t,t,f,f,f,f,t,f,f,Standard,FreeEconomy,UPS,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00020,MPIDRANDOM,REPLACED_ORDER_1702,SELLER_ORDER_9196,PO-2685,2025-01-13 18:11:28,Amazon.de,Amazon.ca,StandardOrder,Pending,COD,84.320000,USD,2025-01-31 18:11:28,2025-01-04 18:11:28,2025-01-29 00:00:00,2025-02-12 00:00:00,7,8,2025-02-04 00:00:28.112,2025-01-24 00:00:28.112,Delivered,Processing,AFN,Source-58,t,f,f,t,f,f,f,t,t,t,f,Same-Day,FreeEconomy,DHL,Standard,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00021,MPIDRANDOM,REPLACED_ORDER_7347,SELLER_ORDER_6772,PO-9267,2024-12-31 18:11:28,Amazon.com,Amazon.com,StandardOrder,Pending,COD,158.980000,USD,2025-01-31 18:11:28,2025-01-14 18:11:28,2025-02-07 00:00:00,2025-02-08 00:00:00,9,1,2025-02-07 00:00:28.112,2025-01-25 00:00:28.112,OutForDelivery,Processing,MFN,Source-29,f,f,f,f,t,t,f,f,t,t,t,Same-Day,FreeEconomy,UPS,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00022,MPIDRANDOM,REPLACED_ORDER_5020,SELLER_ORDER_1679,PO-9090,2025-01-02 18:11:28,Amazon.ca,Amazon.com,StandardOrder,Unshipped,COD,232.220000,USD,2025-01-29 18:11:28,2025-01-13 18:11:28,2025-02-07 00:00:00,2025-02-08 00:00:00,6,10,2025-02-04 00:00:28.112,2025-01-26 00:00:28.112,Damaged,Processing,AFN,Source-8,f,f,f,t,f,t,f,t,t,t,t,Two-Day,Standard,UPS,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00023,MPIDRANDOM,REPLACED_ORDER_9307,SELLER_ORDER_8647,PO-3034,2025-01-22 18:11:28,Amazon.de,Amazon.com,StandardOrder,PartiallyShipped,GC,429.850000,USD,2025-01-30 18:11:28,2025-01-28 18:11:28,2025-01-30 00:00:00,2025-02-09 00:00:00,10,6,2025-02-05 00:00:28.112,2025-01-21 00:00:28.112,PendingPickUp,Processing,AFN,Source-10,f,f,f,f,f,f,f,f,t,f,f,Two-Day,Standard,FedEx,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00024,MPIDRANDOM,REPLACED_ORDER_8617,SELLER_ORDER_5533,PO-9406,2025-01-18 18:11:28,Amazon.com,Amazon.com,StandardOrder,PartiallyShipped,GC,347.770000,USD,2025-01-30 18:11:28,2025-01-16 18:11:28,2025-02-03 00:00:00,2025-02-12 00:00:00,9,0,2025-02-06 00:00:28.112,2025-01-18 00:00:28.112,PickedUp,Processing,AFN,Source-2,f,t,f,t,t,f,f,t,t,f,f,Standard,Standard,FedEx,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00025,MPIDRANDOM,REPLACED_ORDER_5451,SELLER_ORDER_7159,PO-7341,2025-01-19 18:11:28,Amazon.de,Amazon.com,StandardOrder,PartiallyShipped,GC,232.420000,USD,2025-02-01 18:11:28,2024-12-29 18:11:28,2025-01-31 00:00:00,2025-02-12 00:00:00,10,9,2025-02-06 00:00:28.112,2025-01-21 00:00:28.112,PickedUp,Processing,MFN,Source-83,t,t,t,f,t,t,f,f,f,f,t,Same-Day,Standard,USPS,Same-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00026,MPIDRANDOM,REPLACED_ORDER_4814,SELLER_ORDER_7812,PO-6479,2025-01-18 18:11:28,Amazon.com,Amazon.com,LongLeadTimeOrder,PartiallyShipped,GC,396.000000,USD,2025-01-29 18:11:28,2025-01-08 18:11:28,2025-02-01 00:00:00,2025-02-05 00:00:00,0,3,2025-02-05 00:00:28.112,2025-01-18 00:00:28.112,Delivered,Processing,MFN,Source-9,t,t,f,f,f,t,f,f,t,f,f,Same-Day,Standard,DHL,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00027,MPIDRANDOM,REPLACED_ORDER_5854,SELLER_ORDER_1675,PO-1719,2025-01-17 18:11:28,Amazon.ca,Amazon.de,LongLeadTimeOrder,PartiallyShipped,GC,237.940000,USD,2025-01-29 18:11:28,2025-01-05 18:11:28,2025-02-05 00:00:00,2025-02-06 00:00:00,1,6,2025-01-31 00:00:28.112,2025-01-22 00:00:28.112,Delivered,Processing,MFN,Source-65,f,f,f,f,f,t,f,t,t,f,t,Standard,Standard,USPS,Same-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00028,MPIDRANDOM,REPLACED_ORDER_9216,SELLER_ORDER_1907,PO-1170,2025-01-20 18:11:28,Amazon.de,Amazon.ca,LongLeadTimeOrder,PartiallyShipped,GC,465.260000,USD,2025-02-01 18:11:28,2025-01-07 18:11:28,2025-01-31 00:00:00,2025-02-08 00:00:00,8,0,2025-02-02 00:00:28.112,2025-01-27 00:00:28.112,Delivered,Processing,AFN,Source-29,f,t,t,t,f,t,f,f,f,f,t,Two-Day,FreeEconomy,USPS,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00029,MPIDRANDOM,REPLACED_ORDER_6097,SELLER_ORDER_8662,PO-5461,2025-01-10 18:11:28,Amazon.ca,Amazon.com,LongLeadTimeOrder,PartiallyShipped,GC,410.120000,USD,2025-01-31 18:11:28,2025-01-28 18:11:28,2025-02-03 00:00:00,2025-02-12 00:00:00,9,2,2025-02-06 00:00:28.112,2025-01-21 00:00:28.112,PendingSchedule,Processing,AFN,Source-89,f,t,t,f,f,f,f,t,f,f,t,Standard,FreeEconomy,DHL,Same-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00030,MPIDRANDOM,REPLACED_ORDER_3028,SELLER_ORDER_9512,PO-4926,2025-01-23 18:11:28,Amazon.com,Amazon.ca,LongLeadTimeOrder,PartiallyShipped,GC,93.620000,USD,2025-01-31 18:11:28,2025-01-21 18:11:28,2025-02-04 00:00:00,2025-02-04 00:00:00,3,6,2025-02-01 00:00:28.112,2025-01-25 00:00:28.112,PickedUp,Processing,AFN,Source-5,t,f,t,t,t,t,f,f,t,f,t,Same-Day,FreeEconomy,UPS,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00031,MPIDRANDOM,REPLACED_ORDER_5154,SELLER_ORDER_3883,PO-8946,2025-01-20 18:11:28,Amazon.com,Amazon.de,LongLeadTimeOrder,PartiallyShipped,GC,32.030000,USD,2025-02-01 18:11:28,2025-01-19 18:11:28,2025-02-02 00:00:00,2025-02-09 00:00:00,2,3,2025-02-01 00:00:28.112,2025-01-20 00:00:28.112,Delivered,Processing,AFN,Source-35,t,f,f,f,t,t,t,f,t,f,f,Expedited,FreeEconomy,USPS,Same-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00032,MPIDRANDOM,REPLACED_ORDER_6834,SELLER_ORDER_6137,PO-5178,2024-12-31 18:11:28,Amazon.ca,Amazon.com,LongLeadTimeOrder,PartiallyShipped,GC,262.960000,USD,2025-01-29 18:11:28,2025-01-14 18:11:28,2025-01-30 00:00:00,2025-02-02 00:00:00,4,8,2025-01-31 00:00:28.112,2025-01-19 00:00:28.112,OutForDelivery,Processing,MFN,Source-65,f,f,f,f,t,f,f,f,t,f,t,Two-Day,FreeEconomy,UPS,Standard,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00033,MPIDRANDOM,REPLACED_ORDER_7686,SELLER_ORDER_1937,PO-1416,2025-01-05 18:11:28,Amazon.de,Amazon.com,LongLeadTimeOrder,PartiallyShipped,GC,264.480000,USD,2025-01-28 18:11:28,2025-01-03 18:11:28,2025-02-04 00:00:00,2025-02-02 00:00:00,4,3,2025-02-04 00:00:28.112,2025-01-18 00:00:28.112,Delivered,Processing,AFN,Source-62,t,t,f,t,t,t,t,t,f,t,f,Same-Day,FreeEconomy,DHL,Standard,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00034,MPIDRANDOM,REPLACED_ORDER_3528,SELLER_ORDER_2244,PO-7731,2025-01-23 18:11:28,Amazon.ca,Amazon.com,LongLeadTimeOrder,PartiallyShipped,GC,455.390000,USD,2025-02-02 18:11:28,2025-01-07 18:11:28,2025-02-02 00:00:00,2025-02-09 00:00:00,4,7,2025-01-29 00:00:28.112,2025-01-19 00:00:28.112,PickedUp,Processing,AFN,Source-68,t,t,t,t,t,f,t,f,f,t,t,Two-Day,FreeEconomy,DHL,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00035,MPIDRANDOM,REPLACED_ORDER_8961,SELLER_ORDER_1667,PO-5338,2025-01-27 18:11:28,Amazon.ca,Amazon.ca,LongLeadTimeOrder,PartiallyShipped,GC,461.860000,USD,2025-01-29 18:11:28,2025-01-17 18:11:28,2025-02-01 00:00:00,2025-02-04 00:00:00,4,0,2025-01-30 00:00:28.112,2025-01-20 00:00:28.112,PendingDropoff,Processing,AFN,Source-35,f,t,t,f,f,t,f,t,f,t,f,Same-Day,FreeEconomy,FedEx,Standard,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00036,MPIDRANDOM,REPLACED_ORDER_5047,SELLER_ORDER_6436,PO-9596,2025-01-18 18:11:28,Amazon.ca,Amazon.de,LongLeadTimeOrder,PartiallyShipped,GC,145.690000,USD,2025-02-02 18:11:28,2025-01-07 18:11:28,2025-02-06 00:00:00,2025-02-02 00:00:00,1,6,2025-01-30 00:00:28.112,2025-01-24 00:00:28.112,LabelCanceled,Processing,MFN,Source-47,f,f,t,f,f,t,f,f,t,f,t,Same-Day,FreeEconomy,UPS,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,,CA
amazon_selling_partner.public,ORDER00037,MPIDRANDOM,REPLACED_ORDER_5227,SELLER_ORDER_8943,PO-8339,2025-01-02 18:11:28,Amazon.ca,Amazon.ca,LongLeadTimeOrder,PartiallyShipped,GC,132.710000,USD,2025-01-28 18:11:28,2025-01-27 18:11:28,2025-02-07 00:00:00,2025-02-05 00:00:00,7,7,2025-02-06 00:00:28.112,2025-01-23 00:00:28.112,PendingPickUp,Processing,AFN,Source-52,t,f,f,f,f,t,t,f,f,f,f,Two-Day,FreeEconomy,USPS,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,,CA
amazon_selling_partner.public,ORDER00038,MPIDRANDOM,REPLACED_ORDER_2647,SELLER_ORDER_1338,PO-2101,2025-01-06 18:11:28,Amazon.ca,Amazon.de,LongLeadTimeOrder,PartiallyShipped,GC,22.060000,USD,2025-01-30 18:11:28,2025-01-03 18:11:28,2025-02-07 00:00:00,2025-02-04 00:00:00,6,3,2025-02-01 00:00:28.112,2025-01-27 00:00:28.112,Damaged,NotRequired,AFN,Source-60,f,f,f,f,f,f,t,f,f,t,f,Two-Day,FreeEconomy,FedEx,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,,CA
