maprojid,typecategory,plannedcommit_ccnonexempt,plannedcommit_ccexempt,adopt_total,spent_ccnonexempt,magencyname,spent_citycost,commit_ccnonexempt,the_geom,adopt_noncitycost,allocate_nccstate,ccpversion,adopt_ccnonexempt,commit_nccstate,commit_noncitycost,allocate_noncitycost
826CI-119-L,Fixed Asset,0.0,13955000.0,164567000.0,0.0,Department of Environmental Protection,125060513.22,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.93145997540056, 40.58930889060733]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
126PV467BHT2,Fixed Asset,1380000.0,0.0,1392000.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94561164453064, 40.679921888890085]]}",0.0,0.0,fisa_2026,1392000.0,0.0,0.0,0.0
801GOVISLND2,Fixed Asset,1527000.0,0.0,1527000.0,0.0,Trust for Governors Island,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.01175579289215, 40.70099475772681]]}",0.0,0.0,fisa_2026,1527000.0,0.0,0.0,0.0
850HLDNSINAH,"ITT, Vehicles, and Equipment",364000.0,0.0,364000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94719262476242, 40.78232667215747]]}",0.0,0.0,fisa_2026,364000.0,0.0,0.0,0.0
850HLMNTOUCH,Fixed Asset,58000.0,0.0,58000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9469202348736, 40.82538157986862]]}",0.0,0.0,fisa_2026,58000.0,0.0,0.0,0.0
126PV176-REP,Fixed Asset,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.87875429517149, 40.84946304623942]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
126PV412TST,Fixed Asset,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92374452168823, 40.740329943818594]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
126PVN814DIA,Fixed Asset,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00613395625615, 40.747883875297084]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826PR-139-L,"ITT, Vehicles, and Equipment",0.0,59300000.0,67759000.0,0.0,Department of Environmental Protection,1891695.91,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.07658527562252, 40.643557396459165]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
071HH112THFC,Fixed Asset,1960000.0,0.0,1960000.0,76400.0,Department of Homeless Services,76400.0,3600.0,"{'type': 'MultiPoint', 'coordinates': [[-73.99087458723787, 40.725802697534846]]}",0.0,0.0,fisa_2026,1960000.0,0.0,0.0,0.0
850PW357ELEV,Fixed Asset,431000.0,0.0,9940000.0,7814310.11,Department of Design and Construction,7814310.11,256670.52,"{'type': 'MultiPoint', 'coordinates': [[-74.00747933560862, 40.713402453598505]]}",0.0,0.0,fisa_2026,9940000.0,0.0,0.0,0.0
850P109STARA,Fixed Asset,483000.0,0.0,6372000.0,5186104.72,Department of Design and Construction,5186104.72,142017.81,"{'type': 'MultiPoint', 'coordinates': [[-73.88240108620947, 40.83366391897209]]}",609000.0,0.0,fisa_2026,5763000.0,0.0,21776.0,9000.0
856PW77417TU,"ITT, Vehicles, and Equipment",4840000.0,0.0,4840000.0,0.0,Department of Citywide Administrative Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82799594232559, 40.713997803803785]]}",0.0,0.0,fisa_2026,4840000.0,0.0,0.0,0.0
81948201505,,10000.0,0.0,8500000.0,8368304.97,Health and Hospitals Corporation,8368304.97,122210.21,"{'type': 'MultiPoint', 'coordinates': [[-73.94276464557066, 40.69947973748775]]}",0.0,0.0,fisa_2026,8500000.0,0.0,0.0,0.0
850HLXNUCHXC,"ITT, Vehicles, and Equipment",55000.0,0.0,55000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.89597144399991, 40.86062876525241]]}",0.0,0.0,fisa_2026,55000.0,0.0,0.0,0.0
801CPCDRAIN,Fixed Asset,0.0,0.0,125000.0,109700.01,Department of Small Business Services,109700.01,15299.99,"{'type': 'MultiPoint', 'coordinates': [[-73.83299512896576, 40.77750778578028]]}",0.0,0.0,fisa_2026,125000.0,0.0,0.0,0.0
81967200901,Fixed Asset,296000.0,0.0,300000.0,3802.0,Health and Hospitals Corporation,3802.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94199971142721, 40.77037633596251]]}",0.0,0.0,fisa_2026,300000.0,0.0,0.0,0.0
846SANDY5-34,,0.0,0.0,173000.0,51236.23,Department of Parks and Recreation,51236.23,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.13611954544538, 40.640593719345965]]}",115000.0,0.0,fisa_2026,58000.0,0.0,0.0,-7.0
846P-101BPAR,Fixed Asset,66000.0,0.0,1579000.0,1380783.4,Department of Parks and Recreation,1380783.4,131266.91,"{'type': 'MultiPoint', 'coordinates': [[-73.91873777505005, 40.809536959353366]]}",0.0,0.0,fisa_2026,1579000.0,0.0,0.0,0.0
056SANDCD13,Fixed Asset,2000.0,0.0,11000.0,0.0,Police Department,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.01154394504891, 40.66684697950934]]}",9000.0,0.0,fisa_2026,2000.0,0.0,0.0,9000.0
846P-1SERTRF,Fixed Asset,-217000.0,0.0,560000.0,559730.76,Department of Parks and Recreation,559730.76,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.8508756258866, 40.82344467446638]]}",0.0,0.0,fisa_2026,560000.0,0.0,0.0,0.0
850HL82KNJSW,Fixed Asset,0.0,0.0,253000.0,252912.0,Department of Design and Construction,252912.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.93380264496116, 40.65956592531409]]}",0.0,0.0,fisa_2026,253000.0,0.0,0.0,0.0
806HAM13CLEV,Fixed Asset,713000.0,0.0,5610000.0,4452000.0,Housing Preservation and Development,4452000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94539360028539, 40.7940278263373]]}",0.0,0.0,fisa_2026,5610000.0,0.0,0.0,0.0
846P-1ANCH02,Fixed Asset,-4000.0,0.0,16976000.0,16974615.9,Department of Parks and Recreation,16974615.9,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.91190760664739, 40.81149667829575]]}",0.0,0.0,fisa_2026,16976000.0,0.0,0.0,0.0
826PS-293,Fixed Asset,0.0,117960000.0,118500000.0,0.0,Department of Environmental Protection,514852.98,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.83421749355269, 40.665048392899934]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801SAND1104,Fixed Asset,0.0,0.0,438000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.97534159168785, 40.738738695265624]]}",438000.0,0.0,fisa_2026,0.0,0.0,0.0,-66.31
039LQOZCCTV,"ITT, Vehicles, and Equipment",0.0,0.0,97000.0,97144.73,Queens Borough Public Library,97144.73,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.8464873662929, 40.68085388218084]]}",0.0,0.0,fisa_2026,97000.0,0.0,0.0,0.0
038LBK16HLRF,Fixed Asset,0.0,0.0,84000.0,0.0,Brooklyn Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9862398166661, 40.60565265178078]]}",0.0,0.0,fisa_2026,84000.0,0.0,0.0,0.0
850LNCA12EPH,Fixed Asset,2190000.0,0.0,2585000.0,382518.29,Department of Design and Construction,382518.29,12083.37,"{'type': 'MultiPoint', 'coordinates': [[-73.98205358923073, 40.738053695184675]]}",0.0,0.0,fisa_2026,2585000.0,0.0,0.0,0.0
850PWMNEQPS,Fixed Asset,0.0,0.0,472000.0,621813.92,Department of Design and Construction,621813.92,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9229773847173, 40.86428367008778]]}",0.0,0.0,fisa_2026,472000.0,0.0,0.0,0.0
801PWMLGSVC1,Lump Sum,856000.0,0.0,856000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.0010640180398, 40.73800939955126]]}",0.0,0.0,fisa_2026,856000.0,0.0,0.0,0.0
806HAM12MCPL,Fixed Asset,40000.0,0.0,209000.0,143443.12,Housing Preservation and Development,143443.12,25736.31,"{'type': 'MultiPoint', 'coordinates': [[-73.95000307317667, 40.69722177863985]]}",0.0,0.0,fisa_2026,209000.0,0.0,0.0,0.0
072C75VLAUND,"ITT, Vehicles, and Equipment",28000.0,0.0,1858000.0,693590.66,Department of Correction,693590.66,1021440.2,"{'type': 'MultiPoint', 'coordinates': [[-73.87730461856628, 40.803413679280325]]}",0.0,0.0,fisa_2026,1858000.0,0.0,0.0,0.0
801RISALTMAR,,0.0,0.0,4629000.0,2469907.93,Department of Small Business Services,2469907.93,1635.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9229585142471, 40.7959186561915]]}",2158000.0,84810.4,fisa_2026,2471000.0,0.0,0.0,84810.4
826RH-83,Fixed Asset,0.0,115098000.0,127991000.0,0.0,Department of Environmental Protection,5638592.77,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.97253372784586, 40.69836848824281]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
826WI-293-L,Fixed Asset,0.0,0.0,0.0,0.0,Department of Environmental Protection,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.92191746406428, 40.787444971672976]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
841HWD10111,Lump Sum,500000.0,0.0,500000.0,0.0,Department of Transportation,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96614883107881, 40.58666054843264]]}",0.0,0.0,fisa_2026,500000.0,0.0,0.0,0.0
846P-213SNPK,Lump Sum,1487000.0,0.0,11976000.0,1456198.04,Department of Parks and Recreation,1456198.04,5191350.99,"{'type': 'MultiPoint', 'coordinates': [[-73.98419526555118, 40.5940293132827]]}",1000000.0,1000000.0,fisa_2026,10976000.0,0.0,0.0,1000000.0
111PO185-OIL,"ITT, Vehicles, and Equipment",0.0,0.0,309000.0,308629.52,Unknown,308629.52,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.90989632639035, 40.73369959554833]]}",0.0,0.0,fisa_2026,309000.0,0.0,0.0,0.0
850HLDNTHEIN,,174000.0,0.0,534000.0,359931.27,Department of Design and Construction,359931.27,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.90901641520826, 40.84959791681745]]}",0.0,0.0,fisa_2026,534000.0,0.0,0.0,0.0
072C75RMPWR,Fixed Asset,0.0,0.0,1057000.0,552308.88,Department of Correction,552308.88,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.88263961827633, 40.7911176814872]]}",0.0,0.0,fisa_2026,1057000.0,0.0,0.0,0.0
846SANDY4-22,Fixed Asset,0.0,0.0,3112000.0,438482.76,Department of Parks and Recreation,438482.76,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82393940348348, 40.58212457414958]]}",2675000.0,0.0,fisa_2026,437000.0,0.0,0.0,56.31
806HAM16HPBR,"ITT, Vehicles, and Equipment",1000000.0,0.0,1000000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.91857447133447, 40.696212292600826]]}",0.0,0.0,fisa_2026,1000000.0,0.0,0.0,0.0
850HWKF488R,Fixed Asset,195000.0,0.0,4976000.0,4714009.94,Department of Design and Construction,4714009.94,67347.76,"{'type': 'MultiPoint', 'coordinates': [[-73.99796953851373, 40.66938577737405]]}",0.0,0.0,fisa_2026,4976000.0,0.0,0.0,0.0
826RO-2,Fixed Asset,0.0,94700000.0,106368000.0,0.0,Department of Environmental Protection,2976468.25,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82941110742652, 40.58435716426798]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
856PW771C21,Fixed Asset,12500000.0,0.0,12500000.0,0.0,Department of Citywide Administrative Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00360979067985, 40.712930994869936]]}",0.0,0.0,fisa_2026,12500000.0,0.0,0.0,0.0
850HWD10501A,"ITT, Vehicles, and Equipment",0.0,0.0,6568000.0,3789840.32,Department of Design and Construction,4254029.75,511039.56,"{'type': 'MultiPoint', 'coordinates': [[-73.86156284530358, 40.83297816243404], [-73.86155851776203, 40.833321246888055], [-73.86084963967973, 40.83360584360427]]}",7000.0,0.0,fisa_2026,6001000.0,0.0,278.0,1660.0
850LNCA15RSD,Fixed Asset,50000.0,0.0,566000.0,469342.35,Department of Design and Construction,469342.35,43629.89,"{'type': 'MultiPoint', 'coordinates': [[-73.90268360503946, 40.90367765996679]]}",0.0,0.0,fisa_2026,566000.0,0.0,0.0,0.0
846P-408VAN2,Fixed Asset,0.0,0.0,4369000.0,4194494.66,Department of Parks and Recreation,4194494.66,174467.7,"{'type': 'MultiPoint', 'coordinates': [[-73.77379965537965, 40.7372026880845], [-73.76831465748307, 40.73474868877445], [-73.75535566183142, 40.73671568788094]]}",0.0,0.0,fisa_2026,4369000.0,0.0,0.0,0.0
819QHC2,Fixed Asset,494000.0,0.0,52806000.0,52310866.18,Health and Hospitals Corporation,52310866.18,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.80567803959342, 40.717728114743736]]}",0.0,0.0,fisa_2026,52806000.0,0.0,0.0,0.0
806NDOWLING,Fixed Asset,800000.0,0.0,2500000.0,1700000.0,Housing Preservation and Development,1700000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94712378289653, 40.80990292826983]]}",0.0,0.0,fisa_2026,2500000.0,0.0,0.0,0.0
111NYPD5DATA,"ITT, Vehicles, and Equipment",0.0,0.0,22220000.0,22165718.36,Unknown,22165718.36,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00179492650251, 40.71220221190995]]}",0.0,0.0,fisa_2026,22220000.0,0.0,0.0,0.0
850CC1C3,Fixed Asset,0.0,0.0,8846000.0,8525235.57,Department of Design and Construction,8525235.57,263158.83,"{'type': 'MultiPoint', 'coordinates': [[-74.00363083463479, 40.7129511062112]]}",0.0,0.0,fisa_2026,8846000.0,0.0,0.0,0.0
850HLDNMOUNS,"ITT, Vehicles, and Equipment",0.0,0.0,60000.0,0.0,Department of Design and Construction,0.0,60000.0,"{'type': 'MultiPoint', 'coordinates': [[-73.97122070678476, 40.76311377805793]]}",0.0,0.0,fisa_2026,60000.0,0.0,0.0,0.0
846P-1GIGP01,Fixed Asset,0.0,0.0,1528000.0,395041.54,Department of Parks and Recreation,909844.54,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.8870817101407, 40.898901360324]]}",619000.0,8.0,fisa_2026,395000.0,0.0,0.0,8.0
126PVN042PH2,Fixed Asset,1953000.0,0.0,1953000.0,0.0,Department of Cultural Affairs,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.97267550656343, 40.78945536883878]]}",0.0,0.0,fisa_2026,1953000.0,0.0,0.0,0.0
801PWQCHPOMK,Lump Sum,4500000.0,0.0,4500000.0,0.0,Department of Small Business Services,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.84891490978688, 40.737171614902564]]}",0.0,0.0,fisa_2026,4500000.0,0.0,0.0,0.0
806NVIAVERDE,Fixed Asset,500000.0,0.0,2000000.0,1500000.0,Housing Preservation and Development,1500000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.91226302019449, 40.81890356934491]]}",0.0,0.0,fisa_2026,2000000.0,0.0,0.0,0.0
850PW77GLDWN,Fixed Asset,264000.0,0.0,264000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00323729425911, 40.71013739291633]]}",0.0,0.0,fisa_2026,264000.0,0.0,0.0,0.0
846SANDY5-25,,0.0,0.0,436000.0,332476.31,Department of Parks and Recreation,332476.31,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.06293657060878, 40.614997722048585]]}",103000.0,0.0,fisa_2026,333000.0,0.0,0.0,312.5
850LBCA07FBH,Fixed Asset,0.0,0.0,1892000.0,1805116.82,Department of Design and Construction,1805116.82,61873.11,"{'type': 'MultiPoint', 'coordinates': [[-73.95826673418892, 40.65189309277049]]}",0.0,0.0,fisa_2026,1892000.0,0.0,0.0,0.0
039LQLHCCTV,"ITT, Vehicles, and Equipment",0.0,0.0,133000.0,133163.58,Queens Borough Public Library,133163.58,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.8683291299342, 40.75735226698416]]}",0.0,0.0,fisa_2026,133000.0,0.0,0.0,0.0
039LQQ122-MT,Fixed Asset,0.0,0.0,4300000.0,4300000.0,Queens Borough Public Library,4300000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.82691444689537, 40.77111754331194]]}",0.0,0.0,fisa_2026,4300000.0,0.0,0.0,0.0
827S136-251V,Fixed Asset,-10000.0,0.0,4825000.0,4831841.26,Department of Sanitation,4831841.26,0.02,"{'type': 'MultiPoint', 'coordinates': [[-73.90788966364181, 40.73403286834829]]}",0.0,0.0,fisa_2026,4825000.0,0.0,0.0,0.0
850PWDLEGVAN,"ITT, Vehicles, and Equipment",453000.0,0.0,453000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00966243498573, 40.7040425455752]]}",0.0,0.0,fisa_2026,453000.0,0.0,0.0,0.0
850HLDNTOMO,Fixed Asset,2000.0,0.0,822000.0,0.0,Department of Design and Construction,0.0,820299.0,"{'type': 'MultiPoint', 'coordinates': [[-73.95255832331522, 40.765041219522224]]}",0.0,0.0,fisa_2026,822000.0,0.0,0.0,0.0
841STGWIRERP,Fixed Asset,0.0,0.0,8992000.0,3099869.35,Department of Transportation,3099869.35,154343.34,"{'type': 'MultiPoint', 'coordinates': [[-74.0724634956494, 40.64402942587329]]}",5728000.0,0.0,fisa_2026,3264000.0,0.0,1541.93,16076.68
846P-109NOBE,Fixed Asset,40000.0,0.0,2253000.0,2170660.18,Department of Parks and Recreation,2170660.18,42835.48,"{'type': 'MultiPoint', 'coordinates': [[-73.87254461850986, 40.83753067217322]]}",0.0,0.0,fisa_2026,2253000.0,0.0,0.0,0.0
806HAM16MODC,Fixed Asset,1000000.0,0.0,1000000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.8653598755409, 40.82371911152435]]}",0.0,0.0,fisa_2026,1000000.0,0.0,0.0,0.0
801C5234,Fixed Asset,0.0,0.0,18063000.0,1222786.21,Department of Small Business Services,1222786.21,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.0145725384008, 40.70129361445998]]}",8976000.0,0.0,fisa_2026,9087000.0,0.0,0.0,5760364.49
850HLDNIMEDI,"ITT, Vehicles, and Equipment",305000.0,0.0,305000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.93736600629641, 40.67843136577362]]}",0.0,0.0,fisa_2026,305000.0,0.0,0.0,0.0
827S186-224,Fixed Asset,903000.0,0.0,211467000.0,194466684.85,Department of Sanitation,194466684.85,14895148.18,"{'type': 'MultiPoint', 'coordinates': [[-73.92620662798565, 40.708836718851174]]}",367000.0,0.0,fisa_2026,211100000.0,0.0,18310.9,782.0
037LNCA10FWT,"ITT, Vehicles, and Equipment",0.0,0.0,40000.0,40302.0,New York Public Library,40302.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.93403866700658, 40.84757144498613]]}",0.0,0.0,fisa_2026,40000.0,0.0,0.0,0.0
846P-3BENNSF,Fixed Asset,607000.0,0.0,1819000.0,1192364.28,Department of Parks and Recreation,1192364.28,284376.81,"{'type': 'MultiPoint', 'coordinates': [[-73.9380485966898, 40.85299167108309]]}",0.0,0.0,fisa_2026,1819000.0,0.0,0.0,0.0
846P-200BAND,"ITT, Vehicles, and Equipment",80000.0,0.0,1463000.0,1273542.2,Department of Parks and Recreation,1273542.2,109106.16,"{'type': 'MultiPoint', 'coordinates': [[-73.97665466096913, 40.66339720790605]]}",0.0,0.0,fisa_2026,1463000.0,0.0,0.0,0.0
057FQ175W275,Fixed Asset,221000.0,0.0,500000.0,278998.04,Fire Department,278998.04,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.78108665562878, 40.69344269687885]]}",0.0,0.0,fisa_2026,500000.0,0.0,0.0,0.0
801P-213CNTR,Fixed Asset,0.0,0.0,16100000.0,16100000.0,Department of Small Business Services,16100000.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.9715537525019, 40.57498696818567]]}",0.0,0.0,fisa_2026,16100000.0,0.0,0.0,0.0
81968201161,Fixed Asset,29000.0,0.0,11762000.0,11676650.31,Health and Hospitals Corporation,11676650.31,16488.24,"{'type': 'MultiPoint', 'coordinates': [[-73.94173628328191, 40.803249866092294]]}",0.0,0.0,fisa_2026,11762000.0,0.0,0.0,0.0
806NJAMSR,,1500000.0,0.0,1500000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.81739552150515, 40.700397615033964]]}",0.0,0.0,fisa_2026,1500000.0,0.0,0.0,0.0
