preleave,learnteendv,prehotline,learnhr,rhy,preage,date
0,1,0,1,2,2,2008-02-05T00:00:00.000
0,1,1,1,2,2,2013-03-13T00:00:00.000
0,1,1,1,2,2,2009-02-04T00:00:00.000
0,9,1,9,9,1,2012-11-03T00:00:00.000
0,1,1,1,2,2,2008-07-23T00:00:00.000
0,1,1,1,2,2,2008-08-13T00:00:00.000
0,1,1,1,2,2,2008-01-24T00:00:00.000
1,1,1,1,2,2,2008-11-26T00:00:00.000
0,1,0,1,2,2,2008-08-06T00:00:00.000
0,1,0,1,2,2,2008-07-10T00:00:00.000
0,1,1,1,2,2,2008-04-21T00:00:00.000
0,1,1,1,2,2,2008-02-12T00:00:00.000
0,1,1,1,2,2,2008-08-05T00:00:00.000
0,1,1,1,2,2,2008-02-07T00:00:00.000
1,1,0,2,2,1,2014-06-13T00:00:00.000
0,1,0,2,2,2,2007-11-03T00:00:00.000
0,1,0,1,2,2,2008-02-05T00:00:00.000
0,1,0,1,2,2,2008-08-02T00:00:00.000
0,1,1,1,2,2,2008-02-07T00:00:00.000
1,1,1,1,2,2,2008-08-05T00:00:00.000
0,1,1,1,2,2,2008-12-04T00:00:00.000
0,1,1,1,2,2,2008-08-05T00:00:00.000
1,1,1,1,2,2,2008-08-19T00:00:00.000
0,1,1,1,2,2,2007-11-03T00:00:00.000
0,1,0,1,2,2,2008-02-28T00:00:00.000
0,1,1,1,2,2,2008-10-16T00:00:00.000
0,1,1,1,2,2,2008-10-06T00:00:00.000
0,1,1,1,1,2,2008-07-01T00:00:00.000
1,1,1,1,1,2,2008-02-12T00:00:00.000
1,1,0,1,2,2,2008-02-09T00:00:00.000
0,1,0,1,1,2,2008-09-20T00:00:00.000
0,1,0,1,2,2,2008-09-20T00:00:00.000
0,1,1,1,2,2,2008-07-02T00:00:00.000
0,9,1,9,9,2,2008-04-28T00:00:00.000
0,1,0,1,2,2,2008-03-12T00:00:00.000
0,1,0,1,2,2,2008-07-01T00:00:00.000
0,1,1,1,2,2,2008-07-24T00:00:00.000
0,9,1,9,2,2,2008-11-17T00:00:00.000
0,1,1,1,2,2,2009-02-04T00:00:00.000
0,1,1,1,2,2,2008-08-06T00:00:00.000
0,1,1,1,2,2,2008-10-16T00:00:00.000
0,1,1,1,2,2,2008-07-09T00:00:00.000
0,1,1,1,2,2,2008-02-12T00:00:00.000
0,1,1,1,2,1,2011-11-12T00:00:00.000
0,1,1,1,2,2,2008-10-20T00:00:00.000
0,9,1,9,9,2,2008-07-01T00:00:00.000
1,2,1,1,2,2,2009-01-31T00:00:00.000
0,1,1,1,2,2,2009-02-04T00:00:00.000
0,1,1,1,2,2,2008-11-13T00:00:00.000
0,1,1,1,2,1,2009-01-31T00:00:00.000
1,9,1,1,2,2,2007-11-16T00:00:00.000
0,2,1,2,2,2,2008-01-17T00:00:00.000
0,2,0,2,2,1,2016-02-27T00:00:00.000
0,1,1,1,2,2,2008-09-20T00:00:00.000
0,1,0,1,2,1,2009-03-14T00:00:00.000
0,1,1,1,2,2,2008-07-10T00:00:00.000
0,2,1,1,2,2,2008-08-14T00:00:00.000
0,1,0,1,9,2,2008-07-02T00:00:00.000
0,1,1,1,2,1,2012-08-21T00:00:00.000
0,1,0,1,2,1,2009-03-14T00:00:00.000
0,1,1,1,2,2,2008-12-04T00:00:00.000
0,1,0,1,2,2,2008-11-19T00:00:00.000
1,1,1,1,2,2,2008-09-17T00:00:00.000
1,2,0,2,9,1,2011-04-04T00:00:00.000
1,1,1,1,2,2,2007-11-03T00:00:00.000
0,1,0,1,2,2,2008-08-06T00:00:00.000
0,2,1,1,2,2,2008-08-11T00:00:00.000
0,1,1,1,2,2,2008-03-12T00:00:00.000
0,1,1,1,2,1,2012-05-10T00:00:00.000
1,1,1,1,2,2,2008-02-12T00:00:00.000
1,1,0,1,2,2,2008-12-13T00:00:00.000
0,1,1,1,2,1,2012-03-23T00:00:00.000
0,1,0,1,2,2,2008-08-04T00:00:00.000
