site_id,:@computed_region_sbqj_enih,bbl,city
qu-12-118471,61,4099350034.0,New York
mn-10-119951,18,1019300030.0,New York
mn-07-134385,15,1018810003.0,New York
qu-08-156954,65,,New York
qu-12-156309,71,4123530424.0,New York
mn-08-121140,11,1013847502.0,New York
mn-07-136701,15,1018410003.0,New York
mn-08-135937,11,1013960022.0,New York
mn-09-111874,19,1020790061.0,New York
mn-06-137127,9,1013610049.0,New York
mn-11-120199,16,1016870001.0,New York
mn-09-141129,19,1020880036.0,New York
mn-11-143074,14,1016350033.0,New York
qu-09-145982,60,4092300017.0,New York
mn-10-119982,18,1018280061.0,New York
qu-04-125330,68,4015020006.0,New York
mn-07-137419,15,1018450002.0,New York
mn-11-116230,16,1016650048.0,New York
qu-12-154850,71,4123670234.0,New York
si-02-125467,76,5036910011.0,New York
mn-07-135581,15,1018700030.0,New York
mn-07-121239,12,1012287501.0,New York
mn-09-134415,17,1018820063.0,New York
mn-10-119944,20,1019390029.0,New York
mn-10-120024,18,1019090033.0,New York
mn-08-121017,11,1015140039.0,New York
qu-01-145958,72,4004020012.0,New York
mn-07-120927,12,1011190001.0,New York
mn-10-119959,18,1019230029.0,New York
qu-09-124798,60,4088530125.0,New York
mn-07-107814,12,1012330016.0,New York
si-02-125463,76,5039600002.0,New York
mn-07-121228,12,1012280013.0,New York
mn-12-120328,21,1021220058.0,New York
mn-11-120224,14,1016330040.0,New York
mn-07-120609,15,1012430036.0,New York
mn-07-120392,15,1018750046.0,New York
mn-07-134467,12,1011387501.0,New York
mn-08-121759,11,1014180021.0,New York
mn-10-137181,18,1019310061.0,New York
mn-07-120611,15,1012410036.0,New York
mn-08-120998,11,1014310001.0,New York
mn-07-108008,15,1018527502.0,New York
mn-12-157170,22,1022030021.0,New York
qu-09-124799,60,4089220001.0,New York
qu-01-146035,72,4007350001.0,New York
mn-08-121758,11,1014170028.0,New York
mn-10-119896,20,1020447501.0,New York
mn-08-121980,11,1013760021.0,New York
mn-10-102771,18,1019260061.0,New York
si-02-145807,76,5036720001.0,New York
mn-08-121048,11,1014950057.0,New York
mn-11-120249,16,1016430052.0,New York
mn-10-142813,18,1019297504.0,New York
qu-04-145914,68,4015440027.0,New York
mn-11-120180,16,1016227501.0,New York
mn-08-134746,11,1015310029.0,New York
mn-07-137400,12,1011397503.0,New York
mn-12-120461,21,1021070059.0,New York
qu-09-135034,60,4093280001.0,New York
mn-12-131054,22,1021730029.0,New York
mn-09-146052,17,1019570200.0,New York
mn-11-120218,14,1016240033.0,New York
mn-06-136296,9,1009130028.0,New York
qu-12-123850,71,4109880001.0,New York
qu-12-141553,61,4102090002.0,New York
mn-11-132876,14,1016550045.0,New York
qu-09-145885,60,4088400149.0,New York
qu-02-145742,66,4023920023.0,New York
mn-12-135063,21,1021160001.0,New York
mn-06-137977,9,1012967502.0,New York
qu-01-140214,72,4007480008.0,New York
mn-08-121750,11,1014197502.0,New York
mn-06-137023,9,1013630004.0,New York
mn-07-136685,15,1018440001.0,New York
mn-07-133403,12,1011647501.0,New York
qu-09-145878,60,4092240031.0,New York
qu-01-145986,72,4006680005.0,New York
qu-06-124907,70,4020840101.0,New York
mn-07-121103,15,1012210001.0,New York
mn-07-133679,15,1012210029.0,New York
qu-12-123858,71,4110320001.0,New York
mn-06-143917,9,1013137501.0,New York
mn-07-121323,12,1011397502.0,New York
mn-10-138120,20,1019590001.0,New York
qu-02-145778,66,4023247501.0,New York
si-02-145728,76,5039830001.0,New York
mn-06-136486,7,1008700024.0,New York
si-02-145823,76,5036150005.0,New York
mn-12-118138,22,1021490093.0,New York
mn-10-120062,20,1020310029.0,New York
mn-09-142532,17,1019700001.0,New York
qu-01-133970,72,4005950009.0,New York
qu-04-136456,68,4014920001.0,New York
si-02-145737,76,5036440001.0,New York
mn-08-121767,11,1014350049.0,New York
mn-10-119942,20,1020280016.0,New York
mn-09-134690,17,1018830059.0,New York
qu-03-133667,73,4012920048.0,New York
mn-07-133635,15,1012400052.0,New York
si-01-158932,74,5000620106.0,New York
qu-06-145955,70,4032380014.0,New York
mn-11-107836,14,1016270034.0,New York
qu-02-141373,66,4000440001.0,New York
mn-07-121235,12,1012317501.0,New York
mn-09-118226,19,1020727501.0,New York
mn-09-142953,17,1019630060.0,New York
mn-09-134828,19,1020920036.0,New York
mn-10-118276,18,1018300064.0,New York
mn-09-146082,17,1019820029.0,New York
mn-09-145978,17,1019680001.0,New York
qu-01-125163,72,4006310026.0,New York
mn-07-107927,12,1012270006.0,New York
mn-09-111985,19,1020940032.0,New York
qu-01-145951,72,4006920008.0,New York
mn-07-107744,15,1018610029.0,New York
mn-10-119952,18,1019310027.0,New York
qu-01-145952,72,4006470041.0,New York
si-02-145829,76,5033050008.0,New York
mn-07-134449,12,1011407502.0,New York
mn-12-120663,22,1021580062.0,New York
qu-09-126733,60,4089190001.0,New York
mn-10-137852,18,1019040061.0,New York
si-01-159857,74,5007160001.0,New York
qu-02-145787,66,4023137501.0,New York
mn-11-120235,16,1017710033.0,New York
mn-08-138568,11,1014350030.0,New York
mn-11-120250,16,1016440121.0,New York
mn-12-120681,21,1021230084.0,New York
mn-07-134275,12,1011387502.0,New York
qu-01-146089,72,4008380014.0,New York
mn-11-146077,14,1016340035.0,New York
qu-12-154374,71,4122920001.0,New York
mn-08-136620,11,1015320004.0,New York
mn-12-111735,21,1021170001.0,New York
mn-07-120400,15,1018810001.0,New York
mn-07-133488,12,1011390014.0,New York
mn-07-107980,15,1018430061.0,New York
mn-10-120002,18,1019530030.0,New York
mn-07-133413,12,1011430064.0,New York
mn-08-121058,11,1014970052.0,New York
mn-08-120978,11,1014010033.0,New York
mn-09-120554,17,1019690001.0,New York
qu-02-145744,66,4023137501.0,New York
qu-02-146051,66,4000500028.0,New York
qu-01-125085,72,4006130005.0,New York
mn-07-134708,15,1012260029.0,New York
mn-12-120796,21,1021410033.0,New York
qu-01-125148,72,4006800046.0,New York
mn-10-119886,20,1020270001.0,New York
mn-07-120513,15,1018680044.0,New York
