sp0310b,pr0914,ct2000_09,congressdistrict_14,communitydistrict_14,electiondistrict_14,civilcourtdistrict_08,communitydistrict_15,electiondistrict_15,sp0216,communitydistrict_10,senatedistrict_09,congressdistrict_13,sp0416,communitydistrict_13,sp0909,councildistrict_12,pr0612,senatedistrict_15,pp12,pr10,politicalparty_16,civilcourtdistrict_09,politicalparty_10,borocode_11,sp0517,borocode_12,sp0310a,borocode_17,electiondistrict_13,assemblydistrict_08,pr0918,sp2018,ct2010_10,ct2010_15,communitydistrict_11,senatedistrict_16
,,1058.0,16.0,212.0,38.0,4.0,212.0,38.0,,305.0,19.0,8.0,,305.0,,42.0,,36.0,,,DEM,4.0,IND,3.0,,3.0,,2.0,78.0,40.0,0.0,,105804.0,38000.0,305.0,36.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
,0.0,233.0,8.0,303.0,33.0,2.0,303.0,33.0,,303.0,18.0,8.0,,303.0,,36.0,1.0,25.0,,0.0,DEM,2.0,DEM,3.0,,3.0,,3.0,33.0,57.0,1.0,,23300.0,23300.0,303.0,25.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,307.0,65.0,,,,,,,,,,20.0,,,DEM,,,,,,,3.0,,,0.0,,,7600.0,,20.0
,0.0,954.0,8.0,318.0,56.0,4.0,318.0,56.0,,318.0,19.0,8.0,1.0,318.0,,46.0,0.0,19.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,56.0,41.0,1.0,,69601.0,69601.0,318.0,19.0
,0.0,347.0,14.0,403.0,51.0,2.0,403.0,51.0,,403.0,13.0,14.0,,403.0,,21.0,,13.0,,0.0,DEM,2.0,DEM,4.0,,4.0,0.0,4.0,51.0,35.0,0.0,,34700.0,34700.0,403.0,13.0
,0.0,20901.0,13.0,109.0,101.0,7.0,109.0,101.0,,109.0,30.0,13.0,,109.0,,7.0,0.0,30.0,,0.0,DEM,7.0,DEM,1.0,0.0,1.0,,1.0,101.0,69.0,0.0,,20901.0,20901.0,109.0,30.0
,0.0,,12.0,103.0,34.0,,103.0,34.0,,,,,,,,,,27.0,,,DEM,,,,,,,1.0,,,0.0,0.0,,3400.0,,27.0
,,329.0,9.0,318.0,32.0,4.0,318.0,32.0,,309.0,20.0,9.0,,318.0,,45.0,,21.0,,0.0,BLK,4.0,DEM,3.0,,3.0,,3.0,32.0,43.0,,,32900.0,73400.0,309.0,21.0
,0.0,222.0,15.0,204.0,9.0,10.0,204.0,6.0,,204.0,30.0,15.0,,204.0,,16.0,,29.0,,0.0,DEM,10.0,DEM,2.0,,2.0,,2.0,9.0,70.0,0.0,,21100.0,21100.0,204.0,29.0
,0.0,53.0,12.0,401.0,3.0,1.0,401.0,3.0,,401.0,12.0,12.0,,401.0,,22.0,,12.0,,0.0,DEM,1.0,DEM,4.0,,4.0,,4.0,3.0,36.0,0.0,,5300.0,5300.0,401.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,4.0,,,,,,,,14.0
,0.0,855.0,6.0,407.0,22.0,6.0,407.0,22.0,,407.0,16.0,6.0,,407.0,,20.0,0.0,16.0,,0.0,DEM,6.0,DEM,4.0,,4.0,,4.0,22.0,22.0,0.0,,85500.0,85500.0,407.0,16.0
,,,6.0,405.0,16.0,,405.0,16.0,,,,6.0,,405.0,,30.0,,15.0,,,BLK,,,,,4.0,,4.0,16.0,,,,,63700.0,,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,46201.0,16.0,210.0,87.0,1.0,210.0,87.0,,210.0,36.0,16.0,,210.0,,12.0,0.0,36.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,4.0,87.0,82.0,1.0,,46201.0,46201.0,210.0,14.0
,,,,,,,,,,,,,,,,,,,,,WEP,,,,,,,4.0,,,,,,,,12.0
,,23102.0,13.0,110.0,12.0,10.0,110.0,12.0,,110.0,30.0,13.0,,110.0,,7.0,,30.0,,,BLK,10.0,BLK,1.0,0.0,1.0,,1.0,12.0,71.0,,,25900.0,25900.0,110.0,30.0
,,,13.0,112.0,67.0,,112.0,67.0,,,,,,,,,,31.0,,,DEM,,,,,,,1.0,,,1.0,,,30700.0,,31.0
,0.0,205.0,8.0,302.0,87.0,6.0,302.0,87.0,,302.0,20.0,8.0,,302.0,,35.0,0.0,26.0,,0.0,DEM,6.0,DEM,3.0,,3.0,,3.0,87.0,57.0,1.0,,54300.0,54300.0,302.0,26.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,4.0,,,0.0,,,,,14.0
,,696.0,8.0,318.0,60.0,8.0,318.0,60.0,,318.0,27.0,8.0,0.0,318.0,,46.0,0.0,19.0,0.0,0.0,REP,8.0,REP,3.0,,3.0,,3.0,60.0,59.0,,,69602.0,69602.0,318.0,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14401.0,12.0,108.0,64.0,6.0,108.0,64.0,,108.0,26.0,12.0,,108.0,,5.0,0.0,28.0,0.0,0.0,REP,6.0,REP,1.0,,1.0,,1.0,64.0,65.0,,,14401.0,14401.0,108.0,28.0
,0.0,804.0,9.0,309.0,22.0,6.0,309.0,22.0,,309.0,20.0,9.0,,309.0,,40.0,0.0,20.0,,1.0,DEM,6.0,DEM,3.0,,3.0,,3.0,22.0,43.0,1.0,,80400.0,80400.0,309.0,20.0
,,274.0,14.0,210.0,49.0,1.0,210.0,49.0,,210.0,34.0,14.0,,210.0,,13.0,0.0,34.0,0.0,0.0,REP,1.0,REP,2.0,,2.0,,2.0,49.0,82.0,,,27402.0,27402.0,210.0,34.0
,,21602.0,14.0,209.0,53.0,1.0,209.0,53.0,,209.0,32.0,14.0,,209.0,,18.0,0.0,32.0,0.0,0.0,REP,1.0,REP,2.0,,2.0,,2.0,53.0,76.0,,0.0,21602.0,21602.0,209.0,32.0
,,117201.0,7.0,305.0,46.0,7.0,305.0,46.0,,305.0,17.0,7.0,,305.0,,37.0,,18.0,,,BLK,7.0,BLK,3.0,,3.0,,3.0,46.0,54.0,,,117201.0,117201.0,305.0,18.0
,,,12.0,106.0,64.0,,,,,,,12.0,,106.0,,2.0,,,,,,,,,,1.0,,1.0,64.0,,,,,,,
,1.0,1501.0,10.0,101.0,8.0,1.0,101.0,8.0,,101.0,25.0,10.0,0.0,101.0,,1.0,,26.0,,1.0,DEM,1.0,DEM,1.0,,1.0,,1.0,8.0,64.0,1.0,,1501.0,1501.0,101.0,26.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,
,,14602.0,12.0,108.0,67.0,6.0,108.0,67.0,,108.0,26.0,12.0,,108.0,,5.0,0.0,28.0,0.0,0.0,REP,6.0,REP,1.0,,1.0,,1.0,67.0,65.0,,,14602.0,14602.0,108.0,28.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,0.0,,,,,29.0
,,,,,,,315.0,35.0,,,,,,,,,,22.0,,,DEM,,,,,,,3.0,,,0.0,,,38800.0,,22.0
,,,5.0,414.0,28.0,,414.0,28.0,,414.0,,5.0,,414.0,,31.0,0.0,15.0,0.0,,REP,,REP,4.0,,4.0,,4.0,28.0,,0.0,,103202.0,103202.0,414.0,15.0
,0.0,,13.0,205.0,23.0,,205.0,23.0,,,,13.0,,205.0,,16.0,1.0,29.0,,,DEM,,,,,2.0,,2.0,23.0,,0.0,,,20501.0,,29.0
,0.0,387.0,8.0,303.0,21.0,2.0,207.0,16.0,,303.0,18.0,8.0,,303.0,,41.0,0.0,33.0,,0.0,DEM,2.0,DEM,3.0,,3.0,,2.0,21.0,56.0,1.0,,38700.0,25300.0,303.0,33.0
,,59401.0,9.0,315.0,77.0,8.0,315.0,77.0,,315.0,27.0,9.0,,315.0,,48.0,,19.0,,,BLK,8.0,BLK,3.0,,3.0,,3.0,77.0,45.0,,,59401.0,59401.0,315.0,19.0
,,1483.0,3.0,411.0,30.0,6.0,411.0,30.0,,411.0,11.0,3.0,,411.0,,19.0,0.0,11.0,0.0,0.0,REP,6.0,REP,4.0,,4.0,,4.0,30.0,26.0,0.0,,148300.0,148300.0,411.0,11.0
,1.0,65.0,10.0,102.0,63.0,1.0,102.0,63.0,,102.0,29.0,10.0,,102.0,,3.0,,27.0,,1.0,DEM,1.0,DEM,1.0,,1.0,,1.0,63.0,66.0,0.0,,6500.0,6500.0,102.0,27.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,0.0,,,,,25.0
,,,14.0,404.0,2.0,,404.0,2.0,,,,,,,,,,13.0,,,REP,,,,,,,4.0,,,,,,46700.0,,13.0
,0.0,265.0,13.0,112.0,73.0,7.0,112.0,73.0,,112.0,31.0,13.0,,112.0,,7.0,0.0,31.0,,0.0,DEM,7.0,DEM,1.0,,1.0,,1.0,73.0,71.0,0.0,,26500.0,26500.0,112.0,31.0
,0.0,1210.0,8.0,305.0,19.0,7.0,,,,305.0,19.0,8.0,,305.0,,42.0,0.0,,,0.0,DEM,7.0,DEM,3.0,,3.0,,3.0,19.0,40.0,1.0,,121000.0,,305.0,19.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,2.0,,,0.0,,,,,29.0
,,748.0,9.0,318.0,51.0,6.0,318.0,51.0,,318.0,19.0,9.0,,318.0,,45.0,,21.0,,,BLK,6.0,BLK,3.0,,3.0,,3.0,51.0,42.0,,,74800.0,74800.0,318.0,21.0
,0.0,577.0,6.0,405.0,12.0,3.0,405.0,12.0,,405.0,15.0,6.0,,405.0,0.0,30.0,0.0,12.0,,0.0,DEM,3.0,DEM,4.0,,4.0,,4.0,12.0,38.0,0.0,,57700.0,57700.0,405.0,12.0
,,33.0,13.0,110.0,52.0,1.0,110.0,21.0,,110.0,25.0,13.0,,110.0,,9.0,0.0,30.0,0.0,0.0,REP,1.0,REP,1.0,0.0,1.0,,1.0,52.0,64.0,,,23000.0,22200.0,110.0,30.0
,,515.0,12.0,301.0,43.0,3.0,301.0,43.0,,301.0,17.0,12.0,,301.0,,33.0,,18.0,,,BLK,3.0,BLK,3.0,,3.0,,3.0,43.0,50.0,,,51500.0,51500.0,301.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,208.0,,,,1.0,,,,209.0,32.0,15.0,,204.0,,18.0,,,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,60.0,76.0,0.0,,22200.0,,209.0,36.0
,0.0,153.0,15.0,203.0,19.0,1.0,203.0,19.0,0.0,203.0,32.0,15.0,,203.0,,16.0,,32.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,19.0,79.0,0.0,0.0,15300.0,15300.0,203.0,32.0
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,3.0,,,,,,,,22.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,1.0,,,,,26.0
,0.0,207.0,11.0,501.0,21.0,1.0,501.0,21.0,,501.0,23.0,11.0,,501.0,,49.0,,23.0,,0.0,DEM,1.0,DEM,5.0,,5.0,,5.0,21.0,61.0,0.0,,20700.0,20700.0,501.0,23.0
,0.0,10601.0,12.0,106.0,33.0,4.0,106.0,33.0,,106.0,26.0,12.0,,106.0,,5.0,,28.0,,1.0,DEM,4.0,DEM,1.0,,1.0,,1.0,33.0,73.0,1.0,,10601.0,10601.0,106.0,28.0
,0.0,309.0,8.0,308.0,59.0,2.0,308.0,59.0,,308.0,20.0,8.0,,308.0,,36.0,0.0,25.0,,0.0,DEM,2.0,DEM,3.0,,3.0,,3.0,59.0,56.0,0.0,,30900.0,30900.0,308.0,25.0
,,,,,,,502.0,49.0,,,,,,,,,,24.0,,,DEM,,,,,,,5.0,,,0.0,,,17700.0,,24.0
,0.0,,15.0,201.0,60.0,,201.0,60.0,0.0,,,15.0,,201.0,,,,32.0,,,DEM,,,,,,,2.0,60.0,,0.0,0.0,,7500.0,,32.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,54.0,12.0,105.0,1.0,9.0,105.0,1.0,,105.0,29.0,12.0,,105.0,,3.0,,27.0,,0.0,DEM,9.0,DEM,1.0,,1.0,,1.0,1.0,66.0,0.0,,5400.0,5400.0,105.0,27.0
,0.0,48.0,12.0,106.0,61.0,4.0,106.0,61.0,,106.0,29.0,12.0,,106.0,,2.0,,28.0,,0.0,DEM,4.0,DEM,1.0,,1.0,,1.0,61.0,74.0,1.0,0.0,4800.0,4800.0,106.0,28.0
,0.0,1058.0,8.0,305.0,77.0,4.0,305.0,77.0,,305.0,19.0,8.0,,305.0,,42.0,0.0,19.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,77.0,40.0,0.0,,105804.0,105804.0,305.0,19.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,2.0,,,0.0,0.0,,,,32.0
,,,,,,,303.0,38.0,,,,,,,,,,25.0,,,DEM,,,,,,,3.0,,,1.0,,,23300.0,,25.0
,0.0,525.0,7.0,103.0,26.0,3.0,103.0,26.0,,103.0,25.0,7.0,,103.0,,2.0,,27.0,,0.0,DEM,3.0,DEM,1.0,,1.0,,1.0,26.0,50.0,1.0,0.0,2400.0,2400.0,103.0,27.0
,0.0,335.0,9.0,309.0,63.0,4.0,,,,309.0,20.0,9.0,,309.0,,35.0,0.0,,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,63.0,43.0,0.0,,33500.0,,309.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14.0,401.0,34.0,,407.0,12.0,,401.0,,14.0,,401.0,,22.0,,11.0,,,DEM,,BLK,4.0,,4.0,,4.0,34.0,,0.0,,11700.0,99701.0,401.0,11.0
,,120.0,12.0,108.0,55.0,6.0,108.0,54.0,,108.0,26.0,12.0,,108.0,,4.0,,28.0,,,BLK,6.0,BLK,1.0,,1.0,,1.0,55.0,73.0,,,12000.0,12000.0,108.0,28.0
,,738.0,9.0,318.0,27.0,8.0,318.0,27.0,,318.0,27.0,9.0,,318.0,,45.0,0.0,19.0,0.0,0.0,REP,8.0,REP,3.0,,3.0,,3.0,27.0,41.0,,,73800.0,73800.0,318.0,19.0
,0.0,1008.0,5.0,412.0,49.0,5.0,412.0,49.0,,,14.0,5.0,,412.0,,28.0,0.0,10.0,,,DEM,5.0,,,,4.0,,4.0,49.0,23.0,0.0,,,28800.0,,10.0
,1.0,283.0,8.0,303.0,8.0,2.0,303.0,8.0,,303.0,18.0,8.0,,303.0,,36.0,1.0,18.0,,1.0,DEM,2.0,DEM,3.0,,3.0,,3.0,8.0,54.0,1.0,,28300.0,28300.0,303.0,18.0
,0.0,96.0,7.0,307.0,37.0,5.0,307.0,37.0,,307.0,20.0,7.0,,307.0,,38.0,0.0,20.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,37.0,51.0,1.0,,9600.0,9600.0,307.0,25.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,731.0,6.0,406.0,19.0,2.0,406.0,19.0,,406.0,15.0,6.0,,406.0,,29.0,,15.0,,,BLK,4.0,BLK,4.0,,4.0,,4.0,19.0,39.0,,,73100.0,73100.0,406.0,15.0
,,245.0,,,,2.0,,,,303.0,18.0,,,,,36.0,0.0,,,0.0,DEM,2.0,DEM,3.0,,3.0,,3.0,,57.0,1.0,,24500.0,,303.0,25.0
,0.0,739.0,6.0,406.0,31.0,4.0,406.0,31.0,,406.0,10.0,6.0,,406.0,,29.0,0.0,16.0,,0.0,DEM,4.0,DEM,4.0,,4.0,,4.0,31.0,28.0,0.0,,73900.0,73900.0,406.0,16.0
,0.0,,7.0,301.0,63.0,,301.0,63.0,,,,7.0,,301.0,,33.0,1.0,18.0,,,DEM,,,,,3.0,,3.0,63.0,,0.0,,,54500.0,,18.0
,0.0,,14.0,403.0,18.0,,403.0,18.0,,,,14.0,,403.0,,,,13.0,,,DEM,,,,,,,4.0,18.0,,0.0,0.0,,28100.0,,13.0
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,3.0,,,,,,,,18.0
,0.0,20602.0,14.0,209.0,65.0,1.0,209.0,65.0,,209.0,32.0,14.0,,209.0,,18.0,,34.0,,1.0,DEM,1.0,DEM,2.0,,2.0,,2.0,65.0,76.0,1.0,,22200.0,22200.0,209.0,34.0
,,,7.0,301.0,1.0,,111.0,54.0,,,,7.0,,301.0,,34.0,,29.0,,,BLK,,,,,3.0,,1.0,1.0,,,,,18000.0,,29.0
,0.0,77903.0,6.0,408.0,17.0,6.0,408.0,17.0,,408.0,14.0,6.0,,408.0,,24.0,0.0,14.0,,0.0,DEM,6.0,DEM,4.0,,4.0,,4.0,17.0,25.0,0.0,,77903.0,77903.0,408.0,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
0.0,0.0,234.0,10.0,312.0,20.0,5.0,,,,312.0,21.0,10.0,,312.0,,44.0,,,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,20.0,48.0,0.0,,23400.0,,312.0,17.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,1.0,,,,,18.0
,,255.0,13.0,112.0,61.0,7.0,112.0,61.0,,112.0,31.0,13.0,,112.0,,7.0,0.0,31.0,0.0,0.0,REP,7.0,REP,1.0,,1.0,,1.0,61.0,71.0,,,25500.0,25500.0,112.0,31.0
,0.0,205.0,13.0,205.0,25.0,2.0,205.0,25.0,,205.0,28.0,13.0,,205.0,,16.0,0.0,29.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,25.0,77.0,0.0,,20501.0,20501.0,205.0,29.0
,0.0,962.0,8.0,315.0,89.0,4.0,315.0,89.0,,318.0,19.0,8.0,,315.0,,46.0,0.0,23.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,4.0,89.0,59.0,1.0,,96200.0,62200.0,318.0,23.0
,0.0,1130.0,8.0,305.0,51.0,4.0,305.0,51.0,,305.0,19.0,8.0,,305.0,,42.0,1.0,19.0,,1.0,DEM,4.0,DEM,3.0,,3.0,,3.0,51.0,40.0,0.0,,113000.0,113000.0,305.0,19.0
,,,10.0,312.0,45.0,6.0,312.0,45.0,,,,10.0,,312.0,,39.0,,17.0,,,BLK,,,,,3.0,,3.0,45.0,44.0,,,,49400.0,,17.0
,0.0,663.0,6.0,405.0,7.0,3.0,405.0,7.0,,405.0,15.0,6.0,,405.0,,30.0,1.0,15.0,,1.0,DEM,3.0,DEM,4.0,,4.0,,4.0,7.0,28.0,1.0,,66300.0,66300.0,405.0,15.0
,,,13.0,112.0,34.0,,112.0,34.0,,,,13.0,,112.0,,10.0,,31.0,,,BLK,,,,,1.0,,1.0,34.0,,,,,27900.0,,31.0
,0.0,,8.0,303.0,38.0,,303.0,38.0,,,,8.0,,303.0,,36.0,,25.0,,,DEM,,,,,3.0,,3.0,38.0,,0.0,,,23300.0,,25.0
,1.0,225.0,15.0,204.0,40.0,2.0,204.0,40.0,,204.0,28.0,15.0,,204.0,,16.0,,29.0,,1.0,DEM,2.0,DEM,2.0,,2.0,,2.0,40.0,77.0,0.0,,22500.0,22500.0,204.0,29.0
,0.0,94202.0,5.0,414.0,32.0,5.0,414.0,32.0,,414.0,14.0,5.0,,414.0,,31.0,1.0,10.0,,1.0,DEM,5.0,DEM,4.0,,4.0,,4.0,32.0,31.0,1.0,,94202.0,94202.0,414.0,10.0
,1.0,134.0,12.0,108.0,37.0,6.0,108.0,37.0,,108.0,26.0,12.0,,108.0,,5.0,,28.0,,0.0,DEM,6.0,DEM,1.0,,1.0,,5.0,37.0,65.0,1.0,,13400.0,13400.0,108.0,28.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,
,0.0,20801.0,11.0,503.0,22.0,2.0,503.0,22.0,,503.0,24.0,11.0,0.0,503.0,,51.0,,24.0,,0.0,DEM,2.0,DEM,5.0,,5.0,,5.0,22.0,62.0,0.0,,20801.0,20801.0,503.0,24.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,0.0,,,,,26.0
,0.0,422.0,5.0,412.0,24.0,4.0,412.0,24.0,,412.0,14.0,5.0,,412.0,,27.0,0.0,14.0,,0.0,DEM,4.0,DEM,4.0,,4.0,,4.0,24.0,29.0,1.0,,42400.0,42400.0,412.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,12.0,108.0,77.0,,108.0,77.0,,,,12.0,,108.0,,,,28.0,,,DEM,,,,,,,1.0,77.0,,1.0,,,14801.0,,28.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,1.0,,,1.0,,,,,29.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,0.0,,,,,21.0
,0.0,112.0,10.0,312.0,14.0,5.0,312.0,14.0,,312.0,20.0,10.0,,312.0,,39.0,,17.0,,0.0,DEM,5.0,DEM,3.0,,3.0,,3.0,14.0,51.0,1.0,,11200.0,11200.0,312.0,17.0
,0.0,7.0,11.0,501.0,2.0,1.0,501.0,2.0,,501.0,23.0,11.0,,501.0,,49.0,,23.0,,0.0,DEM,1.0,DEM,5.0,,5.0,,5.0,2.0,61.0,1.0,,700.0,700.0,501.0,23.0
,0.0,123.0,14.0,401.0,55.0,1.0,401.0,55.0,,401.0,12.0,14.0,,401.0,,22.0,,13.0,,0.0,DEM,1.0,DEM,4.0,,4.0,,4.0,55.0,36.0,0.0,,12301.0,12301.0,401.0,13.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,0.0,,,,,22.0
,0.0,,15.0,204.0,11.0,,204.0,11.0,,206.0,,15.0,,204.0,,16.0,,29.0,,0.0,DEM,,DEM,2.0,,2.0,,2.0,11.0,,0.0,,39300.0,21302.0,206.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
,0.0,121.0,10.0,104.0,71.0,3.0,104.0,71.0,,104.0,29.0,10.0,,104.0,,3.0,,27.0,,1.0,DEM,3.0,DEM,1.0,,1.0,,1.0,71.0,75.0,1.0,,12100.0,12100.0,104.0,27.0
,,443.0,7.0,304.0,64.0,3.0,304.0,64.0,,304.0,17.0,7.0,,304.0,,37.0,,18.0,,,BLK,3.0,BLK,3.0,,3.0,,3.0,64.0,53.0,,,44300.0,44300.0,304.0,18.0
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,3.0,,,1.0,,,,,20.0
,0.0,265.0,13.0,112.0,75.0,7.0,112.0,75.0,,112.0,31.0,13.0,,112.0,,7.0,0.0,31.0,,0.0,DEM,7.0,DEM,1.0,,1.0,,1.0,75.0,71.0,0.0,,26500.0,26500.0,112.0,31.0
,0.0,340.0,8.0,313.0,10.0,8.0,313.0,10.0,,313.0,23.0,8.0,,313.0,,47.0,0.0,23.0,,0.0,DEM,8.0,DEM,3.0,,3.0,,3.0,10.0,46.0,0.0,,34000.0,34000.0,313.0,23.0
,0.0,,12.0,108.0,51.0,4.0,108.0,51.0,,108.0,,12.0,,108.0,,5.0,,28.0,,0.0,DEM,,DEM,1.0,,1.0,,1.0,51.0,28.0,1.0,,13600.0,13600.0,108.0,28.0
,1.0,488.0,10.0,312.0,18.0,5.0,312.0,18.0,,312.0,21.0,10.0,,312.0,,39.0,,21.0,,1.0,DEM,5.0,DEM,3.0,,3.0,,3.0,18.0,44.0,1.0,,48800.0,48800.0,312.0,21.0
,0.0,137.0,12.0,105.0,87.0,9.0,105.0,87.0,,105.0,26.0,12.0,,105.0,,4.0,,28.0,,0.0,DEM,9.0,DEM,1.0,,1.0,,1.0,87.0,75.0,1.0,,13700.0,13700.0,105.0,28.0
,1.0,380.0,16.0,212.0,33.0,1.0,212.0,33.0,,212.0,36.0,16.0,,212.0,,12.0,0.0,36.0,,1.0,DEM,1.0,DEM,2.0,,2.0,,2.0,33.0,83.0,1.0,,38000.0,38000.0,212.0,36.0
,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,1.0,,,,,,,,27.0
,,252.0,14.0,211.0,56.0,1.0,211.0,56.0,,211.0,34.0,14.0,,211.0,,13.0,,34.0,,,BLK,1.0,BLK,2.0,,2.0,,2.0,56.0,80.0,,,25200.0,25200.0,211.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,DEM,,,,,,,,,,0.0,,,,,31.0
,0.0,,11.0,503.0,68.0,,503.0,68.0,,503.0,,11.0,0.0,503.0,,50.0,,24.0,,,DEM,,DEM,5.0,,5.0,,5.0,68.0,,0.0,,13800.0,13800.0,503.0,24.0
