pr0614,nta_18,ge08,nta_09,assemblydistrict_18,civilcourtdistrict_14,pr11,electiondistrict_17,pp08,civilcourtdistrict_17,senatedistrict_13,ct2010_12,ct2010_13,senatedistrict_08,congressdistrict_16,electiondistrict_08,ge14,civilcourtdistrict_15,nta_14,civilcourtdistrict_12,ge16,nta_10,congressdistrict_08,ct2010_18,ge09,assemblydistrict_16,councildistrict_14,nta_15,ge15,sp0209,assemblydistrict_12,borocode_10
,BK81,0.0,BK81,55,4.0,,94.0,0.0,4.0,20.0,89200.0,89200.0,19.0,9.0,89.0,0.0,4.0,BK81,4.0,0.0,BK81,11.0,89200,0.0,55.0,41.0,BK81,,,55.0,3.0
,BK77,,,54,7.0,,37.0,,7.0,18.0,43700.0,43700.0,,7.0,,0.0,7.0,BK77,7.0,0.0,,,43700,,54.0,37.0,BK77,,,54.0,
,BX44,1.0,BK93,83,1.0,,38.0,,1.0,19.0,105804.0,105804.0,19.0,16.0,106.0,0.0,1.0,BX44,4.0,1.0,BK93,10.0,38000,0.0,83.0,12.0,BX44,,,60.0,3.0
,BK60,,,43,,,,,,,,,,,,,,,,,,,80200,,,,,,,,
,BK75,1.0,BK75,57,2.0,,33.0,0.0,2.0,25.0,23300.0,23300.0,18.0,8.0,106.0,1.0,2.0,BK75,2.0,1.0,BK75,10.0,23300,1.0,57.0,35.0,BK75,,,57.0,3.0
,MN33,,,68,,,,,,,,,,,,,,,,,,,16200,,,,,,,,
,BK32,,,51,,,65.0,,5.0,,,,,7.0,,,5.0,,,1.0,,,7600,,51.0,,BK32,,,,
,BK45,0.0,BK50,59,8.0,,56.0,1.0,8.0,19.0,69601.0,69601.0,19.0,8.0,8.0,1.0,8.0,BK45,8.0,1.0,BK45,10.0,69601,0.0,59.0,46.0,BK45,0.0,,59.0,3.0
,QN28,1.0,QN28,35,2.0,,51.0,,2.0,13.0,34700.0,34700.0,13.0,14.0,3.0,0.0,2.0,QN28,2.0,0.0,QN28,7.0,34700,0.0,35.0,21.0,QN28,,0.0,35.0,4.0
0.0,MN09,1.0,MN09,69,7.0,,101.0,0.0,7.0,30.0,20901.0,20901.0,30.0,13.0,95.0,0.0,7.0,MN09,7.0,0.0,MN09,15.0,20901,0.0,69.0,7.0,MN09,,,69.0,1.0
,MN22,,,74,2.0,,34.0,,2.0,,,,,12.0,,1.0,2.0,MN22,,1.0,,,3400,,74.0,2.0,MN22,,,,
,BK58,1.0,BK60,41,8.0,,32.0,0.0,8.0,21.0,73400.0,73400.0,20.0,9.0,44.0,1.0,8.0,BK58,8.0,1.0,BK60,11.0,73400,0.0,41.0,45.0,BK58,,,41.0,3.0
0.0,BX26,1.0,MN11,77,2.0,,9.0,,2.0,29.0,21100.0,21100.0,30.0,15.0,14.0,0.0,2.0,BX26,2.0,1.0,BX26,15.0,21100,1.0,77.0,16.0,BX26,,,77.0,2.0
,QN70,1.0,QN70,36,1.0,,3.0,1.0,1.0,12.0,5300.0,5300.0,12.0,12.0,69.0,0.0,1.0,QN70,1.0,1.0,QN70,14.0,5300,0.0,36.0,22.0,QN70,,,36.0,4.0
,BX31,,,83,,,,,,,,,,,,,,,,,,,34200,,,,,,,,
,QN66,,,29,,,52.0,,4.0,,,,,5.0,,,,,,1.0,,,68200,,29.0,,,,,,
,QN22,0.0,QN22,40,6.0,,22.0,,6.0,16.0,85500.0,85500.0,16.0,6.0,27.0,0.0,6.0,QN22,6.0,0.0,QN22,5.0,85500,0.0,40.0,20.0,QN22,,,40.0,4.0
,QN19,,,28,3.0,,16.0,,3.0,15.0,63700.0,63700.0,,6.0,,0.0,3.0,QN19,3.0,0.0,,,63700,,28.0,30.0,QN19,,,28.0,
,BK42,,,42,,,,,,,,,,,,,,,,,,,51400,,,,,,,,
,QN06,1.0,BX13,24,1.0,,27.0,1.0,4.0,36.0,46201.0,46201.0,36.0,5.0,87.0,1.0,1.0,BX13,1.0,1.0,BX13,7.0,49200,0.0,24.0,12.0,BX13,,,82.0,2.0
,QN20,,,37,,,68.0,,3.0,,,,,7.0,,,,,,1.0,,,59100,,37.0,,,,,,
,MN03,1.0,MN03,71,10.0,,102.0,,10.0,30.0,25900.0,25900.0,30.0,13.0,6.0,0.0,10.0,MN03,10.0,0.0,MN03,15.0,25900,0.0,71.0,9.0,MN03,,,71.0,1.0
,MN01,,,72,7.0,,67.0,,7.0,,,,,13.0,,1.0,7.0,MN01,,1.0,,,30700,,72.0,10.0,MN01,,,,
,BK38,1.0,BK64,52,3.0,,87.0,1.0,3.0,26.0,54300.0,54300.0,20.0,8.0,38.0,1.0,3.0,BK99,3.0,1.0,BK99,11.0,3700,0.0,50.0,35.0,BK99,,,50.0,3.0
,QN06,,,29,,,36.0,,4.0,,,,,5.0,,,,,,1.0,,,47800,,29.0,,,,,,
,BK45,1.0,BK45,59,8.0,,60.0,0.0,8.0,19.0,69602.0,69602.0,27.0,8.0,69.0,0.0,8.0,BK45,8.0,1.0,BK45,9.0,69602,0.0,59.0,46.0,BK45,0.0,,59.0,3.0
,QN63,,,34,,,,,,,,,,,,,,,,,,,26100,,,,,,,,
,MN32,1.0,MN32,76,6.0,,64.0,0.0,6.0,28.0,14401.0,14401.0,26.0,12.0,70.0,0.0,6.0,MN32,6.0,1.0,MN32,14.0,14401,1.0,76.0,5.0,MN32,,,76.0,1.0
,BK60,1.0,BK60,43,6.0,,22.0,1.0,6.0,20.0,80400.0,80400.0,20.0,9.0,84.0,1.0,6.0,BK60,6.0,1.0,BK60,11.0,80400,1.0,43.0,40.0,BK60,,,43.0,3.0
,BX10,1.0,BX10,82,1.0,,49.0,0.0,1.0,34.0,27402.0,27402.0,34.0,14.0,49.0,1.0,1.0,BX10,1.0,1.0,BX10,7.0,27402,1.0,82.0,13.0,BX10,,,82.0,2.0
,BX46,0.0,BX46,87,1.0,,53.0,1.0,1.0,32.0,21602.0,21602.0,32.0,14.0,27.0,0.0,1.0,BX46,1.0,0.0,BX46,7.0,21602,0.0,87.0,18.0,BX46,,,87.0,2.0
,BK83,0.0,BK83,54,7.0,,46.0,,7.0,18.0,117201.0,117201.0,17.0,7.0,58.0,0.0,7.0,BK83,7.0,0.0,BK83,12.0,117201,0.0,54.0,37.0,BK83,,,54.0,3.0
,MN23,,,66,4.0,,64.0,,4.0,28.0,6400.0,6400.0,,,,0.0,,MN21,4.0,,,,6700,,,2.0,,,,74.0,
,MN25,1.0,MN25,65,1.0,,8.0,1.0,1.0,26.0,1501.0,1501.0,25.0,10.0,12.0,0.0,1.0,MN25,1.0,1.0,MN25,8.0,1501,1.0,65.0,1.0,MN25,,,65.0,1.0
,QN02,,,32,,,15.0,,2.0,,,,,,,,,,,,,,33000,,,,,,,,
,QN54,,,28,,,5.0,,4.0,,,,,,,,,,,,,,13200,,,,,,,,
,MN32,1.0,MN32,76,6.0,,67.0,0.0,6.0,28.0,14602.0,14602.0,26.0,12.0,74.0,0.0,6.0,MN32,6.0,1.0,MN32,14.0,14602,0.0,76.0,5.0,MN32,,,76.0,1.0
,MN12,,,67,,,63.0,,5.0,,,,,10.0,,,,,,1.0,,,16100,,67.0,,,,,,
,BK25,,,45,,,35.0,,8.0,,,,,11.0,,,8.0,,,1.0,,,38800,,45.0,,BK25,,,,
,QN15,,,23,5.0,,28.0,,5.0,15.0,103202.0,103202.0,,5.0,,0.0,5.0,QN15,5.0,0.0,QN15,,103202,,23.0,31.0,QN15,,,23.0,4.0
,MN12,1.0,MN12,69,5.0,,30.0,,5.0,30.0,17700.0,17700.0,30.0,10.0,15.0,0.0,5.0,MN12,5.0,1.0,MN12,15.0,17700,0.0,69.0,6.0,MN12,,,69.0,1.0
,QN35,1.0,QN35,24,4.0,,50.0,0.0,4.0,11.0,23000.0,23000.0,14.0,6.0,51.0,0.0,4.0,QN35,4.0,1.0,QN35,6.0,23000,0.0,24.0,24.0,QN35,,,24.0,4.0
,SI08,,,63,,,,,,,,,,,,,,,,,,,4700,,,,,,,,
,MN34,0.0,MN34,68,8.0,,89.0,,8.0,30.0,19400.0,19400.0,30.0,13.0,89.0,0.0,8.0,MN34,8.0,0.0,MN34,15.0,19400,0.0,68.0,8.0,MN34,,,68.0,1.0
,QN70,1.0,QN70,36,1.0,,2.0,1.0,1.0,12.0,4500.0,4500.0,12.0,12.0,71.0,1.0,1.0,QN70,1.0,1.0,QN70,14.0,4500,1.0,36.0,22.0,QN70,,,36.0,4.0
0.0,BX05,1.0,BX05,78,2.0,,28.0,1.0,2.0,33.0,40702.0,40702.0,33.0,13.0,69.0,0.0,2.0,BX05,2.0,1.0,BX05,16.0,40702,0.0,78.0,15.0,BX05,,,78.0,2.0
0.0,MN35,1.0,MN35,72,7.0,,97.0,1.0,7.0,31.0,27900.0,27900.0,31.0,13.0,34.0,0.0,7.0,MN35,7.0,1.0,MN35,15.0,27900,0.0,72.0,10.0,MN35,,,72.0,1.0
,BK82,0.0,BK82,55,7.0,,45.0,0.0,7.0,18.0,119800.0,119800.0,17.0,7.0,41.0,0.0,7.0,BK82,7.0,0.0,BK82,10.0,119800,0.0,55.0,37.0,BK82,,,55.0,3.0
,BX49,0.0,BX49,80,1.0,,16.0,0.0,1.0,34.0,22404.0,22404.0,32.0,14.0,25.0,0.0,1.0,BX49,1.0,0.0,BX49,7.0,22404,0.0,80.0,13.0,BX49,,,80.0,2.0
,QN55,,,32,4.0,,31.0,,4.0,10.0,,17000.0,,5.0,,0.0,4.0,QN55,,1.0,,,17000,,32.0,28.0,QN55,,,,
,QN28,,,34,,,10.0,,2.0,,,,,14.0,,,,,,0.0,,,32900,,34.0,,,,,,
,MN33,1.0,MN33,68,6.0,,51.0,,6.0,30.0,16200.0,16200.0,28.0,13.0,46.0,0.0,6.0,MN33,6.0,1.0,MN33,15.0,16200,1.0,68.0,8.0,MN33,,,68.0,1.0
,QN51,0.0,QN51,40,6.0,,6.0,0.0,6.0,11.0,105900.0,105900.0,11.0,6.0,3.0,0.0,6.0,QN51,6.0,0.0,QN51,5.0,105900,0.0,40.0,19.0,QN51,,,40.0,4.0
,BK37,,,52,1.0,,113.0,,6.0,26.0,,700.0,,9.0,,0.0,1.0,BK09,,1.0,,,13300,,52.0,33.0,BK09,,,,
,SI45,,,62,,,63.0,,2.0,,,,,11.0,,,,,,1.0,,,11402,,62.0,,,,,,
,BK38,1.0,BK38,52,1.0,,32.0,1.0,1.0,25.0,4100.0,4100.0,18.0,8.0,67.0,1.0,1.0,BK38,1.0,1.0,BK38,10.0,4100,1.0,52.0,33.0,BK38,,,52.0,3.0
,BK50,0.0,BK50,59,4.0,,75.0,,4.0,19.0,102400.0,102400.0,19.0,8.0,7.0,0.0,4.0,BK50,4.0,0.0,BK50,10.0,102400,0.0,59.0,46.0,BK50,0.0,,59.0,3.0
,QN28,,,35,2.0,,50.0,,2.0,13.0,34700.0,34700.0,,14.0,,0.0,2.0,QN28,2.0,0.0,,,34700,,35.0,22.0,QN28,,,35.0,
,MN20,,,74,4.0,,69.0,,4.0,28.0,,6600.0,,12.0,,0.0,4.0,MN20,,0.0,,,6600,,74.0,2.0,MN20,,,,
,BK31,,,51,,,59.0,,5.0,,,,,11.0,,,,,,1.0,,,6800,,51.0,,,,,,
,BK82,0.0,BK82,60,7.0,,36.0,1.0,7.0,19.0,112400.0,112400.0,19.0,8.0,47.0,0.0,7.0,BK82,7.0,1.0,BK82,10.0,112400,0.0,60.0,42.0,BK82,0.0,,60.0,3.0
,BK69,1.0,BK69,57,1.0,,42.0,0.0,1.0,25.0,19900.0,19900.0,18.0,8.0,53.0,0.0,1.0,BK69,1.0,0.0,BK69,10.0,19900,0.0,57.0,35.0,BK69,,,57.0,3.0
0.0,BX14,,MN06,77,2.0,,41.0,,2.0,29.0,22500.0,22500.0,,15.0,,0.0,2.0,BX14,2.0,0.0,MN06,,22500,,77.0,14.0,BX14,,,77.0,1.0
,BK42,,,42,,,,,,,,,,,,,,,,,,,152200,,,,,,,,
,MN40,1.0,MN40,73,9.0,,89.0,,9.0,28.0,15801.0,15801.0,26.0,12.0,101.0,1.0,9.0,MN40,9.0,1.0,MN40,14.0,15801,1.0,73.0,4.0,MN40,,,73.0,1.0
,QN41,1.0,QN41,25,6.0,,17.0,1.0,6.0,11.0,134700.0,134700.0,16.0,6.0,79.0,1.0,6.0,QN41,6.0,1.0,QN41,9.0,134100,1.0,25.0,23.0,QN41,0.0,,25.0,4.0
,BK73,,,50,,,,,,,,,,,,,,,,,,,51500,,,,,,,,
,BK35,1.0,BK35,56,2.0,,45.0,0.0,2.0,25.0,38500.0,38500.0,18.0,8.0,76.0,0.0,2.0,BK35,2.0,1.0,BK35,10.0,38500,0.0,56.0,36.0,BK35,,,56.0,3.0
,QN12,,,23,,,85.0,,5.0,,,,,5.0,,,,,,1.0,,,94203,,23.0,,,,,,
,MN24,,,65,,,65.0,,2.0,,,,,,,,,,,,,,4100,,,,,,,,
,BX44,,,83,1.0,,46.0,,1.0,36.0,,39400.0,,16.0,,0.0,1.0,BX44,,1.0,,,39400,,83.0,12.0,BX44,,,,
,BK76,,,50,3.0,,10.0,,3.0,26.0,,57300.0,,12.0,,0.0,3.0,BK76,,0.0,,,57300,,50.0,33.0,BK76,,,,
0.0,MN35,1.0,MN35,72,7.0,,41.0,1.0,7.0,31.0,28500.0,28500.0,31.0,13.0,41.0,0.0,7.0,MN35,7.0,0.0,MN35,15.0,28500,0.0,72.0,10.0,MN35,,,72.0,1.0
1.0,MN28,1.0,MN28,65,2.0,,46.0,,2.0,26.0,1001.0,1001.0,25.0,7.0,77.0,1.0,2.0,MN28,2.0,1.0,MN28,14.0,1001,0.0,65.0,1.0,MN28,,,65.0,1.0
0.0,BX01,0.0,BX01,79,2.0,,33.0,0.0,2.0,33.0,14702.0,14702.0,36.0,15.0,38.0,0.0,2.0,BX01,2.0,0.0,BX01,16.0,14702,0.0,79.0,16.0,BX01,,,79.0,2.0
0.0,BX17,0.0,BX17,79,2.0,,87.0,1.0,2.0,33.0,36501.0,36501.0,33.0,15.0,9.0,0.0,2.0,BX17,2.0,1.0,BX17,16.0,36501,1.0,79.0,15.0,BX17,,,79.0,2.0
,QN46,1.0,QN46,26,6.0,,69.0,,6.0,11.0,111300.0,111300.0,11.0,6.0,57.0,1.0,6.0,QN46,6.0,1.0,QN46,5.0,111300,1.0,26.0,19.0,QN46,,,26.0,4.0
,MN32,1.0,MN32,76,6.0,,74.0,0.0,6.0,28.0,14402.0,14402.0,26.0,12.0,84.0,1.0,6.0,MN32,6.0,1.0,MN32,14.0,14402,1.0,76.0,5.0,MN32,,,76.0,1.0
1.0,MN35,,,72,7.0,,45.0,,7.0,31.0,28500.0,28500.0,,13.0,,0.0,7.0,MN35,7.0,1.0,,,28500,,72.0,10.0,MN35,,,72.0,
,QN54,,,38,,,70.0,,3.0,,,,,5.0,,,,,,0.0,,,11000,,38.0,,,,,,
,BK32,1.0,BK32,51,5.0,,63.0,1.0,5.0,20.0,2200.0,2200.0,23.0,7.0,61.0,1.0,5.0,BK32,5.0,1.0,BK32,12.0,2200,1.0,51.0,38.0,BK32,,,51.0,3.0
,MN36,,,71,,,69.0,,7.0,,,,,13.0,,,7.0,,,1.0,,,26500,,71.0,,MN36,,,,
,MN15,0.0,MN15,67,3.0,,1.0,0.0,3.0,31.0,12900.0,12900.0,29.0,10.0,76.0,0.0,3.0,MN15,3.0,0.0,MN15,8.0,12900,0.0,67.0,3.0,MN15,,,67.0,1.0
,MN21,,,74,,,55.0,,9.0,,,,,12.0,,,,,,1.0,,,5000,,74.0,,,,,,
,BK73,0.0,BK37,50,3.0,,97.0,0.0,3.0,18.0,14300.0,51900.0,18.0,12.0,15.0,0.0,3.0,BK73,5.0,1.0,BK37,12.0,51900,0.0,50.0,33.0,BK73,,,51.0,3.0
,BK31,1.0,MN23,64,1.0,,87.0,,1.0,27.0,7100.0,7100.0,29.0,10.0,99.0,0.0,1.0,MN23,1.0,1.0,MN23,8.0,3600,0.0,66.0,3.0,MN23,,,66.0,1.0
,QN43,1.0,QN43,33,4.0,,9.0,,4.0,11.0,161700.0,161700.0,11.0,3.0,5.0,1.0,4.0,QN43,4.0,1.0,QN43,6.0,161700,1.0,33.0,23.0,QN43,0.0,,33.0,4.0
0.0,BX01,1.0,BX01,78,2.0,,64.0,0.0,2.0,33.0,38500.0,38500.0,33.0,15.0,11.0,0.0,2.0,BX01,2.0,1.0,BX01,16.0,38500,0.0,78.0,15.0,BX01,,,78.0,2.0
,QN21,1.0,QN21,30,3.0,,9.0,0.0,3.0,15.0,66900.0,66900.0,15.0,6.0,10.0,1.0,3.0,QN21,3.0,1.0,QN21,9.0,66900,1.0,30.0,30.0,QN21,,,30.0,4.0
,SI25,,,64,5.0,,62.0,,2.0,17.0,,43200.0,,11.0,,0.0,2.0,BK29,,0.0,,,12806,,64.0,44.0,SI25,,,,
,QN48,,,26,,,,,,,,,,,,,,,,,,,142900,,,,,,,,
,BK31,,,64,,,,,,,,,,,,,,,,,,,6600,,,,,,,,
,QN17,,,28,,,,,,,,,,,,,,,,,,,71303,,,,,,,,
,MN32,1.0,MN32,73,6.0,,24.0,1.0,6.0,29.0,15400.0,15400.0,28.0,12.0,110.0,0.0,6.0,MN32,6.0,1.0,MN32,14.0,15400,0.0,73.0,5.0,MN32,,,73.0,1.0
,QN34,1.0,BK78,33,4.0,,51.0,0.0,4.0,14.0,56500.0,58000.0,17.0,5.0,32.0,0.0,4.0,QN34,3.0,1.0,QN19,12.0,58000,0.0,33.0,27.0,QN34,,,38.0,4.0
0.0,BX09,1.0,BX09,87,1.0,,89.0,,1.0,32.0,8600.0,8600.0,32.0,15.0,84.0,0.0,1.0,BX09,1.0,1.0,BX09,7.0,8600,0.0,87.0,18.0,BX09,,,87.0,2.0
,BK61,,,56,,,26.0,,10.0,,,,,13.0,,,,,,1.0,,,35300,,70.0,,,,,,
,SI11,,BK30,62,2.0,,3.0,,2.0,24.0,19800.0,24402.0,22.0,11.0,15.0,0.0,2.0,SI11,5.0,0.0,BK30,13.0,24402,0.0,62.0,51.0,SI11,0.0,,49.0,3.0
,BK50,1.0,BK50,58,4.0,,76.0,0.0,4.0,19.0,98400.0,98400.0,19.0,8.0,83.0,0.0,4.0,BK50,4.0,1.0,BK50,10.0,98400,0.0,58.0,46.0,BK50,0.0,,58.0,3.0
,BK88,,,48,,,,,,,,,,,,,,,,,,,21800,,,,,,,,
,QN17,0.0,QN17,28,2.0,,68.0,,2.0,15.0,70700.0,70700.0,16.0,6.0,39.0,0.0,2.0,QN17,2.0,1.0,QN17,9.0,70700,0.0,28.0,29.0,QN17,,,28.0,4.0
,QN63,0.0,QN31,30,2.0,,48.0,0.0,2.0,12.0,25100.0,25100.0,12.0,14.0,33.0,0.0,2.0,QN63,2.0,1.0,QN31,7.0,25100,0.0,30.0,26.0,QN63,,,30.0,4.0
,BK73,0.0,BK73,53,3.0,,1.0,0.0,3.0,18.0,52500.0,52500.0,17.0,7.0,21.0,0.0,,BK73,3.0,0.0,BK73,12.0,52500,0.0,53.0,34.0,,,,53.0,3.0
,BK45,0.0,BK45,59,8.0,,60.0,,8.0,19.0,69602.0,69602.0,27.0,8.0,69.0,0.0,,BK45,8.0,1.0,BK45,9.0,69602,0.0,59.0,46.0,,,,59.0,3.0
,MN17,,,75,2.0,,74.0,,3.0,25.0,26900.0,26900.0,,12.0,,1.0,3.0,BK75,2.0,1.0,BK75,,11900,,75.0,36.0,MN17,,,56.0,3.0
,MN28,,,74,2.0,,2.0,,2.0,26.0,,1002.0,,7.0,,0.0,2.0,MN28,,0.0,,,1002,,74.0,2.0,MN28,,,,
,QN44,1.0,QN44,24,6.0,,4.0,1.0,6.0,11.0,155102.0,155102.0,15.0,3.0,28.0,0.0,6.0,QN44,6.0,1.0,QN44,9.0,155102,0.0,24.0,23.0,QN44,0.0,,24.0,4.0
0.0,BX35,,,79,2.0,,42.0,,2.0,32.0,15100.0,15100.0,,15.0,,0.0,2.0,BX35,2.0,0.0,,,15100,,79.0,17.0,BX35,,,79.0,
,BK88,1.0,BK88,48,5.0,,2.0,0.0,5.0,17.0,21400.0,21400.0,23.0,10.0,84.0,1.0,5.0,BK88,5.0,1.0,BK88,8.0,21400,1.0,48.0,38.0,BK88,,,48.0,3.0
,QN29,,QN29,39,2.0,,30.0,,2.0,13.0,27100.0,27100.0,,14.0,,1.0,2.0,QN28,2.0,0.0,QN29,,48100,0.0,34.0,25.0,QN28,,,34.0,4.0
,QN01,0.0,QN01,32,4.0,0.0,26.0,0.0,4.0,10.0,25400.0,25400.0,10.0,5.0,14.0,0.0,4.0,QN01,4.0,0.0,QN01,6.0,25400,0.0,32.0,28.0,QN01,,,32.0,4.0
,BK69,,,57,2.0,,3.0,,3.0,25.0,23100.0,23100.0,,10.0,,0.0,,BK69,2.0,1.0,,,23100,,67.0,35.0,,,,57.0,
,QN61,,,32,,,,,,,,,,,,,,,,,,,23800,,,,,,,,
,QN70,1.0,QN70,36,1.0,,8.0,,1.0,12.0,7500.0,7500.0,12.0,12.0,65.0,0.0,1.0,QN70,1.0,1.0,QN70,14.0,7500,0.0,36.0,22.0,QN70,,,36.0,4.0
,BK88,1.0,BK26,48,5.0,,4.0,0.0,5.0,17.0,30800.0,11400.0,23.0,10.0,1.0,1.0,5.0,BK88,8.0,1.0,BK26,8.0,11400,0.0,48.0,44.0,BK88,,,47.0,3.0
,BK60,,,58,,,1.0,,4.0,,,,,,,,,,,,,,87800,,,,,,,,
,MN20,,,73,,,,,,,,,,,,,,,,,,,7000,,,,,,,,
,MN12,1.0,MN12,69,5.0,,15.0,1.0,5.0,30.0,17300.0,17300.0,30.0,10.0,9.0,1.0,5.0,MN12,5.0,1.0,MN12,15.0,17300,0.0,69.0,6.0,MN12,,,69.0,1.0
,BK78,,,53,,,,,,,,,,,,,,,,,,,41700,,,,,,,,
,BK73,1.0,BK73,50,3.0,,38.0,1.0,3.0,26.0,51700.0,51700.0,17.0,12.0,71.0,0.0,3.0,BK73,3.0,0.0,BK73,12.0,51700,0.0,50.0,33.0,BK73,,,50.0,3.0
,BX39,1.0,BX39,84,1.0,,19.0,1.0,2.0,36.0,44400.0,44400.0,28.0,15.0,28.0,0.0,,BX62,1.0,1.0,BX62,16.0,3900,1.0,84.0,12.0,,,,83.0,2.0
,BK32,,,51,5.0,,56.0,,5.0,23.0,200.0,200.0,,7.0,,0.0,5.0,BK32,5.0,0.0,,,200,,51.0,38.0,BK32,,,51.0,
,QN17,,,28,2.0,,48.0,,2.0,15.0,,74100.0,,6.0,,0.0,2.0,QN17,,1.0,,,74100,,28.0,29.0,QN17,,,,
,MN01,,,72,7.0,,74.0,,7.0,31.0,30900.0,30900.0,,13.0,,0.0,7.0,MN01,7.0,0.0,,,30900,,72.0,10.0,MN01,,,72.0,
0.0,MN12,0.0,MN12,69,5.0,,70.0,0.0,5.0,30.0,18900.0,18900.0,30.0,13.0,59.0,0.0,5.0,MN12,5.0,0.0,MN12,15.0,18900,0.0,69.0,7.0,MN12,,,69.0,1.0
0.0,BX05,0.0,BX05,78,2.0,,19.0,0.0,2.0,33.0,39901.0,39901.0,33.0,13.0,22.0,0.0,2.0,BX05,2.0,0.0,BX05,16.0,39901,0.0,78.0,15.0,BX05,,,78.0,2.0
,BX27,0.0,BX35,85,,,40.0,,1.0,32.0,7200.0,7200.0,36.0,15.0,51.0,,,,1.0,0.0,BX55,16.0,9300,0.0,85.0,,,,,87.0,2.0
,BX13,1.0,BX13,82,1.0,,109.0,1.0,1.0,36.0,46201.0,46201.0,34.0,16.0,106.0,0.0,1.0,BX13,1.0,1.0,BX13,7.0,46201,1.0,82.0,12.0,BX13,,,82.0,2.0
,BX09,,,85,,,,,,,6800.0,,,,,,,,1.0,,,,400,,,,,,,85.0,
,SI35,,,61,9.0,,42.0,,1.0,28.0,8200.0,8200.0,,11.0,,1.0,9.0,MN20,9.0,0.0,MN20,,12100,,61.0,4.0,MN20,,,73.0,1.0
,QN07,1.0,QN07,29,4.0,,76.0,,4.0,14.0,48400.0,48400.0,14.0,5.0,79.0,0.0,4.0,QN07,4.0,1.0,QN07,6.0,48400,0.0,29.0,23.0,QN07,0.0,,29.0,4.0
,QN34,,QN61,33,4.0,,26.0,,4.0,11.0,46800.0,46800.0,11.0,5.0,73.0,0.0,4.0,QN34,4.0,1.0,QN61,6.0,54800,0.0,33.0,23.0,QN34,0.0,,29.0,4.0
,BK42,,MN12,42,6.0,,28.0,,6.0,12.0,5900.0,15500.0,,9.0,,1.0,6.0,BK42,1.0,1.0,MN12,,51602,0.0,42.0,40.0,BK42,,,36.0,1.0
,QN08,,,33,,,37.0,,4.0,,,,,,,,,,,,,,53000,,,,,,,,
,QN63,,,34,,,45.0,,2.0,,,,,14.0,,,,,,0.0,,,26100,,34.0,,,,,,
,BK42,1.0,MN25,42,3.0,,30.0,0.0,6.0,26.0,1300.0,54900.0,25.0,9.0,95.0,0.0,3.0,BK73,1.0,1.0,MN25,8.0,76400,0.0,42.0,33.0,BK73,,,65.0,1.0
,MN24,,,66,1.0,,5.0,,1.0,26.0,,700.0,,10.0,,0.0,1.0,MN25,,0.0,,,3100,,65.0,1.0,MN25,,,,
,SI01,1.0,SI45,62,2.0,,45.0,,2.0,24.0,17008.0,22600.0,24.0,11.0,5.0,0.0,2.0,SI11,2.0,1.0,SI45,13.0,17012,0.0,62.0,51.0,SI11,0.0,,63.0,5.0
,QN29,,,35,2.0,,7.0,,2.0,16.0,,47100.0,,6.0,,0.0,2.0,QN29,,0.0,,,47100,,35.0,25.0,QN29,,,,
