job_filing_number,job_number,bin,gis_longitude,amount_paid,disability_policy,joint_venture_work,disability_expiration_date,general_wiring,amount_due,remove_meters,applicant_last_name,payment_method,house_number,building_use_type,lot,firm_name,filing_fee,state,zip_code
M00301147-P2,M00301147,1031132,-73.981898,40,DBL 590233,No,2021-11-30T00:00:00.000,Yes,0,0,CONNOLLY,,304,L Five or more Family,134,SOLAS ELECTRICAL CONTRACT,0,NY,10024
B00377661-P1,B00377661,3259616,-73.994542,40,DBL 217177,No,2021-06-20T00:00:00.000,Yes,0,1,LI,,1567,K Commercial,50,KJK ELECTRIC INC,0,NY,11219
B00004008-P1,B00004008,3043006,-73.939376,40,WEDL 10270751,No,2020-12-31T00:00:00.000,Yes,0,0,GJINI,,736,L Five or more Family,17,"TECHNO-VOLT ELEC, INC",0,NY,11206
M00331191-P1,M00331191,1046471,-73.960768,40,DBL513455,No,2021-09-18T00:00:00.000,Yes,0,0,TRAN,,900,L Five or more Family,7501,ZIP ELECTRIC INC,0,NY,10075
M00487145-I1-EL,M00487145,1046991,-73.955712,40,DBL 6747 50-6,No,2022-04-27T00:00:00.000,Yes,0,0,SHLYAF,Credit Card,1120,L Five or more Family,33,EIS ELECTRIC CORP DBA,40,NY,10128
M00552151-I1-EL,M00552151,1043861,-73.964352,15,DBL210340,No,2022-02-03T00:00:00.000,No,0,0,COICO,Check,205,L Five or more Family,1,S.A.L. ELECTRIC CO INC.,15,NY,10065
M00367686-P1,M00367686,1033937,-73.979022,40,DBL 5208 13-8,No,2021-12-01T00:00:00.000,Yes,0,0,BISHUN,,325,L Five or more Family,19,PAC ELECTRIC CORP.,0,NY,10024
B00748722-I1-EL,B00748722,3144056,-74.020372,40,DBL 107451,No,2022-12-31T00:00:00.000,Yes,0,0,FIGUEROA,Credit Card,6320,L Five or more Family,40,TMF ELEC'L CONTR. INC.,40,NY,11220
B00003443-I1-EL,B00003443,3083314,-73.89505,40,DBL289896,No,2019-01-02T00:00:00.000,No,0,0,BONURA,Credit Card,2691,Commercial/Residential,36,SWITCH ELECT OF THE FIVE,40,NY,11207
B00368061-I1-EL,B00368061,3399394,-73.937731,40,TDI 299797,No,2023-12-31T00:00:00.000,No,0,0,BRAMAN,Check,46,O Office Bldg,38,THYSSENKRUPP ELEVATOR CO,40,NY,11206
Q00541716-I1-EL,Q00541716,4239796,-73.746251,40,955431,No,2021-11-01T00:00:00.000,No,0,0,SAMPOGNA,Credit Card,209-37,A One Family,57,VENTURE HOME SOLAR LLC,40,NY,11429
B00611842-P1,B00611842,3008680,-74.015319,40,L72662-000,No,2022-09-15T00:00:00.000,Yes,0,0,DEONARINE,,220,A One Family,36,ELPO ELECTRICAL CONTG INC,0,NY,11231
B00511063-I1-EL,B00511063,3324082,-73.887352,40,CG52830NY,No,2021-12-31T00:00:00.000,No,0,0,MOUNAS,Credit Card,496,A One Family,137,SUNRUN SOLAR ELECTL CORP,40,NY,11207
Q00544259-P1,Q00544259,4183388,-73.863725,40,DBL 223642,No,2022-10-28T00:00:00.000,No,0,2,DEMICHELE,,78-08,B Two Family,4,ALL AROUND ELECTRIC CORP.,0,NY,11421
B00386854-P4,B00386854,3424477,-73.981228,40,911382,No,2025-03-01T00:00:00.000,No,0,0,SORTINO,,540,L Five or more Family,18,TOP SHELF ELECTRIC CORP,0,NY,11201
B00935162-P1,B00935162,3029709,-73.959685,40,DBL505359,No,2025-04-20T00:00:00.000,No,0,0,WERZBERGER,,931,L Five or more Family,58,POWER DIRECT ELECTRIC INC,0,NY,11225
B00494111-I1-EL,B00494111,3163301,-74.000256,40,DBL445765,No,2021-05-27T00:00:00.000,No,0,1,TSIRULNIK,Credit Card,1767,A One Family,59,ARC POWER ELECL CONTS INC,40,NY,11214
B00258925-P4,B00258925,3335129,-73.974986,40,DBL419180,No,2022-12-31T00:00:00.000,Yes,0,0,JOCHEN,,63,K Commercial,1,BIG SHOT ELECTRIC CORP.,0,NY,11205
B00917129-P1,B00917129,3061805,-73.956757,40,Z29274-000,No,2025-01-21T00:00:00.000,Yes,0,3,TSIRULNIK,,153,A One Family,7,BLUE SEAGULL ELECTRICAL,0,NY,11211
M00951631-P1,M00951631,1077352,-73.978787,40,Z19970-000,No,2024-05-30T00:00:00.000,Yes,0,0,PTAK,,200,L Five or more Family,7502,NY CITY ELECTRIC INC,0,NY,10016
M00553081-I1-EL,M00553081,1041904,-73.966349,15,CG-32243-NY,No,2021-12-31T00:00:00.000,No,0,0,O'TOOLE,Credit Card,1000,K Commercial,23,BLOOMINGDALES,15,NY,10022
B00110501-I1-EL,B00110501,3059515,-73.964168,40,DBL242004,No,2021-11-03T00:00:00.000,No,0,0,CHOE,Credit Card,134,O Office Bldg,18,Y.S ELECTRIC,40,NY,11249
B00650084-I1-EL,B00650084,3326143,-73.918537,0,LNY773945,No,2022-06-30T00:00:00.000,No,0,0,RAMDEO,,95,L Five or more Family,1,METROPOLITAN ELEC OF NY I,0,NY,11221
Q00299558-I1-EL,Q00299558,4181165,-73.865365,40,DBL 595807,No,2021-12-31T00:00:00.000,No,0,0,MARINELLO,Credit Card,76-40,B Two Family,18,ISLAND ELECTRIC CORP,40,NY,11421
S00552690-I1-EL,S00552690,5149157,-74.131514,15,DBL 459991,No,2022-02-18T00:00:00.000,No,0,0,MITTELMAN,Check,315,K Commercial,17,PRIME ELECTRICAL CORP,15,NY,10314
B00552115-I1-EL,B00552115,3325658,-73.921946,0,DBL531123,No,2021-12-31T00:00:00.000,No,0,0,QUACH,,139,L Five or more Family,1,MODERN TREND ELECL CONTRG,0,NY,11221
B00634994-I1-EL,B00634994,3057646,-73.962265,40,2022-027931,No,2023-06-01T00:00:00.000,Yes,0,1,MAITLAND,Credit Card,31,B Two Family,48,MAITLAND ELECTRIC CORP.,40,NY,11238
B01021694-P1,B01021694,3217196,-73.937203,40,CG-52830-NY,No,2024-12-31T00:00:00.000,No,0,0,MOUNAS,,1273,B Two Family,21,SUNRUN SOLAR ELECTL CORP,0,NY,11234
B00879739-P1,B00879739,3166496,-74.005352,40,2022-056238,No,2023-08-11T00:00:00.000,No,0,0,LAKE,,8617,B Two Family,35,BERTRAM ELECTRIC CONTNG,0,NY,11214
Q00928826-P1,Q00928826,4278799,-73.740526,40,R78921-000,No,2024-05-08T00:00:00.000,Yes,0,0,CUMMINS,,131-74,A One Family,43,WORD OF LIGHT ELECT LLC,0,NY,11413
M00,M00505408,1008404,-74.004431,40,DBL688567-8,No,2022-05-26T00:00:00.000,Yes,0,0,DENNSION,,72,L Five or more Family,65,DENNISON ELECTRIC CORP,0,NY,10014
B00372628-P1,B00372628,3109696,-73.939863,40,2024-035910,No,2025-05-09T00:00:00.000,No,0,0,ALCHAIB,,4002,Commercial/Residential,1,INARA ELECTRIC CORP,0,NY,11203
X00493476-P1,X00493476,2120958,-73.875968,40,B346005,No,2022-01-28T00:00:00.000,Yes,0,0,DEGALTINI,,1560,Z Other,1,CONSOLIDATED EDISON CO,0,NY,10473
M00491745-P1,M00491745,1033305,-73.976588,40,DBL113893,No,2022-03-24T00:00:00.000,Yes,0,0,HICKEY,,590,L Five or more Family,61,MWB ELECTRIC CORP.,0,NY,10024
B00236173-P2,B00236173,3126757,-73.974898,40,DBL609929,No,2025-01-31T00:00:00.000,Yes,0,0,FRIED,,401,O Office Bldg,52,FRIED ELECTRIC CO.,0,NY,11218
M00412584-P1,M00412584,1059880,-73.960318,40,L82788000,No,2021-10-06T00:00:00.000,Yes,0,0,DREBIN,,550,L Five or more Family,1,ACCURATE ELEC'L CORP.,0,NY,10027
M00540186-P1,M00540186,1036229,-73.972305,40,DBL 106613,No,2021-10-19T00:00:00.000,Yes,0,2,MAKSIM,,150,L Five or more Family,41,DENMAR ELECTRIC CORP,0,NY,10017
B00003813-I1-EL,B00003813,3330415,-73.893205,40,CG52830NY,No,2018-12-30T00:00:00.000,No,0,0,MOUNAS,Credit Card,416,A One Family,133,SUNRUN SOLAR ELECTL CORP,40,NY,11207
M00542647-I1-EL,M00542647,1019591,-73.983668,40,DBL454480,No,2023-10-31T00:00:00.000,Yes,0,0,CABERA,Credit Card,242,L Five or more Family,32,POWER MASTERS ELEC'L CONT,40,NY,10003
S00511216-I1-EL,S00511216,5015050,-74.08343,40,DBL479729,No,2021-12-31T00:00:00.000,Yes,0,1,CASTRO,Credit Card,60,A One Family,6,"POWER SURGE ELECTRIC, INC",40,NY,10304
M00505950-P1,M00505950,1015096,-73.993457,40,DBL247446,No,2022-02-16T00:00:00.000,Yes,0,3,GIORLANDO,,315,L Five or more Family,7501,ELECTL CONTG SOLUTIONS CO,0,NY,10001
B00626487-P1,B00626487,3336755,-73.950086,40,DBL514892,No,2022-10-10T00:00:00.000,Yes,0,0,DOYLEY,,2804,I Hospital or Health facility,32,ALL BORO ELECTRIC CORP,0,NY,11210
Q00887097-P2,Q00887097,4034657,-73.882887,40,D610281,No,2024-05-12T00:00:00.000,No,0,2,LIU,,32-03,B Two Family,4,ACE ELEC'L CONSTRUCTION,0,NY,11370
B00737761-P3,B00737761,3041000,-73.921809,40,DBL216100,No,2025-06-26T00:00:00.000,Yes,0,0,AU,,272,L Five or more Family,11,"ERIC & NG ELEC'L, INC.",0,NY,11233
B00864533-P1,B00864533,3039059,-73.916764,40,DBL 92539,No,2023-11-12T00:00:00.000,Yes,0,0,KARAKALPAKIDIS,,354,Commercial/Residential,51,BASS ELECTRICAL CORP.,0,NY,11233
B00976529-P1,B00976529,3202540,-73.943652,40,71179,No,2024-11-08T00:00:00.000,Yes,0,2,TANG,,2357,B Two Family,751,A ELECTRICAL MAIN SVC INC,0,NY,11229
B00900379-P6,B00900379,3069889,-73.937592,40,Z25499-001,No,2024-06-15T00:00:00.000,Yes,0,0,LINDNER,,81,L Five or more Family,34,AMERICAN POWER ELECT CONS,0,NY,11222
M00511950-I1-EL,M00511950,1090681,-74.008603,15,DBL612168,No,2021-12-31T00:00:00.000,No,0,0,ST. JOHN,Credit Card,40,O Office Bldg,1,PATRIOT ELECTRIC CORP,15,NY,10014
M00602308-P1,M00602308,1047535,-73.957565,40,DBL346456,No,2022-09-03T00:00:00.000,Yes,0,0,DUMITRU,,140,L Five or more Family,51,ESSEX ELECTRIC INC,0,NY,10028
B00749236-I1-EL,B00749236,3076371,-73.912103,15,DBL299111,No,2022-06-29T00:00:00.000,No,0,0,HAGGERTY,Credit Card,274,K Commercial,27,WILLDAN ELECTRICAL OF NY,15,NY,11237
Q00419170-I1-EL,Q00419170,4431252,-73.905957,40,DBL585872,No,2021-12-31T00:00:00.000,Yes,0,0,VALENTIS,Credit Card,51-10,L Five or more Family,1,"VALENTIS ELECTRIC, INC.",40,NY,11377
B00679754-I1-EL,B00679754,3229999,-73.902979,40,L81808-000,No,2022-07-01T00:00:00.000,No,0,0,BERGER,Check,1203,B Two Family,32,BERGER QUALITY ELEC'L CON,40,NY,11236
M00954943-I1-EL,M00954943,1086102,-74.009139,15,DBL7942 19-7,No,2024-08-02T00:00:00.000,No,0,0,HOMISIN,Credit Card,100,L Five or more Family,7501,"POWER FULL ELECTRIC, INC",15,NY,10014
B08024651-I1-EL,B08024651,3049858,-73.941342,40,B-303,No,2023-08-22T00:00:00.000,Yes,0,0,DRAZIC,Check,787,W School,14,A.T.J. ELECTRICAL CO.INC.,40,NY,11221
B00532162-I1-EL,B00532162,3094470,-73.865245,40,DBL584563,No,2021-12-31T00:00:00.000,Yes,0,2,GEIGER,Credit Card,518,B Two Family,54,ADAM ELECL CONTRNG LLC,40,NY,11208
M00552623-I1-EL,M00552623,1051513,-73.951175,15,B-461,No,2022-06-29T00:00:00.000,No,0,0,CARTOLANO,Credit Card,1249,I Hospital or Health facility,1,"STRAND ELECTRIC CO., INC.",15,NY,10029
B00650066-I1-EL,B00650066,3326145,-73.91776,0,LNY773945,No,2022-06-30T00:00:00.000,No,0,0,RAMDEO,,125,L Five or more Family,1,METROPOLITAN ELEC OF NY I,0,NY,11221
B00485935-I1-EL,B00485935,3037475,-73.937223,40,TDI 299797,No,2023-12-31T00:00:00.000,No,0,0,BRAMAN,Check,948,I Hospital or Health facility,37,THYSSENKRUPP ELEVATOR CO,40,NY,11213
B00900379-P7,B00900379,3069889,-73.937592,40,Z25499-001,No,2024-06-15T00:00:00.000,Yes,0,0,LINDNER,,81,L Five or more Family,34,AMERICAN POWER ELECT CONS,0,NY,11222
B00122314-P2,B00122314,3329760,-73.966498,40,DBL625279,No,2023-10-22T00:00:00.000,Yes,0,3,CIRELLI,,47,O Office Bldg,1,AMERGY ELECTRIC OF NY INC,0,NY,11205
M00512055-I1-EL,M00512055,1077850,-74.00127,40,DBL575054,No,2021-12-31T00:00:00.000,Yes,0,0,LI,Credit Card,15,L Five or more Family,47,P.L. ELEC'L CONTR'G CORP,40,NY,10012
B00862954-P1,B00862954,3210059,-73.952918,40,Z13931-000,No,2024-07-29T00:00:00.000,Yes,0,1,DORKIN,,1385,A One Family,35,MARTIN DORKIN,0,NY,11210
B00641099-P1,B00641099,3426851,-73.947384,40,R25982-000,No,2026-01-31T00:00:00.000,Yes,0,0,KLEIN,,77,Z Other,49,CONTACT ELECTRIC CORP,0,NY,11206
B00956048-P1,B00956048,3097891,-73.880424,40,234439,No,2024-09-30T00:00:00.000,No,0,0,SAMPOGNA,,1016,A One Family,19,VENTURE HOME SOLAR LLC,0,NY,11207
B00003823-I1-EL,B00003823,3063377,-73.952118,40,2017-053041,No,2018-07-31T00:00:00.000,Yes,0,0,FRANKLYN,Credit Card,378,L Five or more Family,13,WESTRISE ELECTRIC LLC,40,NY,11211
M00495363-I1-EL,M00495363,1035053,-73.974222,40,DBL 148573,No,2021-06-18T00:00:00.000,Yes,0,0,D'ALESSIO,Credit Card,730,O Office Bldg,7503,DAL ELECTRICAL CORP.,40,NY,10019
Q00937689-P1,Q00937689,4108565,-73.820792,40,L92245-000,No,2023-12-04T00:00:00.000,Yes,0,1,LIANG,,146-29,K Commercial,98,CL ELECTRICAL CORP,0,NY,11354
B00650060-I1-EL,B00650060,3395991,-73.985284,15,B346005,No,2022-01-28T00:00:00.000,No,0,0,DEGALTINI,Credit Card,320,Z Other,1,CONSOLIDATED EDISON CO,15,NY,11215
B00805377-P1,B00805377,3047674,-73.923503,40,DBL41073,No,2024-08-12T00:00:00.000,No,0,0,TUDOR,,329,B Two Family,62,"LINTECH ELECTRIC, INC",0,NY,11233
B00060419-P2,B00060419,3398078,-73.986852,40,Z12960-000,No,2023-05-17T00:00:00.000,No,0,0,FISCHER,,1247,W School,52,SHTRAL ELECT'L CONT'G COR,0,NY,11218
B01220147-P1,B01220147,3329007,-74.026051,40,DBL282557,No,2026-09-04T00:00:00.000,No,0,0,VALERA ACERO,,502,I Hospital or Health facility,7501,M.C. ELECTRICAL NY INC,0,NY,11209
B00003487-I1-EL,B00003487,3069011,-73.947566,40,L77251-000,No,2018-04-10T00:00:00.000,Yes,0,4,RIVERA,Credit Card,272,C Three Family,6,RIVIERA ELECTRIC CORP,40,NY,11211
M00902242-P1,M00902242,1048824,-73.952605,40,DBL 5208 13-8,No,2023-12-01T00:00:00.000,Yes,0,0,BISHUN,,235,L Five or more Family,122,PAC ELECTRIC CORP.,0,NY,10128
B00897457-I1-EL,B00897457,3082940,-73.907245,15,DBL 428000,No,2023-12-30T00:00:00.000,No,0,0,OZKURT,Credit Card,985,W School,7,"GEMINI ELECTRIC CO., INC.",15,NY,11212
B00885791-I1-EL-,B00885791,3004075,-74.002603,1510,B-124,No,2023-10-28T00:00:00.000,Yes,0,0,ROMAGNOLO,Credit Card,203,C Three Family,2,"K & R ELECTRIC CO., INC.",40,NY,11231
B00650058-I1-EL,B00650058,3124805,-73.971871,40,DBL 471890,No,2022-09-01T00:00:00.000,No,0,0,BURKE,Credit Card,223,Z Other,35,"BROOKYLN SOLARWORKS, LLC",40,NY,11218
B00519164-P1,B00519164,3070073,-73.942426,40,DBL 217177,No,2024-06-20T00:00:00.000,Yes,0,0,LI,,229,Z Other,65,KJK ELECTRIC INC,0,NY,11211
B00613288-P4,B00613288,3094679,-73.872945,40,R83987-000,No,2023-10-12T00:00:00.000,No,0,0,HEAVEN,,2687,Z Other,38,N.Z. PILGRIM ELECTRIC INC,0,NY,11208
B00511447-I1-EL,B00511447,3053555,-73.942721,40,DBL423163,No,2021-12-31T00:00:00.000,No,0,0,OLSEN,Credit Card,7,Z Other,78,NASH ELECTRIC SERVICES IN,40,NY,11216
M00393009-P2,M00393009,1019580,-73.985289,40,DBL78804,No,2021-10-31T00:00:00.000,Yes,0,0,KIM,,205,L Five or more Family,1,ASKO ELEC CONST & MAIN IN,0,NY,10003
B00591666-P1,B00591666,3218414,-73.92979,40,DBL2428 91 1,No,2022-07-01T00:00:00.000,No,0,0,VERARDI,,4717,B Two Family,3,PAUL VERARDI,0,NY,11234
M00551966-P1,M00551966,1090374,-73.985025,40,DBL 5816 71-6,No,2022-06-23T00:00:00.000,Yes,0,0,GIRONTA,,60,H Hotel,10,AGIR ELEC'L LTD. D/B/A,0,NY,10018
B00865579-I1-EL,B00865579,3024549,-73.97148,15,LNY-438721,No,2023-09-30T00:00:00.000,No,0,0,DANTSITS,Check,25,L Five or more Family,11,FIU CORP DBA FIU ELECTRIC,15,NY,11217
M00516905-P3,M00516905,1041961,-73.968767,40,Z03390-001,No,2022-05-28T00:00:00.000,Yes,0,0,DORKIN,,535,L Five or more Family,1,MARTIN DORKIN,0,NY,10065
B00511038-I1-EL,B00511038,3020882,-73.979776,15,R72186-000,No,2021-12-21T00:00:00.000,No,0,0,CERIELLO,Credit Card,435,E Four Family,80,ANTONIO CERIELLO ELEC INC,15,NY,11215
B00511827-I1-EL,B00511827,3095304,-73.8757,15,DBL 7222 09-5,No,2022-03-06T00:00:00.000,No,0,0,COLEMAN,Check,544,B Two Family,36,"HMA ELECTRIC, LLC",15,NY,11208
M00552127-I1-EL,M00552127,1007216,-73.997309,40,LNY793063,No,2021-12-31T00:00:00.000,Yes,0,0,LOPES,Check,226,Commercial/Residential,22,GREEN APPLE ELECL SVCS LL,40,NY,10012
B01029627-P1,B01029627,3185753,-73.986979,40,2024-027772,No,2025-04-15T00:00:00.000,Yes,0,0,TOREN,,27,A One Family,31,A.C. MORGAN ELECTRIC,0,NY,11214
B00,B00620937,3203804,-73.959473,40,Z16142-000,No,2022-12-31T00:00:00.000,Yes,0,0,BROYDO,Check,2522,B Two Family,13,FOREST BROOK ELEC'L CONTR,40,NY,11235
B00501319-P1,B00501319,3210541,-73.939676,40,DBL 587314,No,2021-12-31T00:00:00.000,No,0,2,WU,,1360,A One Family,2,KWONG MING ELECTRIC INC,0,NY,11234
B00917936-P1,B00917936,3328524,-74.003194,40,2023-047208,No,2024-06-27T00:00:00.000,No,0,0,LAKE,,2049,L Five or more Family,12,BERTRAM ELECTRIC CONTNG,0,NY,11214
B00831037-P1,B00831037,3156702,-73.992684,40,Z13931-000,No,2023-07-29T00:00:00.000,Yes,0,0,DORKIN,,6920,Commercial/Residential,48,MARTIN DORKIN,0,NY,11204
M00511851-I1-EL,M00511851,1019088,-73.978244,40,DBL269302,No,2022-01-26T00:00:00.000,Yes,0,0,PAPANTONIOU,Credit Card,296,L Five or more Family,17,BOROWIDE ELECT'L CONTR'S,40,NY,10016
S00552092-I1-EL,S00552092,5171426,-74.185688,40,DBL572932,No,2022-12-31T00:00:00.000,Yes,0,0,CARUSO,Check,160,A One Family,12,A. J. CARUSO ELECTRICAL I,40,NY,10314
B00535293-I1-EL,B00535293,3106839,-73.940756,40,L81808-000,No,2021-12-28T00:00:00.000,No,0,0,BERGER,Check,597,B Two Family,52,BERGER QUALITY ELEC'L CON,40,NY,11203
B00003684-I1-EL,B00003684,3388012,-73.989552,40,911382,No,2020-04-18T00:00:00.000,No,0,0,SORTINO,Credit Card,31,Z Other,7501,TOP SHELF ELECTRIC CORP,40,NY,11201
M00269625-P3,M00269625,1046449,-73.961078,40,DBL 558661,No,2023-06-19T00:00:00.000,Yes,0,5,DESSOURCES,,54,A One Family,46,HIGH IMPACT ELECTRIC CORP,0,NY,10075
B00417801-I1-EL,B00417801,3127903,-73.973625,40,TDI 299797,No,2023-12-31T00:00:00.000,No,0,0,BRAMAN,Check,158,O Office Bldg,26,THYSSENKRUPP ELEVATOR CO,40,NY,11230
M00552319-I1-EL,M00552319,1084936,-73.988627,15,B346005,No,2022-01-28T00:00:00.000,No,0,0,DEGALTINI,Credit Card,4,O Office Bldg,24,CONSOLIDATED EDISON CO,15,NY,10003
Q00511118-I1-EL,Q00511118,4618917,-73.935888,40,LNY 632117,No,2022-03-31T00:00:00.000,Yes,0,0,COSCHIGANO,Credit Card,31-57,Z Other,7,"ECNY ELEC'L CONTR'S, INC",40,NY,11106
X00511382-I1-EL,X00511382,2102025,-73.889535,15,DBL-197090,No,2021-09-30T00:00:00.000,No,0,0,GUNZER,Credit Card,441,W School,1,"R. GUNZER, INC.",15,NY,10458
B00266433-P1,B00266433,3828342,-73.939345,40,DBL2239 64 9,No,2022-07-01T00:00:00.000,Yes,0,0,LEE,,239,L Five or more Family,9,UNITED ELEC'L CONT'G CORP,0,NY,11221
B00476795-P1,B00476795,3393288,-73.911132,40,R64899-000,No,2022-04-27T00:00:00.000,No,0,1,FRANKLYN,,359,Z Other,304,WESTRISE ELECTRIC LLC,0,NY,11212
X00273512-I1-EL,X00273512,2127017,-73.922176,40,DBL2239 64 9,No,2021-07-01T00:00:00.000,No,0,1,LEE,Credit Card,1395,K Commercial,1,UNITED ELEC'L CONT'G CORP,40,NY,10452
B00512734-I1-EL,B00512734,3014987,-74.014986,40,DBL 529685,No,2022-04-09T00:00:00.000,No,0,2,RIVERA,Credit Card,445,B Two Family,62,RIVIERA ELECTRIC CORP,40,NY,11220
B00386854-P1,B00386854,3424477,-73.981228,40,911382,No,2025-03-01T00:00:00.000,No,0,0,SORTINO,,540,L Five or more Family,18,TOP SHELF ELECTRIC CORP,0,NY,11201
M00237502-I1-EL,M00237502,1030436,-73.984524,40,DBL 259127,No,2021-08-31T00:00:00.000,Yes,0,0,KARAGIANNIS,Check,260,L Five or more Family,61,DEMAND ELECTRIC INC,40,NY,10023
B00749627-I1-EL,B00749627,3025811,-73.977583,40,2021-059032,No,2023-05-20T00:00:00.000,Yes,0,0,LINDNER,Check,550,L Five or more Family,11,AMERICAN POWER ELECT CONS,40,NY,11215
M00133145-P1,M00133145,1044749,-73.959868,40,DBL 432500,No,2021-12-31T00:00:00.000,No,0,0,VOICU,,328,Z Other,38,OHM'S ELECTRICAL CORP,0,NY,10065
B00635863-P1,B00635863,3086808,-73.89296,40,DBL469389,No,2023-07-24T00:00:00.000,Yes,0,0,VUJICIC,,188,L Five or more Family,2,CRESCO ELECTRICAL CORP,0,NY,11207
M00522852-P1,M00522852,1063181,-73.934609,40,DBL582040,No,2021-12-31T00:00:00.000,No,0,0,DILEO,,219,L Five or more Family,10,HYLAN DATACOM & ELECL LLC,0,NY,10033
Q00389948-I1-EL,Q00389948,4187297,-73.85688,40,DBL498594,No,2021-12-22T00:00:00.000,Yes,0,0,BAPTISTE,Check,83-10,K Commercial,71,WCK ELECTRIC CORP.,40,NY,11416
M00048892-P3,M00048892,1056414,-73.971193,40,B-098,No,2021-09-02T00:00:00.000,Yes,0,0,HERRICK,,243,L Five or more Family,7501,J.H. ELEC. OF NEW YORK IN,0,NY,10025
M00511556-I1-EL,M00511556,1076746,-73.942691,15,301,No,2021-11-16T00:00:00.000,No,0,0,"SCALA, III",Credit Card,177,I Hospital or Health facility,1,LOWY & DONNATH INC.,15,NY,10032
X00389211-I1-EL,X00389211,2000957,-73.925313,40,B-155,No,2022-03-19T00:00:00.000,Yes,0,0,RUBEL,Credit Card,339,W School,70,UNISYS ELECTRIC INC.,40,NY,10451
B00196175-I1-EL,B00196175,3116646,-73.954709,40,2020-070125,No,2021-12-22T00:00:00.000,No,0,0,NEU,Check,142,B Two Family,34,RICHARD NEU,40,NY,11226
B00899074-P2,B00899074,3058215,-73.982413,40,D98077-000,No,2025-02-19T00:00:00.000,Yes,0,0,GELB,,71,Commercial/Residential,100,CHAIM ELEC. CORPORATION,0,NY,11201
