qbikestore2,qbikewhy1,qshare2,qbikestore5,qstudenttravelcode01,qage,qntacode,qtransportnosubway06,allwt,gcarpark1_qcarpark3_ma,qemployment,qcarhybrid1,qpaytopark_amount,qstudenttravelcode12,qautovehiclesafe,qworktravelcode25,qschooltravelcode25,qschooltransitfrom6,qstudenttravelcode04,qridehailpurpose,qworktravelcode12,qschooltravelcode11,qschooltransitfrom3,qworkbikepark,qfreight_cmb9,qcarhybrid2,qracecode,qdisability2,qnocitibike07,qworktravelcode17,qchildren,qschooltravelcode21,qschooltravelcode13,qschooltransitto6,qbikestore4,qstudenttravelcode15,qfreight_cmb8,qworkfh,qnocitibike03,qworktravelcode10,qshare1,gcarpark1_qcarpark1_ma,qtransportnobus10,qbiketype5,gfreight1b_qfreight4_ma,qridehail4,qagecode,gchild1_qchild4_ma,qbikewhynot5,qincome,qtransportnosubway01,qlicense,qnocitibike06,qborough,qworktravelcode07,qcarincreasea2,qcarreducea2,qstudenttravelcode03,qbikedays,qtransportnosubway10,qstudenttravelcode25,qschooltravelcode07
,,No,,No,57,QN18,,0.430846159,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,No,No,,,,,,No,No,"No, do not work from home",No,No,No,,,,A few times a month,No,55-64,,,"$75,000 - $99,999",,Yes,No,Queens,No,,,No,,,No,
,,No,,No,34,MN19,,1.462600145,,Employed full time (working more than 30 hours per week),,,No,Neither more nor less safe than standard vehicles,No,,,No,,No,,,,No,,"Black, Non-Hispanic",No,Yes,No,,,,,,No,Yes,"No, do not work from home",No,No,No,On the street,,,A few times a month,,25-34,,No,"$50,000 - $74,999",,Yes,No,Manhattan,No,,,No,,,No,
,,No,,No,52,,,0.831492096,,Employed full time (working more than 30 hours per week),,125.0,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,"Black, Non-Hispanic",No,No,No,,,,,,No,Yes,"Yes, work from home",No,No,No,In a garage or lot in your apartment building,,,A few times a year,No,45-54,,,"$100,000 - $149,999",,Yes,No,Brooklyn,No,,,No,,,No,
,No,No,,No,64,BX49,No,6.309704457,,Retired,,,No,Somewhat less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,,,,,,,,No,No,,,,Yes,,,,Several times a week,,55-64,,,"$15,000 - $24,999",No,Yes,,Brooklyn,,,No,No,,No,No,
Yes,Yes,No,No,No,33,BX41,,5.354205728,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,No,,No,,No,No,,,No,,"Black, Non-Hispanic",No,,No,One,No,No,,No,No,No,"No, do not work from home",,No,No,,,No,Once a week,,25-34,,,"$35,000 - $49,999",,No,,Brooklyn,No,,,No,,,No,No
,,No,,No,54,MN12,No,0.643572903,,Employed full time (working more than 30 hours per week),,,No,Much safer than standard vehicles,No,,,No,Medical visit (doctor's office),No,,,,No,,"White, Non-Hispanic",Yes,Yes,No,,,,,,No,No,"Yes, work from home",No,No,No,,,,Several times a week,No,45-54,,,"$75,000 - $99,999",Yes,No,No,Manhattan,No,,,No,,No,No,
No,No,No,No,No,38,MN11,No,0.317522005,,Employed part time (working less than 30 hours per week),,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,No,No,No,"Yes, work from home",Yes,,No,On the street,,No,A few times a year,No,35-44,,,"$75,000 - $99,999",Yes,Yes,No,Queens,,No,,No,,No,No,
,,No,,No,45,BX41,No,0.351399423,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,,,No,,No,,,,No,,"Asian, Non-Hispanic",No,No,No,,,,,,No,Yes,"No, do not work from home",No,No,No,,,,,,45-54,,,"$35,000 - $49,999",Yes,No,Yes,Queens,No,,,No,,No,No,
Yes,,No,No,No,25,SI22,,0.345952549,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,,,,,,,No,No,No,,,,No,In a single family home garage or driveway,,No,A few times a month,,25-34,,No,"$50,000 - $74,999",,Yes,,Queens,,,,No,,,No,
No,,No,Yes,No,53,BK85,,0.749355982,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,No,,No,,No,No,,,No,,Hispanic,No,No,No,Two,No,No,,No,No,Yes,"Yes, work from home",No,No,No,On the street,No,No,A few times a month,No,45-54,,,"$75,000 - $99,999",,Yes,No,Brooklyn,No,,,No,,,No,No
,,No,,No,26,SI01,,0.671822633,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,Other,No,,,,No,,"Asian, Non-Hispanic",No,Yes,No,,,,,,No,Yes,"No, do not work from home",No,No,No,,,,A few times a month,No,25-34,,No,"$50,000 - $74,999",,Yes,No,Queens,No,,,No,,,No,
No,,No,No,No,50,MN36,,0.767818787,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,No,No,,,,,No,No,No,"No, do not work from home",No,No,No,,,No,Several times a week,,45-54,,No,"$200,000 and above",,Yes,No,Brooklyn,No,,,No,,,No,
,,No,,No,46,BX43,,0.415404014,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,Commute to/from work,No,,,,No,,"White, Non-Hispanic",No,,No,,,,,,No,No,"No, do not work from home",,No,No,In a garage or lot in your apartment building,,,A few times a month,No,45-54,,No,"$50,000 - $74,999",,Yes,,Manhattan,No,,,No,,,No,
Yes,,No,No,No,28,SI54,,0.136073796,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,No,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,No,Once a week,,25-34,,No,"$15,000 - $24,999",,Yes,No,Staten Island,No,,,No,,,No,
,,No,,No,64,SI05,,0.390263303,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,No,,,,,,,No,No,,Yes,,Yes,On the street,,,Once a month,,55-64,,No,"$35,000 - $49,999",,Yes,No,The Bronx,,,,No,,,No,
,,No,,No,25,SI48,,0.247385124,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,,No,Yes,"No, do not work from home",No,No,No,,,,A few times a month,,25-34,,No,"$35,000 - $49,999",,No,No,Manhattan,No,,,No,,,No,
,,No,,No,59,BX49,,0.502498527,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,No,No,,,,,,No,No,"No, do not work from home",No,No,No,,No,,A few times a year,No,55-64,,No,"$100,000 - $149,999",,No,Yes,Manhattan,No,,,No,,,No,
,,No,,No,68,,,0.740528607,,Retired,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,Yes,,,,,,,No,No,,No,,No,In a garage or lot in your apartment building,,,A few times a month,No,65 or older,,,"$50,000 - $74,999",,No,No,Brooklyn,,,,No,,,No,
,,No,,No,40,,No,0.384421477,,Employed part time (working less than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,No,,No,Social/recreation,No,No,,,No,,"White, Non-Hispanic",No,No,No,Two,No,No,,,No,Yes,"Yes, work from home",No,No,No,On the street,,,Several times a week,No,35-44,,,"$200,000 and above",No,Yes,Yes,Brooklyn,No,,,No,,No,No,No
,,No,,No,25,BK68,No,0.946000465,,Employed full time (working more than 30 hours per week),,,No,Somewhat safer than standard vehicles,No,,,No,,No,,,,No,,"Asian, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,,Once a month,,25-34,,No,"$50,000 - $74,999",Yes,Yes,No,Manhattan,No,,,No,,No,No,
,,No,,No,53,MN17,No,0.738841494,,Employed full time (working more than 30 hours per week),,345.0,No,Somewhat less safe than standard vehicles,No,No,,No,Personal errands,No,No,,,No,,Hispanic,No,Yes,No,Two,No,No,,,No,No,"No, do not work from home",No,No,No,In a garage or lot in your apartment building,No,,Once a week,Yes,45-54,,No,"$150,000-$199,999",Yes,Yes,No,Manhattan,No,,,No,,No,No,No
Yes,,No,No,No,41,BK27,No,0.627358998,,Employed part time (working less than 30 hours per week),,,No,Much less safe than standard vehicles,No,No,,No,,No,No,,,No,,Hispanic,No,,No,Two,No,No,,No,No,Yes,"Yes, work from home",,No,No,On the street,,No,A few times a month,No,35-44,,No,"$50,000 - $74,999",Yes,Yes,,Brooklyn,No,,,No,,No,No,No
,,No,,No,53,,,1.55597141,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,Yes,,No,,No,,,,Once a week,,45-54,,No,"$25,000 - $34,999",,No,No,Queens,,,,No,,,No,
,,No,,No,34,BX44,,0.417854598,,Employed full time (working more than 30 hours per week),,,No,Neither more nor less safe than standard vehicles,No,,,No,Business,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,In another parking garage or lot,,,A few times a month,No,25-34,,No,"$75,000 - $99,999",,Yes,No,Queens,No,,,No,,,No,
,,No,,No,56,SI07,,0.261487822,,Employed part time (working less than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,,,,A few times a month,,55-64,,No,"$35,000 - $49,999",,No,No,Queens,No,,,No,,,No,
,,No,,No,52,BK09,,0.308714974,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,Other,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,,,,Less than a few times a year,No,45-54,,No,"$200,000 and above",,Yes,No,Manhattan,No,,,No,,,No,
,,No,,No,44,MN31,No,0.411178733,,Other,,,No,Somewhat less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,No,,Yes,,No,On the street,,,Less than a few times a year,,35-44,,No,"$15,000 - $24,999",Yes,Yes,No,Manhattan,,,,No,,No,No,
No,,No,No,No,27,QN53,,0.953194455,,Employed full time (working more than 30 hours per week),,,No,Somewhat safer than standard vehicles,No,,,No,,No,,,,No,,"Asian, Non-Hispanic",No,No,No,,,,,No,No,No,"No, do not work from home",No,No,No,In a garage or lot in your apartment building,,No,A few times a month,,25-34,,No,"$25,000 - $34,999",,Yes,No,Queens,No,,,No,3.0,,No,
,,No,,No,59,QN22,,0.411473534,,Unemployed,,,No,Somewhat less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,No,,No,,No,,,,A few times a month,,55-64,,No,"$75,000 - $99,999",,No,Yes,Manhattan,,,,No,,,No,
,,No,,No,35,SI05,,1.310385022,,Employed full time (working more than 30 hours per week),,,No,Don't Know,No,,,No,,No,,,,Yes,,"Black, Non-Hispanic",No,Yes,No,,,,,,No,No,"Yes, work from home",No,No,No,On the street,,,Once a week,No,35-44,,,"$100,000 - $149,999",,Yes,No,Staten Island,No,No,,No,,,No,
No,No,No,No,No,37,BX10,,1.065135536,,Employed part time (working less than 30 hours per week),,,No,Don't Know,No,No,,No,,No,No,,,Yes,,"White, Non-Hispanic",No,No,No,Two,No,No,,No,No,Yes,"Yes, work from home",No,No,No,On the street,,No,,No,35-44,,,"$100,000 - $149,999",,Yes,No,The Bronx,No,,,No,,,No,No
,,No,,No,23,SI12,No,1.294973187,,Stay-at-home parent,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,Yes,,One,,,,,No,Yes,,No,,No,,,,A few times a year,,18-24,,No,"$35,000 - $49,999",Yes,No,Yes,The Bronx,,,,No,,No,No,
,,No,,No,38,MN24,No,0.675640958,,Employed full time (working more than 30 hours per week),,150.0,No,Neither more nor less safe than standard vehicles,No,,,No,,No,,,,No,,"Asian, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",Yes,No,No,In a garage or lot in your apartment building,,,Several times a week,,35-44,,No,"$150,000-$199,999",No,Yes,Yes,Queens,No,,,No,,No,No,
,,No,,No,56,BK96,,0.249451124,,Stay-at-home parent,,,No,Neither more nor less safe than standard vehicles,,No,,No,,,No,,,No,,"Black, Non-Hispanic",No,No,,One,No,No,,,No,No,,No,,No,On the street,,,A few times a year,,55-64,,Yes,Refused,,No,No,Brooklyn,,,,No,,,No,No
No,No,No,No,No,40,BK96,Yes,1.070050145,,Employed full time (working more than 30 hours per week),,750.0,No,Somewhat safer than standard vehicles,No,,,No,,No,,,,No,,Hispanic,No,,No,,,,,No,No,No,"No, do not work from home",,No,Yes,In a garage or lot in your apartment building,,No,Once a week,,35-44,,,"$75,000 - $99,999",No,Yes,,Manhattan,No,,Yes,No,2.0,No,No,
,,No,,No,68,QN18,,0.35753338,,Retired,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,,No,No,,No,,No,In a single family home garage or driveway,,,A few times a month,,65 or older,,No,"$15,000 - $24,999",,Yes,No,Staten Island,,,,No,,,No,
,,No,,No,59,BX29,,0.167679688,,Retired,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,,No,No,,No,,No,,,,A few times a month,,55-64,,No,"Less than $14,999",,No,No,Staten Island,,,,No,,,No,
,,No,,No,68,BX06,No,0.150398976,,Retired,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,,No,No,,No,,No,,,,Less than a few times a year,,65 or older,,No,"$35,000 - $49,999",Yes,Yes,No,Staten Island,,,No,No,,No,No,
,,No,,No,68,BX59,,0.474645514,,Retired,,60.0,No,Somewhat safer than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,No,,No,,No,In a garage or lot in your apartment building,,,Once a month,,65 or older,,No,"$50,000 - $74,999",,Yes,No,Queens,,,,No,,,No,
,,No,,No,30,MN12,,2.107551128,,Employed part time (working less than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,No,,No,,No,No,,,No,,"Black, Non-Hispanic",No,No,No,Two,No,No,,,No,No,"No, do not work from home",No,No,No,,,,A few times a month,,25-34,,No,"$15,000 - $24,999",,No,No,The Bronx,No,,,No,,,No,No
Yes,No,No,No,No,49,QN34,No,0.627734663,In a garage or lot in your apartment building,Full time student,Yes,,No,Somewhat safer than standard vehicles,,,,No,Business,,,,,No,No,"Asian, Non-Hispanic",No,No,,Two,,,,No,No,No,,No,,Yes,In a shared driveway,No,No,Once a month,No,45-54,,,"$200,000 and above",No,Yes,No,Queens,,No,,No,1.0,No,No,
Yes,No,Yes,No,No,35,QN53,,2.63444983,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,Hispanic,No,No,No,One,,,,No,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,No,Once a week,,35-44,,,"$100,000 - $149,999",,Yes,No,Brooklyn,No,Yes,,No,5.0,,No,
,,No,,No,45,QN45,,0.605719258,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,,No,No,,No,,No,,,,A few times a month,,45-54,,No,"Less than $14,999",,Yes,Yes,Manhattan,,,,No,,,No,
,,No,,No,40,BK79,,0.22998909,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,Personal errands,No,,,,No,,"Black, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,,,,Less than a few times a year,Yes,35-44,,No,"$35,000 - $49,999",,No,No,The Bronx,No,,,No,,,No,
,,Yes,,No,28,QN38,,1.288309963,,Employed full time (working more than 30 hours per week),,,No,Somewhat safer than standard vehicles,No,,,No,,No,,,,No,,"Black, Non-Hispanic",No,,No,,,,,,No,No,"No, do not work from home",,No,No,In a single family home garage or driveway,,,Once a month,,25-34,,No,"$50,000 - $74,999",,Yes,,Brooklyn,No,,,No,,,No,
,,No,,No,43,BX39,No,0.753017052,,Employed full time (working more than 30 hours per week),,,No,Neither more nor less safe than standard vehicles,No,No,,No,Business,No,No,,,No,,"Asian, Non-Hispanic",No,Yes,No,One,No,No,,,No,No,"No, do not work from home",No,No,No,,,,Once a month,No,35-44,,No,"$100,000 - $149,999",No,Yes,Yes,Queens,No,,,No,,No,No,No
,,No,,Yes,22,MN36,,0.243392901,,Full time student,,,No,Somewhat less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,No,,Yes,,No,,,,Less than a few times a year,,18-24,,No,"$75,000 - $99,999",,Yes,Yes,Manhattan,,,,No,,,Yes,
,,No,,No,66,BK37,,0.343025307,,Unemployed,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,,No,No,,No,,No,,,,A few times a year,,65 or older,,No,"$35,000 - $49,999",,Yes,No,Manhattan,,,,No,,,No,
,,No,,No,21,MN24,,0.376374885,,Full time student,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,Yes,,One,,,,,No,No,,No,,No,,,,A few times a month,,18-24,,No,"$15,000 - $24,999",,No,No,Staten Island,,,No,No,,,No,
Yes,Yes,No,No,No,38,BK77,No,0.726506875,,Employed full time (working more than 30 hours per week),,,No,Somewhat safer than standard vehicles,No,,,No,,No,,,Other,No,,"Asian, Non-Hispanic",No,No,No,,,,,No,No,No,"No, do not work from home",No,No,Yes,,,No,Once a month,,35-44,,,"$50,000 - $74,999",No,Yes,No,Manhattan,No,,,No,7.0,No,No,
,,No,,No,48,SI08,,0.357611715,,Retired,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"Asian, Non-Hispanic",No,No,,,,,,,No,No,,No,,No,In a single family home garage or driveway,,,Once a month,,45-54,,No,"$100,000 - $149,999",,Yes,Yes,Staten Island,,,,No,,,No,
Yes,,No,No,No,57,QN56,,0.496993327,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,Yes,,,,,,No,No,No,,No,,No,,,No,A few times a year,No,55-64,,,"$75,000 - $99,999",,Yes,No,Manhattan,,,,No,,,No,
,,No,,No,28,QN63,No,0.836777227,,Employed full time (working more than 30 hours per week),,,No,Somewhat safer than standard vehicles,No,,,No,,No,,,,No,,Hispanic,No,No,No,,,,,,No,No,"No, do not work from home",No,No,Yes,In a single family home garage or driveway,,,A few times a month,,25-34,,No,"$50,000 - $74,999",No,Yes,No,Queens,No,,,No,,No,No,
,,No,,No,34,MN11,No,0.811797634,,Employed full time (working more than 30 hours per week),,,No,Much safer than standard vehicles,No,,,No,,No,,,,No,,"Asian, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,On the street,,,Daily,,25-34,,,"$100,000 - $149,999",No,Yes,No,Queens,No,,,No,,No,No,
Yes,,No,No,No,23,QN34,,0.206856062,,Employed part time (working less than 30 hours per week),,,No,Somewhat less safe than standard vehicles,,,,No,,,,,,No,,"Other, Non-Hispanic",No,No,,,,,,No,No,Yes,"Yes, work from home",No,,No,,,No,A few times a month,,18-24,,No,"$25,000 - $34,999",,No,No,Queens,,,,No,,,No,
,,No,,No,37,MN13,,1.934351582,,Employed part time (working less than 30 hours per week),,,No,Somewhat less safe than standard vehicles,,No,,No,,,No,,,No,,"Black, Non-Hispanic",No,No,,Three,No,No,,,No,No,"Yes, work from home",No,,No,,,,A few times a month,,35-44,,No,"$15,000 - $24,999",,No,No,The Bronx,,,,No,,,No,No
,,No,,No,68,MN36,,3.74923929,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,,,No,Other,No,,,,No,,"White, Non-Hispanic",No,No,No,,,,,,No,No,"No, do not work from home",No,No,No,,,,Once a week,No,65 or older,,No,"$75,000 - $99,999",,No,Yes,Manhattan,No,,,No,,,No,
,,No,,No,35,QN22,No,1.969494469,,Unemployed,,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,No,,,,,,,No,No,,No,,No,,,,Once a month,,35-44,,No,"$25,000 - $34,999",No,No,Yes,The Bronx,,,,No,,No,No,
,,No,,No,23,MN03,,0.223835004,,Employed part time (working less than 30 hours per week),,,No,Much less safe than standard vehicles,,,,No,,,,,,No,,"White, Non-Hispanic",No,No,,,,,,,No,No,"Yes, work from home",No,,No,,,,A few times a month,,18-24,,No,"Less than $14,999",,Yes,Yes,Manhattan,,,,No,,,No,
,,No,,No,39,QN17,No,0.451692434,,Other,,,No,Much less safe than standard vehicles,,Yes,,No,,,No,,,No,,"Asian, Non-Hispanic",No,Yes,,One,No,No,,,No,Yes,,No,,No,,,,Once a month,,35-44,,,"$35,000 - $49,999",No,No,No,The Bronx,,,,No,,No,No,No
,,No,,No,27,QN22,,0.417854598,,Employed full time (working more than 30 hours per week),,,No,Somewhat less safe than standard vehicles,No,No,,No,,No,No,,,No,,"White, Non-Hispanic",No,No,No,One,No,No,,,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,,Once a week,,25-34,,No,"$75,000 - $99,999",,Yes,Yes,Queens,No,,,No,,,No,No
,,No,,No,23,SI01,Yes,0.066153882,,Employed full time (working more than 30 hours per week),,,No,Neither more nor less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,No,No,,,,,,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,,A few times a month,,18-24,,No,"$35,000 - $49,999",No,Yes,No,Staten Island,No,,,No,,No,No,
,,No,,No,53,BX46,,0.267626653,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,No,,No,Social/recreation,No,No,,,No,,"White, Non-Hispanic",No,Yes,No,One,No,No,,,No,No,"No, do not work from home",No,No,No,In a single family home garage or driveway,,,A few times a month,No,45-54,,No,"$150,000-$199,999",,Yes,No,Queens,No,,,No,,,No,No
,,No,,No,43,BK61,,1.35076553,,Other,,,No,Neither more nor less safe than standard vehicles,,,,No,,,,,,No,,Hispanic,No,No,,,,,,,No,No,,No,,No,,,,Once a month,,35-44,,,"$35,000 - $49,999",,No,No,Staten Island,,,,No,,,No,
,,No,,No,56,QN17,No,1.235920597,,Employed full time (working more than 30 hours per week),,,No,Much less safe than standard vehicles,No,,,No,,No,,,,No,,"White, Non-Hispanic",No,Yes,No,,,,,,No,No,"No, do not work from home",No,No,No,On the street,,,Less than a few times a year,,55-64,,No,"$100,000 - $149,999",Yes,Yes,No,Staten Island,No,,,No,,No,No,
