project_id,_3_br_units,total_units,census_tract,_5_br_units,project_name,borough,reporting_construction_type,middle_income_units,building_completion_date,extended_affordability_status
76961,,1,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
76749,15.0,53,33202.0,,2500 BARKER AVENUE 653 MACE AVENUE,Bronx,New Construction,53.0,,No
77126,,21,273.0,,205 CABRINI BLVD APARTMENTS,Manhattan,New Construction,7.0,,No
75173,,15,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
71239,5.0,48,239.0,,MBD.MBD CLUSTER3.NR REHAB,Bronx,Preservation,,,No
77144,,54,35701.0,,1229 EASTERN PARKWAY,Brooklyn,New Construction,17.0,,No
75173,,13,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,1.0,,Yes
77079,,1,,,CONFIDENTIAL,Staten Island,New Construction,,2025-06-20T00:00:00.000,No
77106,,8,387.0,,81A MALCOLM X BOULEVARD,Brooklyn,New Construction,,,No
71239,,25,24501.0,,MBD.MBD CLUSTER3.NR REHAB,Bronx,Preservation,,,No
76423,,1,644.0,,1567 MARINE PARKWAY BK.PPP.FY25,Brooklyn,Preservation,,,No
76316,,8,908.0,,1847 PITKINS AVE APARTMENTS,Brooklyn,New Construction,8.0,2025-03-05T00:00:00.000,No
76266,,8,511.0,,344 LORIMER STREET,Brooklyn,New Construction,3.0,2025-02-07T00:00:00.000,No
68871,,85,23502.0,,THOROBIRD-TCB. 2064 GRAND CONCOURSE. THE LOUELLA,Bronx,New Construction,,,No
77110,,14,374.0,,717 BARTHOLDI STREET,Bronx,New Construction,,,No
74117,,198,97202.0,,ARVERNE PRESERVATION.HRP.FY25,Queens,Preservation,36.0,,No
75995,,1,,,CONFIDENTIAL,Manhattan,New Construction,,2024-10-03T00:00:00.000,No
75173,,9,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
