license_nbr,cp_dd,issuance,community_district,cb_dd,swc_type,cd_url,app_too_date,app_status_date
1299629-DCA,2018-07-11T00:00:00.000,Pending Review,104,2018-07-11T00:00:00.000,Enclosed,http://www.nyc.gov/mcb4,2020-07-11T00:00:00.000,2020-04-30T00:00:00.000
1473879-DCA,2020-02-04T00:00:00.000,Pending Review,102,2020-03-05T00:00:00.000,Enclosed,http://www.nyc.gov/manhattancb2,2020-06-30T00:00:00.000,2020-05-29T00:00:00.000
2052336-DCA,2019-11-26T00:00:00.000,Pending Review,104,2019-11-26T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb4,2020-06-10T00:00:00.000,2020-03-10T00:00:00.000
2009611-DCA,2020-03-02T00:00:00.000,Pending Review,103,2020-03-02T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb3,2020-05-11T00:00:00.000,2020-03-02T00:00:00.000
1392078-DCA,2019-06-21T00:00:00.000,Pending Review,107,2019-06-21T00:00:00.000,Enclosed,http://www.nyc.gov/mcb7,2020-02-22T00:00:00.000,2020-01-02T00:00:00.000
2083343-DCA,,Issued,107,2019-11-08T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,,2020-06-22T00:00:00.000
1247610-DCA,2020-02-10T00:00:00.000,Pending Review,302,2020-02-10T00:00:00.000,Unenclosed,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,2020-07-10T00:00:00.000,2020-06-17T00:00:00.000
2092902-DCA,2019-12-06T00:00:00.000,Pending Review,108,2019-12-06T00:00:00.000,Enclosed,http://www.cb8m.com/,2020-03-20T00:00:00.000,2021-10-07T00:00:00.000
0960499-DCA,2019-09-11T00:00:00.000,Pending Review,105,2019-09-20T00:00:00.000,Unenclosed,http://www.cb5.org,2020-08-31T00:00:00.000,2020-06-05T00:00:00.000
1104424-DCA,2020-01-09T00:00:00.000,Pending Review,104,2020-01-09T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb4,2020-06-28T00:00:00.000,2020-05-28T00:00:00.000
2093005-DCA,2019-12-17T00:00:00.000,Pending Review,108,2019-12-17T00:00:00.000,Enclosed,http://www.cb8m.com/,2020-09-10T00:00:00.000,2021-10-07T00:00:00.000
1192416-DCA,2019-09-19T00:00:00.000,Pending Review,105,2020-01-14T00:00:00.000,Small Unenclosed,http://www.cb5.org,2020-06-30T00:00:00.000,2020-05-28T00:00:00.000
2092914-DCA,,Issued,102,2019-12-11T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,,2020-06-03T00:00:00.000
0970343-DCA,2018-06-04T00:00:00.000,Pending Review,108,2018-06-04T00:00:00.000,Enclosed,http://www.cb8m.com/,2019-11-15T00:00:00.000,2019-06-26T00:00:00.000
2084368-DCA,2020-01-03T00:00:00.000,Pending Review,302,2020-03-05T00:00:00.000,Unenclosed,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,2020-03-01T00:00:00.000,2020-01-06T00:00:00.000
2050844-DCA,2019-12-19T00:00:00.000,Pending Review,106,2020-02-19T00:00:00.000,Unenclosed,http://cbsix.org,2020-03-15T00:00:00.000,2020-01-23T00:00:00.000
1459574-DCA,2020-02-12T00:00:00.000,Pending Review,401,2020-02-12T00:00:00.000,Unenclosed,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,2020-04-11T00:00:00.000,2020-03-11T00:00:00.000
2091266-DCA,2019-09-13T00:00:00.000,Pending Review,102,2019-09-13T00:00:00.000,Regular Unenclosed/Small Unenclosed,http://www.nyc.gov/manhattancb2,2020-03-18T00:00:00.000,2021-10-07T00:00:00.000
2094522-DCA,2020-02-13T00:00:00.000,Pending Review,108,2020-02-13T00:00:00.000,Enclosed,http://www.cb8m.com/,2020-07-10T00:00:00.000,2020-06-11T00:00:00.000
1382144-DCA,2019-12-13T00:00:00.000,Pending Review,107,2020-02-13T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,2020-08-17T00:00:00.000,2020-06-17T00:00:00.000
2091698-DCA,2019-10-24T00:00:00.000,Pending Review,401,2019-10-24T00:00:00.000,Enclosed,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,2020-07-28T00:00:00.000,2021-10-07T00:00:00.000
2053879-DCA,2019-09-19T00:00:00.000,Pending Review,104,2019-09-19T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb4,2019-12-18T00:00:00.000,2019-09-19T00:00:00.000
1000314-DCA,2020-01-10T00:00:00.000,Pending Review,107,2020-03-12T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,2020-06-30T00:00:00.000,2020-05-28T00:00:00.000
1027125-DCA,2020-02-25T00:00:00.000,Pending Review,107,2020-03-27T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,2020-09-18T00:00:00.000,2020-06-18T00:00:00.000
1471902-DCA,2020-02-12T00:00:00.000,Pending Review,107,2020-02-12T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,2020-03-12T00:00:00.000,2020-02-12T00:00:00.000
2048669-DCA,2019-09-13T00:00:00.000,Pending Review,112,2020-03-05T00:00:00.000,Unenclosed,http://www.nyc.gov/html/mancb12/html/home/home.shtml,2020-08-29T00:00:00.000,2020-05-29T00:00:00.000
2090482-DCA,,,102,,Unenclosed,http://www.nyc.gov/manhattancb2,2020-01-18T00:00:00.000,2019-12-17T00:00:00.000
1246104-DCA,2020-01-31T00:00:00.000,Pending Review,107,2020-01-31T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb7,2020-03-26T00:00:00.000,2020-02-26T00:00:00.000
