app_id,license_nbr,business_name,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,moo,cp
2854-2020-RSWC,2028248-DCA,BILTMORE GARAGE RESTAURANT ASSOCIATES LLC,18,NEW YORK,Issued Temp Op Letter,2020-02-07T00:00:00.000,9,,Pending Review,Pending Review
9762-2018-ASWC,2070749-DCA,EL CONDE M&G INC,28,NEW YORK,Under Review,2018-05-09T00:00:00.000,7,,Pending Review,Pending Review
3682-2020-RSWC,1280217-DCA,CALOUNE CORP.,8,LONG ISLAND CITY,Issued Temp Op Letter,2020-02-21T00:00:00.000,4,2020-04-17T00:00:00.000,Pending Review,Pending Review
2373-2020-RSWC,2055688-DCA,RENAISSANCE HARLEM CORP,58,NEW YORK,Issued Temp Op Letter,2020-02-03T00:00:00.000,27,,Pending Review,Pending Review
26463-2019-RSWC,0882869-DCA,"LIRA OF NEW YORK, INC.",8,NEW YORK,Issued Temp Op Letter,2019-09-12T00:00:00.000,4,2019-11-07T00:00:00.000,Pending Review,Pending Review
12415-2019-ASWC,2091930-DCA,ABI GROUP LLC,42,BROOKLYN,Under Review,2019-11-01T00:00:00.000,11,,Pending Review,Pending Review
19210-2019-RSWC,2042425-DCA,HERM LLC,20,NEW YORK,Issued Temp Op Letter,2019-05-07T00:00:00.000,6,2020-03-06T00:00:00.000,Pending Review,Proceed
12693-2019-ASWC,2092160-DCA,E & A BAGEL CORP.,16,NEW YORK,Withdrawal - Refund Request,,8,,,
2953-2020-RSWC,1198574-DCA,VANETT INC.,14,BRONX,Issued Temp Op Letter,2020-02-11T00:00:00.000,7,2020-04-08T00:00:00.000,Pending Review,Pending Review
15080-2019-RSWC,1457685-DCA,SARABETH'S PAS LLC,46,NEW YORK,Withdrawal - Refund Request,2019-03-25T00:00:00.000,23,2019-05-16T00:00:00.000,Approved,
