property_id,property_name,address_1,retail_store_number_of_open,natural_gas_use_kbtu,ambulatory_surgical_center,enclosed_mall_gross_floor,property_gfa_calculated,other_weekly_operating_hours,other_gross_floor_area_ft,parent_property_id,year_ending,office_percent_that_can_be,number_of_buildings,worship_facility_gross_floor,retail_store_number_of_walk,office_weekly_operating_hours,refrigerated_warehouse_gross,weather_normalized_site_eui,difference_from_national_2,hospital_general_medical_3,hospital_general_medical_11,weather_normalized_site_2,college_university_number,nyc_borough_block_and_lot,movie_theater_gross_floor,medical_office_percent_that,adult_education_gross_floor,direct_ghg_emissions_metric,residence_hall_dormitory,data_center_pdu_output_meter,hotel_gym_fitness_center,convention_center_gross_floor,hospital_general_medical_13,hospital_general_medical_6,alert_data_center_does_not,multifamily_housing_resident,bank_branch_gross_floor_area,difference_from_national_1,financial_office_computer,weather_normalized_site_1,largest_property_use_type_1,other_number_of_workers_on,council_district,distribution_center_gross,net_emissions_metric_tons,urgent_care_clinic_other,list_of_all_property_use,district_chilled_water_use,supermarket_grocery_gross,national_median_reference,supermarket_grocery_open,hospital_general_medical_2,medical_office_mri_machine
4369079,ABC REALTY 321 EAST 45TH ST,321 EAST 45TH ST,Not Available,7016329.8,Not Available,Not Available,63000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01338-0012,Not Available,Not Available,Not Available,372.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,8.9,Not Available,Not Available,63000,Not Available,4.0,Not Available,471.3,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,180 POWELL STREET,Not Available,103524292.2,Not Available,Not Available,991000,Not Available,Not Available,4473955,2016-12-31T00:00:00.000,Not Available,8,Not Available,Not Available,Not Available,Not Available,144.8,Not Available,Not Available,Not Available,1088837.9,Not Available,3037270001;3037450001;3035070001;3037090001,Not Available,Not Available,Not Available,6153.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,43.6,Not Available,1.1,991000,Not Available,41.0,Not Available,8579.7,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
3128121,MORRIS I/MORRIS II/MORRISANIA,1385 WASHINGTON AVENUE,Not Available,215996055.9,Not Available,Not Available,2114950,Not Available,Not Available,4473965,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2029010001;2029100001;2029020036;2029110001;2023900024,Not Available,Not Available,Not Available,11474.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,3.1,Not Available,Not Available,2114950,Not Available,16.0,Not Available,11474.9,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
3531878,Simone: 1250 Waters Place,1250 Waters Place,Not Available,46801558,Not Available,Not Available,765760,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,100,1,Not Available,Not Available,65,Not Available,189.6,Not Available,Not Available,Not Available,468015.6,Not Available,2-04226-7501,Not Available,Not Available,Not Available,2485.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31.5,Not Available,0.8,560000,Not Available,13.0,Not Available,8064.8,Not Available,"Office, Parking",Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available
3226946,Simone: 1200 Waters Place,1200 Waters Place,Not Available,10402989.8,Not Available,Not Available,300000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,100,1,Not Available,Not Available,65,Not Available,307.7,Not Available,Not Available,Not Available,115607.3,Not Available,2-04226-0070,Not Available,Not Available,Not Available,552.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,119.6,Not Available,0.4,280000,Not Available,13.0,Not Available,7476.2,Not Available,"Office, Parking",Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available
2546474,The Nightingale Bamford School,20 East 92 Street,Not Available,3418360.2,Not Available,Not Available,128858,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,72,Not Available,Not Available,Not Available,38050.3,Not Available,1-01503-0059;1-01503-0063;1-01503-0057,Not Available,Not Available,Not Available,181.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,7.5,Not Available,0.3,128858,Not Available,4.0,Not Available,689.4,Not Available,K-12 School,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available
5980333,1500 Hoe Avenue,1500 Hoe Avenue,Not Available,3983176.7,Not Available,Not Available,83424,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,74.3,Not Available,Not Available,Not Available,42299.6,Not Available,2029880016,Not Available,Not Available,Not Available,211.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-10.7,Not Available,0.5,83424,Not Available,17.0,Not Available,394.6,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,2985 AVENUE X,Not Available,272561431.2,Not Available,Not Available,2104000,Not Available,Not Available,4474028,2016-12-31T00:00:00.000,Not Available,35,Not Available,Not Available,Not Available,Not Available,163.2,Not Available,Not Available,Not Available,2911181.7,Not Available,3073870001;3074051001;3073890001;3074080001,Not Available,Not Available,Not Available,14477,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,48.3,Not Available,1.4,2104000,Not Available,46.0,Not Available,19383.8,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
6022240,Brooklyn Tennis & Sports Club,2781 Shell Road,Not Available,6986387.2,Not Available,Not Available,118182,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,112,Not Available,Not Available,Not Available,73576.9,Not Available,3-07233-0210,Not Available,Not Available,Not Available,371.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113.7,Not Available,0.7,107958,Not Available,47.0,Not Available,794.8,Not Available,"Fitness Center/Health Club/Gym, Parking",Not Available,Not Available,CBECS - Recreation,Not Available,Not Available,Not Available
5077287,New York Presbyterian Brooklyn Methodist Hospital,506 6th Street,Not Available,92269757.2,Not Available,Not Available,821392,Not Available,Not Available,5077287,2016-12-31T00:00:00.000,Not Available,2,Not Available,Not Available,Not Available,Not Available,219.4,Not Available,Not Available,0.48211,969140.3,Not Available,3-01084-0164; 3-01086-0001,Not Available,Not Available,Not Available,4900.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-19,Not Available,1.2,821392,Not Available,39.0,Not Available,12463.9,Not Available,Hospital (General Medical & Surgical),Not Available,Not Available,CBECS - Inpatient Healthcare,Not Available,821392,Not Available
5984812,Metropolitan Homes: 2100 Bedford,2100 Bedford Ave,Not Available,Not Available,Not Available,Not Available,87000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available,Not Available,Not Available,3-05083-0054,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-81.2,Not Available,Not Available,87000,Not Available,40.0,Not Available,57.7,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
2831137,OCEAN HILL-BROWNSVILLE,2041 PACIFIC STREET,Not Available,12294051.1,Not Available,Not Available,127100,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,131739.9,Not Available,3014310037;3014310039;3014310043;3014390001;3014390010,Not Available,Not Available,Not Available,653,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39.8,Not Available,1,127100,Not Available,41.0,Not Available,921.7,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
5990147,1148 Metropolitan Avenue,1148 Metropolitan Avenue,Not Available,4659204.8,Not Available,Not Available,104500,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,58,Not Available,Not Available,Not Available,52458.9,Not Available,3-02943-0002,Not Available,Not Available,Not Available,247.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-11,Not Available,0.5,104500,Not Available,34.0,Not Available,320.8,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,Not Available,Not Available,Not Available
5871315,1250 67th Street and 1270 67th Street Norwegian Christian Home,"1250, 1270 67th Street",Not Available,6168245.6,Not Available,Not Available,30328,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3057670028,Not Available,Not Available,Not Available,388.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,205.2,Not Available,Not Available,15164,Not Available,,Not Available,509.5,Not Available,"Multifamily Housing, Senior Care Community",Not Available,Not Available,CBECS - Other,Not Available,Not Available,Not Available
2686404,Treeline West LLC 177 Livingston St,177 Livingston Street,Not Available,2687879,Not Available,Not Available,89013,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,100,1,Not Available,Not Available,58.37,Not Available,89,Not Available,Not Available,Not Available,26878.8,Not Available,3001567501,Not Available,Not Available,Not Available,142.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-15.3,Not Available,0.3,89013,Not Available,33.0,Not Available,630.5,Not Available,Office,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available
6075346,Taube Management Realty : 125 Oceana Drive East,125 Oceana Drive East,Not Available,5580199.9,Not Available,Not Available,171942,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,2,Not Available,Not Available,Not Available,Not Available,54.8,Not Available,Not Available,Not Available,59318.7,Not Available,3-08720-7509,Not Available,Not Available,Not Available,296.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-10.3,Not Available,0.3,171942,Not Available,48.0,Not Available,613.6,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
2831082,JOHNSON/JEFFERSON,1581 PARK AVENUE,Not Available,12388794.6,Not Available,Not Available,2758857,Not Available,Not Available,4473925,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1016620001;1016620016;1016840001;1016400001;1016400021,Not Available,Not Available,Not Available,658,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-42.7,Not Available,Not Available,2758857,Not Available,8.0,Not Available,7398.5,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
2788854,441 Ocean Avenue Associates,441 Ocean Avenue,Not Available,8966618.9,Not Available,Not Available,115374,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,103.7,Not Available,Not Available,Not Available,97436.5,Not Available,3050810001,Not Available,Not Available,Not Available,517.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,12.4,Not Available,0.8,115374,Not Available,40.0,Not Available,672.5,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
2815138,The General Society Building,20 West 44th Street,Not Available,23845.2,Not Available,Not Available,67132,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,25,1,Not Available,Not Available,94,Not Available,7.7,Not Available,Not Available,Not Available,238.5,Not Available,1012590048,Not Available,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-86.3,Not Available,0,67132,Not Available,4.0,Not Available,46.9,Not Available,Office,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available
2684923,Clipper - 1350 - 1372 New York Ave,1350 - 1372 New York Avenue,Not Available,26878192.7,Not Available,Not Available,412128,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,94.3,Not Available,Not Available,Not Available,294184.9,Not Available,3-04964-0040,Not Available,Not Available,Not Available,1427.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-1.3,Not Available,0.7,412128,Not Available,45.0,Not Available,2305.1,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
5951022,"Gadol 45 Owner, LLC",123 W 37th Street,Not Available,Not Available,Not Available,Not Available,509747,60,509747,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,67.3,Not Available,Not Available,Not Available,Not Available,Not Available,1008130016,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,24.2,Not Available,Not Available,509747,60,3.0,Not Available,2706.1,Not Available,Other,Not Available,Not Available,CBECS - Other,Not Available,Not Available,Not Available
5985498,KWM099116 99-11 60th Ave,99-11 60th Ave,Not Available,Not Available,Not Available,Not Available,174771,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,3,Not Available,Not Available,Not Available,Not Available,26.8,Not Available,Not Available,Not Available,Not Available,Not Available,4-01947-0001,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-33.3,Not Available,Not Available,174771,Not Available,21.0,Not Available,446.6,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4339617,Towne Partners LLC,423 E 138th St.,Not Available,10983443.4,Not Available,Not Available,66000,Not Available,66000,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,237,Not Available,Not Available,Not Available,117238.7,Not Available,2-02283-0088,Not Available,Not Available,Not Available,583.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,193.4,Not Available,1.8,66000,Not Available,8.0,Not Available,947.1,Not Available,Other,Not Available,Not Available,CBECS - Other,Not Available,Not Available,Not Available
5934499,1625-1631 Fulton Avenue,1625-1631 Fulton Avenue,Not Available,752061,Not Available,Not Available,87413,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,19.4,Not Available,Not Available,Not Available,7795.4,Not Available,2029290082,Not Available,Not Available,Not Available,39.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-64.3,Not Available,0.1,87413,Not Available,16.0,Not Available,126.5,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4910138,Domen Holding Co,301 East 73rd Street,Not Available,65241.8,Not Available,Not Available,52560,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,84.2,Not Available,Not Available,Not Available,659,Not Available,1-01448-0001,Not Available,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,2100,-28.2,Not Available,0,50460,Not Available,5.0,Not Available,280.5,Not Available,"Bank Branch, Multifamily Housing",Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
