parcel_name,other_floor_area,agency,his_dist,major_use,block,office_floor_area,boro,census_block,assess_land,sp_dist_2,govt_clean_up_program,e_designation_number,overlay_2,number_of_easements,bldg_front,edc___occupied,ratio_building_to_floor_area
WILLIAMNSBURG BRIDGE APPROACH,0,DOT,,T9,327,0,1,1005.0,760950,,,,,0,200.0,,0.96
BELVUE HOSP/OCME/EMS STATION 8,0,HHC,,I1,962,2124441,1,1001.0,140865750,,,,,0,197.0,,2.82
CORNELL TECH CONDO,0,DCAS,,RM,1373,0,1,1008.0,2880006,,,,,0,0.0,,2.96
BROOKLYN BATTERY TUNNEL GARAGE,0,DCAS,,G1,17,0,1,2004.0,10197000,,,,,0,116.0,,1.66
VARICK STREET,0,DOT,,V1,220,0,1,3006.0,2106450,,,,,0,0.0,,0.0
STANLEY M. ISAACS PARK,400,PARKS,,Q1,1690,0,1,5010.0,459000,,,,,0,20.0,100.0,0.02
,0,HPD,Mount Morris Park Historic District,C1,1720,0,1,2004.0,202050,,,,,0,28.0,,2.85
IND STANTON ST. SUBSTATION,0,NYCTA,,U7,412,0,1,1000.0,0,,,,,0,0.0,,0.0
FASHION INDUSTRIES VOC HS,0,EDUC,,W1,774,400000,1,2002.0,5535000,,,,,0,200.0,,10.13
RIVERSIDE PARK,3936,PARKS,Scenic Landmark,Q1,1254,0,1,,31452750,,,,,2,8.0,,0.0
42ND ST DEV/TIMES SQUARE,0,DCAS,,O4,1014,827105,1,2005.0,19215000,,,,,0,200.0,,28.86
,0,DSBS,,T2,1483,0,1,7002.0,157500,,,,,0,0.0,,0.0
RIVERSIDE PARK SOUTH,0,PARKS,,V1,1171,0,1,2001.0,12460950,,,,,0,0.0,,0.0
POLICE COMMUNITY RELATIONS BLD,27722,NYPD,Individual Landmark,Y2,563,0,1,2000.0,1413000,,NYC Voluntary Cleanup Program,,,0,100.0,,2.87
ABRAHAM LINCOLN HOUSES PLGD,0,PARKS,,Q1,1757,0,1,3000.0,661500,,,,,0,0.0,,0.0
BERGTRAUM AF,0,EDUC;SANIT,,Q6,249,0,1,6019.0,2589300,,,,,0,0.0,,0.0
PS 41 & PLAYGROUND,0,EDUC,,Q2,606,0,1,3001.0,3556800,,,,,0,0.0,,0.0
,0,DSBS,,T2,1474,0,1,,33750,,,,,0,0.0,,0.0
"FORMERLY PIERS 19, 20 & 21",30081,DSBS,,T2,73,0,1,,9255150,,,,,0,0.0,,0.07
,0,PARKS,,QG,1718,0,1,1002.0,165150,,,,,0,0.0,,0.0
WILIAM MCCRAY PLAYGROUND,0,PARKS,,Q2,1736,0,1,1000.0,44550,,,,,0,0.0,,0.0
,0,EDUC,,O4,29,646657,1,1005.0,11745000,,,,,0,230.0,,25.37
,0,DSBS,,T2,1484,0,1,6001.0,153000,,,,,0,0.0,,0.0
FUTURE CORNELL TECH CAMPUS,0,DCAS,,V1,1373,0,1,1016.0,50637150,,,,,0,0.0,,0.0
METRO NORTH PARK,0,PARKS,,Q2,1672,0,1,2001.0,573300,,,,,0,0.0,,0.0
JHS 82 PLAYGROUND/HENRY JCKSN,0,PARKS,,Q2,267,0,1,1001.0,972000,,,,,0,0.0,,0.0
GREELEY SQUARE PARK,0,PARKS,,Q1,834,0,1,1006.0,3028500,,,,,0,0.0,,0.01
PIER 96,84000,PARKS,,T2,1109,0,1,1000.0,5472000,,,,,0,0.0,,0.41
9TH STREET COMMUNITY GARDEN,0,PARKS,,Q1,379,0,1,4004.0,543600,,,,,0,0.0,,0.0
CARNEGIE HALL CORPORATION,98374,DCAS,Individual Landmark,P1,1009,0,1,5000.0,19485000,,,,,0,200.83,,3.56
COLEMAN SQUARE PLAYGROUND,0,PARKS,,Q1,254,0,1,6016.0,100800,,,,,0,0.0,,0.0
PIER 97,231000,DOT;SANIT,,T2,1109,4412,1,1000.0,5895450,,,,,0,0.0,,0.99
EL JARDIN DEL PARAISO PARK,0,PARKS,,Q1,374,0,1,1001.0,297450,,,,,0,0.0,,0.0
WILLIAM MCCRAY PLAYGROUND,0,PARKS,,Q2,1736,0,1,1000.0,58050,,,,,0,0.0,,0.0
CORPORATION YARD ADDITION,0,DEP,,G7,274,0,1,6013.0,877050,,,,,0,0.0,,0.0
,0,DCAS,,K2,709,0,1,1008.0,212400,,,,,0,50.0,,2.59
S ST. CPORT/BURLING SLIP/PLGRD,57398,HPD;PARKS,South Street Seaport Historic District,K9,74,0,1,2012.0,4477500,,,,,0,20.0,,2.64
KIPS BAY BRANCH LIBRARY,12581,NYPL,,P8,886,0,1,4000.0,697500,,,,,0,49.0,,2.55
IRT SUBSTATION #40,0,NYCTA,,U7,132,0,1,2004.0,0,,,,,0,0.0,,0.0
WILLIAM H. SEWARD PARK,5608,PARKS,,Q1,311,0,1,1001.0,6210000,,,,,0,112.0,,0.04
,0,HPD,,V1,1635,0,1,4000.0,176400,,,,,0,0.0,,0.0
"ENG 54, LAD 4, BAT 9",0,FIRE,,Y1,1019,0,1,2001.0,1764000,,,,,0,60.83,,1.9
25 PCT PERSONNEL PARKING,0,NYPD,,G7,1767,0,1,2000.0,486900,,,,,0,0.0,,0.0
,0,DOT,,V1,1171,0,1,2000.0,450,,,,,0,0.0,,0.0
PS 183,45516,EDUC,,W1,1461,0,1,1005.0,2457000,,,,,0,140.0,,2.84
N.Y.C.P.D. 6TH PRECINCT,0,NYPD,Greenwich Village Historic District,Y2,620,30489,1,1002.0,3514500,,,,,0,88.84,,1.76
MARY O'CONNOR PLAYGROUND,0,PARKS,,Q1,1335,0,1,1005.0,3313350,,,,,0,0.0,,0.0
ORCHARD ALLEY GARDEN,0,PARKS,,Q1,373,0,1,1002.0,773100,,,,,0,0.0,,0.0
42ND ST DEV/TIMES SQUARE,26202,DCAS,,RI,1012,1136272,1,1003.0,11044329,,,,,0,197.0,,15.94
PS 63,79726,EDUC,,W1,431,0,1,4000.0,1764000,,,,,0,144.0,,2.76
LOS AMIGOS GARDEN,0,PARKS,,Q1,386,0,1,2001.0,380250,,,,,0,0.0,,0.0
,25400,EDUC,,M1,731,0,1,1001.0,2668500,,,,,0,75.0,100.0,1.52
EL GALLO GARDEN,0,PARKS,,QG,1645,0,1,3001.0,134550,,,,,0,0.0,,0.0
JHS 104 & PLAYGROUND,0,EDUC;PARKS,,W1,926,177800,1,4001.0,9585000,,,,,0,174.0,,1.76
MINETTA PLAYGROUND,107,PARKS,,Q2,543,0,1,2000.0,918000,,,,,0,12.33,,0.01
HARLEM RIVER DRIVEWAY GARDEN,0,PARKS,,T2,1761,0,1,,819000,,,,,0,0.0,,0.0
,0,DCAS,,RD,1373,0,1,1016.0,2315251,,,,,0,185.0,,12.17
GEORGE DALY HOUSE SHELTER,25378,DCAS,,N2,387,0,1,2000.0,549000,,,,,0,98.83,,4.24
EL JARDIN DEL PARAISO PARK,0,PARKS,,Q1,374,0,1,1001.0,346500,,,,,0,0.0,,0.0
25 PCT PERSONNEL PARKING,0,NYPD,,G7,1767,0,1,2000.0,631350,,,,,0,0.0,,0.0
I. S. 70,0,EDUC,,W1,741,157160,1,1000.0,7875000,,,,,0,332.0,,1.99
,0,DSBS,,T2,1487,0,1,7000.0,142200,,,,,0,0.0,,0.0
PS 199 & PLAYGROUND (JOP),84135,EDUC;PARKS,,W1,1158,0,1,6000.0,18270000,,,,,0,139.0,,0.84
JACKIE ROBBINSON COMM. PARK,0,PARKS,,QG,1771,0,1,1000.0,223200,,,,,0,0.0,,0.0
AHEARN PARK,0,PARKS,,Q1,315,0,1,2001.0,323100,,,,,0,0.0,,0.0
PUEBLO UNIDO GARDEN,0,PARKS,,QG,1616,0,1,1004.0,301500,,,,,0,0.0,,0.0
EAST RIVER PARK,0,PARKS,,Q1,243,0,1,2001.0,961650,,,,,0,0.0,,0.0
THELONIOUS MONK CIRCLE,0,DOT,,V1,1171,0,1,4004.0,68850,,,,,0,0.0,,0.0
RAIL CONTROL CENTER FOR TA,0,NYCTA,,O2,1044,196884,1,5000.0,5791050,,,,,0,144.0,,2.83
FORMER NYC POLICE MUSEUM,0,CULT;NYPD,Individual Landmark,P7,34,16568,1,1033.0,1264500,,,,,0,162.0,,1.72
HANSBOROUGH REC CENTER & POOL,31475,PARKS,,P6,1730,0,1,4000.0,141300,,,,,0,120.0,,2.52
ASSER LEVY RECREATION CTR & PK,0,PARKS,Individual Landmark,P6,981,19806,1,1004.0,3210750,,,,,0,163.5,,0.25
PETER MINUIT PLAZA/BATTERY PK,0,PARKS,,Q1,3,0,1,1020.0,4388850,,,,,0,16.0,,0.0
117TH ST COMMUNITY GARDEN,0,PARKS,,QG,1644,0,1,3002.0,158400,,,,,0,0.0,,0.0
,0,DSBS,,V1,1705,0,1,1000.0,880200,,,,,0,0.0,,0.0
"LAD 3, BAT 6",5996,FIRE,,Y1,558,0,1,1001.0,459000,,,,,0,40.0,,1.73
FOOT OF - E 56TH ST,0,DSBS,,T2,1371,0,1,,31500,,,,,0,0.0,,0.0
JHS 22/HAM. FISH PARK LIBRARY,217300,EDUC,,W1,335,0,1,4000.0,3514500,,,,,0,364.0,,2.71
CHILDREN'S MIRACLE GARDEN,0,PARKS,,Q9,354,0,1,4002.0,266400,,,,,0,0.0,,0.0
NEW YORK SKYPORTS,0,DSBS,,T2,991,0,1,1000.0,19485450,,,,,0,85.0,,0.44
ENVIRON. HIGH SCHOOL (M834),243459,EDUC,,W9,1065,0,1,3000.0,3937500,,,,,0,200.0,,4.04
,0,PARKS,,Q9,1753,0,1,1003.0,194400,,,,,0,0.0,,0.0
FORSYTH ALT HS-OUTDOOR,0,EDUC,,G7,422,0,1,2000.0,2506050,,,,,0,0.0,,0.0
MANHATTAN 1/2/5 SALT STORAGE,7500,SANIT,,Y6,595,0,1,1006.0,852750,,,,,0,0.0,,0.51
OCA OFFICES,0,OCA,,O4,855,519737,1,1004.0,13500000,,,,,0,99.0,,23.63
MAE GRANT PLAYGROUND,0,PARKS,,Q2,1610,0,1,1000.0,1627833,,,,,0,0.0,,0.0
CITY HALL/TWEED CRTHS/PARK,0,DCAS;PARKS,African Burial Ground & The Commons Historic District,O2,122,144016,1,1021.0,14603400,,,,,0,215.0,,0.36
P.S. 59 - (MEETH),42000,EDUC,,W1,1418,0,1,1000.0,4601700,,,,,0,125.0,,4.11
MULTIPURPOSE EDUC BUILDING,5180,EDUC,,W1,1461,0,1,1005.0,2128950,,,,,0,50.0,,0.37
WEST 4TH STREET COURTS,17311,PARKS,,Q2,543,0,1,1002.0,2452500,,,,,0,0.0,,1.0
,0,DSBS,,V1,1691,0,1,,766800,,,,,0,0.0,,0.0
MCNAIR PARK,0,PARKS,,V1,1771,0,1,3006.0,243450,,,,,0,0.0,,0.0
MAGIC GARDEN,0,PARKS,,QG,1645,0,1,2001.0,563400,,,,,0,0.0,,0.0
SHABAZZ HARLEM MARKET,0,HPD,,Z9,1599,0,1,1003.0,229050,,,,,0,0.0,,0.0
IND 8TH AVE. ROW & VENT,0,HPD,South Street Seaport Historic District,U7,96,0,1,3009.0,0,,,,,0,0.0,,0.0
CARL SCHURZ PARK,7500,PARKS,Individual Landmark,Q1,1592,0,1,5004.0,47733750,,,,,0,50.0,,0.01
FOOT OF- E. 55TH ST,0,DSBS,,T2,1371,0,1,,32850,,,,,0,0.0,,0.0
WEST 59TH STREET REC CENTER,20000,PARKS,,Q9,1151,0,1,1001.0,4905000,,,,,0,25.0,,0.67
CONSOLIDATED EDISON CO OF NY,0,DSBS,,T2,988,0,1,1000.0,2406600,,,,,0,0.0,,0.0
PS 142 & PLAYGROUND,123410,EDUC,,W1,343,0,1,2000.0,3123000,,,,,0,50.0,,1.53
JACKSON SQUARE.PARK,0,PARKS,,Q1,616,0,1,2000.0,1840050,,,,,0,0.0,,0.0
B/O RIVERSIDE BLVD & W 63 ST,0,DOT,,V1,1171,0,1,4000.0,26,,,,,0,0.0,,0.0
EAST HARLEM HEALTH CENTER,36000,HLTH,,I5,1640,0,1,4000.0,422550,,,,,0,150.0,,2.38
HANOVER SQUARE PARK,0,PARKS,,Q1,28,0,1,1024.0,971550,,,,,0,0.0,,0.0
PLAYGROUND,0,PARKS,,Q2,1728,0,1,1001.0,281250,,,,,0,0.0,,0.0
ANIMAL SHELTER,2523,HLTH,,I9,1681,0,1,2002.0,81000,,,,,0,25.0,100.0,0.5
SIEMPRE VERDE GARDEN,0,PARKS,,V1,344,0,1,2001.0,495000,,,,,0,0.0,,0.0
,0,DSBS,,V1,1704,0,1,,325800,,,,,0,0.0,,0.0
PS 751 (OLD PS 25),40000,EDUC,,W1,446,0,1,5001.0,1683000,,,,,0,120.5,100.0,1.69
B/O RIVERSIDE BLVD & W 70ST,0,DOT,,V1,1171,0,1,3001.0,900,,,,,0,0.0,,0.0
HAMILTON FISH PARK,12900,PARKS,Individual Landmark,Q1,340,0,1,3000.0,6660000,,,,,0,154.0,,0.06
HUDSON PARK,1085,PARKS,,Q1,707,0,1,1039.0,6327377,,,,,0,0.0,,0.05
ABINGDON SQUARE.PARK,0,PARKS,,Q1,624,0,1,3007.0,1215000,,,,,0,0.0,,0.0
,10,OCA,Individual Landmark,O4,1300,1177646,1,1005.0,41355000,,,,,2,344.33,100.0,17.53
,0,PARKS,,V1,372,0,1,1000.0,724050,,,,,0,0.0,,0.0
PECK SLIP PARK,0,PARKS,,Q0,107,0,1,3006.0,898650,,,,,0,0.0,,0.0
PLAYGROUND,0,PARKS,,Q2,331,0,1,3002.0,412200,,,,,0,0.0,,0.0
DUFFY SQUARE PARK,0,PARKS,,K1,1018,0,1,1008.0,832500,,,,,0,60.0,,0.9
HS OF ECONOMICS & FINANCE,0,EDUC,,W1,52,102591,1,1010.0,4999500,,,,,0,99.0,,9.34
,0,PARKS,,Q1,384,0,1,1002.0,215550,,,,,0,0.0,,0.0
CORLEARS HOOK PARK,1830,PARKS,,Q1,262,0,1,5004.0,6075000,,,,,0,0.0,,0.01
,0,OMB;ACTRY;MAYOR,,O6,127,518700,1,2005.0,7785000,,,,,0,165.0,,12.91
MOTT STREET SENIOR CENTER,22302,AGING,,I5,479,0,1,1002.0,490500,,,,,0,42.0,,5.78
CHELSEA PARK,18924,PARKS,,Q1,724,0,1,2002.0,12330450,,,,,0,0.0,100.0,0.13
WATERSIDE PIER,19282,PARKS,,T2,970,0,1,,2961000,,,,,0,0.0,,0.28
JHS 118,152068,EDUC,,W1,1223,0,1,1001.0,11295000,,,,,0,95.0,,2.13
PS 11 PLAYGROUND,0,EDUC,,Q2,744,0,1,1000.0,1786500,,,,,0,0.0,,0.0
6TH ST & AVE B COMM GARDEN,0,PARKS,,QG,401,0,1,6000.0,869400,,,,,0,0.0,,0.0
CAMPOS GARDEN,0,PARKS,,QG,394,0,1,2001.0,1693800,,,,,0,0.0,,0.0
,0,PARKS,,Q1,708,0,1,1007.0,1430100,,,E-137,,0,0.0,,0.0
JENNIE A CLARKE RESIDENCE,0,DHS,,C4,1628,0,1,3000.0,45000,,,,,0,25.0,,3.65
SAMUEL N BENNERSON PARK,0,PARKS,,Q2,1154,0,1,1000.0,6875100,,,,,0,0.0,,0.0
CONSOLIDATED EDISON CO OF NY,2580,DSBS,,Z9,1485,0,1,6000.0,100800,,,,,0,0.0,,0.43
PS 42 PLAYGROUND,0,EDUC,,V5,309,0,1,4001.0,1127700,,,,,0,0.0,,0.0
PS 3,0,EDUC,Greenwich Village Historic District,W1,585,0,1,3001.0,2689200,,,,,0,114.0,,2.15
LA CUEVITA GARDEN,0,PARKS,,QG,1621,0,1,1005.0,196650,,,,,0,0.0,,0.0
PS 50 (UDC & ECF),88300,,,W1,1694,0,1,5008.0,1183500,,,,,0,195.0,,1.24
SEPTUAGESIMO UNO SITTING AREA,0,PARKS,,V1,1162,0,1,7000.0,343800,,,,,0,0.0,,0.0
,0,DSBS,,Q1,969,0,1,1009.0,1513800,,,,,0,0.0,,0.0
,0,NYPD,,O6,597,366584,1,1013.0,3622500,,,,,0,214.42,,9.96
,0,DCAS,,D8,709,0,1,1008.0,18000000,,,E-137,,0,198.0,,13.62
FIRST PARK,216,PARKS,,Q2,442,0,1,2003.0,2106000,,,,,0,0.0,100.0,0.01
CHILDREN'S MIRACLE GARDEN,0,PARKS,,Q9,354,0,1,4002.0,189900,,,E-216,,0,0.0,,0.0
JAMES J WALKER PARK,0,PARKS,,Q1,582,0,1,4005.0,5040000,,,,,0,100.0,,0.07
60 BROAD ST/33 BEAVER ST,0,DHS;PROB;TLC,,O4,24,957364,1,1001.0,20160000,,,,,0,214.08,,21.78
BEACH STREET PARK/TRIBECA PARK,0,PARKS,,Q1,190,0,1,3013.0,162450,,,,,0,0.0,,0.0
LA PLAZA CULTURAL GARDEN,0,PARKS,,QG,391,0,1,2000.0,8016750,,,,,0,0.0,,0.0
LEONARD COVELLO ISC,22978,AGING,,P5,1680,0,1,5000.0,130500,,,,,0,75.0,,3.04
107TH STREET PIER,9045,PARKS,,T2,1701,0,1,,256950,,,,,0,20.0,,0.11
,0,CB111,,C7,1623,0,1,1003.0,59850,,,,,0,50.0,,4.28
MANHATTAN 4/4A/7 GARAGE,0,SANIT,,Y6,1103,0,1,1003.0,3372750,,,,,0,124.0,,2.01
IRT SUBSTATION #42,0,NYCTA,,U7,1311,0,1,1002.0,0,,,,,0,0.0,,0.0
SECTION 51/41-2,6900,SANIT,Individual Landmark,Y6,792,0,1,1001.0,422550,,,,,0,25.0,,3.0
HEADSTART PROGRAM,3744,EDUC,Upper West Side / Central Park West Historic District,W8,1218,0,1,2000.0,307800,,,,,0,17.0,,2.19
COLLECT POND PK/LEONOLD ST FLD,17600,PARKS,,Q2,169,0,1,1008.0,6817950,,,,,0,163.5,,0.41
HERALD SQUARE.PARK,0,PARKS,,Q1,810,0,1,1011.0,2452500,,,,,0,0.0,,0.0
P.S. 38,75000,EDUC,,W1,1652,0,1,4000.0,697500,,,,,0,125.0,,2.7
S ST. CPORT/BURLING SLIP/PLGRD,0,HPD;PARKS,,Z9,74,0,1,2004.0,2468700,,,,,0,0.0,,0.0
ENG 55,6540,FIRE,Individual Landmark,Y1,470,0,1,3000.0,281250,,,,,0,24.0,100.0,2.69
"ENG 34, LAD 21",8650,FIRE,,Y1,735,0,1,3002.0,387000,,,E-137,,0,50.0,,1.75
,0,PARKS,,QG,393,0,1,3000.0,849600,,,,,0,0.0,,0.0
PS 6,92500,EDUC,,W1,1493,0,1,2000.0,18990000,,,,,0,174.0,,1.8
PARK AVENUE ARMORY,84337,DHS,Upper East Side Historic District,Y4,1401,0,1,4004.0,45958500,,,,,0,200.83,,1.04
JENNIE A CLARKE RESIDENCE,0,DHS,,C4,1628,0,1,3000.0,90000,,,,,0,50.0,,4.33
P.S. 185.(TANDEM M185),0,EDUC,,W1,1595,144225,1,2000.0,2920500,,,,,0,377.0,,1.25
HUDSON PARK,0,PARKS,,Q1,705,0,1,1010.0,6642900,,,E-137,,0,0.0,,0.0
JOSEPH C SAUER PLGD,0,PARKS,,V1,405,0,1,2000.0,573300,,,,,0,0.0,,0.0
SCH OF COOP TECH ED/PLAYGROUND,94000,EDUC;PARKS,,W1,1668,0,1,1003.0,5580000,,,,,0,190.0,,0.72
FORSYTH ALT HS,77580,EDUC,,W1,422,0,1,2000.0,1197000,,,,,0,96.0,,3.89
TRIBECA DOG RUN,0,PARKS,,Q9,142,0,1,2002.0,1440900,,,,,0,0.0,,0.0
LA PLAZA CULTURAL GARDEN,0,PARKS,,QG,391,0,1,2000.0,925650,,,,,0,0.0,,0.0
PARK EAST ALT HS,38839,EDUC,,W3,1654,0,1,2001.0,490500,,,,,0,150.0,,2.56
SURROGATE COURT,0,DCAS,African Burial Ground & The Commons Historic District,O3,153,229824,1,1020.0,4284000,,,,,0,185.0,,7.79
ALEXANDRIA CENTER,0,HHC,,RB,962,688254,1,1002.0,13749750,,,,,0,0.0,,6.21
EL GALLO GARDEN,0,PARKS,,QG,1645,0,1,3001.0,134550,,,,,0,0.0,,0.0
,0,OLR;HLTH,,O4,63,491163,1,1007.0,4995000,,,,,0,119.0,,25.07
WILLIAMSBURG BRIDGE APPROACH,0,DOT,,T9,337,0,1,2003.0,878850,,,,,0,0.0,,0.0
MANHATTAN GARAGE 11,0,HHC,,G1,1671,0,1,2002.0,256500,,,,,0,185.0,,1.99
FASHION INSTITUTE OF TECH,163000,EDUC,,W6,777,0,1,2002.0,6300000,,,,,0,186.83,,5.1
BRISAS DEL CARIBE PARK,0,PARKS,,Q1,386,0,1,2001.0,346500,,,,,0,0.0,,0.0
LEX.AVE. & E99 SUBSTATION,0,NYCTA,,U7,1626,0,1,6003.0,0,,,,,0,0.0,,0.0
COLLYER BROTHERS PARK,0,PARKS,,Q9,1726,0,1,2002.0,117450,,,,,0,0.0,,0.0
25 PCT PERSONNEL PARKING,0,NYPD,,G7,1767,0,1,2000.0,159750,,,,,0,0.0,,0.0
THE HIGH LINE,0,DSBS;PARKS,,K4,644,38961,1,1006.0,7747650,,,,,1,253.0,,0.83
ORCHARD ALLEY GARDEN,0,PARKS,,Q1,373,0,1,1002.0,388350,,,,,0,0.0,,0.0
NYPD CITYWIDE TRAFFIC TASK FC,0,NYPD,Individual Landmark,Y2,805,36702,1,1000.0,1125000,,,,,0,90.0,,5.05
SEWARD PARK BRANCH LIBRARY,0,NYPL,Individual Landmark,P8,311,18028,1,1001.0,531000,,,,,0,52.0,,2.98
PS 63 PLAYGROUND (JOP),0,EDUC;PARKS,,Q2,431,0,1,4000.0,769950,,,,,0,0.0,,0.0
9TH STREET COMMUNITY GARDEN,0,PARKS,,Q1,379,0,1,4004.0,543600,,,,,0,0.0,,0.0
PS 34,54656,EDUC,,W1,381,0,1,4005.0,2686500,,,,,0,269.0,,0.98
