other_2,grade_6,black_2,grade_11,year,white_1,students_with_disabilities_1,grade_5
7.0%,0,14.0%,0,2014-15,269,108,82
3.8%,120,26.4%,0,2015-16,91,64,0
0.0%,0,5.6%,0,2012-13,16,121,119
0.6%,0,21.7%,139,2012-13,20,119,0
7.9%,93,4.4%,0,2015-16,491,136,114
2.7%,0,5.9%,0,2011-12,117,30,28
3.5%,0,41.0%,16,2015-16,2,40,0
1.3%,0,11.7%,99,2012-13,74,49,0
3.9%,58,57.5%,0,2015-16,47,108,64
3.4%,0,18.4%,0,2012-13,172,87,96
1.7%,0,15.6%,80,2012-13,99,55,0
0.5%,0,18.9%,362,2014-15,121,207,0
3.4%,0,8.1%,0,2013-14,339,80,89
2.5%,0,28.7%,102,2014-15,15,84,0
6.1%,129,3.2%,0,2015-16,234,51,0
5.5%,0,2.8%,0,2012-13,437,94,91
0.7%,0,29.6%,0,2011-12,7,75,46
2.1%,0,16.1%,119,2015-16,228,5,0
1.5%,55,22.4%,0,2011-12,8,124,40
1.1%,0,26.6%,29,2013-14,8,59,0
1.6%,0,31.8%,84,2014-15,11,137,0
0.4%,0,27.3%,105,2013-14,26,107,0
1.3%,0,37.2%,344,2012-13,61,183,0
2.1%,0,8.7%,135,2012-13,259,95,0
3.3%,0,33.3%,194,2012-13,109,23,0
0.9%,0,42.2%,362,2012-13,39,270,0
1.6%,70,23.6%,0,2012-13,7,73,0
1.4%,114,24.9%,0,2013-14,78,51,0
2.0%,121,11.1%,0,2015-16,58,128,55
0.7%,0,0.4%,0,2015-16,12,74,133
1.6%,0,16.8%,0,2012-13,9,17,0
4.5%,0,8.4%,0,2014-15,184,65,0
2.6%,0,1.0%,0,2014-15,45,128,144
1.4%,0,37.3%,92,2011-12,6,85,0
2.5%,0,8.6%,0,2013-14,24,144,74
5.7%,0,16.4%,0,2011-12,82,62,47
3.3%,0,44.2%,98,2012-13,9,80,0
1.2%,100,28.5%,0,2015-16,8,164,56
1.7%,0,32.4%,0,2015-16,2,57,18
4.2%,0,13.2%,0,2015-16,209,88,74
2.1%,0,30.1%,0,2015-16,12,72,36
0.7%,0,39.1%,388,2011-12,66,179,0
0.0%,0,23.4%,63,2013-14,1,18,0
2.0%,0,24.7%,0,2011-12,8,99,42
0.8%,24,24.4%,0,2012-13,145,54,36
0.3%,123,8.4%,0,2011-12,107,136,59
5.8%,0,13.0%,0,2013-14,243,83,0
10.9%,0,7.6%,0,2014-15,100,32,27
2.0%,0,12.3%,0,2014-15,60,91,49
0.0%,0,27.5%,0,2012-13,6,65,25
4.8%,0,1.7%,0,2015-16,136,39,0
1.4%,0,28.6%,121,2012-13,35,122,0
0.0%,0,11.3%,0,2011-12,80,24,0
0.0%,0,4.3%,0,2013-14,14,135,140
7.1%,0,1.4%,0,2012-13,232,47,54
6.7%,0,11.9%,0,2015-16,169,72,104
7.5%,0,2.4%,0,2013-14,563,145,118
4.0%,156,9.3%,123,2013-14,742,67,112
0.9%,110,26.9%,0,2012-13,62,48,0
4.4%,0,18.4%,93,2015-16,112,63,0
3.8%,0,28.7%,45,2014-15,19,27,0
9.5%,0,4.9%,0,2015-16,545,142,119
1.7%,0,29.4%,128,2014-15,15,107,0
2.8%,0,36.7%,0,2012-13,15,41,0
0.0%,150,2.2%,0,2011-12,316,64,0
0.0%,0,0.2%,138,2013-14,0,14,0
4.8%,0,26.3%,89,2015-16,10,108,0
1.8%,0,17.4%,100,2012-13,118,53,0
2.7%,62,11.7%,0,2013-14,482,151,86
5.2%,0,1.9%,0,2015-16,264,62,50
1.4%,323,9.9%,0,2013-14,201,184,0
0.0%,0,6.0%,48,2012-13,6,16,0
2.6%,0,0.9%,0,2013-14,47,128,169
7.8%,0,3.2%,0,2012-13,359,80,84
2.0%,479,8.3%,0,2013-14,518,224,0
1.8%,0,52.7%,0,2015-16,5,42,19
11.9%,0,1.9%,0,2012-13,171,31,0
0.9%,0,22.2%,164,2014-15,57,114,0
3.7%,0,18.0%,0,2013-14,169,97,80
6.2%,94,4.6%,0,2014-15,475,139,89
0.9%,62,14.5%,0,2011-12,78,166,53
2.5%,0,26.7%,92,2015-16,16,83,0
2.7%,0,21.5%,309,2015-16,174,252,0
1.0%,0,19.7%,0,2015-16,21,64,17
0.6%,0,12.5%,0,2011-12,6,1,0
1.5%,9,68.2%,85,2015-16,5,91,0
2.1%,81,23.0%,0,2014-15,6,77,0
1.6%,0,24.1%,0,2012-13,10,104,47
3.5%,0,3.2%,0,2012-13,557,146,123
2.5%,0,4.0%,0,2015-16,367,101,94
0.5%,0,44.1%,88,2011-12,21,79,0
0.6%,50,48.4%,0,2013-14,3,47,0
1.7%,64,14.8%,0,2014-15,144,21,57
0.0%,0,19.2%,0,2014-15,8,82,43
0.7%,0,29.2%,109,2011-12,21,86,0
1.0%,60,3.8%,0,2012-13,61,62,59
1.1%,0,26.5%,37,2015-16,6,63,0
0.6%,0,0.8%,0,2013-14,13,86,144
2.0%,103,21.5%,93,2014-15,72,183,0
0.6%,0,25.7%,138,2014-15,6,129,0
0.3%,0,14.8%,61,2011-12,47,2,0
4.7%,283,16.6%,0,2012-13,449,81,0
5.9%,0,10.8%,0,2012-13,341,120,131
0.0%,59,35.0%,0,2011-12,11,49,0
4.2%,48,59.2%,0,2012-13,40,65,72
1.2%,0,27.3%,74,2014-15,8,102,0
1.1%,0,36.9%,71,2012-13,11,81,0
1.4%,0,38.8%,82,2013-14,9,95,0
1.2%,0,21.0%,88,2014-15,8,74,0
0.5%,71,25.4%,0,2012-13,14,196,101
0.0%,83,22.9%,0,2011-12,6,63,0
0.4%,63,44.7%,0,2015-16,25,76,0
1.4%,0,32.5%,141,2013-14,18,152,0
1.1%,60,34.9%,0,2014-15,18,51,0
4.8%,0,5.1%,0,2011-12,378,115,80
6.4%,0,1.5%,0,2014-15,586,150,136
0.8%,0,43.5%,76,2013-14,16,37,0
2.0%,0,32.0%,101,2014-15,16,131,0
0.9%,0,9.1%,192,2014-15,7,20,0
10.3%,0,2.1%,0,2015-16,340,96,97
0.0%,64,28.7%,0,2015-16,14,114,33
0.0%,0,38.2%,24,2011-12,11,15,0
8.8%,33,22.7%,95,2015-16,238,66,0
8.7%,0,8.5%,0,2013-14,173,58,56
3.6%,0,16.0%,0,2015-16,50,109,51
0.6%,0,27.1%,179,2015-16,8,136,0
5.9%,0,19.0%,106,2015-16,142,67,0
1.4%,45,33.3%,0,2014-15,56,143,48
1.0%,123,9.8%,0,2013-14,84,140,73
1.5%,0,17.3%,52,2012-13,17,57,0
6.0%,28,23.3%,113,2014-15,253,60,0
3.5%,0,19.6%,0,2013-14,30,89,44
0.0%,0,22.6%,93,2011-12,9,86,0
6.7%,0,5.2%,0,2011-12,307,73,69
11.2%,61,10.2%,73,2011-12,267,46,0
4.0%,59,56.8%,0,2014-15,54,104,62
0.4%,57,79.5%,0,2015-16,15,93,44
0.0%,34,26.2%,0,2011-12,112,46,32
1.0%,0,1.5%,94,2012-13,5,12,0
2.1%,0,28.9%,112,2013-14,66,80,0
3.8%,99,19.1%,0,2012-13,131,94,0
1.7%,0,35.6%,0,2012-13,3,55,24
7.5%,0,58.1%,0,2015-16,10,49,0
2.0%,0,28.6%,78,2012-13,18,61,0
1.1%,0,36.3%,84,2014-15,5,100,0
7.2%,0,2.4%,0,2015-16,572,129,133
13.3%,0,6.9%,0,2014-15,181,49,56
0.7%,0,2.7%,96,2013-14,3,10,0
3.1%,0,28.9%,102,2013-14,16,72,0
2.0%,92,12.1%,0,2011-12,134,62,0
0.9%,42,22.6%,0,2011-12,0,38,0
2.1%,0,8.2%,0,2012-13,25,122,75
5.2%,0,29.1%,109,2014-15,31,82,0
0.0%,0,34.6%,257,2011-12,3,135,0
0.0%,0,1.9%,0,2011-12,9,98,126
0.8%,0,8.3%,0,2011-12,16,121,85
1.5%,69,54.4%,0,2014-15,10,58,0
8.0%,0,3.0%,0,2013-14,373,96,90
0.9%,39,27.3%,0,2015-16,4,42,0
7.4%,0,12.6%,0,2015-16,127,80,56
0.3%,0,39.6%,76,2015-16,13,74,0
0.7%,0,22.1%,408,2013-14,103,220,0
1.7%,61,13.8%,0,2014-15,92,159,88
0.2%,0,13.4%,0,2012-13,14,122,78
2.4%,0,31.8%,351,2014-15,115,101,0
1.6%,0,36.3%,91,2015-16,8,49,0
5.0%,94,15.4%,77,2014-15,191,176,0
6.7%,0,5.1%,0,2013-14,550,156,113
0.0%,0,11.8%,77,2013-14,26,16,0
0.4%,92,51.6%,0,2013-14,12,80,0
1.2%,90,22.5%,91,2013-14,61,188,0
5.9%,0,2.2%,0,2013-14,488,108,117
3.1%,0,23.9%,116,2014-15,83,98,0
4.4%,53,58.0%,0,2013-14,54,93,73
0.3%,86,12.5%,0,2015-16,21,142,82
4.0%,0,4.0%,147,2015-16,344,45,0
2.0%,0,27.0%,137,2013-14,29,128,0
1.3%,0,36.1%,99,2012-13,7,54,0
0.0%,0,14.2%,87,2014-15,35,17,0
6.8%,63,14.5%,75,2014-15,272,35,0
1.8%,0,21.9%,120,2014-15,55,81,0
11.2%,0,3.7%,0,2014-15,95,27,0
1.0%,0,28.0%,0,2014-15,5,38,0
3.4%,0,13.8%,154,2013-14,268,4,0
8.0%,194,2.8%,0,2013-14,224,86,0
3.9%,0,47.6%,0,2011-12,3,55,37
0.7%,0,25.6%,0,2012-13,12,65,53
1.6%,0,16.3%,0,2012-13,94,58,24
2.3%,0,67.4%,0,2014-15,7,75,38
1.8%,0,26.6%,69,2015-16,17,83,0
3.0%,0,17.4%,0,2014-15,27,82,42
6.3%,84,10.6%,0,2015-16,60,40,0
1.3%,55,30.1%,0,2015-16,14,97,26
1.0%,0,38.5%,73,2012-13,9,70,0
2.8%,0,27.5%,71,2014-15,14,68,0
12.4%,0,35.2%,92,2012-13,11,60,0
0.2%,0,23.5%,93,2011-12,11,96,0
0.0%,88,51.2%,0,2011-12,6,73,0
