dbn,school_name,q9_how_much_do_you_agree_disagree_b_my_child_s_is_clean,teacher_engagement_score,q3_how_often_c_been_invited_to_a_w_kshop_program_perf_mance_other_event_at_y,change_in_teacher_academic_expectations_score_2007_2008,change_in_parent_safety_and_respect_score_2007_2008,q9_how_much_do_you_agree_disagree_c_discipline_is_enf_ced_fairly_at_my_child_s,change_in_teacher_communication_score_2007_2008,student_horizon_safety_and_respect_score,q1_number_4th_grade,parent_horizon_communication_score,q2a_number_agree,student_engagement_score,change_in_safety_and_respect_score_2007_2008,engagement_score,parent_communication_score,q2c_number_strongly_agree,q2_how_much_do_you_agree_disagree_c_my_childs_makes_it_easy_f_parents_to_atten,q3_how_often_b_received_inf_mation_on_services_f_your_child_f_you_such_as_t,q5_how_much_do_you_agree_disagree_e_answer_this_question_only_if_you_are_a_high,q2b_number_does_not_apply,q13_how_satisfied_are_you_with_c_how_well_your_child_s_communicates_with_you,total_parents,students_received_surveys,teacher_communication_score,q2_how_much_do_you_agree_disagree_a_i_feel_welcome_in_my_child_s_school,change_in_student_safety_and_respect_score_2007_2008,hor_type,q2b_number_strongly_disagree,q2_how_much_do_you_agree_disagree_b_i_am_satisfied_with_the_response_i_get_when,q2c_number_agree,principal,q2b_number_agree,parent_horizon_safety_and_respect_score,q1_number_10th_grade,q1_number_8th_grade,student_horizon_communication_score,q2c_number_disagree,q2e_number_strongly_disagree,q1_number_1st_grade,parent_horizon_academic_expectations_score,q1_number_pre_kindergarten,q2_how_much_do_you_agree_disagree_e_the_contacts_me_when_my_child_breaks_rules
13K003,P.S. 003 The Bedford Village,8.1,6.1,7.8,-0.2,0.4,7.7,0.1,.,25,52.6,84,.,-0.2,6.7,7.6,77,7.4,6.3,.,0,7.5,476,0,6.2,8.4,.,2,0,7.9,114,Kristina Beecher,110,52.6,0,0,.,17,1,52,70.0,8,7.8
17K394,M.S. K394,8.0,7.6,8.8,0.9,1.1,7.6,0.5,52.9,21,63.6,100,6.5,1,7.0,7.6,85,7.4,7.1,.,3,7.4,650,1,7.4,8.1,1.4,3,5,7.8,96,Ms. Claudette Murray,90,61.5,0,39,33.3,24,2,22,70.8,16,8.1
19K260,P.S. 260 Breuckelen,8.4,5.4,9.3,0.6,0.1,7.4,-0.7,-7.1,21,57.9,66,6.2,-0.3,6.2,7.7,60,7.4,7.9,.,0,7.4,335,1,5.0,8.4,-1.1,2,3,7.5,80,Pierre Raymond,78,36.8,0,0,62.5,18,1,22,65.0,12,8.0
20K247,P.S. 247 Brooklyn,8.2,7.7,7.8,0.8,0.3,8.3,0.9,.,36,42.1,118,.,0.2,7.4,7.4,75,7.7,6.3,.,2,7.6,487,0,7.3,8.0,.,2,3,7.7,135,Christopher E. Ogno,128,73.7,0,0,.,8,1,26,55.0,27,7.8
02M111,P.S. 111 Adolph S. Ochs,7.9,5.8,8.2,0,0.6,7.7,-1.1,50,20,63.6,113,6.7,0.2,6.6,7.6,102,8.0,6.7,.,0,7.8,449,1,4.8,8.1,0,3,3,7.8,108,Irma Medina,107,69.2,0,20,50,5,2,22,62.5,11,8.1
17K167,P.S. 167 The Parkway,7.8,7.4,8.5,2,0.9,7.6,1,.,37,36.8,125,.,1.2,7.2,7.3,73,7.1,6.7,.,1,7.6,466,0,6.3,7.9,.,2,7,7.2,131,Joan Palmer,122,42.1,1,0,.,22,3,36,50.0,28,7.6
11X275,High School of Computers and Technology,7.7,6.2,7.4,-1.1,0.7,7.8,-0.9,56.7,0,66.7,104,6.5,0.3,6.7,7.4,66,7.4,7.2,6.9,1,7.1,430,1,5.9,7.9,0.4,7,1,7.7,121,Bruce Abramowitz,99,66.7,69,0,54.2,17,2,0,64.3,0,7.6
03M492,"High School for Law, Advocacy and Community Justice",6.6,5.9,7.8,0.3,1,6.7,0.2,36.7,0,53.3,30,5.8,0.7,6.1,7.0,20,7.2,6.9,6.6,1,7.4,453,1,5.5,7.6,0.7,7,4,7.2,32,Miriam Nightengale,29,42.4,13,0,37.5,6,2,0,50.0,0,8.1
20K185,P.S. 185 Walter Kassenbrock,8.3,8.4,7.1,0.4,0.1,8.1,0,.,88,26.3,274,.,0.2,7.7,7.1,227,7.9,5.5,.,4,7.3,623,0,7.5,7.9,.,2,5,7.6,284,Kenneth Llinas,288,68.4,0,0,.,22,2,68,50.0,3,7.7
13K020,P.S. 020 Clinton Hill,7.9,6.4,8.5,0,0.4,7.3,-0.7,.,25,47.4,55,.,0.4,6.8,7.5,52,7.4,6.2,.,2,7.3,377,0,5.8,8.2,.,2,4,7.6,82,Sean Keaton,63,47.4,0,0,.,12,0,34,70.0,3,8.2
03M860,Frederick Douglass Academy II Secondary School,7.5,6.3,7.3,1.2,1.1,6.8,1.1,36.7,0,50.0,60,5.7,0.9,6.1,6.9,33,6.8,6.0,.,0,6.8,455,1,6.0,7.8,0.5,7,7,6.9,61,Latasha Greer,56,54.5,14,19,45.8,17,1,0,50.0,0,8.0
06M143,J.H.S. 143 Eleanor Roosevelt,7.2,7.3,7.1,0.4,0.5,7.5,0.3,70,0,64.3,416,6.7,0.5,6.9,7.4,257,7.4,7.2,.,8,7.6,790,1,7.1,7.8,0.4,5,19,7.4,383,Ourania Pappas,434,60.0,1,297,45.5,51,13,0,58.6,2,8.1
07X156,P.S. 156 Benjamin Banneker,8.2,6.5,8.4,1.3,1.3,7.1,1,.,18,52.6,60,.,1.5,7.0,7.6,44,7.7,7.9,.,0,7.8,549,0,6.4,8.0,.,2,4,7.5,68,James Lee,61,47.4,0,0,.,3,1,10,55.0,8,8.0
10X033,P.S. 033 Timothy Dwight,7.2,7.2,7.9,0.4,0.2,6.7,0.4,.,30,0.0,99,.,0.5,6.8,6.6,49,7.0,6.1,.,6,6.8,817,0,7.0,7.2,.,2,12,6.7,104,Lynette Santos,107,21.1,0,0,.,19,7,25,25.0,11,7.1
14K049,J.H.S. 049 William J. Gaynor,7.9,3.9,5.0,-0.6,0.9,6.5,-1.1,23.3,0,25.0,6,6.4,0.4,5.6,6.3,5,6.1,5.7,.,0,5.9,242,1,3.8,6.9,0.1,5,3,6.5,8,Claytisha Walden,9,26.7,0,6,68.2,2,1,0,17.2,0,7.6
19K202,P.S. 202 Ernest S. Jenkyns,6.9,6.3,7.0,1.5,0.8,6.3,1,20.6,16,13.6,69,6.4,1,6.3,6.5,49,7.2,5.1,.,0,6.4,796,1,6.0,7.4,0.5,3,13,6.5,65,Pauline Smith,67,11.5,0,7,37.5,17,5,15,25.0,7,7.5
02M418,Millennium High School,9.1,8.1,7.8,0.2,0.1,8.3,1,96.7,0,56.7,74,6.7,0.3,7.4,7.1,59,7.4,6.4,6.6,2,7.3,523,1,7.4,8.0,0.3,7,4,7.9,71,Robert Rhodes,71,81.8,43,0,95.8,19,0,0,67.9,0,7.9
06M346,Community Health Academy of the Heights,8.4,7.4,7.1,.,0.4,7.3,.,63.3,0,60.7,18,6.3,0.6,6.8,7.3,13,8.0,6.4,.,0,7.9,255,1,7.0,7.5,0.6,5,2,7.3,20,Sandra Maldonado,17,76.7,0,7,40.9,0,1,0,58.6,0,8.0
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",5.9,3.5,5.0,0.7,0.5,6.0,-0.9,20,0,-10.0,39,5.4,0.3,4.7,5.1,10,5.9,4.2,5,1,5.1,926,1,2.8,6.9,0.4,7,6,5.6,27,Denise Jennings,26,18.2,11,0,29.2,15,5,0,17.9,0,6.2
15K321,P.S. 321 William Penn,8.8,8.9,9.7,0.1,0.2,8.4,0.6,.,106,100.0,142,.,0.2,8.6,8.5,372,8.6,8.4,.,4,8.8,1085,0,8.5,9.1,.,2,3,8.6,198,Elizabeth Phillips,194,68.4,0,0,.,18,1,88,95.0,21,8.4
14K034,P.S. 034 Oliver H. Perry,8.6,8.4,8.9,0,0.3,8.7,0.2,.,41,89.5,90,.,0.2,8.0,8.3,170,8.8,7.7,.,1,8.4,386,0,8.2,8.8,.,2,0,8.7,82,Alicja Winnicki,90,89.5,0,0,.,6,0,47,90.0,24,8.6
02M033,P.S. 033 Chelsea Prep,8.9,7.6,9.3,1.8,1.2,8.7,0.9,.,31,105.3,54,.,1.5,8.1,8.6,131,8.6,8.0,.,2,8.8,269,0,7.0,8.7,.,2,6,8.5,72,Linore Lindy,64,89.5,0,0,.,4,4,35,110.0,17,8.6
21K199,P.S. 199 Frederick Wachtel,8.3,6.7,7.8,-1,0.5,8.2,-2.2,110.7,51,36.8,186,9.2,0.6,7.6,7.3,136,7.7,6.3,.,2,7.5,412,1,5.7,8.0,1.9,2,5,7.9,203,Rosalia Bacarella,192,78.9,0,0,195.8,15,1,58,50.0,22,7.7
01M064,P.S. 064 Robert Simon,8.3,8.1,9.3,1.8,0.7,8.1,0.5,.,24,84.2,51,.,1.1,8.0,8.2,55,7.8,8.0,.,0,8.2,242,0,7.4,8.6,.,2,0,8.3,57,Sandra Litrico Pappas,57,78.9,0,0,.,10,0,16,75.0,9,8.3
10X243,West Bronx Academy for the Future,7.5,6.3,5.7,0.7,1.2,7.3,0.3,36.7,0,60.0,65,5.8,0.5,6.2,7.2,64,8.0,5.9,.,2,7.4,516,1,5.3,8.2,.,7,3,7.9,68,"Wilper Morales, I.A.",61,63.6,24,13,41.7,5,5,0,57.1,0,8.0
17K382,Academy for College Preparation and Career Exploration: A College Board School,7.1,5.6,6.6,-0.8,0.1,8.0,-1,43.3,0,63.3,47,6.3,-0.3,6.4,7.3,30,7.2,6.1,.,0,7.2,314,1,4.7,8.3,0.1,7,1,7.8,58,Ditta Korbeogo,43,66.7,12,0,50,8,1,0,60.7,0,8.2
16K534,Upper School @ P.S. 25,7.1,6.0,7.1,-0.3,0.6,6.6,-0.4,33.3,0,46.4,68,6.3,0.4,6.4,6.9,40,7.3,6.4,.,1,7.0,224,1,6.0,7.9,0.2,5,3,7.3,70,William Cooper,72,43.3,0,35,31.8,12,3,0,48.3,0,7.8
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",7.5,5.0,6.8,1.2,0.7,7.2,-0.4,38.2,12,40.9,86,6.5,0.6,6.0,7.1,60,7.5,6.6,.,0,7.0,794,1,4.6,7.7,0.2,3,3,7.3,87,James Waslawski,96,50.0,0,17,33.3,13,9,19,45.8,0,7.3
19K007,P.S. 007 Abraham Lincoln,8.9,6.4,8.6,-0.2,0.5,8.5,0,.,87,84.2,217,.,0.4,7.0,8.2,280,8.2,7.5,.,3,8.2,717,0,6.7,8.5,.,2,4,8.1,256,Nydia Acevedo,262,78.9,0,0,.,19,0,107,90.0,36,8.3
14K404,Academy for Young Writers,8.4,6.7,8.5,.,-0.1,7.8,.,80,0,66.7,16,6.4,0.1,6.6,7.4,22,7.3,7.3,5.8,0,7.8,198,1,6.8,8.3,0.4,7,4,7.7,26,Carolyn Yaffe,21,69.7,31,0,75,4,2,1,50.0,0,8.5
10X280,P.S. 280 Mosholu Parkway,7.8,7.2,7.3,-0.5,0.1,7.3,0.4,52.9,20,40.9,92,6.5,0,6.6,7.1,74,7.6,5.8,.,1,7.3,607,1,7.5,7.6,-0.2,3,3,7.5,81,James Weeks,93,50.0,0,21,58.3,13,0,14,45.8,0,7.9
10X442,"Celia Cruz Bronx High School of Music, The",7.7,6.9,7.7,1,0.6,7.7,1.6,66.7,0,56.7,66,6.7,0.4,6.9,7.1,47,7.5,6.2,7.6,1,7.1,325,1,6.7,8.1,0.1,7,3,7.7,68,"William Rodriguez, Ed.D.",74,69.7,40,0,58.3,14,2,0,67.9,0,8.0
21K728,Liberation Diploma Plus,8.7,8.2,9.2,.,.,8.5,.,55.6,0,62.5,41,7.2,.,7.5,8.1,46,8.3,7.8,.,1,8.5,152,1,6.8,8.5,.,8,0,8.3,50,April Leong,45,80.0,33,0,55.6,0,0,0,65.2,0,8.5
04M101,P.S. 101 Andrew Draper,7.8,6.8,6.8,3.1,1.1,7.4,2.8,29.4,23,50.0,113,6.5,1.2,6.6,7.3,66,7.1,6.1,.,1,7.6,448,1,6.9,7.5,0.7,3,7,7.1,92,Alexander Castillo,110,57.7,0,8,50,28,4,15,58.3,27,7.7
02M560,High School M560 - City As School,8.5,6.1,7.1,-0.7,1,8.4,-0.9,77.8,0,16.7,12,7.5,0.2,6.5,7.0,8,7.0,6.1,.,2,7.1,559,1,5.5,8.2,-0.1,8,1,7.8,19,Antoniette Scarpinato,17,65.0,0,0,51.9,3,1,0,47.8,0,7.6
02M040,P.S. 040 Augustus Saint-Gaudens,8.5,7.3,8.9,-0.4,0.1,7.8,-0.6,.,33,78.9,57,.,0.2,7.7,8.1,107,8.2,7.3,.,3,8.2,464,0,6.5,9.0,.,2,0,8.3,88,Susan Felder,84,63.2,0,0,.,9,1,34,85.0,4,8.0
12X682,Fannie Lou Hamer Freedom High School,8.9,7.4,8.2,1.2,1,8.5,0.9,90,0,93.3,31,7,0.6,7.3,8.2,53,8.4,7.2,8.2,0,8.3,432,1,7.2,8.8,0.2,7,1,8.6,41,Nancy Mann,33,97.0,21,0,83.3,2,1,1,92.9,0,8.6
02M183,P.S. 183 Robert L. Stevenson,7.9,8.6,8.9,1,0.4,7.9,0.8,.,28,68.4,67,.,0.5,8.3,7.9,115,8.3,7.7,.,1,8.0,483,0,7.7,8.7,.,2,1,8.3,77,Mary Anne Sacco,88,68.4,0,0,.,12,1,31,60.0,2,8.2
16K308,P.S. 308 Clara Cardwell,7.5,7.3,7.8,1.1,0.9,7.4,0.5,35.3,33,36.4,194,6.2,0.6,6.7,7.0,89,7.0,6.0,.,2,7.0,711,1,7.0,7.6,0.4,3,11,7.1,203,Dr. Gail Bell-Baptiste,199,50.0,0,34,12.5,38,1,53,54.2,7,7.7
07X473,Mott Haven Village Preparatory High School,8.1,7.4,7.8,0.5,0.6,7.8,0.7,83.3,0,93.3,29,6.9,0.6,7.3,8.2,30,7.8,7.5,7.9,0,8.2,311,1,7.0,8.6,0.5,7,1,8.5,38,Ana Maldonado,27,66.7,20,0,70.8,3,0,0,82.1,0,8.8
22K337,International High School,8.3,6.8,8.4,-0.3,0.1,8.3,-0.6,83.3,0,86.7,25,7.1,-0.1,7.1,8.0,37,8.3,7.3,7.8,1,7.8,209,1,6.1,8.4,0,7,1,8.4,25,Michael F. Soet,21,81.8,19,0,79.2,0,2,0,82.1,0,8.4
17K191,P.S. 191 Paul Robeson,8.3,7.2,7.9,2.6,0.4,7.2,1.7,.,15,42.1,65,.,1.3,7.0,7.4,37,7.2,6.7,.,2,7.4,255,0,6.3,7.8,.,2,3,7.2,73,Mrs. Elsi Capolongo,75,42.1,0,0,.,9,2,24,60.0,8,7.6
09X215,Kappa,8.4,7.4,7.0,-0.6,0.4,8.0,-0.6,80,0,67.9,42,6.7,0,6.9,7.5,39,7.7,5.7,.,0,7.6,275,1,7.1,8.4,0.2,5,3,7.6,53,Sheri Warren,50,80.0,0,10,77.3,6,2,0,79.3,0,8.0
08X312,Millennium Art Academy,7.8,7.5,8.3,0.4,0.8,7.9,1.2,46.7,0,73.3,70,6.2,0.7,6.9,7.6,65,7.8,7.2,7.3,6,7.5,404,1,7.3,8.3,0.4,7,1,8.0,85,Maxine  Nodel,78,69.7,56,0,58.3,9,3,0,78.6,2,7.8
02M150,P.S. 150,9.3,8.9,9.6,1.9,0,8.5,1.9,.,22,89.5,29,.,0.6,8.7,8.3,64,8.1,8.3,.,0,8.7,153,0,7.8,9.2,.,2,0,8.6,52,Maggie Siena,39,89.5,0,0,.,8,0,19,90.0,6,8.7
15K447,The Math & Science Exploratory School,7.5,6.1,7.8,0.5,0.2,7.2,0.2,60,0,64.3,94,6.2,0.2,6.5,7.4,50,7.1,6.0,.,2,7.5,440,1,5.1,7.5,0.1,5,6,7.4,117,Mrs. Lisa Gioe-Cordi,93,63.3,0,36,59.1,18,0,1,72.4,0,8.1
12X197,P.S. 197,8.6,4.9,8.9,-1.7,0.7,8.2,-1.8,.,1,42.9,60,.,-0.1,6.0,7.9,57,7.7,7.3,.,3,8.0,491,0,4.4,8.4,.,1,0,8.2,71,Grace Formica,65,46.7,0,0,.,13,1,48,42.9,18,8.1
21K525,Edward R. Murrow High School,7.4,7.4,7.3,0.3,0.2,7.4,0.7,73.3,0,60.0,550,6.6,0.3,7.0,7.2,354,7.5,6.0,7.4,27,7.4,3774,1,7.1,7.9,0.4,7,10,7.6,544,Anthony Lodico,575,54.5,294,2,54.2,79,6,0,60.7,0,8.2
07X029,P.S./M.S. 029 Melrose School,7.8,6.0,7.4,0.9,1.3,7.4,0.5,38.2,29,45.5,173,6.6,1.1,6.5,7.2,122,7.3,6.1,.,1,7.6,582,1,6.2,7.8,0.8,3,6,7.5,190,Meredith Gotlin,208,57.7,0,25,33.3,39,7,46,54.2,17,7.8
16K021,P.S. 021 Crispus Attucks,8.8,7.7,9.4,0.7,0.5,8.4,0.7,.,54,78.9,117,.,0.3,7.7,8.1,145,7.9,7.8,.,3,8.2,595,0,6.7,8.7,.,2,7,8.2,163,Harold Anderson,143,73.7,0,0,.,13,5,56,90.0,20,8.1
01M450,East Side Community High School,8.2,7.7,8.4,0.2,0.3,7.9,0.3,73.3,0,86.7,45,6.7,-0.3,7.3,8.0,45,8.0,7.4,.,0,8.0,501,1,7.9,8.3,.,7,1,7.7,40,Mark Federman,48,72.7,10,13,87.5,8,0,0,78.6,0,8.7
06M052,J.H.S. 052 Inwood,7.9,6.8,8.1,0.6,1,7.7,0.7,66.7,0,71.4,52,6.5,1,6.8,7.6,41,7.8,7.7,.,2,7.6,840,1,6.4,7.7,0.8,5,4,7.3,53,Dr.Salvador A. Fernandez,55,73.3,0,35,31.8,4,0,0,58.6,0,8.3
08X036,P.S. 036 Unionport,8.7,8.0,8.3,1.3,0.4,8.5,1.1,.,54,68.4,136,.,0.7,7.8,7.9,173,7.9,7.0,.,0,8.1,531,0,7.5,8.5,.,2,9,8.0,153,Nilda Rivera,164,78.9,0,0,.,17,4,49,80.0,19,8.2
12X134,P.S. 134 George F. Bristow,8.1,5.9,6.9,1.1,0.5,7.6,0.3,.,43,47.4,132,.,0.7,6.5,7.5,89,7.4,6.5,.,1,7.8,501,0,6.1,7.8,.,2,9,7.5,153,Kenneth Thomas,147,47.4,0,1,.,22,3,40,60.0,35,7.8
13K499,ACORN Community High School,7.9,5.9,7.5,0.4,0.5,7.5,0.6,26.7,0,60.0,115,5.7,0.2,6.1,7.2,80,7.5,6.6,6.7,6,7.2,703,1,5.4,7.9,0,7,4,7.6,109,Andrea Lewis,114,57.6,53,1,37.5,23,1,0,53.6,0,8.0
04M964,Central Park East II,8.6,8.3,9.6,0.2,0.1,8.9,0.5,.,10,105.3,24,.,0.4,8.3,8.6,55,8.9,9.0,.,0,9.0,170,0,7.3,8.9,.,2,1,8.6,26,Naomi Smith,27,84.2,0,0,.,0,0,13,80.0,9,8.9
18K235,P.S. 235 Lenox,7.3,7.5,7.7,0.5,0.2,6.9,1.2,70.6,35,40.9,131,6.6,0.1,6.9,7.1,71,6.9,6.1,.,2,7.1,1217,1,7.6,7.7,-0.1,3,13,7.1,126,Lisa Solitario,135,46.2,1,19,45.8,35,3,40,66.7,7,7.7
11X181,I.S. 181 Pablo Casals,7.3,7.3,6.8,1.4,0.6,7.4,0.2,46.7,0,39.3,264,6.1,0.4,6.7,6.7,145,7.3,5.3,.,8,6.8,574,1,6.6,7.9,0.3,5,7,7.4,260,Christopher Warnock,271,53.3,0,172,27.3,47,5,0,44.8,0,8.0
07X220,P.S. 220 Mott Haven Village School,8.5,6.5,8.3,0.9,0.7,7.7,0.4,.,11,78.9,56,.,0.6,6.9,8.1,53,7.8,7.2,.,1,8.3,233,0,5.3,8.1,.,2,1,8.0,67,Michele Kahn,62,57.9,0,0,.,7,0,28,75.0,18,8.0
11X290,Bronx Academy of Health Careers,6.8,8.2,6.2,1.6,0.9,7.3,1.8,20,0,46.7,52,5.4,0.8,6.7,6.8,30,7.0,6.0,6.6,4,7.4,410,1,8.3,7.9,0,7,6,7.4,60,Marvia Lindsay,52,42.4,23,1,29.2,13,4,0,53.6,0,7.6
17K547,Brooklyn Academy of Science and the  Environment,7.0,5.5,7.1,-0.3,0.4,6.4,0.1,36.7,0,40.0,56,5.9,0.8,6.0,6.6,25,7.1,5.2,6.1,2,6.7,454,1,4.7,7.6,0.6,7,2,7.0,61,Veronica Peterson,54,42.4,29,0,50,9,2,0,46.4,0,7.4
19K089,P.S. 089 Cypress Hills,8.1,6.6,9.1,0.4,0.5,8.0,-0.1,58.8,7,104.5,36,6.6,0.8,7.0,8.5,52,8.6,7.9,.,0,8.6,208,1,6.0,8.7,0.9,3,0,8.4,34,Irene Leon,36,76.9,0,7,45.8,2,0,10,87.5,2,8.7
15K038,P.S. 038 The Pacific,8.2,7.1,8.8,1.8,0.5,7.6,1.1,.,19,52.6,73,.,1.4,7.3,7.6,69,7.5,7.6,.,2,7.4,383,0,6.2,8.1,.,2,8,7.6,98,Yolanda Ramirez,88,52.6,0,1,.,12,0,32,65.0,18,7.9
15K295,P.S. 295,8.5,7.8,9.1,1,0.3,7.9,1.1,.,24,73.7,54,.,0.3,7.9,8.0,84,8.5,7.7,.,1,8.0,331,0,7.6,8.7,.,2,0,8.4,60,Deanna Marco,62,63.2,0,0,.,2,0,23,70.0,14,8.3
01M364,Earth School,8.4,8.8,9.2,0.5,0.1,8.9,-0.1,.,19,100.0,30,.,0.2,8.6,8.5,79,8.5,7.4,.,0,8.6,281,0,8.6,9.2,.,2,0,8.9,48,Alison Gail Hazut,43,89.5,0,0,.,5,0,19,95.0,8,8.6
08X335,New School #2 @ P.S. 60,8.6,5.5,8.8,2.2,1,8.0,0.7,.,65,73.7,53,.,1.5,6.5,8.0,57,8.0,8.1,.,1,8.1,207,0,5.6,8.2,.,2,3,7.8,59,Erik Wright,56,73.7,0,0,.,2,2,0,65.0,1,8.3
20K176,P.S. 176 Ovington,8.2,7.9,8.1,0.5,0.4,8.0,0.9,.,81,42.1,315,.,0.6,7.3,7.4,198,7.7,6.7,.,8,7.4,905,0,7.1,8.0,.,2,5,7.6,326,Elizabeth Culkin,331,68.4,1,0,.,26,3,72,45.0,2,7.7
03M145,"P.S. 145, The Bloomingdale School",8.5,5.0,8.7,0.3,0.6,8.2,-0.1,.,34,63.2,90,.,0.4,6.2,7.8,70,7.4,7.5,.,1,7.9,432,0,5.0,8.1,.,2,6,7.6,98,Ivelisse Alvarez,99,68.4,0,0,.,20,2,33,75.0,16,7.9
10X226,P.S. 226,8.6,6.1,8.9,1,0.8,8.0,0.2,.,9,52.6,32,.,0.7,6.7,7.6,24,7.4,7.7,.,2,7.8,340,0,5.9,8.0,.,2,2,7.4,34,Gloria Darden,40,63.2,0,0,.,5,2,13,40.0,4,7.7
22K245,P.S. 245,8.8,6.3,9.7,1,0.6,8.5,-0.2,.,18,100.0,31,.,0.7,7.0,8.5,62,8.2,8.6,.,0,8.6,160,0,6.1,8.6,.,2,3,8.3,52,Pat Kannengieser,43,84.2,0,0,.,1,1,20,90.0,12,8.6
