manhattan_cooperatives_comparable_properties_address,community_board,comparable_rental_2_distance_from_coop_in_miles,manhattan_cooperatives_comparable_properties_estimated_expense,bbl,census_tract,comparable_rental_1_expense_per_sqft,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_3_market_value_per_sqft,comparable_rental_2_estimated_expense,comparable_rental_1_market_value_per_sqft,comparable_rental_3_neighborhood,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_neighborhood,comparable_rental_2_net_operating_income,manhattan_cooperatives_comparable_properties_full_market_value,comparable_rental_3_building_classification,postcode,comparable_rental_1_net_operating_income,comparable_rental_3_net_operating_income,comparable_rental_1_estimated_gross_income,comparable_rental_3_gross_sqft,manhattan_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft
"{'latitude': '40.635673460552', 'longitude': '-74.035902058731', 'human_address': '{""address"": ""31 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.22,536959,,,14.13,38.89,153.34,361009.0,206.86,UPPER EAST SIDE (59-79),34,UPPER EAST SIDE (59-79),1244653.0,14012000,D6-ELEVATOR,,2011123,"1,467,828",3048279,"71,189",2389285,38.89
"{'latitude': '40.835400911972', 'longitude': '-73.942147273643', 'human_address': '{""address"": ""535 160 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,92112,,,6.64,12.77, ,203450.0,26.16, ,20,WASHINGTON HEIGHTS LOWER,180669.0,679000, ,,64048, ,164787, ,193785,14.67
"{'latitude': '40.604890521039', 'longitude': '-74.000381907923', 'human_address': '{""address"": ""30 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,113345,,,8.23,36.21,193.63,138233.0,171.77,FLATIRON,23,FLATIRON,337961.0,2203000,D8-ELEVATOR,,341346,"337,248",463502,"12,844",412070,45.3
"{'latitude': '40.62769514548', 'longitude': '-74.028555591695', 'human_address': '{""address"": ""325 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,273821,,,10.66,26.4,145.57,438804.0,100.49,UPPER EAST SIDE (79-96),48,UPPER EAST SIDE (79-96),814450.0,6346000,D6-ELEVATOR,,825823,"3,815,435",1423465,"189,612",1151093,34.13
"{'latitude': '40.823431027391', 'longitude': '-73.949997880679', 'human_address': '{""address"": ""98 HAMILTON PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.53,115818,1020730042.0,225.0,5.72,11.35,33.17,383041.0,21.23,HARLEM-CENTRAL,17,HARLEM-CENTRAL,289331.0,671000,C1-WALK-UP,10031.0,75498,"103,918",196462,"20,772",220190,11.48
"{'latitude': '40.720836370288', 'longitude': '-74.008426832923', 'human_address': '{""address"": ""135 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1.0,0.32,206858,1002140025.0,39.0,11.91,29.07, ,398147.0,185.37, ,12,CIVIC CENTER,361980.0,3326000, ,10013.0,187731, ,276437, ,650092,32.95
"{'latitude': '40.628301095375', 'longitude': '-74.031317722832', 'human_address': '{""address"": ""222 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,603242,,,9.44,30.01,142.54,438804.0,133.02,UPPER EAST SIDE (59-79),95,UPPER EAST SIDE (79-96),814450.0,16703000,D3-ELEVATOR,,1515855,"2,169,144",2290882,"113,820",2833064,34.13
"{'latitude': '40.62215642091', 'longitude': '-74.027373308506', 'human_address': '{""address"": ""446 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.14,905081,,,8.34,35.5,185.01,655853.0,162.34,UPPER EAST SIDE (59-79),96,UPPER EAST SIDE (79-96),2621705.0,14940000,D7-ELEVATOR,,1685476,"1,900,679",2333760,"75,936",2926265,44.06
"{'latitude': '40.737510481612', 'longitude': '-73.985898327681', 'human_address': '{""address"": ""44 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.18,817353,1008770030.0,68.0,8.14,32.0, ,1280541.0,164.54, ,84,GRAMERCY,1700039.0,14850000, ,10010.0,546911, ,749557, ,2809376,33.89
"{'latitude': '40.726978739748', 'longitude': '-74.003822304132', 'human_address': '{""address"": ""2 CHARLTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.84,1773297,1005060027.0,37.0,10.25,32.82, ,1607446.0,186.12, ,181,GREENWICH VILLAGE-CENTRAL,3117805.0,28999000, ,10014.0,3464221, ,4874232, ,5672478,30.2
"{'latitude': '40.625550778481', 'longitude': '-74.029450816655', 'human_address': '{""address"": ""325 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,201570,,,9.35,29.09,134.64,228211.0,109.9,UPPER WEST SIDE (79-96),24,UPPER WEST SIDE (79-96),683448.0,2434000,D2-ELEVATOR,,261875,"629,564",423781,"35,094",525889,37.14
"{'latitude': '40.645184589322', 'longitude': '-74.022683008797', 'human_address': '{""address"": ""152 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,447672,,,10.61,31.6,160.28,554759.0,159.01,MIDTOWN WEST,38,MIDTOWN WEST,1332577.0,5838000,D9-ELEVATOR,,847099,"1,421,583",1268552,"66,173",1230125,30.54
"{'latitude': '40.745001153215', 'longitude': '-74.002401375326', 'human_address': '{""address"": ""170 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4.0,0.05,438353,1007440003.0,89.0,11.57,33.14,227.26,237183.0,160.32,CHELSEA,62,CHELSEA,384035.0,6074000,C7-WALK-UP,10011.0,313598,"1,168,720",481790,"38,802",1255575,29.96
"{'latitude': '40.798082734047', 'longitude': '-73.962140551695', 'human_address': '{""address"": ""57 105 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,77160,,,6.56,21.0, ,118418.0,84.57, ,20,MANHATTAN VALLEY,111168.0,728000, ,,171038, ,236518, ,202545,18.29
"{'latitude': '40.627046576223', 'longitude': '-74.023325154984', 'human_address': '{""address"": ""508 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.06,1035090,,,10.5,38.76,190.7,507416.0,213.75,UPPER EAST SIDE (59-79),384,UPPER EAST SIDE (59-79),1283073.0,21075000,C1-WALK-UP,,1548235,"1,149,936",2123625,"44,364",3820961,40.0
"{'latitude': '40.633321381801', 'longitude': '-74.032550984768', 'human_address': '{""address"": ""112 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,434075,,,7.84,33.62, ,868302.0,200.95, ,23,UPPER EAST SIDE (59-79),1467828.0,8844000, ,,1093171, ,1408542, ,1625124,32.82
"{'latitude': '40.730979305835', 'longitude': '-74.00464196096', 'human_address': '{""address"": ""59 BEDFORD STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.24,455972,1005830029.0,67.0,8.16,32.0,162.99,198944.0,213.19,GREENWICH VILLAGE-WEST,25,GREENWICH VILLAGE-CENTRAL,468957.0,8015000,D1-ELEVATOR,10014.0,1282259,"384,380",1643414,"17,688",1531072,32.0
"{'latitude': '40.83692985105', 'longitude': '-73.944368124775', 'human_address': '{""address"": ""47 FT WASHINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,1.25,345700,1021360086.0,247.0,6.54,11.5, ,446531.0,23.85, ,41,HARLEM-WEST,337423.0,2400000, ,10032.0,289331, ,672372, ,725466,11.64
"{'latitude': '40.813952173202', 'longitude': '-73.960861690793', 'human_address': '{""address"": ""170 CLAREMONT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.13,170842,1019930043.0,211.0,7.28,18.47,68.1,148423.0,78.73,MORNINGSIDE HEIGHTS,24,MORNINGSIDE HEIGHTS,160986.0,1559000,C7-WALK-UP,10027.0,167458,"122,278",267071,"12,980",387648,18.47
"{'latitude': '40.773518654765', 'longitude': '-73.96416220264', 'human_address': '{""address"": ""950 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.1,1233738,1013890056.0,130.0,13.14,38.89,188.83,361009.0,234.36,UPPER EAST SIDE (79-96),63,UPPER EAST SIDE (59-79),1244653.0,32193000,D9-ELEVATOR,10021.0,5877118,"3,880,362",8358330,"155,544",5489712,38.89
"{'latitude': '40.642697214215', 'longitude': '-74.018347922802', 'human_address': '{""address"": ""339 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.11,707025,,,10.76,29.4, ,1238457.0,103.56, ,102,MIDTOWN EAST,1047699.0,11698000, ,,431009, ,756230, ,2266799,31.32
"{'latitude': '40.749983397258', 'longitude': '-73.998768114328', 'human_address': '{""address"": ""305 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4.0,0.99,3115470,,97.0,10.09,25.99, ,468940.0,86.81, ,567,CLINTON,1118161.0,52706000, ,10001.0,299615, ,554731, ,10394233,30.03
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""263 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.26,2032338,,,11.54,34.46, ,2064037.0,140.84, ,125,UPPER WEST SIDE (59-79),4261171.0,29019000, ,,3216182, ,5187226, ,5950243,39.52
"{'latitude': '40.620133952587', 'longitude': '-74.036331958935', 'human_address': '{""address"": ""166 92 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,307312,,,10.45,36.25,209.56,964819.0,217.09,UPPER EAST SIDE (79-96),41,UPPER EAST SIDE (79-96),1592212.0,6463000,D7-ELEVATOR,,960048,"1,835,073",1309498,"64,344",1183853,38.92
"{'latitude': '40.730656966848', 'longitude': '-74.003615460066', 'human_address': '{""address"": ""22 LEROY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.0,159792,1005860011.0,67.0,7.82,36.48,193.87,105750.0,158.79,GREENWICH VILLAGE-WEST,24,GREENWICH VILLAGE-WEST,236249.0,2631000,C4-WALK-UP,10014.0,252427,"302,818",345719,"9,305",516776,36.48
"{'latitude': '40.622478796203', 'longitude': '-74.030390897218', 'human_address': '{""address"": ""334 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.06,419591,,,10.6,24.46,109.9,193147.0,122.21,UPPER WEST SIDE (79-96),38,UPPER WEST SIDE (79-96),367312.0,4931000,D1-ELEVATOR,,496824,"261,875",807498,"17,325",1097667,23.17
"{'latitude': '40.66653222243', 'longitude': '-73.992981763797', 'human_address': '{""address"": ""105 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,479143,,,11.39,39.98,176.3,586952.0,216.09,GRAMERCY,18,FLATIRON,823877.0,9090000,D1-ELEVATOR,,1461609,"704,642",2043866,"29,796",1681839,41.94
"{'latitude': '40.665150242432', 'longitude': '-73.988380925589', 'human_address': '{""address"": ""237 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,57723,,,7.25,36.84, ,72462.0,614.65, ,15,GREENWICH VILLAGE-WEST,339498.0,1501000, ,,274623, ,325527, ,261564,51.18
"{'latitude': '40.810130054577', 'longitude': '-73.957264402676', 'human_address': '{""address"": ""114 MORNINGSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.1,307981,1019630055.0,20701.0,9.32,23.81, ,781403.0,109.44, ,30,MORNINGSIDE HEIGHTS,1246741.0,3600000, ,10027.0,1323696, ,2144043, ,802302,23.24
"{'latitude': '40.847685742521', 'longitude': '-73.936553016341', 'human_address': '{""address"": ""92 WADSWORTH AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,0.89,80924,1021450036.0,263.0,6.14,10.25, ,100739.0,20.73, ,15,WASHINGTON HEIGHTS LOWER,64048.0,391000, ,10033.0,49734, ,137165, ,143756,10.86
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""290 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.12,523426,,,9.53,32.0,156.19,630509.0,167.48,GREENWICH VILLAGE-WEST,65,GREENWICH VILLAGE-WEST,1491908.0,9200000,D1-ELEVATOR,,468957,"465,692",667901,"22,242",1757568,43.72
"{'latitude': '40.615811797327', 'longitude': '-74.03585441417', 'human_address': '{""address"": ""154 97 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.15,90634,,,9.24,27.5,126.83,93647.0,157.32,HARLEM-EAST,17,HARLEM-EAST,151782.0,703000,C1-WALK-UP,,200827,"157,229",289177,"8,925",237600,27.5
"{'latitude': '40.641109879531', 'longitude': '-74.017321580439', 'human_address': '{""address"": ""418 59 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,1836714,,,14.13,36.54, ,1457015.0,203.44, ,76,MIDTOWN EAST,2828384.0,21268000, ,,447545, ,682344, ,4722978,40.53
"{'latitude': '40.661640752095', 'longitude': '-73.993890707695', 'human_address': '{""address"": ""223 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.13,452214,,,9.7,29.66,159.73,183901.0,149.58,CHELSEA,64,CHELSEA,664895.0,6975000,D1-ELEVATOR,,514451,"1,067,631",764518,"48,249",1382749,37.71
"{'latitude': '40.623427895966', 'longitude': '-74.031018772314', 'human_address': '{""address"": ""302 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.06,522971,,,6.45,22.79, ,353985.0,126.72, ,37,UPPER WEST SIDE (79-96),669007.0,8635000, ,,1446939, ,1982949, ,1705079,21.73
"{'latitude': '40.633397078729', 'longitude': '-74.029479595807', 'human_address': '{""address"": ""215 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.13,748755,,,7.84,33.91, ,868302.0,200.95, ,73,UPPER EAST SIDE (59-79),1467828.0,13247000, ,,1093171, ,1408542, ,2533959,32.82
"{'latitude': '40.618624866877', 'longitude': '-74.03248528048', 'human_address': '{""address"": ""317 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,227355,,,6.91,22.26,117.47,290801.0,105.9,UPPER WEST SIDE (79-96),28,UPPER WEST SIDE (79-96),621832.0,3558000,D1-ELEVATOR,,475457,"416,452",703069,"25,794",713811,22.26
"{'latitude': '40.794176081778', 'longitude': '-73.972256100904', 'human_address': '{""address"": ""2541 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.13,588124,1012430010.0,183.0,14.01,39.28, ,814704.0,191.41, ,22,UPPER WEST SIDE (79-96),1629008.0,8445000, ,10025.0,1450349, ,2252918, ,1704909,39.24
"{'latitude': '40.792314485177', 'longitude': '-73.971635568704', 'human_address': '{""address"": ""681 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.2,2308254,1012240001.0,177.0,10.64,23.47, ,1627254.0,111.57, ,178,UPPER WEST SIDE (79-96),2270023.0,23985000, ,10025.0,3603851, ,6092012, ,5596562,20.89
"{'latitude': '40.639488365516', 'longitude': '-74.029976985514', 'human_address': '{""address"": ""50 67 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.09,956626,,,15.47,35.52, ,242492.0,146.01, ,62,UPPER WEST SIDE (59-79),950533.0,14998000, ,,745923, ,1330382, ,2985882,35.81
"{'latitude': '40.767646081913', 'longitude': '-73.970547389048', 'human_address': '{""address"": ""834 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.05,1432616,1013790001.0,122.0,13.29,30.94,173.39,122324.0,195.22,UPPER EAST SIDE (59-79),24,UPPER EAST SIDE (59-79),372753.0,32585000,D7-ELEVATOR,10065.0,576698,"402,912",873650,"17,250",5794134,30.94
"{'latitude': '40.63201081655', 'longitude': '-74.024276552392', 'human_address': '{""address"": ""408 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,90299,,,13.7,32.36, ,76385.0,200.9, ,20,UPPER EAST SIDE (59-79),195539.0,1669000, ,,264437, ,400684, ,314539,26.8
"{'latitude': '40.786472101469', 'longitude': '-73.976117386339', 'human_address': '{""address"": ""205 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.13,142137,,,11.24,35.22, ,170739.0,179.46, ,19,UPPER WEST SIDE (79-96),331324.0,2029000, ,,400416, ,585804, ,416477,37.08
"{'latitude': '40.781315776759', 'longitude': '-73.985260297448', 'human_address': '{""address"": ""11 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7.0,0.17,7906041,1011840031.0,159.0,12.74,35.8, ,1971044.0,222.31, ,658,UPPER WEST SIDE (59-79),3216182.0,120445000, ,10023.0,6622944, ,9487411, ,24211826,30.37
"{'latitude': '40.623465159148', 'longitude': '-74.024787307268', 'human_address': '{""address"": ""509 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.05,86478,,,9.55,33.48, ,87387.0,176.06, ,15,UPPER EAST SIDE (79-96),230336.0,1643000, ,,217781, ,305527, ,307681,33.71
"{'latitude': '40.645284970603', 'longitude': '-74.01672228911', 'human_address': '{""address"": ""300 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.29,4372166,,,9.38,42.84,235.07,4351027.0,165.24,MIDTOWN EAST,367,MIDTOWN EAST,9151489.0,63986000,D6-ELEVATOR,,6422348,"7,917,119",9142930,"253,256",12855427,41.65
"{'latitude': '40.778132176775', 'longitude': '-73.962894158579', 'human_address': '{""address"": ""995 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.09,1525549,1014920069.0,142.0,12.31,41.12,229.85,2014709.0,250.44,UPPER EAST SIDE (79-96),37,UPPER EAST SIDE (79-96),3880362.0,32794000,D6-ELEVATOR,10028.0,3469478,"3,440,872",4751931,"113,052",5868153,37.9
"{'latitude': '40.80284554614', 'longitude': '-73.944862751892', 'human_address': '{""address"": ""1486 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10.0,0.21,96948,1017180035.0,200.0,10.14,14.16,123.83,191900.0,90.59,HARLEM-CENTRAL,12,HARLEM-CENTRAL,225150.0,310000,C4-WALK-UP,10035.0,187647,"44,779",341217,"10,030",141671,21.95
"{'latitude': '40.628471412033', 'longitude': '-74.028749683013', 'human_address': '{""address"": ""310 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.27,494678,,,9.06,31.39, ,484526.0,157.38, ,35,UPPER WEST SIDE (79-96),1518500.0,9959000, ,,864363, ,1236899, ,1828970,32.7
"{'latitude': '40.632725419201', 'longitude': '-74.026669266281', 'human_address': '{""address"": ""319 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,136299,,,9.54,41.82,260.3,108606.0,220.11,UPPER EAST SIDE (59-79),20,UPPER EAST SIDE (59-79),256202.0,1997000,C7-WALK-UP,,309121,"282,881",404032,"8,152",400845,42.92
"{'latitude': '40.798626361954', 'longitude': '-73.967329527845', 'human_address': '{""address"": ""205 103 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.09,275560,,,7.7,28.73, ,224823.0,175.08, ,36,UPPER WEST SIDE (96-116),440325.0,5094000, ,,1059855, ,1408031, ,953836,26.32
"{'latitude': '40.747402343034', 'longitude': '-73.981249321197', 'human_address': '{""address"": ""10 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.1,2249149,1008640035.0,74.0,11.8,33.15,173.12,1579746.0,161.71,MURRAY HILL,275,MURRAY HILL,3505356.0,37081000,D6-ELEVATOR,10016.0,5146299,"3,074,168",7934506,"132,955",7238767,33.15
"{'latitude': '40.668427648365', 'longitude': '-73.989911204707', 'human_address': '{""address"": ""227 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,64878,,,9.39,37.31, ,154742.0,170.51, ,16,EAST VILLAGE,300136.0,1176000, ,,188758, ,266103, ,224755,42.33
"{'latitude': '40.634173254351', 'longitude': '-74.036136150385', 'human_address': '{""address"": ""16 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,135619,,,14.97,45.14, ,145973.0,126.34, ,12,UPPER WEST SIDE (59-79),296262.0,2435000, ,,250946, ,375224, ,459254,45.08
"{'latitude': '40.72704169229', 'longitude': '-74.001879768549', 'human_address': '{""address"": ""145 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.0,118979,1005170007.0,49.0,11.62,41.08, ,131162.0,209.08, ,20,SOHO,279831.0,2017000, ,10012.0,261322, ,371106, ,386070,42.89
"{'latitude': '40.835940596818', 'longitude': '-73.945798046802', 'human_address': '{""address"": ""834 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12.0,1.18,153384,1021360018.0,247.0,8.4,12.52, ,446531.0,33.17, ,31,HARLEM-WEST,337423.0,1187000, ,10032.0,103918, ,278387, ,330528,11.64
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2358 FRED"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.12,166313,,,6.94,15.35,121.63,57175.0,85.33,HARLEM-CENTRAL,23,HARLEM-CENTRAL,97767.0,1035000,C7-WALK-UP,,97767,"55,940",154942,"11,765",317131,18.81
"{'latitude': '40.783716966577', 'longitude': '-73.954449524724', 'human_address': '{""address"": ""1153 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8.0,0.2,1610983,1015200004.0,15801.0,9.13,31.42,183.33,1462338.0,124.11,UPPER EAST SIDE (79-96),61,UPPER EAST SIDE (79-96),3288499.0,27043000,D3-ELEVATOR,10128.0,2844181,"1,592,212",4358929,"65,692",5234446,31.42
"{'latitude': '40.724118895695', 'longitude': '-73.997859799078', 'human_address': '{""address"": ""565 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2.0,0.36,417629,1004980005.0,49.0,10.73,37.13,184.84,361155.0,271.75,LITTLE ITALY,12,SOHO,1282259.0,10910000,D1-ELEVATOR,10012.0,747503,"299,120",969368,"11,967",1900313,37.13
"{'latitude': '40.749764374971', 'longitude': '-73.997386082967', 'human_address': '{""address"": ""359 29 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.0,148506,,,11.95,30.67, ,55128.0,161.56, ,13,CHELSEA,118918.0,1871000, ,,149100, ,230993, ,398833,26.55
