schooldbn,name,selectioncriteria1_prog12,code_prog11,selectioncriteria6_prog3,longitude,tophs2,selectioncriteria4_prog1,selectioncriteria1_prog11,acceleratedclasses,admissionsmethod_prog14,selectioncriteria1_prog10,tophs1,selectioncriteria2_prog9,geseats_prog11,code_prog4,priority2_prog8,priority5_prog2,priority1_prog9,elaprof,swdappsperseat_prog12,subway,geapps_prog12,admissionsmethod_prog2,geappsperseat_prog10,code_prog13,selectioncriteria2_prog10,selectioncriteria5_prog3,swdapps_prog1,swdapps_prog8,geseats_prog14,selectioncriteria5_prog2,swdseats_prog7,gefilled_prog10,priority1_prog2,selectioncriteria5_prog9,swdappsperseat_prog1,swdseats_prog12,swdapps_prog11,admissionsmethod_prog4,selectioncriteria1_prog14,gefilled_prog14,selectioncriteria5_prog1,swdappsperseat_prog10,swdfilled_prog3,swdfilled_prog9,selectioncriteria3_prog2,priority2_prog1,gefilled_prog4,geappsperseat_prog5,selectioncriteria4_prog8,selectioncriteria6_prog2,selectioncriteria4_prog3,priority1_prog8,code_prog6,Fully Accessible with code_prog1,Not Accessible with code_prog1,Partially Accessible with code_prog1
27Q042,P.S./M.S 042 R. Vernam (27Q042),,,,-73.795304,,,,Algebra I,,,Rockaway Park High School for Environmental Sustainability,,,,,,,17.0,,A to Beach 67th St-Gaston,,,,,,,12.0,,,,,,,,1.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,,Q042U
27Q333,Goldie Maple Academy (27Q333),,,,-73.786182,Newtown High School,,,,,,Channel View School for Research,,,,,,,40.0,,,,,,,,,26.0,,,,,,,,3.0,,,,,,,,,,,Then to District 27 students and residents,,,,,,,,,,Q333M
18K588,Middle School for Art and Philosophy (18K588),,,,-73.920109,Pathways in Technology Early College High School (P-Tech),,,Living Environment,,,Cobble Hill School of American Studies,,,,,,,30.0,,3 to Saratoga Ave,,,,,,,37.0,,,,,,,,2.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,K588L,
09X303,I.S. X303 Leadership & Community Service (09X303),,,,-73.916077,,,,Algebra I,,,The Global Learning Collaborative,,,,,,,45.0,,"B, D to 174th-175th Sts; 4 to 176th St",,,,,,,37.0,,,,,,,,2.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,X303U,,
02M104,J.H.S. 104 Simon Baruch (02M104),,,,-73.980663,N.Y.C. Lab School for Collaborative Studies,Lateness,,"Algebra I,Earth Science",,,Baruch College Campus High School,,,,,,,73.0,,"L to 1st Ave; 6 to 23rd St; 4, 5, N, Q, R to 14th St-Union Square",,Screened,,,,,100.0,,,Lateness,,,,,4.0,,,,,,,,,,Attendance,Then to District 2 students and residents,,,,,,,,,M104M,
10X368,In-Tech Academy (M.S. / High School 368) (10X368),,,,-73.909896,,Lateness,,"Algebra I,Living Environment,Spanish,US History",,,In-Tech Academy (M.S. / High School 368),,,,,,,38.0,,1 to Marble Hill - 225th St,,Open,,,,,2.0,,,,,,Priority to residents of the 10X141 zone,,0.0,,,,,,,,0.0,,,Then to District 10 students and residents,,,,,,,,X368M,,
23K155,P.S./ I.S. 155 Nicholas Herkimer (23K155),,,,-73.908734,Brooklyn High School for Law and Technology,,,Algebra I,,,George Westinghouse Career and Technical Education High School,,,,,,,25.0,,"C to Rockaway Ave; A, J, L, Z to Broadway Junction",,,,,,,21.0,,,,,,,,2.0,,,,,,,,,,,Then to District 23 students and residents,,,,,,,,,K155U,
04M171,P.S. 171 Patrick Henry (04M171),,,,-73.951961,,Final 4th Grade Report Card,,"Algebra I,Living Environment",,,Manhattan Center for Science and Mathematics,,,,,,,71.0,,"6 to 103rd St; 2, 3 to Central Park North-110th St",,,,,,,81.0,,,,,,,,4.0,,,,,,Lateness,,,,,Then to residents of the elementary school zone,,,,,,,,,M171S,
14K586,Lyons Community School (14K586),,,,-73.943641,A-Tech High School,,,,,,Lyons Community School,,,,,,,15.0,,"L to Grand St; J, M to Lorimer St; G to Metropolitan Ave-Lorimer St",,,,,,,69.0,,,,,,,,5.0,,,,,,,,,,,Then to Brooklyn and Queens students and residents,,,,,,,,,K586L,
07X500,Hostos-Lincoln Academy of Science (07X500),,,,-73.91224,University Prep Charter High School,Lateness,,"Algebra I,Earth Science,Spanish,US History",,,Hostos-Lincoln Academy of Science,,,,,,,50.0,,"6 to East 149th St; 2, 5 to Jackson Ave",,,,,,,95.0,,,,,,,,5.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,,,X500M
19K089,P.S. 089 Cypress Hills (19K089),,,,-73.886936,,,,Algebra I,,,Brooklyn Lab School,,,,,,,22.0,,"J to Cleveland St; C, Z to Van Siclen Ave",,,,,,,58.0,,,,,,,,4.0,,,,,,,,,,,Then to District 19 students and residents,,,,,,,,K089M,,
20K062,J.H.S. 062 Ditmas (20K062),,,,-73.971651,Abraham Lincoln High School,Final 4th Grade Report Card: 45%,,"Algebra I,Living Environment",,,Midwood High School,,,,,,,46.0,,Q to Cortelyou Rd; F to Ditmas Ave,,Zoned,,,,,42.0,,,,,,,,2.0,,,,,,Punctuality: 5%,,,,,,,,,,,,,,K062A,
03m054,J.H.S. 054 Booker T. Washington (03M054),,,,-73.962837,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,"Algebra I,Earth Science",,,The Bronx High School of Science,,,,,,,89.0,,"B, C to Cathedral Parkway-110th St; 1 to 103rd St",,,,,,,139.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,M054M,
10X080,J.H.S. 080 The Mosholu Parkway (10X080),,,,-73.881532,DeWitt Clinton High School,ELL Status,,Earth Science,,,Marble Hill High School for International Studies,,,,,,,31.0,,D to 205th St - Norwood; B to Bedford Park Blvd; 4 to Mosholu Parkway,,Open,,,,,23.0,,,,,,Priority to residents of the middle school zone,,3.0,,,,,,Final 4th Grade Report Card,,,,,Then to Bronx students and residents,,,,,,,,,,X080M
24Q311,Corona Arts & Sciences Academy (24Q311),,,,-73.865329,High School for Arts and Business,,,"Algebra I,Algebra II,Living Environment,US History",,,Queens Technical High School,,,,,,,31.0,,7 to 103rd St - Corona Plaza,,,,,,,67.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Q311Z,,
27Q183,P.S. 183 Dr. Richard R. Green (27Q183),,,,-73.805361,,,,,,,Rockaway Park High School for Environmental Sustainability,,,,,,,26.0,,S to Beach 90th St-Holland; A to Beach 67th St-Gaston,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,Q183Z,
29Q295,P.S./I.S. 295 (29Q295),,,,-73.731997,"Queens High School of Teaching, Liberal Arts and the Sciences",,,"Algebra I,Living Environment",,,Bayside High School,,,,,,,65.0,,,,,,,,,55.0,,,,,,,,6.0,,,,,,,,,,,Then to residents of the elementary school zone,,,,,,,,Q295S,,
11X529,One World Middle School at Edenwald (11X529),,,,-73.840524,The Bronxwood Preparatory Academy,,,"Algebra I,English,Living Environment",,,World View High School,,,,,,,37.0,,5 to Eastchester - Dyre Ave; 5 to Baychester Ave,,ASD/ACES Program,,,,,98.0,,,,,,,,6.0,,,,,,,,,,,Then to District 11 students and residents,,,,,,,,,X529U,
12X214,P.S. 214 (12X214),,,,-73.880358,The Metropolitan Soundview High School,,,"Algebra I,Living Environment",,,A. Philip Randolph Campus High School,,,,,,,22.0,,"2, 5 to West Farms Sq - East Tremont Ave",,,,,,,84.0,,,,,,,,5.0,,,,,,,,,,,Then to District 12 students and residents who sign in at an event,,,,,,,,,,X214L
25Q237,I.S. 237 (25Q237),,,,-73.822073,John Bowne High School,,,"Algebra I,Earth Science,Living Environment,Spanish,US History",,,Francis Lewis High School,,,,,,,53.0,,,,,,,,,100.0,,,,,,,,2.0,,,,,,,,,,,Then to District 25 and 28 students and residents,,,,,,,,,,Q237U
17K189,P.S. 189 The Bilingual Center (17K189),,,,-73.926246,George Westinghouse Career and Technical Education High School,ELL Status,,"Algebra I,Earth Science,English,French,Living Environment",,,Midwood High School,,,,,,,63.0,,4 to Crown Hts-Utica Ave; 3 to Sutter Ave-Rutland Road,,,,,,,37.0,,,,,,,,2.0,,,,,,Home Language,,,,,Then to residents of the elementary school zone,,,,,,,,,K189S,
06M346,Community Health Academy of the Heights (06M346),,,,-73.942072,Manhattan Center for Science and Mathematics,,,"Algebra I,Earth Science",,,Community Health Academy of the Heights,,,,,,,40.0,,"B, C, D to 155th St; 1 to 157th St",,,,,,,65.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,M346U,,
17K340,I.S. 340 (17K340),,,,-73.97038,High School for Public Service: Heroes of Tomorrow,Attendance: 10%,,"Algebra I,Living Environment,US History",,,Clara Barton High School,,,,,,,48.0,,"B, Q to 7th Ave; 2, 3 to Grand Army Plaza",,Limited Unscreened,,,,,24.0,,,,,,Priority to District 17 students and residents who sign in at an event,,2.0,,,,,,Final 4th Grade Report Card: 40%,,,,,,,,,,,,,,K340A,
10X308,Bronx Dance Academy School (10X308),,,,-73.877679,Bronx Theatre High School,On-Site Assessment,,,,,Theatre Arts Production Company School,,,,,,,42.0,,4 to Woodlawn,,Screened,,,,,84.0,,,Lateness,,,Then to District 10 students and residents,,5.0,,,,,,,,,,Dance and Art,Then to Bronx students and residents,,,,On-Site Assessment,,,,X308M,,
24Q077,I.S. 077 (24Q077),,,,-73.90214,Maspeth High School,,,"Algebra I,Living Environment",,,Grover Cleveland High School,,,Q077Z,,,,33.0,,M to Forest Ave; L to Halsey St,,Open,,,,,8.0,,,,,,,,1.0,,,Zoned,,,,,0.0,,,,0.0,,,,,,,,Q077M,
11X181,I.S. 181 Pablo Casals (11X181),,,,-73.833912,Bronx High School for Law and Community Service,,,"Algebra I,Living Environment,US History",,,Harry S Truman High School,,,X181Y,,,,51.0,,5 to Baychester Ave,,Limited Unscreened,,,,Lateness,,,,,,,Priority to District 11 students and residents who sign in at an event,,,,,ASD/ACES Program,,,,,1.0,,,,0.0,1.0,,,Final 4th Grade Report Card,,,,,X181E
03M291,West End Secondary School (03M291),,,,-73.987479,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,"Algebra I,Living Environment,US History",,,West End Secondary School,,,,,,,82.0,,"2, A, B, C, D to 59th St-Columbus Circle; 1 to 66th St - Lincoln Center",,,,,,,116.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,M291S,,
28Q157,J.H.S. 157 Stephen A. Halsey (28Q157),,,,-73.853825,J.H.S. 157 Stephen A. Halsey,,,"Algebra I,Living Environment,Spanish,US History",,,Forest Hills High School,,,,,,,65.0,,"M, R to 67th Ave",,Open,,,,,49.0,,,,,,Priority to residents of the middle school zone,,12.0,,,,,,,,0.0,,,,,,,,,,,,Q157M,
25Q252,"Queens School of Inquiry, The (25Q252)",,,,-73.810216,Art and Design High School,,,"Algebra I,Living Environment,Spanish",,,"Queens School of Inquiry, The",,,,,,,59.0,,,,ASD/ACES Program,,,,,38.0,,,,,,,,3.0,,,,,,,,,,,Then to District 25 students and residents,,,,,,,,Q252U,,
01M140,P.S. 140 Nathan Straus (01M140),,,,-73.983056,Lower Manhattan Arts Academy,On-Site Assessment,,,,,Orchard Collegiate Academy,,,,,,,28.0,,"F, J, M, Z to Delancey St-Essex St",,,,,,,73.0,,,,,,,,4.0,,,,,,,,,,,Then to District 1 students and residents,,,,,,,,,M140S,
04M825,Isaac Newton Middle School for Math & Science (04M825),,,,-73.934028,High School for Environmental Studies,Final 4th Grade Report Card,,"Algebra I,Global History,Living Environment,Spanish",,,Manhattan Center for Science and Mathematics,,,,,,,41.0,,,,,,,,,69.0,,,,,,,,2.0,,,,,,Lateness,,,,,,,,,,,,,,,M825S
11X083,P.S./M.S. 083 Donald Hertz (11X083),,,,-73.859249,Collegiate Institute for Math and Science,,,"Algebra I,Living Environment",,,Bronx High School for the Visual Arts,,,,,,,52.0,,5 to Morris Park; 2 to Bronx Park East,,,,,,,66.0,,,,,,,,4.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,,X083U
09X117,I.S. 117 Joseph H. Wade (09X117),,,,-73.908416,Careers in Sports High School,,,"Algebra I,Living Environment",,,Validus Preparatory Academy,,,,,,,16.0,,"B, D to 174th-175th Sts; 4 to 176th St",,,,,,,88.0,,,,,,,,3.0,,,,,,,,,,,Then to District 9 students and residents,,,,,,,,,X117U,
06M293,City College Academy of the Arts (06M293),,,,-73.930672,"Urban Assembly School for Media Studies, The",,,"Algebra I,English,Living Environment,US History",,,City College Academy of the Arts,,,,,,,54.0,,A to 190th St; 1 to Dyckman St,,,,,,,64.0,,,,,,,,4.0,,,,,,,,,,,Then to District 6 students and residents,,,,,,,,M293L,,
11X355,Bronx Alliance Middle School (11X355),,,,-73.840524,,,,"Algebra I,Living Environment",,,Harry S Truman High School,,,,,,,22.0,,5 to Eastchester - Dyre Ave; 5 to Baychester Ave,,,,,,,67.0,,,,,,,,2.0,,,,,,,,,,,Then to District 11 students and residents,,,,,,,,,X355U,
21K096,I.S. 096 Seth Low (21K096),,,,-73.984661,New Utrecht High School,,,"Algebra I,Living Environment",,,James Madison High School,,,K096SC,,,,37.0,,N to Bay Parkway-22nd Ave,,Talent Test,,,,,23.0,,,,6.0,,,,6.0,,,Talent Test,,,,,0.0,,,,0.0,1.0,,,,,K096U,K096AR,,
19K662,Liberty Avenue Middle School (19K662),,,,-73.883433,Multicultural High School,,,"Algebra I,Living Environment",,,Cypress Hills Collegiate Preparatory School,,,,,,,28.0,,Z to Norwood Ave; J to Cleveland St; C to Shepherd Ave,,,,,,,113.0,,,,,,,,4.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,,K662L
23K522,Mott Hall IV (23K522),,,,-73.915843,Pathways in Technology Early College High School (P-Tech),On-Site Assessment,,"Algebra I,Living Environment",,,Brooklyn High School for Law and Technology,,,,,,,20.0,,"J to Chauncey St; C to Rockaway Ave; A, L, Z to Broadway Junction",,,,,,,47.0,,,,,,,,4.0,,,,,,,,,,,Then to Brooklyn students and residents,,,,,,,,,K522S,
24Q087,P.S./I.S. 087 Middle Village (24Q087),,,,-73.871238,Maspeth High School,,,Living Environment,,,Queens Metropolitan High School,,,,,,,49.0,,,,,,,,,18.0,,,,,,,,2.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,Q087Z,,
03M245,M.S. M245 The Computer School (03M245),,,,-73.976855,Frank McCourt High School,Final 4th Grade Report Card,,"Algebra I,English,Spanish",,,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,,,,,83.0,,"B, C to 81st St-Museum of Nat Hist; 2, 3 to 72nd St; 1 to 79th St",,,,,,,153.0,,,,,,,,6.0,,,,,,Lateness,,,,,,,,,,,,,,,M245M
08X101,M.S. X101 Edward R. Byrne (08X101),,,,-73.829753,Millennium Art Academy,Final 4th Grade Report Card: 50%,,"Algebra I,Earth Science,English",,,University Heights Secondary School,,,,,,,67.0,,,,D75 Special Education Inclusive Services,,,,,40.0,,,,,,,,2.0,,,,,,Punctuality: 3%,,1.0,,,Then to Bronx students and residents,,,,,,,,,,X101A
10X390,M.S. 390 (10X390),,,,-73.913197,Charter High School for Law and Social Justice,,,"Algebra I,Living Environment,US History",,,A. Philip Randolph Campus High School,,,,,,,30.0,,"B, D to Tremont Ave; 4 to Burnside Ave",,Screened: Language,,,,,48.0,,,,,,Priority to District 10 students and residents,,5.0,,,,,,,,0.0,,,Then to District 10 students and residents,,,,,,,,,X390L,
21K238,P.S. 238 Anne Sullivan (21K238),,,,-73.965058,Franklin Delano Roosevelt High School,,,"Algebra I,Living Environment",,,James Madison High School,,,,,,,34.0,,"F to Ave P; B, Q to Kings Highway",,,,,,,10.0,,,,,,,,1.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,,K238Z
09X229,I.S. 229 Roland Patterson (09X229),,,,-73.921467,Bronx High School of Business,,,Living Environment,,,Frederick Douglass Academy III Secondary School,,,,,,,17.0,,1 to 191st St,,ASD/ACES Program,,,,,23.0,,,,,,,,4.0,,,,,,,,0.0,,,Then to Bronx students and residents,,,,,,,,,,X229U
10X015,P.S. X015 Institute for Environmental Learning (10X015),,,,-73.909746,,,,,,,New Visions Charter High School for Advanced Math and Science,,,,,,,50.0,,"B, D to 182nd-183rd Sts; 4 to 183rd St",,Open,,,,,,,,,,,Priority to continuing students,,,,,,,,,,,,,,,,,,,,,X015E,,
12X267,Bronx Latin (12X267),,,,-73.900105,,,,"Algebra I,Living Environment",,,Bronx Latin,,,,,,,25.0,,"2, 5 to Intervale Ave",,,,,,,52.0,,,,,,,,3.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,X267U,,
17K382,Academy for College Preparation and Career Exploration: A College Board School (17K382),,,,-73.95855,Academy for College Preparation and Career Exploration: A College Board School,,,"Algebra I,Living Environment,Spanish,US History",,,Clara Barton High School,,,,,,,23.0,,"2, 5, B, Q to Church Ave",,,,,,,27.0,,,,,,,,2.0,,,,,,,,,,,Then to District 17 students and residents,,,,,,,,,,K382L
28Q680,Queens Gateway to Health Sciences Secondary School (28Q680),,,,-73.806499,Stuyvesant High School,,,"Algebra I,Living Environment,Spanish,US History",,,Queens Gateway to Health Sciences Secondary School,,,,,,,89.0,,,,,,,,,119.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,Q680M,,
18K581,East Flatbush Community Research School (18K581),,,,-73.929076,,,,"Algebra I,Living Environment",,,Medgar Evers College Preparatory School,,,,,,,26.0,,,,,,,,,62.0,,,,,,,,3.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,K581L,
19K661,Vista Academy (19K661),,,,-73.883433,Brooklyn School for Music & Theatre,,,"Algebra I,Earth Science",,,"The High School for Enterprise, Business and Technology",,,,,,,41.0,,Z to Norwood Ave; J to Cleveland St; C to Shepherd Ave,,,,,,,128.0,,,,,,,,5.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,,K661L
10X244,The New School for Leadership and Journalism (10X244),,,,-73.90111,"Urban Assembly School for Media Studies, The",,,"Algebra I,Living Environment",,,Marble Hill High School for International Studies,,,,,,,39.0,,1 to 231st St,,Zoned,,,,,29.0,,,,,,Priority to District 10 students and residents,,3.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,,X244L,
03M415,Wadleigh Secondary School for the Performing & Visual Arts (03M415),,,,-73.954142,The High School of Fashion Industries,,,"Algebra I,Italian,Living Environment",,,Wadleigh Secondary School for the Performing & Visual Arts,,,,,,,25.0,,"2, 3, B, C to 116th St",,,,,,,66.0,,,,,,,,5.0,,,,,,,,,,,Then to Manhattan students and residents,,,,,,,,,,M415S
31R024,I.S. 024 Myra S. Barnes (31R024),,,,-74.14584,Susan E. Wagner High School,,,"Algebra I,Earth Science,Italian,Spanish",,,New Dorp High School,,,,,,,63.0,,SIR to Great Kills,,ASD/ACES Program,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,R024E
23K644,Eagle Academy for Young Men II (23K644),,,,-73.915843,Brooklyn High School for Law and Technology,,,"Algebra I,English,Living Environment,US History",,,Eagle Academy for Young Men II,,,,,,,18.0,,"J to Chauncey St; C to Rockaway Ave; A, L, Z to Broadway Junction",,,,,,,80.0,,,,,,,,5.0,,,,,,,,,,,Then to Brooklyn students and residents,,,,,,,,,K644L,
12X316,Kappa III (12X316),,,,-73.886184,High School of Computers and Technology,,,Algebra I,,,Morris Academy for Collaborative Studies,,,,,,,32.0,,"2, 5 to West Farms Sq - East Tremont Ave",,,,,,,89.0,,,,,,,,3.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,,,X316U
29Q147,P.S./M.S. 147 Ronald McNair (29Q147),,,,-73.740948,,,,Algebra I,,,"Queens High School of Teaching, Liberal Arts and the Sciences",,,,,,,35.0,,,,,,,,,55.0,,,,,,,,4.0,,,,,,,,,,,Then to residents of the elementary school zone,,,,,,,,,,Q147U
19k678,East New York Middle School of Excellence (19K678),,,,-73.879614,,,,"Algebra I,Living Environment",,,Brooklyn Lab School,,,,,,,21.0,,C to Shepherd Ave; 3 to New Lots Ave,,,,,,,61.0,,,,,,,,3.0,,,,,,,,,,,Then to District 19 students and residents,,,,,,,,,,K678L
31R007,I.S. 007 Elias Bernstein (31R007),,,,-74.185941,Susan E. Wagner High School,,,"Algebra I,Living Environment,US History",,,Tottenville High School,,,,,,,71.0,,,,,,,,,72.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,R007Z,
08X337,The School for Inquiry and Social Justice (08X337),,,,-73.873666,,,,US History,,,The Cinema School,,,,,,,45.0,,6 to Morrison-Soundview Ave,,,,,,,64.0,,,,,,,,2.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,,X337U,
09X022,J.H.S. 022 Jordan L. Mott (09X022),,,,-73.914027,,,,,,,Bronx Leadership Academy High School,,,,,,,18.0,,"4, B, D to 167th St",,,,,,,81.0,,,,,,,,3.0,,,,,,,,,,,Then to District 9 students and residents,,,,,,,,,X022U,
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY (11X498),,,,-73.858207,,,,,,,Bronx High School for the Visual Arts,,,,,,,55.0,,,,Open,,,,,,,,,,,Priority to continuing students,,,,,,,,,,,,,,,,,,,,,X498E,,
06M018,P.S. 018 Park Terrace (06M018),,,,-73.911516,,,,Algebra I,,,Inwood Early College for Health and Information Technologies,,,,,,,18.0,,A to Inwood - 207th St; 1 to Marble Hill - 225th St,,,,,,,19.0,,,,,,,,2.0,,,,,,,,,,,Then to residents of the elementary school zone,,,,,,,,,,M018U
03M334,The Anderson School (03M334),,,,-73.976855,Stuyvesant High School,Final 4th Grade Report Card,,"Algebra I,Living Environment",,,The Bronx High School of Science,,,,,,,96.0,,"B, C to 81st St-Museum of Nat Hist; 2, 3 to 72nd St; 1 to 79th St",,,,,,,142.0,,,,,,,,24.0,,,,,,Lateness,,,,,Then to New York City residents,,,,,,,,,,M334M
24Q061,I.S. 061 Leonardo Da Vinci (24Q061),,,,-73.863307,John Bowne High School,,,"Algebra I,Living Environment,Spanish,US History",,,Long Island City High School,,,,,,,34.0,,,,,,,,,166.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Q061Z,,
28Q167,Metropolitan Expeditionary Learning School (28Q167),,,,-73.856698,Forest Hills High School,,,Algebra I,,,Metropolitan Expeditionary Learning School,,,,,,,45.0,,,,,,,,,135.0,,,,,,,,8.0,,,,,,,,,,,Then to District 28 students and residents,,,,,,,,Q167L,,
04M224,M.S. 224 Manhattan East School for Arts & Academics (04M224),,,,-73.942548,Park East High School,Final 4th Grade Report Card,,"Algebra I,Earth Science,US History",,,Manhattan Center for Science and Mathematics,,,,,,,53.0,,6 to 96th St; 6 to 103rd St,,,,,,,152.0,,,,,,,,10.0,,,,,,Lateness,,,,,Then to New York City residents,,,,,,,,,M224M,
29Q116,P.S./I.S. 116 William C. Hughley (29Q116),,,,-73.782302,Cambria Heights Academy,,,"Algebra I,Living Environment",,,Hillcrest High School,,,,,,,27.0,,,,,,,,,25.0,,,,,,,,2.0,,,,,,,,,,,Then to residents of the elementary school zone,,,,,,,,,Q116U,
