omppropid,descriptio,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype,nan with global_id,DOT with global_id,Other with global_id
MZ250,Greenstreet,"75, 74",NYCPARKS,Type 2 Greenstreet,,,10010,1240.5350647,,S,,{3C48A168-2343-4217-886A-C311EE23EDD6},
QZ380,Greenstreet,25,NYCPARKS,Type 2,,,11364,2867.06916809,,S,,{2B597DA7-46DA-4387-92C9-49BE89A45BDD},
QZ264,Greenstreet,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.31340027,,S,{43665ACD-240C-4260-BB18-998B2307ABA9},,
QZ880,Greenstreet,25,NYCPARKS,,,,11366,1998.81091309,,S,,{65683242-7070-4B1B-98E1-AD3F820CA889},
XZ415,St Lawrence Triangle,87,NYCPARKS,Type 1 Greenstreet,,,10472,10262.8613892,,S,{395E1DD2-2B44-4032-A49E-A48CDD420DBA},,
QZ772,Greenstreet,25,NYCPARKS,,,,11365,1218.18826294,,S,,{B47CC124-BDC3-4B97-A574-313066A678A7},
QZ968,Jackson ave @ pulaski Br,37,NYCPARKS,,,,11101,122.386581421,,S,,{591C115E-D4D5-41B8-8688-CE66E5414886},
RZ308,Hylan & Vaughan,64,NYCPARKS,,,,10305,2999.83787537,,S,,{710AD2E3-7218-4682-ADA5-81BBB7699F86},
MZ212,GREENSTREET,"70, 68",NYCPARKS,Type 1,,,10026,2501.51527405,,S,,{3BB8BCD0-E106-46D4-A2AF-504DC64040BF},
QZ548,Greenstreet,29,NYCPARKS,Type 2,,,11413,1342.65879822,,S,,{BCBB8BC5-77B1-408C-A60A-F536EB53D70E},
QZ924,Greenstreet,23,NYCPARKS,,,,11691,577.383514404,,S,,{A6F4D658-00A0-43A0-9B6F-87E1142C892F},
QZ466,Greenstreet,26,NYCPARKS,Type 2 Greenstreet,,,11362,3016.45735168,,S,{E31B79B5-9D27-410C-AD56-EF0A01272AD5},,
MZ77,Broadway Malls,69,NYCPARKS,Type 1 Greenstreet,,,10027,4434.10534668,,S,{5A4CB3DF-7271-42A0-AD0D-E417A81E8D9F},,
