unique_key,location,incident_address,intersection_street_1,borough,x_coordinate_state_plane,due_date
53918732,"{'type': 'Point', 'coordinates': [-73.793075774218, 40.676839310478]}",120-02 146 STREET,120 AVENUE,QUEENS,1041646.0,
53922976,"{'type': 'Point', 'coordinates': [-73.901104142303, 40.71439134358]}",61-20 FRESH POND ROAD,ELIOT AVENUE,QUEENS,1011666.0,
53916309,"{'type': 'Point', 'coordinates': [-73.858834838947, 40.668279004667]}",1426 LORING AVENUE,,BROOKLYN,1023411.0,
53923644,"{'type': 'Point', 'coordinates': [-73.944252729122, 40.754551375188]}",41-07 12 STREET,NINA ADAMS WAY,QUEENS,999695.0,
53915979,"{'type': 'Point', 'coordinates': [-73.880116316779, 40.841263402394]}",1010 EAST  178 STREET,BRYANT AVENUE,BRONX,1017421.0,
53924360,"{'type': 'Point', 'coordinates': [-73.912190702922, 40.781679637615]}",20-58 24 STREET,20 AVENUE,QUEENS,1008568.0,
53916707,"{'type': 'Point', 'coordinates': [-73.980935697652, 40.727310651841]}",323 EAST   10 STREET,AVENUE A,MANHATTAN,989534.0,
53920996,"{'type': 'Point', 'coordinates': [-73.979228403484, 40.741270174511]}",224 EAST   28 STREET,3 AVENUE,MANHATTAN,990006.0,
53921804,"{'type': 'Point', 'coordinates': [-73.877880919339, 40.873785789578]}",3149 PERRY AVENUE,,BRONX,1018023.0,
53917223,"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",658 EAST  231 STREET,CARPENTER AVENUE,BRONX,1023076.0,
53917977,"{'type': 'Point', 'coordinates': [-73.990933275277, 40.700767286632]}",,CADMAN PLAZA WEST,BROOKLYN,986764.0,
53918493,"{'type': 'Point', 'coordinates': [-73.985369438634, 40.729155776658]}",226 EAST   10 STREET,,MANHATTAN,988305.0,
53919140,"{'type': 'Point', 'coordinates': [-73.94042787551, 40.829985639912]}",79 ST NICHOLAS PLACE,WEST  153 STREET,MANHATTAN,1000736.0,
53923769,"{'type': 'Point', 'coordinates': [-73.911641796447, 40.678317180974]}",2136 FULTON STREET,,BROOKLYN,1008758.0,
53916097,"{'type': 'Point', 'coordinates': [-73.824250086579, 40.861494420549]}",,HUNTER AVENUE,BRONX,1032864.0,
53926686,"{'type': 'Point', 'coordinates': [-73.914215566813, 40.855201229956]}",1938 LORING PLACE,WEST BURNSIDE AVENUE,BRONX,1007981.0,
53921666,"{'type': 'Point', 'coordinates': [-73.951144870641, 40.7767237842]}",344 EAST   85 STREET,2 AVENUE,MANHATTAN,997781.0,
53922499,"{'type': 'Point', 'coordinates': [-73.9363900129, 40.801405451462]}",230 EAST  122 STREET,ALFREDO CHOCOLATE ARMENTEROS WAY,MANHATTAN,1001861.0,
53917130,,95 AVENUE,,QUEENS,,
53922366,"{'type': 'Point', 'coordinates': [-73.859607668659, 40.753235940396]}",108-41 37 DRIVE,ARMY SPC ALEX JIMENEZ WAY,QUEENS,1023147.0,
53923109,"{'type': 'Point', 'coordinates': [-73.958501379799, 40.675500037534]}",545 PROSPECT PLACE,,BROOKLYN,995761.0,
53917159,"{'type': 'Point', 'coordinates': [-73.901176691827, 40.838198314106]}",,3 AVENUE,BRONX,1011595.0,
53923123,"{'type': 'Point', 'coordinates': [-73.98086223782, 40.744404962717]}",135W EAST   31 STREET,LEXINGTON AVENUE,MANHATTAN,989553.0,
53923814,"{'type': 'Point', 'coordinates': [-73.93617897343, 40.825622014302]}",2620 ADAM C POWELL BOULEVARD,,MANHATTAN,1001913.0,
53920611,"{'type': 'Point', 'coordinates': [-73.941400355359, 40.677666460304]}",57 KINGSTON AVENUE,ATLANTIC AVENUE,BROOKLYN,1000504.0,
53921899,"{'type': 'Point', 'coordinates': [-73.754939720133, 40.69257160595]}",196-21 118 AVENUE,DEAD END,QUEENS,1052208.0,
53918290,"{'type': 'Point', 'coordinates': [-73.880641109399, 40.82674715328]}",1130 EVERGREEN AVENUE,WATSON AVENUE,BRONX,1017283.0,
53924420,"{'type': 'Point', 'coordinates': [-73.978317646219, 40.745474964192]}",500 3 AVENUE,EAST   33 STREET,MANHATTAN,990258.0,
53917957,"{'type': 'Point', 'coordinates': [-73.958976504421, 40.647418368301]}",2111 ALBEMARLE ROAD,,BROOKLYN,995634.0,
53921947,"{'type': 'Point', 'coordinates': [-73.999376465468, 40.659192563131]}",798 4 AVENUE,27 STREET,BROOKLYN,984423.0,
53922003,"{'type': 'Point', 'coordinates': [-73.959781634941, 40.806298852708]}",415 WEST  116 STREET,MORNINGSIDE DRIVE,MANHATTAN,995384.0,
53918988,"{'type': 'Point', 'coordinates': [-73.887780141839, 40.833706686192]}",1522 VYSE AVENUE,MOTHER ARNETTA CRAWFORD WAY,BRONX,1015304.0,
53917142,"{'type': 'Point', 'coordinates': [-73.937595149435, 40.852828353806]}",524 FORT WASHINGTON AVENUE,,MANHATTAN,1001514.0,
53924251,"{'type': 'Point', 'coordinates': [-73.985101848479, 40.618851476727]}",1954 62 STREET,19 AVENUE,BROOKLYN,988386.0,
53922145,"{'type': 'Point', 'coordinates': [-73.884095834963, 40.870086859531]}",2969 PERRY AVENUE,BEDFORD PARK BOULEVARD,BRONX,1016306.0,
53924266,"{'type': 'Point', 'coordinates': [-73.766977032383, 40.760592702259]}",215-15 NORTHERN BOULEVARD,215 STREET,QUEENS,1048804.0,
53923276,"{'type': 'Point', 'coordinates': [-73.907189918508, 40.856603824537]}",2155 GRAND AVENUE,,BRONX,1009924.0,
53920716,"{'type': 'Point', 'coordinates': [-73.904442670153, 40.871623319059]}",201 WEST KINGSBRIDGE ROAD,,BRONX,1010678.0,
53919448,"{'type': 'Point', 'coordinates': [-73.860168452965, 40.891872416493]}",655 EAST  230 STREET,CARPENTER AVENUE,BRONX,1022911.0,
53919461,"{'type': 'Point', 'coordinates': [-73.831322797911, 40.755484372045]}",132-57 SANFORD AVENUE,SUMMIT COURT,QUEENS,1030982.0,
53917935,"{'type': 'Point', 'coordinates': [-73.967448541945, 40.787859442429]}",,CENTRAL PARK WEST,MANHATTAN,993264.0,
53920974,"{'type': 'Point', 'coordinates': [-73.839518596495, 40.782987442693]}",18-11 129 STREET,18 AVENUE,QUEENS,1028693.0,
53918056,"{'type': 'Point', 'coordinates': [-73.986494667801, 40.589081588073]}",2760 HARWAY AVENUE,BAY   47 STREET,BROOKLYN,988001.0,
53916094,"{'type': 'Point', 'coordinates': [-73.972569919259, 40.794975117322]}",266 WEST   96 STREET,,MANHATTAN,991845.0,
53923162,"{'type': 'Point', 'coordinates': [-74.027539649921, 40.632048840336]}",7401 3 AVENUE,,BROOKLYN,976606.0,
53932393,"{'type': 'Point', 'coordinates': [-74.085805228576, 40.602321451378]}",20 COBBLERS LANE,BEND,STATEN ISLAND,960423.0,
53918408,"{'type': 'Point', 'coordinates': [-73.941443857354, 40.833422541344]}",498 WEST  158 STREET,ST NICHOLAS AVENUE,MANHATTAN,1000454.0,
53923210,"{'type': 'Point', 'coordinates': [-73.801705428907, 40.68937344473]}",145-11 109 AVENUE,INWOOD STREET,QUEENS,1039242.0,
53918495,"{'type': 'Point', 'coordinates': [-73.987118943662, 40.768501949904]}",448 WEST   57 STREET,,MANHATTAN,987818.0,
53921991,"{'type': 'Point', 'coordinates': [-73.97870881763, 40.741066968039]}",235 EAST   28 STREET,3 AVENUE,MANHATTAN,990150.0,
53921821,"{'type': 'Point', 'coordinates': [-73.915637463361, 40.839963667755]}",1416 WALTON AVENUE,,BRONX,1007593.0,
53916448,"{'type': 'Point', 'coordinates': [-73.96747731944, 40.758518196175]}",242 EAST   55 STREET,3 AVENUE,MANHATTAN,993260.0,
53919525,"{'type': 'Point', 'coordinates': [-73.890420689028, 40.753173307552]}",76-09 34 AVENUE,76 STREET,QUEENS,1014610.0,
53923367,"{'type': 'Point', 'coordinates': [-73.957020733988, 40.629098946928]}",1355 OCEAN AVENUE,LIRR BAY RIDGE LINE,BROOKLYN,996180.0,
53920643,"{'type': 'Point', 'coordinates': [-73.937596141173, 40.674540905735]}",971 SAINT MARKS AVENUE,KINGSTON AVENUE,BROOKLYN,1001560.0,
53923771,"{'type': 'Point', 'coordinates': [-73.894267868997, 40.883021388177]}",3881 SEDGWICK AVENUE,,BRONX,1013487.0,
53917077,"{'type': 'Point', 'coordinates': [-73.953157407741, 40.651505872709]}",188A MARTENSE STREET,BEDFORD AVENUE,BROOKLYN,997248.0,
53922752,"{'type': 'Point', 'coordinates': [-73.989347244863, 40.718163458458]}",85 LUDLOW STREET,,MANHATTAN,987203.0,
53917293,"{'type': 'Point', 'coordinates': [-73.93652360252, 40.801460419642]}",222 EAST  122 STREET,ALFREDO CHOCOLATE ARMENTEROS WAY,MANHATTAN,1001824.0,
53917018,"{'type': 'Point', 'coordinates': [-73.947809160951, 40.697780483409]}",700 PARK AVENUE,MARCY AVENUE,BROOKLYN,998722.0,
53923811,"{'type': 'Point', 'coordinates': [-73.878196145074, 40.745129889318]}",87-40 ELMHURST AVENUE,,QUEENS,1018001.0,
53924092,"{'type': 'Point', 'coordinates': [-73.927202426804, 40.681402225413]}",244 BAINBRIDGE STREET,MALCOLM X BOULEVARD,BROOKLYN,1004441.0,
53919590,"{'type': 'Point', 'coordinates': [-74.000324796985, 40.744398318002]}",325 WEST   21 STREET,,MANHATTAN,984160.0,
53923436,"{'type': 'Point', 'coordinates': [-73.902867436531, 40.878201034609]}",151W WEST  231 STREET,BAILEY AVENUE,BRONX,1011111.0,
53918487,"{'type': 'Point', 'coordinates': [-73.938298369666, 40.8351281124]}",425 WEST  162 STREET,,MANHATTAN,1001324.0,
53926180,"{'type': 'Point', 'coordinates': [-73.978191493241, 40.778063274432]}",43 WEST   73 STREET,CENTRAL PARK WEST,MANHATTAN,990290.0,
53916282,"{'type': 'Point', 'coordinates': [-73.89911184054, 40.865262063365]}",2550 JEROME AVENUE,EAST  190 STREET,BRONX,1012155.0,
53920816,,43 AVENUE,,QUEENS,,
53920421,"{'type': 'Point', 'coordinates': [-73.93273010182, 40.63084396617]}",4565 KINGS HIGHWAY,AVENUE J,BROOKLYN,1002922.0,
53924098,"{'type': 'Point', 'coordinates': [-73.928953529981, 40.831378946067]}",950 WOODYCREST AVENUE,WEST  162 STREET,BRONX,1003911.0,
53918410,"{'type': 'Point', 'coordinates': [-73.922268706611, 40.763083030234]}",31-09 33 STREET,31 AVENUE,QUEENS,1005783.0,
53917841,"{'type': 'Point', 'coordinates': [-73.942281240722, 40.680439127428]}",23 DECATUR STREET,TOMPKINS AVENUE,BROOKLYN,1000259.0,
53924388,"{'type': 'Point', 'coordinates': [-73.909209302008, 40.696068474072]}",450 IRVING AVENUE,CORNELIA STREET,BROOKLYN,1009426.0,
53927629,"{'type': 'Point', 'coordinates': [-73.805172651776, 40.751638884722]}",47-43 162 STREET,162 ST,QUEENS,1038230.0,
53916911,,18 ST,,QUEENS,,
53919585,"{'type': 'Point', 'coordinates': [-73.917939498271, 40.655466072482]}",492 EAST 94 STREET,,BROOKLYN,1007019.0,
53920688,"{'type': 'Point', 'coordinates': [-73.955745926669, 40.639180069859]}",2303 NEWKIRK AVENUE,,BROOKLYN,996532.0,
53924595,"{'type': 'Point', 'coordinates': [-73.947271766374, 40.811840895788]}",212 WEST  129 STREET,ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,998846.0,
53921482,"{'type': 'Point', 'coordinates': [-73.985714716253, 40.76791715465]}",9 AVENUE,9 AVENUE,MANHATTAN,988207.0,
53922622,"{'type': 'Point', 'coordinates': [-73.914817495002, 40.839636444585]}",1417 WYTHE PLACE,EAST  170 STREET,BRONX,1007820.0,
53918849,"{'type': 'Point', 'coordinates': [-74.081652332759, 40.616440962748]}",141 PARK HILL AVENUE,OSGOOD AVENUE,STATEN ISLAND,961581.0,
53917325,"{'type': 'Point', 'coordinates': [-73.853868903481, 40.843689652358]}",975 SACKET AVENUE,RADCLIFF AVENUE,BRONX,1024682.0,
53924512,"{'type': 'Point', 'coordinates': [-73.888815214068, 40.700867648718]}",72-12 65 PLACE,MYRTLE AVENUE,QUEENS,1015079.0,
53919111,"{'type': 'Point', 'coordinates': [-73.917331870291, 40.849154176767]}",,UNIVERSITY AVENUE,BRONX,1007121.0,
53920194,"{'type': 'Point', 'coordinates': [-73.990192934325, 40.756664177427]}",640 8 AVENUE,,MANHATTAN,986967.0,
53918839,"{'type': 'Point', 'coordinates': [-73.962190966845, 40.70457665799]}",90 ROSS STREET,WYTHE AVENUE,BROOKLYN,994733.0,
53923743,"{'type': 'Point', 'coordinates': [-73.911702424385, 40.874870586145]}",135 WEST  225 STREET,MARBLE HILL AVENUE,BRONX,1008669.0,
53919052,"{'type': 'Point', 'coordinates': [-73.875572193971, 40.770400718021]}",,95 STREET,QUEENS,1018715.0,
53929560,"{'type': 'Point', 'coordinates': [-73.978112247839, 40.590743645971]}",2304 WEST    8 STREET,86 STREET,BROOKLYN,990329.0,
53919953,"{'type': 'Point', 'coordinates': [-73.928902474943, 40.6153829954]}",2240 FLATBUSH AVENUE,SCHENECTADY AVENUE,BROOKLYN,1003989.0,
53921060,"{'type': 'Point', 'coordinates': [-73.878644791938, 40.734595996063]}",86-10 54 AVENUE,,QUEENS,1017882.0,
53917431,"{'type': 'Point', 'coordinates': [-73.927256514466, 40.681396770072]}",242 BAINBRIDGE STREET,,BROOKLYN,1004426.0,
53916900,"{'type': 'Point', 'coordinates': [-73.928810811772, 40.866823983805]}",269 DYCKMAN ST,,MANHATTAN,1003940.0,
53920826,"{'type': 'Point', 'coordinates': [-73.93626914382, 40.622068141654]}",1951 FLATBUSH AVENUE,,BROOKLYN,1001942.0,
53923084,"{'type': 'Point', 'coordinates': [-74.173041801046, 40.561251470749]}",36 CHALLENGER DRIVE,,STATEN ISLAND,936169.0,
53922526,"{'type': 'Point', 'coordinates': [-73.883164404221, 40.673784864312]}",2415 PITKIN AVENUE,ELTON STREET,BROOKLYN,1016659.0,
53916314,"{'type': 'Point', 'coordinates': [-73.929294908303, 40.765168071752]}",23-44 31 DRIVE,,QUEENS,1003836.0,
53917510,"{'type': 'Point', 'coordinates': [-73.909105269135, 40.862311582923]}",2304 SEDGWICK AVENUE,,BRONX,1009392.0,
53925529,"{'type': 'Point', 'coordinates': [-73.891742940591, 40.674679819089]}",257 MILLER AVENUE,,BROOKLYN,1014279.0,
53916209,"{'type': 'Point', 'coordinates': [-74.008424426895, 40.612440296796]}",8411 15 AVENUE,84 STREET,BROOKLYN,981911.0,
53921542,"{'type': 'Point', 'coordinates': [-74.063362333212, 40.613326179007]}",53 SCARBORO AVENUE,KEELEY STREET,STATEN ISLAND,966658.0,
53922035,"{'type': 'Point', 'coordinates': [-73.962614763396, 40.61130641536]}",1887 CONEY ISLAND AVENUE,AVENUE O,BROOKLYN,994630.0,
53918975,"{'type': 'Point', 'coordinates': [-73.941506304685, 40.708956883585]}",186 SCHOLES STREET,HUMBOLDT STREET,BROOKLYN,1000467.0,
53932874,"{'type': 'Point', 'coordinates': [-74.00312514452, 40.741749591936]}",357 WEST   16 STREET,8 AVENUE,MANHATTAN,983384.0,
53927020,"{'type': 'Point', 'coordinates': [-73.948481642559, 40.821582454126]}",260 CONVENT AVENUE,ST NICHOLAS TERRACE,MANHATTAN,998509.0,
53918118,"{'type': 'Point', 'coordinates': [-73.876857537158, 40.83087946324]}",1235 MANOR AVENUE,,BRONX,1018328.0,
53927493,"{'type': 'Point', 'coordinates': [-73.95379000017, 40.690355695788]}",31 KOSCIUSZKO STREET,SPENCER COURT,BROOKLYN,997065.0,
53915849,"{'type': 'Point', 'coordinates': [-73.996265999972, 40.723606747437]}",57 PRINCE ST,,MANHATTAN,985285.0,
53923095,"{'type': 'Point', 'coordinates': [-73.948437414601, 40.59422280232]}",2336 EAST   22 STREET,,BROOKLYN,998570.0,
53920025,"{'type': 'Point', 'coordinates': [-73.932333015521, 40.624514246421]}",1480 EAST   45 STREET,,BROOKLYN,1003034.0,
53918298,"{'type': 'Point', 'coordinates': [-73.951117611763, 40.813857216248]}",49 ST NICHOLAS TERRACE,WEST  129 STREET,MANHATTAN,997781.0,
53916164,"{'type': 'Point', 'coordinates': [-73.982638597659, 40.699778218486]}",177 SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BROOKLYN,989064.0,
53917282,"{'type': 'Point', 'coordinates': [-73.904734218449, 40.683265987142]}",74 ABERDEEN STREET,BUSHWICK AVENUE,BROOKLYN,1010672.0,
53921651,"{'type': 'Point', 'coordinates': [-73.87258776644, 40.686709766907]}",16 DANFORTH STREET,CRESCENT STREET,BROOKLYN,1019586.0,
53923166,"{'type': 'Point', 'coordinates': [-73.84197041846, 40.787558074512]}",11-09 126 STREET,11 AVENUE,QUEENS,1028011.0,
53919691,"{'type': 'Point', 'coordinates': [-73.938298369666, 40.8351281124]}",425 WEST  162 STREET,,MANHATTAN,1001324.0,
53921176,"{'type': 'Point', 'coordinates': [-73.944857572003, 40.651762947246]}",152 EAST   35 STREET,LINDEN BOULEVARD,BROOKLYN,999551.0,
53924356,"{'type': 'Point', 'coordinates': [-73.936088982193, 40.659740234486]}",86 EAST   45 STREET,,BROOKLYN,1001982.0,
53920762,"{'type': 'Point', 'coordinates': [-73.980115313585, 40.647308685038]}",100 CATON AVENUE,,BROOKLYN,989768.0,
53916967,"{'type': 'Point', 'coordinates': [-73.956403843993, 40.619357451571]}",1279 EAST   19 STREET,AVENUE L,BROOKLYN,996353.0,
53916052,"{'type': 'Point', 'coordinates': [-73.972085917127, 40.640049804966]}",478 EAST    7 STREET,AVENUE C,BROOKLYN,991997.0,
53915974,"{'type': 'Point', 'coordinates': [-73.880246855135, 40.66635174762]}",747 LINWOOD STREET,NEW LOTS AVENUE,BROOKLYN,1017472.0,
53916745,"{'type': 'Point', 'coordinates': [-73.904181698501, 40.696418473401]}",1612 GEORGE STREET,WYCKOFF AVENUE,QUEENS,1010820.0,
53927144,"{'type': 'Point', 'coordinates': [-73.859388978411, 40.872227709547]}",3252 COLDEN AVENUE,BURKE AVENUE,BRONX,1023138.0,
53916255,"{'type': 'Point', 'coordinates': [-73.901935178251, 40.81888439583]}",780 PROSPECT AVENUE,MACY PLACE,BRONX,1011393.0,
53923594,"{'type': 'Point', 'coordinates': [-73.921352670973, 40.814315591533]}",328 EAST  145 STREET,COLLEGE AVENUE,BRONX,1006020.0,
53922336,"{'type': 'Point', 'coordinates': [-73.799519050381, 40.674185534778]}",141-06 ROCKAWAY BOULEVARD,141 STREET,QUEENS,1039861.0,
53924153,"{'type': 'Point', 'coordinates': [-73.954731688163, 40.763918292886]}",590 EAST   68 STREET,YORK AVENUE,MANHATTAN,996790.0,
53930146,"{'type': 'Point', 'coordinates': [-74.088192263928, 40.610087420162]}",156 RHINE AVENUE,,STATEN ISLAND,959763.0,
53922478,"{'type': 'Point', 'coordinates': [-73.997301591707, 40.719324952982]}",203 GRAND STREET,GRAND STREET,MANHATTAN,984998.0,
53927133,"{'type': 'Point', 'coordinates': [-73.991995106647, 40.718125246375]}",109 ELDRIDGE STREET,GRAND STREET,MANHATTAN,986469.0,
53923754,"{'type': 'Point', 'coordinates': [-73.990651542328, 40.703808464308]}",1 MAIN STREET,PLYMOUTH STREET,BROOKLYN,986842.0,
53923216,"{'type': 'Point', 'coordinates': [-73.891449017898, 40.662564087338]}",NEW LOTS AVENUE,NEW LOTS AVENUE,BROOKLYN,1014366.0,
53921221,"{'type': 'Point', 'coordinates': [-73.974958882247, 40.723252755906]}",399 EAST    8 STREET,,MANHATTAN,991191.0,
53925894,"{'type': 'Point', 'coordinates': [-73.928659508155, 40.680952995142]}",319 MALCOLM X BOULEVARD,,BROOKLYN,1004037.0,
53924348,"{'type': 'Point', 'coordinates': [-73.860998518103, 40.757824102636]}",,NORTHERN BOULEVARD,QUEENS,1022759.0,
53920482,"{'type': 'Point', 'coordinates': [-73.977804605973, 40.725534233198]}",151 AVENUE C,EAST    9 STREET,MANHATTAN,990402.0,
53921416,"{'type': 'Point', 'coordinates': [-73.974946934907, 40.591884836155]}",483 LAKE STREET,AVENUE W,BROOKLYN,991208.0,
53932523,"{'type': 'Point', 'coordinates': [-73.915006987976, 40.838412443445]}",133 ELLIOT PLACE,WALTON AVENUE,BRONX,1007768.0,
53932998,"{'type': 'Point', 'coordinates': [-73.919401228094, 40.847635074002]}",1632 UNIVERSITY AVENUE,WEST  175 STREET,BRONX,1006549.0,
53933170,"{'type': 'Point', 'coordinates': [-73.907676798622, 40.849610708979]}",105 EAST  177 STREET,,BRONX,1009792.0,
53924205,"{'type': 'Point', 'coordinates': [-73.906759727105, 40.676109273409]}",2362 ATLANTIC AVENUE,SHERLOCK PLACE,BROOKLYN,1010113.0,
53923112,"{'type': 'Point', 'coordinates': [-73.965163920925, 40.674991719563]}",388 STERLING PLACE,UNDERHILL AVENUE,BROOKLYN,993913.0,
53922781,"{'type': 'Point', 'coordinates': [-73.942212035225, 40.618840662042]}",3319 KINGS HIGHWAY,,BROOKLYN,1000293.0,
53929448,"{'type': 'Point', 'coordinates': [-73.879612047427, 40.822346299665]}",950 EVERGREEN AVENUE,,BRONX,1017570.0,
53915878,"{'type': 'Point', 'coordinates': [-73.982739714363, 40.685321535504]}",455 PACIFIC STREET,NEVINS STREET,BROOKLYN,989037.0,
53920106,"{'type': 'Point', 'coordinates': [-73.960730306591, 40.655505110393]}",4 PARKSIDE COURT,PARKSIDE AVENUE,BROOKLYN,995146.0,
