system,basketball,dimensions,borough,frisbee,ll_baseb_12andunder,zipcode,nonregulation_soccer,handball,communityboard,bocce
M205-HANDBALL-3,False,Handball,M,False,False,10027,False,True,109,False
B249-HANDBALL-1,False,Handball,B,False,False,11212,False,True,316,False
Q008-ZN03-BOCCE-1,False,Bocce,Q,False,False,11422,False,False,413,False
B225-HANDBALL-1,False,Handball,B,False,False,11216,False,True,303,False
Q338-HANDBALL-1,False,Handball,Q,False,False,11363,False,True,411,False
B098-HANDBALL-1,False,Handball,B,False,False,11220,False,True,307,False
Q381-HANDBALL-1,False,Handball,Q,False,False,11361,False,True,411,False
B271-HANDBALL-2,False,Handball,B,False,False,11236,False,True,317,False
B152-HANDBALL-1,False,Handball,B,False,False,11219,False,True,312,False
B260-HANDBALL-2,False,Handball,B,False,False,11212,False,True,316,False
X266-HANDBALL-1,False,Handball,X,False,False,10460,False,True,206,False
Q329-HANDBALL-4,False,Handball,Q,False,False,11367,False,True,408,False
B007-HANDBALL-3,False,Handball,B,False,False,11214,False,True,311,False
M042-ZN04-BASEBALL-1,False,"60ft base path, 150-200ft fence",M,False,True,10034,False,False,112,False
M028-ZN01-VOLLEYBALL-5,False,Volleyball,M,False,False,10032,False,False,112,False
B149A-HANDBALL-1,False,Handball,B,False,False,11208,False,True,305,False
B396-HANDBALL-4,False,Handball,B,False,False,11212,False,True,316,False
Q082-HANDBALL-2,False,Handball,Q,False,False,11429,False,True,413,False
Q012-ZN03-TENNIS-6,False,Tennis,Q,False,False,11361,False,False,411,False
R061-HANDBALL-2,True,Handball,R,False,False,10304,False,False,501,False
B057-ZN04-FOOTBALL-1,False,147-295ft W x 295-393ft L,B,True,False,11229,True,False,318,False
B166B-HANDBALL-3,False,Handball,B,False,False,11235,False,True,315,False
X190-HANDBALL-3,False,Handball,X,False,False,10459,False,True,202,False
Q361-HANDBALL-1,False,Handball,Q,False,False,11373,False,True,404,False
B310-HANDBALL-1,False,Handball,B,False,False,11206,False,True,301,False
X172-HANDBALL-2,False,Handball,X,False,False,10469,False,True,211,False
Q338-HANDBALL-2,False,Handball,Q,False,False,11363,False,True,411,False
X121-HANDBALL-4,False,Handball,X,False,False,10461,False,True,210,False
B272-HANDBALL-1,False,Handball,B,False,False,11223,False,True,313,False
Q319-HANDBALL-1,False,Handball,Q,False,False,11375,False,True,406,False
