school_dbn,school_name,percent_of_students_entering_6,percent_of_students_entering_5,percent_of_black_psal,percent_of_students_entering,percent_of_white_psal,percent_of_hispanic_psal,percent_of_students_entering_7,school_building_code
24Q264,Academy of Finance and Enterprise,26.6,22.8,s,0.0,s,38.0,17.7,Q735
08X405,Herbert H. Lehman High School,25.2,23.5,31.3,0.0,8.7,39.1,34.8,X405
06M467,High School for Law and Public Service,29.7,29.7,s,0.0,s,72.5,17.6,M465
10X374,Knowledge and Power Preparatory Academy Internatio,31.6,s,42.1,0.0,0.0,52.6,s,X435
18K578,Brooklyn Bridge Academy,s,s,s,0.0,0.0,s,0.0,K515
75X012,P.S. X012 Lewis and Clark School,0.0,s,s,0.0,0.0,0.0,0.0,X012
32K168,The Brooklyn School for Math and Research,22.9,17.1,77.1,0.0,0.0,s,28.6,K480
10X437,Fordham High School for the Arts,36.0,s,28.0,0.0,0.0,68.0,24.0,X435
27Q261,Voyages Prep - South Queens,s,s,73.7,0.0,s,s,0.0,Q400
13K430,Brooklyn Technical High School,28.2,28.7,6.7,0.0,35.3,7.0,19.6,K430
28Q440,Forest Hills High School,23.4,30.2,6.8,0.0,25.5,34.0,s,Q440
03M492,"High School for Law, Advocacy and Community Justic",18.7,26.7,37.3,0.0,s,54.7,25.3,M490
17K646,Aspirations Diploma Plus High School,s,s,s,0.0,0.0,s,0.0,K824
75K373,P.S. 373 - Brooklyn Transition Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K148
10X442,"Celia Cruz Bronx High School of Music, The",39.7,24.1,s,0.0,s,69.0,17.2,X430
09X412,Bronx High School of Business,s,20.0,46.7,0.0,0.0,s,46.7,X410
75X010,P.S. X010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X101
75K036,P.S. 36,0.0,s,s,0.0,0.0,0.0,0.0,K857
14K614,Young Women's Leadership School of Brooklyn,38.5,30.8,s,0.0,s,65.4,s,K147
14K071,Juan Morel Campos Secondary School,23.7,31.6,s,0.0,s,92.1,15.8,K071
18K563,It Takes a Village Academy,30.2,35.3,87.8,0.0,s,5.8,10.1,K415
27Q302,"Queens High School for Information, Research, and",29.1,26.7,54.7,0.0,s,39.5,22.1,Q465
18K635,Olympus Academy,0.0,s,s,0.0,0.0,s,0.0,K242
02M580,Richard R. Green High School of Teaching,s,27.8,25.0,0.0,s,66.7,s,M282
75M169,P.S. M169 - Robert F. Kennedy,s,0.0,s,0.0,0.0,0.0,0.0,M169
04M372,Esperanza Preparatory Academy,23.5,32.4,8.8,0.0,0.0,91.2,s,M117
31R470,Concord High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R470
75Q177,P.S. Q177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q177
11X508,Bronxdale High School,29.1,23.3,36.0,0.0,s,51.2,23.3,X415
75M079,P.S. M079 - Horan School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M079
75R025,South Richmond High School I.S./P.S. 25,25.6,23.3,41.9,0.0,s,30.2,20.9,R825
02M570,Satellite Academy High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M920
75K370,P.S. 370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K370
03M505,Edward A. Reynolds West Side High School,s,15.4,s,s,s,69.2,0.0,M506
03M403,The Global Learning Collaborative,31.8,20.5,13.6,0.0,s,81.8,22.7,M470
11X513,New World High School,s,29.1,s,0.0,s,78.2,s,X362
05M369,Urban Assembly School for the Performing Arts,17.5,15.8,49.1,0.0,0.0,50.9,52.6,M043
05M285,Harlem Renaissance High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M911
05M157,The Urban Assembly School for Global Commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M501
11X275,High School of Computers and Technology,19.1,31.9,38.3,0.0,0.0,44.7,36.2,X425
12X682,Fannie Lou Hamer Freedom High School,21.3,25.5,s,0.0,s,72.3,21.3,X878
27Q260,Frederick Douglass Academy VI High School,17.1,36.6,65.9,0.0,0.0,s,17.1,Q465
15K429,Digital Arts and Cinema Technology High School,20.0,33.3,66.7,0.0,0.0,s,0.0,K293
21K337,International High School at Lafayette,30.9,25.5,s,0.0,21.8,s,21.8,K400
01M509,Marta Valle High School,s,0.0,s,0.0,0.0,54.2,s,M025
02M507,Urban Assembly Gateway School for Technology,30.2,s,39.5,0.0,s,44.2,s,M625
24Q744,VOYAGES Preparatory,s,s,14.9,s,s,72.3,0.0,Q744
06M463,High School for Media and Communications,19.6,43.5,s,0.0,0.0,80.4,23.9,M465
10X438,Fordham Leadership Academy,25.0,s,41.7,0.0,0.0,54.2,41.7,X435
29Q327,Eagle Academy for Young Men III,26.0,28.8,89.0,0.0,0.0,s,20.5,Q633
21K728,Liberation Diploma Plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K728
02M615,Chelsea Career and Technical Education High School,37.9,36.2,32.8,0.0,s,56.9,10.3,M615
07X522,Bronx Design and Construction Academy,25.5,23.5,29.6,0.0,s,66.3,22.4,X600
09X525,Bronx Leadership Academy High School,27.1,23.7,s,0.0,s,74.6,16.9,X876
02M489,High School of Economics and Finance,25.6,31.2,24.8,0.0,8.8,40.8,20.8,M833
10X243,West Bronx Academy for the Future,54.5,s,s,0.0,s,63.6,s,X435
02M394,Emma Lazarus High School,s,0.0,0.0,0.0,0.0,0.0,0.0,M131
32K552,The Academy of Urban Planning and Engineering,s,s,20.7,0.0,0.0,79.3,31.0,K480
18K629,Cultural Academy for the Arts and Sciences,30.6,30.6,85.5,0.0,0.0,9.7,s,K415
02M551,Urban Assembly New York Harbor School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M877
13K605,George Westinghouse Career and Technical Education,31.3,25.3,69.7,0.0,s,23.2,11.1,K580
11X455,Harry S Truman High School,s,27.1,58.8,0.0,s,34.2,23.7,X455
05M362,Columbia Secondary School,32.0,28.7,18.0,0.0,30.3,36.1,12.3,M125
02M412,N.Y.C. Lab School for Collaborative Studies,23.0,30.4,s,0.0,66.7,s,17.8,M070
75Q256,P.S. Q256,s,s,s,0.0,0.0,s,s,L001
19K660,W. H. Maxwell Career and Technical Education High,33.3,17.8,60.0,0.0,0.0,s,15.6,K660
23K493,Brooklyn Collegiate: A College Board School,29.1,30.9,85.5,0.0,0.0,s,27.3,K055
21K410,Abraham Lincoln High School,27.0,29.3,57.7,0.0,13.4,21.5,18.9,K410
08X348,Schuylerville Preparatory High School,21.1,36.8,42.1,0.0,s,42.1,14.0,X405
19K502,FDNY - Captain Vernon A. Richard High School for F,33.9,21.4,71.4,0.0,s,s,23.2,K435
17K531,"School for Human Rights, The",29.8,19.1,85.1,0.0,s,s,14.9,K470
10X546,Bronx Theatre High School,25.6,34.9,25.6,0.0,s,62.8,23.3,X475
12X388,Pan American International High School at Monroe,29.8,14.9,0.0,0.0,0.0,100.0,19.1,X420
24Q267,High School of Applied Communication,s,29.3,s,0.0,22.0,46.3,s,Q735
10X141,Riverdale / Kingsbridge Academy (Middle School / H,27.8,27.3,10.1,0.0,31.7,44.9,23.8,X141
10X213,Bronx Engineering and Technology Academy,15.9,15.9,s,0.0,0.0,65.9,29.5,X475
09X231,Eagle Academy for Young Men,23.3,25.0,s,0.0,s,50.0,31.7,X465
75Q721,John F. Kennedy Jr. School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q722
02M419,Landmark High School,s,31.6,s,0.0,0.0,63.2,s,M440
02M420,High School for Health Professions and Human Servi,33.9,29.2,20.7,0.0,9.6,52.0,18.5,M475
15K463,Secondary School for Journalism,s,30.8,50.0,0.0,s,30.8,26.9,K460
28Q310,Queens Collegiate: A College Board School,18.1,26.6,48.9,0.0,s,s,s,Q470
24Q520,Middle College High School at LaGuardia Community,26.6,23.4,s,0.0,s,75.0,23.4,Q520
09X329,DreamYard Preparatory School,s,s,38.1,0.0,0.0,61.9,s,X410
05M692,"High School for Mathematics, Science and Engineeri",38.6,25.0,8.5,0.0,33.5,15.3,16.5,M812
25Q241,Queens High School for Language Studies,34.8,28.8,s,0.0,s,25.8,19.7,Q460
75X186,P186X Walter J. Damrosch School,0.0,0.0,0.0,0.0,s,0.0,s,X136
02M414,N.Y.C. Museum School,31.7,14.3,s,0.0,28.6,36.5,28.6,M070
15K519,Cobble Hill School of American Studies,21.2,21.2,72.7,0.0,s,18.2,33.3,K804
11X542,Pelham Preparatory Academy,23.2,15.9,29.3,0.0,s,50.0,13.4,X415
03M859,Special Music School,s,s,0.0,0.0,60.0,s,0.0,M932
29Q243,Institute for Health Professions at Cambria Height,25.6,39.0,74.4,0.0,s,14.6,s,Q490
02M425,Leadership and Public Service High School,33.3,s,20.0,0.0,s,60.0,s,M894
15K698,South Brooklyn Community High School,0.0,s,s,0.0,0.0,50.0,0.0,K825
10X397,English Language Learners and International Suppor,s,s,s,0.0,s,77.8,s,X475
08X377,Bronx Community High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X450
20K485,High School of Telecommunication Arts and Technolo,24.9,27.6,6.8,0.0,22.9,46.1,25.3,K485
32K545,EBC High School for Public Service - Bushwick,24.5,30.4,s,0.0,s,92.2,16.7,K913
27Q475,Richmond Hill High School,32.5,19.0,s,0.0,s,56.0,23.1,Q475
25Q252,"Queens School of Inquiry, The",19.5,31.7,13.4,0.0,15.9,22.0,23.2,Q168
11X545,Bronx Aerospace High School,36.4,21.2,51.5,0.0,0.0,48.5,18.2,X425
13K553,Brooklyn Academy High School,0.0,s,s,0.0,0.0,s,0.0,K458
06M462,The College Academy,25.9,15.5,s,0.0,s,87.9,27.6,M465
07X259,"H.E.R.O. High (Health, Education, and Research Occ",24.5,20.8,35.8,0.0,0.0,62.3,37.7,X655
30Q501,Frank Sinatra School of the Arts High School,18.2,22.7,15.5,0.0,36.4,33.6,40.9,Q570
05M148,Eagle Academy for Young Men of Harlem,s,75.0,66.7,0.0,0.0,33.3,s,M136
02M550,Liberty High School Academy for Newcomers,32.9,32.9,43.8,0.0,s,45.2,s,M451
08X349,Bronx River High School,37.5,23.9,29.5,0.0,s,60.2,22.7,X405
09X260,Bronx Center for Science and Mathematics,16.0,28.7,21.3,0.0,s,68.1,18.1,X002
13K412,Brooklyn Community Arts & Media High School (BCAM),17.2,37.9,63.8,0.0,s,31.0,25.9,K117
15K592,Khalil Gibran International Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K806
27Q324,Rockaway Park High School for Environmental Sustai,20.6,20.6,50.0,0.0,s,s,s,Q410
75Q233,P.S. Q233,s,0.0,s,0.0,0.0,0.0,0.0,Q686
31R445,Port Richmond High School,25.2,25.2,23.7,0.0,26.2,40.0,24.5,R445
02M303,"Facing History School, The",s,36.8,s,0.0,s,57.9,s,M535
13K439,Brooklyn International High School,30.8,20.5,33.3,0.0,s,33.3,s,K805
11X290,Bronx Academy of Health Careers,29.8,19.3,49.1,0.0,0.0,47.4,24.6,X425
17K546,High School for Public Service: Heroes of Tomorrow,21.8,38.2,71.8,0.0,0.0,s,13.6,K470
31R605,Staten Island Technical High School,24.5,27.3,s,0.0,43.1,s,25.5,R440
09X505,"Bronx School for Law, Government and Justice",20.0,23.2,s,0.0,s,73.6,26.4,X460
14K474,PROGRESS High School for Professional Careers,25.2,26.0,s,0.0,s,68.5,26.0,K450
15K448,Brooklyn Collaborative Studies,33.0,25.0,34.1,0.0,s,56.8,15.9,K142
17K547,Brooklyn Academy of Science and the Environment,30.6,16.7,86.1,0.0,0.0,s,11.1,K440
10X368,In-Tech Academy (M.S. / High School 368),28.0,s,9.3,0.0,7.5,76.6,29.9,X368
09X517,Frederick Douglass Academy III Secondary School,16.9,28.8,54.2,0.0,0.0,45.8,10.2,X148
