school_name,number_of_students_entering_3,percent_of_english_language,number_of_female_students,number_of_english_language,number_of_male_students,percent_of_asian_psal,percent_of_male_psal,percent_of_students_with,number_of_students_entering_1,total_number_of_students
Bronx Collegiate Academy,0,13.6,26,8,33,0.0,55.9,11.9,0,59
South Bronx Preparatory: A College Board School,0,0.0,46,0,52,s,53.1,15.3,0,98
P.S. K811 Connie Lekas School,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Theatre Arts Production Company School,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Pan American International High School,0,88.9,11,24,16,0.0,59.3,0.0,0,27
Bronx Career and College Preparatory High School,0,0.0,s,0,0,0.0,0.0,0.0,0,s
P.S. K753 - School for Career Development,s,s,0,s,s,0.0,s,s,0,s
Academy of Innovative Technology,0,s,16,s,75,s,82.4,8.8,0,91
Lower East Side Preparatory High School,s,77.8,s,42,s,51.9,s,s,0,54
Queens Academy High School,7,s,s,s,s,s,s,s,0,13
International High School at LaGuardia Community C,0,70.0,9,14,11,s,55.0,s,0,20
International High School for Health Sciences,0,s,s,s,s,s,s,0.0,0,7
ACORN Community High School,0,0.0,s,0,s,s,s,s,0,6
High School for Medical Professions,0,6.1,48,6,51,s,51.5,12.1,0,99
Benjamin Banneker Academy,0,s,91,s,124,s,57.7,9.8,0,215
47 The American Sign Language and English Secondar,0,0.0,s,0,s,s,s,s,0,23
Jacqueline Kennedy Onassis High School,0,s,s,s,s,s,s,26.1,0,23
High School of Arts and Technology,0,s,6,s,21,s,77.8,25.9,0,27
Queens High School for the Sciences at York Colleg,0,0.0,22,0,54,85.5,71.1,0.0,0,76
The Bronx High School of Science,0,0.0,353,0,412,56.6,53.9,s,0,765
Flushing International High School,0,80.5,37,70,50,46.0,57.5,s,0,87
Humanities & Arts Magnet High School,0,7.6,41,6,38,s,48.1,13.9,0,79
Bronx High School for the Visual Arts,0,0.0,s,0,0,0.0,0.0,0.0,0,s
Brownsville Academy High School,0,0.0,s,0,s,0.0,s,54.5,s,11
Frederick Douglass Academy II Secondary School,0,s,0,s,8,0.0,100.0,s,0,8
East Bronx Academy for the Future,0,s,s,s,s,0.0,s,s,0,9
The Brooklyn School for Social Justice,0,43.8,10,14,22,0.0,68.8,25.0,0,32
Murray Hill Academy,0,s,12,s,9,0.0,42.9,s,0,21
Bedford Academy High School,0,0.0,25,0,31,0.0,55.4,0.0,0,56
International High School at Union Square,0,76.7,s,23,s,0.0,s,s,0,30
The Brooklyn Academy of Global Finance,0,s,s,s,s,0.0,s,s,0,16
DeWitt Clinton High School,0,8.4,95,21,156,s,62.2,11.2,0,251
Thomas A. Edison Career and Technical Education Hi,0,s,99,s,196,33.6,66.4,7.5,0,295
Kingsbridge International High School,0,96.0,s,24,s,0.0,s,s,0,25
Manhattan / Hunter Science High School,0,0.0,84,0,52,24.3,38.2,8.8,0,136
"Brooklyn Latin School, The",0,0.0,32,0,28,65.0,46.7,s,0,60
School of the Future High School,0,0.0,54,0,67,12.4,55.4,15.7,0,121
Queens Preparatory Academy,0,s,22,s,42,0.0,65.6,10.9,0,64
August Martin High School,0,s,12,s,40,17.3,76.9,28.8,0,52
"Urban Assembly School of Design and Construction,",0,0.0,s,0,s,s,s,s,0,17
Life Sciences Secondary School,0,6.6,45,6,46,s,50.5,s,0,91
The Urban Assembly School for Collaborative Health,0,s,35,s,21,s,37.5,s,0,56
Hillside Arts & Letters Academy,0,13.0,26,9,43,s,62.3,14.5,0,69
Performing Arts and Technology High School,0,33.9,25,20,34,0.0,57.6,11.9,0,59
Vanguard High School,0,s,19,s,19,0.0,50.0,18.4,0,38
Leon M. Goldstein High School for the Sciences,0,s,114,s,120,27.8,51.3,8.5,0,234
North Queens Community High School,0,0.0,0,0,0,0.0,0.0,0.0,0,0
High School of Language and Innovation,0,53.8,13,21,26,s,66.7,0.0,0,39
"Young Women's Leadership School, Queens",0,0.0,63,0,0,14.3,0.0,14.3,0,63
Academy for Young Writers,0,0.0,20,0,8,0.0,28.6,s,0,28
George Washington Carver High School for the Scien,0,s,30,s,43,0.0,58.9,11.0,0,73
Academy for Language and Technology,0,69.8,28,44,35,0.0,55.6,s,0,63
"Robert F. Wagner, Jr. Secondary School for Arts an",0,s,73,s,54,18.9,42.5,5.5,0,127
High School for Service & Learning at Erasmus,s,s,15,s,37,s,71.2,17.3,0,52
High School for Dual Language and Asian Studies,0,s,70,s,53,84.6,43.1,s,0,123
High School for Excellence and Innovation,0,29.0,20,9,11,0.0,35.5,s,0,31
Academy for Scholarship and Entrepreneurship: A Co,0,s,9,s,19,0.0,67.9,s,0,28
Wadleigh Secondary School for the Performing & Vis,s,0.0,12,0,14,0.0,53.8,23.1,0,26
Manhattan Bridges High School,0,30.4,15,14,31,0.0,67.4,s,0,46
Benjamin N. Cardozo High School,0,1.0,321,6,303,39.4,48.6,7.2,0,624
Transit Tech Career and Technical Education High S,0,8.2,26,10,96,s,78.7,12.3,0,122
Millennium High School,0,s,83,s,73,32.7,46.8,12.2,0,156
P.S. 371 - Lillian L. Rashkis,0,0.0,0,0,s,0.0,s,s,0,s
Professional Performing Arts High School,0,0.0,0,0,s,s,s,0.0,0,s
Washington Heights Expeditionary Learning School,0,s,40,s,60,0.0,60.0,8.0,0,100
Business Of Sports School,s,s,43,s,56,0.0,56.6,20.2,0,99
CSI High School for International Studies,0,0.0,88,0,76,20.1,46.3,11.6,0,164
Brooklyn Generation School,0,s,s,s,s,0.0,s,s,0,30
The Eagle Academy for Young Men of Staten Island,0,0.0,0,0,s,0.0,s,s,0,s
The Bronxwood Preparatory Academy,0,s,34,s,19,0.0,35.8,s,0,53
Brooklyn Frontiers High School,s,0.0,0,0,12,s,100.0,50.0,0,12
Manhattan Business Academy,0,s,33,s,40,s,54.8,s,0,73
Cascades High School,6,0.0,0,0,11,s,100.0,s,0,11
Bronx Leadership Academy II High School,0,12.0,52,14,65,0.0,55.6,19.7,0,117
The High School for Global Citizenship,0,s,14,s,23,0.0,62.2,s,0,37
Mott Hall High School,s,s,20,s,16,s,44.4,19.4,0,36
Research and Service High School,s,0.0,s,0,s,0.0,s,21.4,0,28
Spring Creek Community School,0,0.0,24,0,17,0.0,41.5,19.5,0,41
Aviation Career & Technical Education High School,0,s,54,s,243,29.6,81.8,9.4,0,297
Manhattan Academy For Arts & Language,0,76.9,9,20,17,0.0,65.4,s,0,26
P.S. K053,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Park East High School,0,s,45,s,72,s,61.5,15.4,0,117
Comprehensive Model School Project M.S. 327,0,7.7,40,7,51,0.0,56.0,18.7,0,91
The Cinema School,0,s,44,s,26,0.0,37.1,10.0,0,70
East Side Community School,0,s,63,s,64,8.7,50.4,22.0,0,127
Community Health Academy of the Heights,0,16.5,61,21,66,s,52.0,11.0,0,127
Humanities Preparatory Academy,0,0.0,10,0,15,s,60.0,s,0,25
Civic Leadership Academy,0,0.0,28,0,27,10.9,49.1,10.9,0,55
P.S. 168,s,0.0,0,0,s,0.0,s,s,0,s
Urban Academy Laboratory High School,0,0.0,s,0,s,0.0,s,s,0,11
Antonia Pantoja Preparatory Academy: A College Boa,0,s,23,s,16,s,41.0,23.1,0,39
Frank McCourt High School,0,s,54,s,43,6.2,44.3,15.5,0,97
Bronx Compass High School,0,s,7,s,17,s,70.8,s,0,24
The Laboratory School of Finance and Technology: X,0,s,42,s,39,0.0,48.1,11.1,0,81
Millennium Brooklyn HS,0,0.0,78,0,79,7.0,50.3,16.6,0,157
High School for Community Leadership,0,s,53,s,60,20.4,53.1,7.1,0,113
Expeditionary Learning School for Community Leader,0,6.5,32,6,61,17.2,65.6,16.1,0,93
The Urban Assembly School for Green Careers,0,s,14,s,28,0.0,66.7,s,0,42
Providing Urban Learners Success In Education High,0,0.0,0,0,0,0.0,0.0,0.0,0,0
"New Explorations into Science, Technology and Math",0,0.0,74,0,78,24.3,51.3,3.9,0,152
Epic High School - South,0,0.0,0,0,16,s,100.0,s,0,16
All City Leadership Secondary School,0,s,73,s,45,5.1,38.1,5.1,0,118
Bronx School of Law and Finance,0,11.1,28,6,26,0.0,48.1,22.2,0,54
Professional Pathways High School,s,0.0,11,0,12,s,52.2,s,0,23
New Dorp High School,0,1.6,296,10,318,6.7,51.8,15.0,0,614
Harvest Collegiate High School,0,0.0,s,0,s,s,s,s,0,14
World Journalism Preparatory: A College Board Scho,0,0.0,16,0,11,22.2,40.7,s,0,27
Townsend Harris High School,0,s,291,s,177,52.8,37.8,3.4,0,468
P.S. K141,0,0.0,0,0,0,0.0,0.0,0.0,0,0
York Early College Academy,0,0.0,73,0,44,26.5,37.6,7.7,0,117
Central Park East High School,0,s,51,s,51,9.8,50.0,11.8,0,102
Bronx High School for Medical Science,s,s,37,s,32,0.0,46.4,11.6,0,69
"The High School for Enterprise, Business and Techn",0,6.0,38,9,113,s,74.8,12.6,0,151
Urban Assembly School for Music and Art,0,0.0,s,0,0,0.0,0.0,0.0,0,s
Veritas Academy,0,9.8,22,6,39,s,63.9,11.5,0,61
Stuyvesant High School,s,0.0,346,0,493,65.2,58.8,s,0,839
Rockaway Collegiate High School,0,s,10,s,27,s,73.0,16.2,0,37
Hillcrest High School,s,8.9,193,30,145,22.5,42.9,5.6,0,338
Curtis High School,0,2.5,310,15,293,10.4,48.6,9.6,0,603
Brooklyn Lab School,0,49.3,18,35,53,s,74.6,11.3,0,71
The High School For Language And Diplomacy,0,s,0,s,s,0.0,s,0.0,0,s
"Science Skills Center High School for Science, Tec",0,0.0,31,0,37,s,54.4,8.8,0,68
Marble Hill High School for International Studies,0,13.6,43,11,38,s,46.9,8.6,0,81
Brooklyn Theatre Arts High School,0,s,36,s,46,s,56.1,14.6,0,82
High School for Civil Rights,0,s,12,s,38,s,76.0,22.0,0,50
Queens Metropolitan High School,0,s,114,s,102,7.9,47.2,7.9,0,216
Susan E. Wagner High School,0,1.3,335,9,366,15.8,52.2,9.4,0,701
Epic High School - North,0,0.0,0,0,0,0.0,0.0,0.0,0,0
El Puente Academy for Peace and Justice,0,0.0,0,0,0,0.0,0.0,0.0,0,0
P.S. X721 - Stephen McSweeney School,s,0.0,s,0,s,0.0,s,s,0,s
Brooklyn Studio Secondary School,0,s,59,s,57,s,49.1,24.1,0,116
World View High School,s,22.3,59,21,35,s,37.2,14.9,0,94
Pelham Lab High School,0,s,28,s,27,s,49.1,12.7,0,55
The Michael J. Petrides School,0,s,105,s,149,5.5,58.7,20.5,0,254
