multiple_race_categories_1,grade_12,grade_11,grade_4,english_language_learners
0.026,89,93,0,32
0.101,0,0,96,9
0.043,0,0,57,29
0.023,104,88,0,52
0.133,0,0,58,9
0.023,0,0,37,83
0.084,0,0,32,3
0.011,79,68,0,17
0.018,0,0,54,45
0.016,64,94,0,26
0.0,0,0,0,59
0.013,126,110,0,9
0.037,0,0,111,32
0.047,0,0,0,8
0.086,0,0,0,0
0.006,80,52,0,33
0.021,52,77,0,11
0.005,0,0,28,36
0.043,61,61,0,20
0.014,0,0,0,22
0.004,1,61,0,12
0.068,77,61,0,0
0.014,0,0,32,34
0.003,0,0,32,26
0.012,187,311,0,389
0.009,0,0,35,25
0.113,98,97,0,5
0.044,67,89,0,15
0.006,95,128,0,245
0.099,0,0,100,9
0.025,93,102,0,12
0.035,0,0,19,26
0.063,0,0,52,19
0.003,86,76,0,303
0.129,0,0,51,11
0.051,0,0,121,44
0.062,100,87,0,14
0.017,0,0,106,20
0.11,59,56,0,1
0.113,0,0,55,1
0.0,56,62,0,184
0.036,25,35,0,23
0.09,112,116,0,5
0.041,116,110,0,2
0.132,0,0,59,9
0.028,0,0,55,48
0.054,0,0,53,5
0.073,0,0,0,0
0.016,107,114,0,1
0.007,93,77,0,354
0.081,0,0,0,1
0.086,0,0,100,8
0.012,77,82,0,361
0.025,0,0,41,30
0.019,0,23,0,199
0.013,111,123,0,3
0.062,0,0,0,9
0.109,0,0,45,8
0.057,0,0,52,38
0.0,29,22,0,2
0.027,0,0,47,39
0.065,79,71,0,18
0.011,0,0,100,28
0.118,99,131,0,5
0.006,0,0,20,8
0.038,0,0,0,7
0.068,69,66,0,1
0.039,86,102,0,4
0.004,0,0,0,23
0.007,34,31,0,20
0.037,69,84,0,21
0.087,0,0,53,13
0.0,40,55,0,4
0.063,0,0,96,17
0.097,0,0,0,4
0.045,0,0,58,6
0.094,0,0,90,18
0.01,93,120,0,71
0.014,163,283,0,380
0.022,0,0,48,16
0.03,0,0,100,172
0.009,113,83,0,24
0.053,0,0,44,34
0.067,0,0,0,9
0.025,115,114,0,42
0.025,0,0,37,19
0.147,0,0,35,4
0.016,0,0,86,22
0.065,0,0,94,16
0.07,0,0,0,6
