school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
Khalil Gibran International Academy,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,89%,89%,22%,100%,0%,0%,11%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Bronx Lab School,100%,0%,4%,96%,100%,96%,0%,100%,0%,0%,100%,96%,15%,100%,0%,0%,0%,0%,0%,96%,4%,0%,100%,100%,0%,,0%,0%
Dewitt Clinton High School,98%,5%,3%,71%,95%,80%,4%,97%,3%,2%,95%,82%,53%,94%,0%,0%,2%,2%,0%,97%,9%,0%,96%,84%,0%,,0%,0%
World View High School,97%,8%,6%,90%,90%,86%,7%,97%,2%,1%,98%,86%,45%,96%,0%,6%,3%,4%,0%,94%,12%,0%,93%,88%,0%,,0%,0%
Battery Park City School,93%,6%,6%,90%,90%,86%,6%,93%,3%,2%,97%,82%,13%,92%,14%,11%,2%,6%,11%,94%,0%,17%,94%,85%,83%,,86%,14%
P.S. 503: The School Of Discovery,99%,5%,4%,93%,95%,96%,4%,96%,3%,3%,96%,93%,8%,98%,0%,3%,3%,4%,5%,96%,0%,6%,96%,95%,94%,,0%,0%
P.S. 181 Brooklyn,93%,5%,0%,91%,100%,96%,0%,97%,0%,0%,100%,95%,14%,100%,,0%,0%,0%,4%,100%,0%,0%,100%,91%,100%,,,
P.S. 527 - East Side School For Social Action,98%,3%,3%,95%,97%,93%,2%,95%,2%,3%,98%,100%,14%,95%,0%,4%,2%,2%,2%,97%,0%,6%,98%,94%,94%,,0%,0%
Manhattan Bridges High School,98%,1%,0%,76%,99%,90%,2%,97%,1%,0%,100%,86%,23%,96%,0%,0%,0%,4%,0%,100%,6%,0%,98%,93%,0%,,0%,0%
Urban Action Academy,97%,1%,1%,93%,99%,97%,0%,100%,1%,1%,99%,94%,21%,96%,0%,7%,1%,1%,0%,99%,4%,0%,100%,97%,0%,,0%,0%
Discovery High School,97%,3%,1%,87%,98%,98%,1%,99%,3%,1%,100%,89%,38%,98%,0%,9%,2%,1%,0%,99%,4%,0%,99%,97%,0%,,0%,0%
P.S. 536,99%,1%,1%,98%,98%,97%,1%,99%,1%,1%,99%,98%,44%,98%,0%,0%,1%,1%,1%,99%,0%,2%,99%,98%,98%,,100%,0%
M.S. 131,97%,3%,9%,59%,93%,82%,7%,92%,9%,9%,100%,81%,27%,97%,0%,12%,0%,3%,0%,91%,0%,0%,93%,88%,0%,,0%,0%
Sunset Park Avenues Elementary School,97%,2%,1%,85%,94%,91%,6%,92%,5%,2%,98%,90%,21%,99%,0%,6%,2%,7%,8%,99%,0%,11%,94%,89%,89%,,89%,11%
P.S. 154 Harriet Tubman,98%,2%,2%,94%,98%,98%,1%,98%,1%,1%,99%,95%,59%,99%,0%,0%,1%,1%,5%,98%,0%,3%,99%,99%,97%,,100%,0%
Lower Manhattan Community Middle School,98%,1%,0%,89%,97%,94%,1%,97%,0%,1%,100%,86%,22%,98%,0%,4%,0%,2%,0%,100%,0%,0%,99%,94%,0%,,0%,0%
P.S. 056 Norwood Heights,96%,0%,0%,93%,96%,93%,4%,96%,7%,3%,97%,90%,34%,90%,0%,29%,3%,4%,4%,100%,0%,4%,96%,86%,96%,,0%,0%
P.S. 094 Kings College School,93%,6%,3%,100%,99%,96%,3%,97%,0%,1%,97%,96%,23%,97%,0%,0%,0%,2%,11%,97%,0%,9%,97%,93%,91%,,0%,0%
Bronx Career And College Preparatory High School,94%,18%,11%,79%,93%,78%,6%,85%,17%,11%,94%,84%,21%,94%,0%,,6%,7%,0%,89%,6%,0%,94%,89%,0%,,0%,0%
P.S. 146 Ann M. Short,100%,0%,0%,86%,100%,86%,0%,83%,0%,0%,86%,100%,0%,71%,0%,,14%,0%,14%,100%,0%,0%,100%,100%,100%,,0%,0%
Bronx Latin,100%,5%,4%,100%,100%,87%,5%,95%,4%,4%,91%,91%,17%,96%,0%,,9%,5%,0%,96%,0%,0%,95%,91%,0%,,0%,0%
Pelham Gardens Middle School,97%,4%,3%,96%,96%,89%,1%,95%,1%,3%,99%,90%,35%,100%,0%,7%,0%,3%,0%,97%,0%,0%,99%,92%,0%,,0%,0%
M.S. M245 The Computer School,96%,4%,4%,86%,94%,91%,4%,93%,3%,4%,96%,84%,4%,95%,0%,4%,3%,4%,0%,96%,0%,0%,96%,89%,0%,,0%,0%
Academy For Scholarship And Entrepreneurship: A College Board School,100%,4%,4%,88%,91%,96%,4%,96%,4%,7%,96%,88%,23%,100%,0%,0%,4%,4%,0%,96%,4%,0%,96%,96%,0%,,0%,0%
P.S. 125 Ralph Bunche,98%,9%,7%,93%,91%,87%,2%,90%,4%,6%,94%,92%,2%,92%,14%,0%,4%,8%,9%,93%,0%,9%,98%,91%,91%,,86%,14%
J.H.S. 259 William Mckinley,94%,4%,3%,72%,95%,84%,3%,94%,3%,3%,95%,86%,55%,94%,0%,9%,5%,4%,0%,97%,0%,0%,97%,84%,0%,,0%,0%
Millennium Art Academy,90%,5%,2%,86%,98%,93%,0%,95%,0%,2%,96%,88%,34%,98%,0%,0%,2%,0%,0%,98%,14%,0%,100%,91%,0%,,0%,0%
P.S. 015 Roberto Clemente,100%,3%,1%,96%,97%,97%,3%,97%,1%,4%,99%,95%,29%,100%,0%,5%,1%,3%,5%,99%,0%,4%,97%,97%,96%,,100%,0%
Tompkins Square Middle School,99%,2%,3%,93%,97%,94%,2%,97%,3%,2%,97%,92%,15%,99%,0%,10%,3%,3%,0%,97%,0%,0%,98%,91%,0%,,0%,0%
Soundview Academy For Culture And Scholarship,97%,6%,6%,87%,93%,94%,7%,96%,3%,10%,90%,94%,13%,90%,0%,29%,6%,7%,0%,94%,0%,0%,93%,90%,0%,,0%,0%
P.S. 123 Mahalia Jackson,97%,3%,2%,98%,95%,97%,2%,98%,1%,1%,99%,94%,23%,99%,0%,8%,0%,3%,8%,98%,0%,7%,98%,97%,93%,,100%,0%
Tag Young Scholars,95%,6%,6%,87%,85%,82%,9%,95%,6%,4%,97%,92%,14%,93%,0%,14%,2%,9%,7%,94%,0%,3%,91%,82%,97%,,0%,0%
