school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
P.S. 107 John W. Kimball,97%,5%,3%,87%,93%,92%,3%,95%,1%,1%,100%,92%,13%,94%,33%,11%,0%,2%,2%,97%,0%,8%,97%,92%,92%,,83%,17%
Mott Haven Community High School,100%,0%,0%,98%,100%,100%,0%,100%,0%,0%,100%,40%,22%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
P.S. 153 Helen Keller,99%,0%,2%,97%,96%,94%,0%,99%,0%,1%,99%,94%,11%,98%,,0%,0%,0%,5%,98%,0%,2%,100%,91%,98%,,,
P.S. 030 Wilton,93%,13%,6%,90%,90%,86%,6%,95%,5%,5%,98%,86%,30%,90%,6%,13%,2%,13%,16%,94%,0%,19%,94%,85%,81%,,88%,12%
P.S. 024 Spuyten Duyvil,94%,13%,10%,95%,88%,91%,10%,97%,7%,2%,98%,93%,14%,96%,0%,0%,1%,7%,9%,90%,0%,6%,90%,90%,94%,,0%,0%
The Global Learning Collaborative,93%,7%,3%,68%,93%,82%,3%,97%,5%,4%,96%,82%,34%,95%,0%,0%,5%,6%,0%,97%,6%,0%,97%,86%,0%,,0%,0%
Sunset Park Prep,94%,0%,0%,89%,94%,94%,6%,88%,0%,0%,94%,89%,11%,100%,0%,,0%,0%,0%,100%,0%,0%,94%,94%,0%,,0%,0%
The Lexington Academy,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,
P.S. X015 Institute For Environmental Learning,88%,6%,8%,90%,91%,88%,7%,90%,4%,8%,94%,94%,20%,84%,0%,24%,8%,11%,6%,92%,0%,9%,93%,88%,91%,,0%,0%
The New American Academy At Roberto Clemente State Park,93%,18%,14%,93%,85%,87%,14%,90%,10%,7%,93%,90%,27%,93%,,23%,3%,14%,15%,86%,0%,14%,86%,83%,86%,,,
P.S. 095 Sheila Mencher,93%,6%,2%,90%,94%,90%,6%,95%,4%,4%,96%,93%,21%,95%,0%,5%,2%,5%,13%,98%,0%,10%,94%,88%,90%,,0%,0%
High School For Violin And Dance,100%,0%,0%,80%,100%,100%,0%,100%,0%,0%,100%,80%,20%,100%,0%,,0%,0%,0%,100%,20%,0%,100%,100%,0%,,0%,0%
I.S. 181 Pablo Casals,96%,4%,3%,84%,95%,88%,3%,94%,4%,5%,96%,91%,24%,96%,0%,6%,4%,4%,0%,97%,0%,0%,97%,86%,0%,,0%,0%
P.S. 230 Doris L. Cohen,95%,6%,6%,92%,90%,93%,6%,96%,1%,1%,97%,95%,13%,99%,0%,0%,1%,6%,3%,94%,0%,5%,94%,93%,95%,,100%,0%
P.S. 308 Clara Cardwell,100%,6%,6%,96%,93%,91%,7%,91%,6%,9%,94%,98%,21%,100%,0%,0%,6%,7%,0%,94%,0%,6%,93%,89%,94%,,100%,0%
New Design High School,89%,10%,5%,68%,75%,78%,0%,93%,5%,10%,95%,61%,40%,95%,0%,,0%,13%,0%,95%,15%,0%,100%,84%,0%,,0%,0%
A. Philip Randolph Campus High School,93%,5%,6%,79%,95%,82%,4%,91%,2%,5%,96%,82%,25%,97%,0%,6%,3%,4%,0%,94%,8%,0%,96%,87%,0%,,0%,0%
Young Women'S Leadership School Of Brooklyn,97%,5%,2%,80%,100%,91%,3%,97%,2%,0%,100%,78%,24%,97%,0%,0%,0%,5%,0%,98%,4%,0%,97%,90%,0%,,0%,0%
P.S. 157 Grove Hill,96%,2%,1%,92%,98%,97%,2%,98%,0%,0%,99%,97%,31%,99%,7%,12%,2%,2%,4%,99%,0%,3%,98%,94%,97%,,93%,7%
City College Academy Of The Arts,96%,3%,3%,91%,96%,92%,4%,95%,2%,4%,98%,94%,12%,98%,0%,2%,2%,4%,0%,97%,4%,0%,96%,94%,0%,,0%,0%
New Design Middle School,100%,0%,0%,100%,100%,99%,0%,100%,0%,0%,100%,99%,11%,100%,0%,0%,0%,1%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
P.S. 256 Benjamin Banneker,75%,25%,25%,62%,20%,75%,0%,71%,0%,25%,100%,62%,88%,100%,,,0%,0%,14%,75%,0%,29%,100%,88%,71%,,,
P.S. 114 Ryder Elementary,96%,6%,2%,92%,95%,92%,4%,93%,4%,2%,96%,91%,18%,94%,0%,0%,2%,4%,6%,98%,0%,3%,96%,93%,97%,,100%,0%
P.S. 018 Edward Bush,100%,0%,0%,94%,97%,94%,2%,97%,0%,0%,100%,96%,17%,99%,,5%,0%,2%,2%,100%,0%,0%,98%,97%,100%,,,
P.S. 257 John F. Hylan,98%,4%,4%,95%,94%,94%,3%,98%,2%,4%,96%,96%,22%,95%,0%,6%,3%,5%,7%,96%,0%,6%,97%,94%,94%,,95%,5%
P.S. 016 Wakefield,98%,5%,7%,93%,97%,95%,2%,98%,3%,2%,98%,96%,18%,99%,0%,7%,2%,3%,5%,93%,0%,6%,98%,93%,94%,,95%,5%
P.S. 020 Clinton Hill,96%,6%,2%,89%,94%,87%,2%,87%,0%,4%,96%,91%,14%,91%,17%,,2%,2%,7%,98%,0%,11%,98%,86%,89%,,80%,20%
Central Park East I,96%,3%,4%,90%,97%,87%,4%,96%,4%,4%,99%,88%,6%,99%,11%,8%,1%,3%,5%,96%,0%,10%,96%,88%,90%,,78%,22%
P.S. 076 A. Philip Randolph,100%,2%,1%,79%,99%,97%,1%,98%,1%,2%,99%,76%,20%,99%,0%,0%,2%,1%,4%,99%,0%,4%,99%,94%,96%,,100%,0%
P.S. 003 Charrette School,92%,30%,22%,94%,70%,92%,23%,94%,2%,1%,96%,97%,15%,97%,17%,0%,1%,23%,6%,78%,0%,13%,77%,90%,87%,,83%,17%
M.S. 224 Manhattan East School For Arts & Academics,89%,3%,6%,85%,92%,82%,7%,92%,5%,6%,97%,91%,12%,92%,0%,25%,2%,5%,0%,94%,0%,0%,93%,83%,0%,,0%,0%
P.S. 184M Shuang Wen,98%,1%,2%,88%,97%,94%,2%,99%,1%,3%,99%,91%,21%,97%,0%,3%,1%,3%,2%,98%,0%,3%,98%,93%,97%,,100%,0%
Kurt Hahn Expeditionary Learning School,93%,0%,0%,77%,100%,71%,0%,77%,0%,0%,100%,79%,36%,85%,0%,,0%,0%,0%,100%,21%,0%,100%,86%,0%,,0%,0%
"Ballet Tech, Nyc Public School For Dance",98%,0%,0%,97%,94%,97%,3%,98%,0%,0%,100%,94%,17%,98%,0%,0%,2%,5%,0%,100%,0%,3%,97%,95%,97%,,0%,0%
Earth School,90%,7%,6%,94%,86%,87%,10%,96%,2%,1%,98%,94%,13%,96%,0%,12%,1%,11%,1%,94%,0%,10%,90%,87%,90%,,100%,0%
School Of The Future High School,97%,6%,7%,78%,90%,85%,5%,92%,4%,3%,98%,75%,22%,96%,0%,9%,2%,5%,0%,93%,15%,0%,95%,85%,0%,,0%,0%
"School For Human Rights, The",99%,6%,7%,85%,94%,85%,3%,98%,3%,3%,97%,79%,31%,95%,0%,14%,5%,6%,0%,93%,14%,0%,97%,92%,0%,,0%,0%
P.S. 033 Timothy Dwight,88%,5%,3%,95%,95%,93%,5%,96%,3%,3%,98%,95%,22%,95%,5%,3%,4%,6%,7%,97%,0%,8%,95%,88%,92%,,100%,0%
P.S. 068 Bronx,96%,4%,3%,92%,96%,94%,3%,96%,2%,5%,98%,94%,26%,96%,0%,8%,4%,4%,9%,97%,0%,4%,97%,92%,96%,,100%,0%
P.S. 048 Mapleton,95%,5%,3%,88%,94%,96%,6%,98%,2%,2%,97%,95%,37%,98%,0%,0%,3%,7%,2%,97%,0%,6%,94%,94%,94%,,100%,0%
Alfred E. Smith Career And Technical Education High School,100%,0%,0%,88%,100%,88%,0%,93%,0%,0%,100%,94%,12%,94%,0%,8%,0%,6%,0%,100%,6%,0%,100%,94%,0%,,0%,0%
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,97%,3%,3%,94%,97%,97%,0%,97%,0%,6%,100%,91%,34%,97%,,0%,0%,0%,50%,97%,0%,10%,100%,97%,90%,,,
P.S. 124 Silas B. Dutcher,96%,5%,3%,94%,99%,96%,3%,99%,4%,0%,98%,90%,24%,97%,0%,0%,3%,1%,5%,97%,0%,14%,97%,95%,86%,,100%,0%
I.S. 303 Herbert S. Eisenberg,92%,7%,5%,80%,92%,85%,6%,91%,7%,6%,92%,81%,45%,95%,0%,6%,7%,8%,0%,95%,0%,0%,94%,84%,0%,,0%,0%
P.S. 102 The Bayview,96%,6%,6%,89%,87%,90%,5%,95%,6%,4%,96%,96%,38%,98%,0%,9%,3%,8%,6%,94%,0%,8%,95%,90%,92%,,0%,0%
P.S./M.S. 031 The William Lloyd Garrison,98%,1%,1%,96%,99%,99%,1%,99%,1%,2%,98%,93%,25%,97%,0%,5%,2%,1%,2%,99%,0%,2%,99%,99%,98%,,100%,0%
Science And Technology Academy: A Mott Hall School,98%,2%,2%,96%,97%,95%,1%,96%,2%,1%,98%,93%,9%,98%,0%,0%,4%,4%,0%,98%,0%,0%,99%,95%,0%,,0%,0%
Bronx Community High School,100%,0%,0%,100%,100%,89%,0%,83%,0%,0%,100%,100%,38%,100%,0%,,12%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
E.S.M.T- I.S. 190,97%,0%,0%,91%,89%,100%,0%,100%,0%,0%,100%,97%,22%,97%,0%,9%,0%,3%,0%,100%,0%,0%,100%,97%,0%,,0%,0%
P.S. 121 Nelson A. Rockefeller,100%,6%,5%,94%,92%,98%,10%,97%,5%,2%,98%,87%,16%,98%,0%,5%,2%,8%,2%,95%,0%,9%,90%,97%,91%,,0%,0%
Bronx Collegiate Academy,100%,0%,0%,86%,92%,93%,0%,100%,0%,0%,100%,93%,7%,100%,0%,,0%,0%,0%,100%,14%,0%,100%,100%,0%,,0%,0%
P.S. 38 Roberto Clemente,92%,15%,15%,94%,94%,93%,5%,97%,7%,5%,94%,93%,30%,98%,0%,18%,5%,3%,11%,85%,0%,10%,95%,91%,90%,,100%,0%
Neighborhood School,91%,13%,12%,91%,84%,86%,6%,91%,7%,9%,97%,93%,14%,91%,5%,12%,1%,6%,11%,88%,0%,22%,94%,86%,78%,,89%,11%
M.S. 246 Walt Whitman,94%,15%,13%,85%,91%,81%,7%,93%,12%,12%,89%,90%,28%,98%,0%,0%,15%,9%,0%,87%,0%,0%,93%,81%,0%,,0%,0%
The Boerum Hill School For International Studies,85%,14%,10%,81%,85%,78%,8%,93%,11%,5%,93%,75%,24%,96%,0%,22%,2%,9%,0%,90%,22%,0%,92%,76%,0%,,0%,0%
Brooklyn Frontiers High School,100%,0%,0%,91%,89%,100%,0%,100%,0%,9%,100%,73%,36%,100%,0%,0%,0%,0%,0%,100%,9%,0%,100%,100%,0%,,0%,0%
P.S. 011 Purvis J. Behan,95%,4%,4%,96%,94%,94%,2%,97%,2%,2%,98%,97%,4%,98%,0%,15%,1%,2%,5%,96%,0%,4%,98%,93%,96%,,100%,0%
Bronx Writing Academy,95%,3%,3%,90%,97%,90%,5%,94%,3%,2%,100%,88%,30%,95%,0%,0%,0%,14%,0%,97%,0%,0%,95%,92%,0%,,0%,0%
Brooklyn Lab School,96%,0%,0%,86%,100%,93%,0%,96%,0%,0%,97%,93%,34%,96%,0%,0%,0%,0%,0%,100%,0%,0%,100%,97%,0%,,0%,0%
High School For Medical Professions,100%,4%,4%,69%,82%,89%,15%,89%,4%,4%,93%,83%,21%,92%,0%,,4%,14%,0%,96%,21%,0%,85%,89%,0%,,0%,0%
Brooklyn High School Of The Arts,96%,0%,0%,95%,96%,88%,2%,100%,3%,0%,100%,88%,17%,96%,0%,9%,0%,0%,0%,100%,7%,0%,98%,85%,0%,,0%,0%
P.S. 288 The Shirley Tanyhill,100%,7%,0%,93%,100%,93%,0%,92%,0%,0%,100%,100%,13%,93%,0%,,0%,0%,25%,100%,0%,0%,100%,93%,100%,,0%,0%
P.S. 212 Midtown West,95%,4%,4%,92%,95%,90%,2%,97%,1%,2%,97%,94%,6%,95%,0%,8%,2%,2%,7%,96%,0%,15%,98%,94%,85%,,100%,0%
Life Sciences Secondary School,97%,0%,0%,84%,100%,84%,0%,91%,0%,0%,84%,78%,53%,97%,0%,0%,16%,0%,0%,100%,13%,0%,100%,94%,0%,,0%,0%
"New Explorations Into Science, Technology And Math High School",96%,4%,4%,83%,94%,90%,3%,95%,4%,2%,98%,88%,11%,96%,0%,14%,2%,5%,4%,96%,6%,6%,97%,92%,94%,,0%,0%
Elijah Stroud Middle School,98%,3%,3%,98%,98%,98%,3%,100%,2%,3%,93%,88%,17%,98%,0%,0%,5%,2%,0%,97%,0%,0%,97%,98%,0%,,0%,0%
P.S. 242 - The Young Diplomats Magnet Academy,97%,6%,3%,92%,95%,89%,6%,91%,5%,5%,97%,88%,24%,92%,0%,12%,3%,6%,11%,97%,0%,10%,94%,94%,90%,,100%,0%
Academy Of Innovative Technology,100%,3%,0%,91%,97%,91%,3%,94%,0%,9%,100%,94%,14%,94%,0%,0%,0%,6%,0%,100%,17%,0%,97%,97%,0%,,0%,0%
Knowledge And Power Preparatory Academy International High School (Kappa),99%,2%,1%,90%,98%,92%,1%,98%,4%,2%,97%,90%,16%,100%,0%,13%,3%,2%,0%,99%,6%,0%,99%,92%,0%,,0%,0%
New York City Lab Middle School For Collaborative Studies,94%,6%,5%,70%,93%,83%,4%,92%,4%,2%,98%,80%,22%,96%,0%,6%,2%,3%,0%,95%,0%,0%,96%,86%,0%,,0%,0%
I.S. 392,98%,3%,2%,75%,98%,84%,1%,95%,1%,4%,97%,93%,16%,95%,0%,0%,1%,1%,0%,98%,0%,0%,99%,91%,0%,,0%,0%
Parkside Preparatory Academy,90%,9%,7%,81%,95%,82%,2%,91%,1%,4%,97%,90%,14%,97%,0%,7%,1%,7%,0%,93%,0%,0%,98%,81%,0%,,0%,0%
Brooklyn Institute For Liberal Arts,92%,8%,6%,88%,93%,91%,7%,98%,3%,2%,97%,91%,25%,95%,0%,12%,2%,5%,0%,94%,11%,0%,93%,92%,0%,,0%,0%
I.S. 915,92%,1%,3%,79%,96%,77%,1%,93%,3%,4%,97%,85%,22%,92%,0%,17%,1%,1%,0%,97%,0%,0%,99%,84%,0%,,0%,0%
A-Tech High School,97%,3%,3%,87%,100%,92%,2%,100%,0%,1%,97%,79%,31%,95%,0%,12%,1%,1%,0%,97%,10%,0%,98%,97%,0%,,0%,0%
Eagle Academy For Young Men Of Harlem,100%,0%,0%,88%,100%,100%,0%,100%,0%,0%,94%,81%,6%,94%,0%,,0%,0%,0%,100%,9%,0%,100%,100%,0%,,0%,0%
Renaissance School Of The Arts,100%,7%,7%,87%,100%,87%,0%,93%,7%,0%,93%,80%,13%,93%,0%,0%,7%,0%,0%,93%,0%,0%,100%,80%,0%,,0%,0%
Bard High School Early College,99%,2%,2%,74%,99%,91%,2%,94%,3%,2%,98%,78%,22%,98%,0%,11%,2%,1%,0%,98%,2%,0%,98%,94%,0%,,0%,0%
P.S. X088 - S. Silverstein Little Sparrow School,100%,0%,0%,97%,100%,100%,0%,100%,0%,0%,100%,100%,3%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,100%,,0%,0%
Community Action School - Ms 258,97%,0%,0%,90%,100%,97%,0%,96%,4%,0%,100%,89%,34%,97%,0%,12%,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Creston Academy,97%,4%,2%,84%,97%,94%,4%,94%,3%,2%,98%,84%,13%,98%,0%,12%,2%,3%,0%,98%,0%,0%,96%,93%,0%,,0%,0%
P.S. 019 Asher Levy,100%,3%,3%,100%,94%,97%,5%,97%,3%,3%,99%,97%,16%,99%,,0%,1%,4%,3%,97%,0%,3%,95%,97%,97%,,,
P.S. 112 Bronxwood,92%,8%,6%,98%,91%,96%,7%,96%,4%,2%,96%,94%,15%,94%,0%,13%,6%,6%,20%,94%,0%,12%,93%,88%,88%,,100%,0%
P.S. 028 Mount Hope,91%,7%,7%,88%,96%,89%,5%,93%,6%,7%,93%,89%,23%,95%,0%,3%,11%,6%,9%,93%,0%,7%,95%,86%,93%,,100%,0%
Medgar Evers College Preparatory School,69%,21%,11%,74%,84%,68%,16%,82%,8%,17%,94%,84%,7%,90%,0%,,6%,18%,0%,89%,15%,0%,84%,66%,0%,,0%,0%
World Academy For Total Community Health High School,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,100%,83%,33%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Spring Creek Community School,88%,16%,13%,75%,90%,78%,3%,88%,0%,12%,97%,81%,22%,93%,0%,0%,0%,0%,0%,87%,15%,0%,97%,81%,0%,,0%,0%
P.S. 016 Leonard Dunkly,100%,0%,0%,94%,96%,97%,4%,98%,0%,1%,100%,94%,21%,97%,0%,15%,0%,2%,9%,100%,0%,7%,96%,98%,93%,,0%,0%
P.S. 506: The School Of Journalism & Technology,95%,5%,2%,83%,97%,89%,2%,100%,0%,2%,98%,94%,38%,95%,0%,0%,3%,4%,4%,98%,0%,9%,98%,88%,91%,,0%,0%
The Anderson School,82%,17%,13%,86%,71%,88%,14%,95%,7%,4%,96%,90%,6%,93%,0%,25%,1%,17%,6%,87%,0%,7%,86%,86%,93%,,0%,0%
P.S. 177 The Marlboro,97%,2%,2%,90%,97%,92%,3%,96%,3%,2%,97%,96%,25%,96%,0%,9%,6%,3%,5%,98%,0%,9%,97%,91%,91%,,100%,0%
The Seeall Academy,96%,3%,2%,83%,96%,90%,2%,96%,3%,2%,96%,90%,41%,97%,0%,3%,4%,4%,3%,98%,0%,3%,98%,92%,97%,,100%,0%
P.S. 015 Patrick F. Daly,100%,0%,0%,93%,100%,97%,0%,96%,0%,0%,100%,87%,10%,100%,0%,0%,0%,0%,0%,100%,0%,4%,100%,97%,96%,,100%,0%
