name_prog1,swdseats_prog10,bbl,geappsperseat_prog2,code_prog6,priority3_prog1,priority2_prog2,geappsperseat_prog3,name_prog4,othersports,priority4_prog2,bus,gefilled_prog14,geseats_prog1,swdapps_prog2,swdappsperseat_prog3,url,priority2_prog1,swdseats_prog12,community_board,geapps_prog7,swdapps_prog5,priority3_prog2,geseats_prog11,admissionsmethod_prog14,gefilled_prog1,geapps_prog10,swdappsperseat_prog10,geappsperseat_prog7,swdappsperseat_prog11,priority2_prog7,geappsperseat_prog10,priority1_prog8,code_prog13,geseats_prog14,admissionsmethod_prog9,nta,swdseats_prog15,swdseats_prog3,geseats_prog12,geseats_prog8,swdfilled_prog15,priority2_prog6
P.S./M.S. 46 - The Arthur Tappan School,,,,,Then to District 5 students and residents,,,,"Cross Country, Fitness Club, Track and Field",,"Bx13, Bx6, M10, M100, M101, M2, M3, M4, M5",,54.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9354'},Then to residents of the elementary school zone,,,,,,,,N,,,,,,,,,,,,,,,,,
"Science, Technology, and Research Early College School at Erasmus",,3051030010.0,,,,,,,"Badminton, Basketball, Cheerleading, Fitness Club, Flag Football, Running Club, Soccer, Table Tennis, Track and Field, Volleyball",,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,70.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10914'},Then to Brooklyn students and residents,,314.0,,,,,,Y,,,,,,,,,,,Erasmus,,,,,,
Jordan L. Mott (M.S. 22),,2024380050.0,,,Then to Bronx students and residents,,,,"Fitness Club, Rugby",,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,122.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9833'},Then to District 9 students and residents,,204.0,,,,,,N,,,,,,,,,,,East Concourse-Concourse Village,,,,,,
A. Philip Randolph (P.S./I.S. 76),,1019260017.0,,,Then to District 3 students and residents,,,,"Football, Lacrosse",,"Bx15, BxM3, BxM4, M1, M10, M100, M101, M102, M104, M11, M116, M2, M3, M60-SBS, M7",,48.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9131'},Then to residents of the elementary school zone,,110.0,,,,,,N,,,,,,,,,,,Central Harlem South,,,,,,
Virgil I. Grissom (J.H.S. 226),,4117140100.0,,,,,,,,,"Q10, Q37, Q7, Q9, QM18",,250.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12179'},,,410.0,,,,,,N,,,,,,,,,,,South Ozone Park,,,,,,
"The Queens College School for Math, Science, and Technology",,4065070150.0,,,,,,,"Basketball, Handball, Softball, Volleyball",,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q88",,54.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11937'},,,408.0,,,,,,Y,,,,,,,,,,,Kew Gardens Hills,,,,,,
Sunset Park Preparatory,,3007130020.0,,,,,,,"Basketball, Cross Country, Soccer, Track and Field, Volleyball",,"B11, B35, B37, B63, B70",,144.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10721'},,,307.0,,,,,,Y,,,,,,,,,,,Sunset Park West,,,,,,
M.S. 890,,3053420006.0,,,,,,,"Basketball, Cheerleading, Soccer, Volleyball",,"B103, B16, B35, B68, BM3, BM4",,81.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11562'},,,312.0,,,,,,Y,,,,,,,,,,,Kensington-Ocean Parkway,,,,,,
Professional Performing Arts School,,1010380014.0,,,,,,,,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",,24.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9025'},,,104.0,,,,,,Y,,,,,,,,,,,Clinton,,,,,,
Ballet Tech,,1008487502.0,,,,,,,Dance,,"BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M20, M23, M3, M34A-SBS, M5, M7, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,24.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9043'},,,105.0,,,,,,Y,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,
