ell_chinese_2,ell_hatian_creole_2,black_2,female_2,hispanic_1,hispanic_2,ela_level_4_2
,,s,0.4583333333333333,46,0.9583333333333334,s
,,s,s,s,s,
,,s,0.5,14,0.875,s
s,s,s,0.4444444444444444,27,1,s
s,s,s,0.625,s,s,
,,s,s,6,0.8571428571428571,
,,s,0.5208333333333334,48,1,s
s,s,s,0.4444444444444444,26,0.9629629629629629,s
,,s,s,13,1,s
s,s,s,0.34375,31,0.96875,s
,,s,s,s,s,
,,s,0.47619047619047616,s,s,0.391304347826087
,,s,s,7,1,s
,,s,0.5263157894736842,19,1,s
,,s,s,s,s,s
,,s,s,s,s,
,,s,s,s,s,
,,s,0.44,25,1,s
,,s,s,s,s,s
s,s,s,s,8,0.6666666666666666,s
s,s,s,0.48333333333333334,60,1,s
,,s,0.5294117647058824,67,0.9852941176470589,s
s,s,s,s,s,s,
s,s,s,s,s,s,s
s,s,s,s,6,0.8571428571428571,
s,s,s,0.5512820512820513,78,1,s
,,s,0.42105263157894735,17,0.8947368421052632,
,,s,s,10,1,
,,s,s,s,s,s
s,s,s,0.5,66,1,s
,,s,s,s,s,s
,,0.048484848484848485,0.5636363636363636,43,0.2606060606060606,0.5952380952380952
,,s,0.34375,31,0.96875,s
s,s,s,0.4380952380952381,105,1,s
,,s,0.4461538461538462,64,0.9846153846153847,s
,,s,s,s,s,s
,,s,s,6,1,s
,,s,0.5789473684210527,19,1,s
s,s,s,0.4953271028037383,212,0.9906542056074766,s
,,s,0.5,70,0.9722222222222222,s
,,0.875,s,s,s,0.5333333333333333
,,s,0.48951048951048953,142,0.993006993006993,s
,,s,s,s,s,
,,s,s,6,1,
s,s,s,0.59375,32,1,s
,,s,0.4032258064516129,62,1,s
,,s,0.65,20,1,
,,s,s,s,s,s
,,s,s,s,s,s
s,s,s,s,s,s,
0.8823529411764706,s,s,0.5686274509803921,s,s,s
,,s,s,s,s,
,,s,0.4,20,1,s
,,s,s,s,s,s
,,s,0.47058823529411764,17,1,s
,,s,0.5555555555555556,61,0.9682539682539683,s
,,s,s,s,s,s
,,s,0.5,s,s,s
,,s,s,s,s,
,,s,s,s,s,
,,s,0.48333333333333334,59,0.9833333333333333,s
,,0.9444444444444444,0.3888888888888889,s,s,s
,,s,0.45161290322580644,31,1,s
,,s,s,6,1,
s,s,s,s,9,1,
s,s,s,0.4583333333333333,24,1,s
,,s,s,s,s,s
,,s,s,13,1,s
s,s,s,s,s,s,
s,s,s,0.45,s,s,s
,,s,0.38144329896907214,s,s,s
s,s,s,s,s,s,s
,,s,s,11,0.8461538461538461,
,,s,0.5094339622641509,52,0.9811320754716981,s
,,s,s,s,s,s
,,s,s,s,s,s
,,s,0.3111111111111111,43,0.9555555555555556,s
,,s,s,s,s,s
,,0.7959183673469388,0.5170068027210885,12,0.08163265306122448,0.3287671232876712
,,s,s,s,s,
,,s,s,6,0.75,s
,,s,s,s,s,s
,,s,0.43243243243243246,s,s,s
,,s,0.625,22,0.9166666666666666,s
,,0.35294117647058826,0.39705882352941174,44,0.6470588235294118,s
,,s,s,s,s,
s,s,s,0.5833333333333334,36,1,
,,s,s,11,1,s
,,s,s,s,s,s
,,s,s,s,s,
,,s,0.4444444444444444,36,1,s
,,s,0.5,14,1,s
,,s,s,s,s,
,,s,0.5306122448979592,31,0.2108843537414966,0.4782608695652174
,,s,0.42105263157894735,17,0.8947368421052632,
,,s,s,s,s,
s,s,s,0.5,14,0.875,s
