id,_fivetran_synced,created_at,name,project_id
1140999428608226NORMAL,2021-03-22 14:21:15,2019-09-21 22:25:14,Section 51,1142815262788845
1140999428608227EASY,2021-03-22 14:21:14,2019-09-21 22:25:21,Section 52,1142815262788898
1140999428608228NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:04,Section 53,1142815262788909
1140999428608229NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:27,Section 54,1142815262788904
1140999428608230EASY,2021-03-22 14:21:04,2019-09-21 22:25:35,Section 55,1142815262788865
1140999428608231NORMAL,2021-03-22 14:21:18,2019-09-21 22:25:26,Section 56,1142815262788900
1140999428608232EASY,2021-03-22 14:21:03,2019-09-21 22:26:02,Section 57,1103976536247089
1140999428608233EASY,2021-03-22 14:21:03,2019-09-21 22:25:26,Section 58,1142815262788871
1140999428608234HARD,2021-03-22 14:21:14,2019-09-21 22:25:04,Section 59,1133789517942526
1140999428608235EASY,2021-03-22 14:21:14,2019-09-21 22:25:27,Section 60,1142815262788918
1140999428608236EASY,2021-03-22 14:21:11,2019-09-21 22:25:31,Section 61,1142815262788873
1140999428608237HARD,2021-03-22 14:21:16,2019-09-21 22:25:27,Section 62,1142815262788908
1140999428608238EASY,2021-03-22 14:21:03,2019-09-21 22:25:35,Section 63,1142815262788894
1140999428608239HARD,2021-03-22 14:21:08,2019-09-21 22:25:27,Section 64,1142815262788915
1140999428608240EASY,2021-03-22 14:21:03,2019-09-21 22:25:35,Section 65,1142815262788916
1140999428608241NORMAL,2021-03-22 14:21:15,2019-09-21 22:25:04,Section 66,1142815262788869
1140999428608242EASY,2021-03-22 14:21:06,2019-09-21 22:25:31,Section 67,1142815262788883
1140999428608243EASY,2021-03-22 14:21:03,2019-09-21 22:26:19,Section 68,1142815262788864
1140999428608244EASY,2021-03-22 14:21:14,2019-09-21 22:25:21,Section 69,1142815262788869
1140999428608245HARD,2021-03-22 14:21:11,2019-09-21 22:26:02,Section 70,1103976536247089
1140999428608246HARD,2021-03-22 14:21:03,2019-09-21 22:25:35,Section 71,1142815262788862
1140999428608247NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:04,Section 72,1142815262788839
1140999428608248EASY,2021-03-22 14:21:18,2019-09-21 22:25:26,Section 73,1142815262788911
1140999428608249HARD,2021-03-22 14:21:11,2019-09-21 22:25:31,Section 74,339036947888918
1140999428608250NORMAL,2021-03-22 14:21:14,2019-09-21 22:26:02,Section 75,994480050688368
1140999428608251NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:27,Section 76,1142815262788838
1140999428608252EASY,2021-03-22 14:21:18,2019-09-21 22:25:39,Section 77,1133789517942526
1140999428608253NORMAL,2021-03-22 14:21:11,2019-09-21 22:25:26,Section 78,1142815262788876
1140999428608254NORMAL,2021-03-22 14:21:11,2019-09-21 22:25:21,Section 79,1142815262788875
1140999428608255EASY,2021-03-22 14:21:04,2019-09-21 22:26:19,Section 80,1142815262788858
1140999428608256HARD,2021-03-22 14:21:11,2019-09-21 22:25:31,Section 81,1142815262788894
1140999428608257EASY,2021-03-22 14:21:14,2019-09-21 22:26:19,Section 82,1142815262788877
1140999428608258EASY,2021-03-22 14:21:04,2019-09-21 22:25:21,Section 83,1142815262788837
1140999428608259NORMAL,2021-03-22 14:21:03,2019-09-21 22:25:14,Section 84,1142815262788892
1140999428608260HARD,2021-03-22 14:21:14,2019-09-21 22:25:04,Section 85,1142815262788914
1140999428608261EASY,2021-03-22 14:21:14,2019-09-21 22:26:19,Section 86,1142815262788855
1140999428608262EASY,2021-03-22 14:21:08,2019-09-21 22:25:27,Section 87,1142815262788841
1140999428608263HARD,2021-03-22 14:21:08,2019-09-21 22:26:19,Section 88,1142815262788882
1140999428608264EASY,2021-03-22 14:21:15,2019-09-21 22:25:21,Section 89,1142815262788912
1140999428608265HARD,2021-03-22 14:21:18,2019-09-21 22:25:35,Section 90,1142815262788887
1140999428608266HARD,2021-03-22 14:21:18,2019-09-21 22:26:02,Section 91,1142815262788852
1140999428608267NORMAL,2021-03-22 14:21:18,2019-09-21 22:25:39,Section 92,1142815262788886
1140999428608268NORMAL,2021-03-22 14:21:16,2019-09-21 22:25:31,Section 93,1142815262788866
1140999428608269NORMAL,2021-03-22 14:21:06,2019-09-21 22:25:04,Section 94,339282757803825
1140999428608270EASY,2021-03-22 14:21:03,2019-09-21 22:25:04,Section 95,1142815262788910
1140999428608271HARD,2021-03-22 14:21:18,2019-09-21 22:26:02,Section 96,1142815262788855
1140999428608272NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:26,Section 97,1142815262788851
1140999428608273NORMAL,2021-03-22 14:21:03,2019-09-21 22:25:27,Section 98,1142815262788902
1140999428608274EASY,2021-03-22 14:21:15,2019-09-21 22:25:04,Section 99,1142815262788836
1140999428608275NORMAL,2021-03-22 14:21:03,2019-09-21 22:25:36,Section 100,1142815262788845
