ten,semp_adj,intp_adj,wkw,est_commuting,cit,wkhp,est_heap,off_pov_stat,schg
1,0.0,0.0,,0.0,4,0,50,2,0
3,0.0,0.0,52.0,1083.41666666667,2,35,0,2,0
2,0.0,0.0,52.0,11241.25,4,60,0,2,0
2,0.0,0.0,52.0,1988.5,4,50,0,2,0
3,3050.361,0.0,52.0,1488.96,5,10,0,2,0
2,0.0,0.0,52.0,4109.56666666667,4,50,0,2,0
3,0.0,0.0,52.0,1880.0,5,40,50,2,0
2,16268.592,9151.083,20.0,541.44,1,10,0,2,0
3,0.0,0.0,,0.0,1,0,0,2,0
3,0.0,0.0,52.0,940.0,5,40,0,2,0
3,0.0,0.0,,1278.4,1,0,0,2,0
3,0.0,0.0,,0.0,4,0,50,1,0
1,0.0,0.0,12.0,0.0,1,50,0,2,0
3,0.0,0.0,,752.0,5,0,0,2,7
3,0.0,0.0,,1657.08333333333,5,0,0,2,0
3,0.0,0.0,52.0,0.0,1,40,0,2,0
3,0.0,0.0,52.0,2651.33333333333,2,40,0,2,0
3,0.0,0.0,20.0,2364.5,1,40,0,2,0
1,0.0,0.0,45.0,1955.2,4,50,0,2,0
1,0.0,0.0,52.0,497.125,5,40,0,2,0
3,0.0,0.0,,3981.91666666667,5,0,50,2,4
3,0.0,0.0,,2651.33333333333,5,0,0,2,0
3,0.0,0.0,,1316.0,5,0,0,2,0
1,9252.7617,0.0,52.0,4630.8,1,35,0,2,0
3,0.0,0.0,,2364.5,1,0,0,2,5
1,0.0,0.0,48.0,1278.4,1,40,0,2,0
3,0.0,0.0,,4297.56,1,0,0,2,4
3,0.0,0.0,52.0,4917.0,1,40,0,2,0
1,7117.509,0.0,52.0,8000.0,1,40,0,2,0
2,0.0,203.3574,,331.416666666667,1,0,0,2,6
3,0.0,0.0,,0.0,1,0,0,1,0
3,0.0,0.0,52.0,463.983333333333,5,30,0,1,0
3,0.0,0.0,52.0,1692.0,5,30,0,2,0
1,10574.5848,0.0,52.0,1789.65,4,25,0,2,0
2,0.0,0.0,52.0,298.275,1,20,0,2,0
1,0.0,0.0,52.0,1198.15,1,50,0,2,0
2,0.0,40.67148,17.0,1394.96,1,20,0,2,0
3,0.0,0.0,52.0,2256.0,1,50,0,2,0
3,0.0,26436.462,52.0,0.0,1,36,0,2,0
3,0.0,0.0,,463.983333333333,1,0,0,1,0
3,0.0,0.0,,0.0,4,0,0,2,0
1,0.0,0.0,52.0,3738.8,1,60,0,2,0
1,0.0,0.0,,1153.33,1,0,0,2,3
3,0.0,0.0,52.0,3576.0,5,19,0,2,0
1,0.0,508.3935,,1331.04,4,0,0,2,0
2,0.0,0.0,,1565.23333333333,1,0,0,2,2
3,0.0,0.0,52.0,0.0,1,55,0,2,0
1,0.0,0.0,28.0,2128.16,4,60,0,2,0
2,0.0,0.0,52.0,1590.8,4,35,0,2,0
3,0.0,0.0,12.0,1447.628,4,35,0,2,0
4,0.0,4.067148,52.0,1316.0,4,35,0,2,0
3,0.0,0.0,52.0,940.0,1,40,50,2,0
3,0.0,0.0,,463.983333333333,1,0,0,1,0
1,0.0,0.0,50.0,5600.0,5,25,0,2,0
2,0.0,0.0,,0.0,1,0,0,1,0
2,0.0,0.0,48.0,1697.8,4,36,0,2,0
3,0.0,0.0,,0.0,2,0,0,2,0
1,56940.072,0.0,52.0,1391.95,4,60,0,2,0
3,0.0,0.0,,0.0,1,0,0,2,0
3,0.0,0.0,52.0,1128.0,1,50,0,2,0
3,0.0,0.0,52.0,752.0,4,35,0,2,0
1,0.0,1016.787,52.0,1692.0,4,35,0,2,0
3,0.0,0.0,,293.28,4,0,50,1,0
3,0.0,0.0,,1590.8,1,0,0,2,0
3,0.0,0.0,,1447.628,4,0,0,2,4
2,0.0,0.0,52.0,11241.25,5,50,0,2,0
1,0.0,0.0,,2829.856,1,0,0,2,0
3,0.0,0.0,,376.0,1,0,0,1,4
3,0.0,0.0,52.0,1128.0,4,45,0,2,0
1,0.0,0.0,52.0,3021.53333333333,1,35,0,2,7
3,0.0,2033.574,,0.0,5,0,0,1,0
1,0.0,0.0,,1316.0,1,0,0,2,4
3,0.0,0.0,30.0,564.0,4,40,0,2,0
1,0.0,203.3574,50.0,1128.0,1,40,0,2,0
2,0.0,0.0,50.0,1149.7,1,35,0,2,0
3,0.0,0.0,40.0,752.0,1,40,0,1,0
3,0.0,0.0,30.0,338.4,1,20,0,1,0
1,0.0,0.0,52.0,4566.29,4,25,0,2,0
3,0.0,0.0,,940.0,5,0,0,2,0
3,0.0,0.0,48.0,1263.36,4,60,50,1,0
1,0.0,0.0,52.0,2128.16,4,40,0,2,0
2,0.0,20335.74,,0.0,4,0,0,2,0
3,0.0,0.0,,2444.0,5,0,0,2,5
2,0.0,0.0,52.0,1988.5,1,45,0,2,0
3,0.0,0.0,,0.0,1,0,0,2,0
2,0.0,0.0,,0.0,1,0,0,1,0
3,0.0,0.0,40.0,752.0,1,40,0,2,0
3,0.0,0.0,52.0,2253.63333333333,5,40,0,2,0
1,0.0,0.0,52.0,530.266666666667,1,30,0,2,0
3,0.0,0.0,,0.0,4,0,50,1,0
1,0.0,0.0,,165.708333333333,1,0,0,2,4
1,0.0,0.0,,3922.75,1,0,0,2,0
3,0.0,0.0,,0.0,4,0,0,2,0
1,0.0,0.0,52.0,1880.0,1,35,0,2,0
3,0.0,0.0,,0.0,4,0,50,2,0
1,0.0,0.0,52.0,2248.48,4,70,50,2,0
3,0.0,0.0,52.0,1128.0,1,48,50,2,0
3,0.0,0.0,,940.0,1,0,0,2,0
2,0.0,0.0,44.0,827.2,5,40,0,2,0
3,0.0,0.0,,2253.63333333333,5,0,0,2,3
3,0.0,0.0,,0.0,1,0,0,1,0
2,0.0,0.0,,2000.0,4,0,0,2,0
3,0.0,0.0,,45.12,1,0,40,2,5
3,0.0,0.0,52.0,0.0,1,24,50,1,0
3,0.0,0.0,52.0,994.25,1,40,0,2,0
1,31317.0396,0.0,52.0,4566.29,4,25,0,2,0
1,0.0,0.0,,2014.84733333333,1,0,0,2,5
1,8134.296,0.0,40.0,2128.16,5,25,0,2,0
3,0.0,0.0,48.0,902.4,5,40,0,2,0
2,0.0,203.3574,52.0,331.416666666667,1,36,0,2,0
2,0.0,0.0,,0.0,1,0,0,2,0
1,0.0,0.0,,5600.0,3,0,0,2,3
2,0.0,0.0,,4109.56666666667,4,0,0,2,0
1,-5083.935,0.0,19.0,500.08,1,60,0,1,0
1,0.0,0.0,52.0,165.708333333333,1,40,0,2,0
3,0.0,0.0,,0.0,1,0,0,2,0
3,0.0,0.0,,0.0,5,0,0,1,0
2,0.0,4372.1841,,0.0,1,0,0,2,0
2,0.0,0.0,12.0,338.4,4,40,0,1,6
1,0.0,0.0,52.0,3272.684,1,60,0,2,0
3,0.0,0.0,,2783.9,1,0,0,2,0
3,0.0,0.0,52.0,188.0,4,4,0,2,0
3,0.0,0.0,,752.0,1,0,0,1,4
3,0.0,0.0,,0.0,1,0,0,1,5
1,0.0,50.83935,52.0,3165.8,1,45,0,2,0
1,0.0,0.0,52.0,1670.34,1,35,0,2,6
1,0.0,0.0,,376.0,1,0,0,2,0
4,0.0,0.0,52.0,940.0,5,40,0,2,0
1,0.0,0.0,,0.0,1,0,0,1,5
