rel,famtype_pu,est_povgap,ds,sex,est_ficatax
2,4,7700.2681,1,2,0.0
6,4,0.0,2,1,4550.37602175
0,8,0.0,2,2,4589.2681245
0,1,0.0,2,2,15323.4884835
0,8,0.0,2,2,4744.8365355
0,8,1807.9631,1,2,0.0
0,6,0.0,2,2,4667.05233
2,1,0.0,2,1,10111.946715
0,2,0.0,2,1,9459.7572655647
2,2,0.0,2,2,5600.462796
7,3,8905.0742,2,2,1011.1946715
2,4,0.0,2,1,1944.6051375
2,1,0.0,2,1,7664.9333941755
2,1,0.0,2,2,21546.2249235
2,4,0.0,2,2,560.30296747815
2,1,0.0,2,1,4058.25868881315
0,8,0.0,2,1,14778.999045
2,1,0.0,2,2,4822.620741
0,5,2691.1775,2,1,2722.4471925
2,4,0.0,2,1,2675.7766692
0,2,0.0,2,1,1555.68411
2,2,0.0,2,2,7000.578495
5,4,0.0,0,2,1011.1946715
0,4,10450.1,2,2,0.0
0,8,5110.1523,1,2,0.0
0,1,0.0,2,2,7000.578495
1,2,0.0,1,2,855.6262605
2,1,0.0,2,1,13223.314935
2,1,0.0,0,1,1617.9114744
0,8,0.0,2,2,5833.8154125
2,1,0.0,2,2,3578.073453
1,2,0.0,2,2,16101.3305385
0,4,0.0,2,2,2224.6282773
0,8,630.89612,2,1,0.0
0,8,0.0,2,2,241.13103705
1,1,0.0,2,2,16568.0357715
0,2,292.53064,2,1,0.0
0,8,0.0,2,1,5055.9733575
1,1,0.0,2,1,15323.4884835
0,2,0.0,2,1,4108.8884281731
0,2,0.0,2,2,3282.4934721
2,4,0.0,2,1,2224.6282773
