ela_l3_l4_2,ell_russian_2,black_1,ela_level_4_1,math_level_4_1,ela_test_takers,math_level_1_2,grade_7,male_1,school_name,other_1,ell_urdu_1,math_level_3_1,ell_urdu_2,grade_2,ell_arabic_2
s,,s,s,s,s,s,,s,Professor Juan Bosch Public School,s,,s,,,
s,,s,s,s,12,0.8333333333333334,,15,"P.S. 145, The Bloomingdale School",s,,s,,6,
,,s,,,,,,s,P.S. 015 Roberto Clemente,s,,,,s,
,,s,,,,,,s,P.S. 149 Danny Kaye,s,,,,s,
,,s,,,,,,s,Washington Heights Expeditionary Learning School,s,,,,,
0.9529411764705882,,12,111,144,170,s,,165,The Anderson School,27,,22,,56,
s,,s,s,s,s,s,,s,Brooklyn Arts and Science Elementary School,s,,s,,s,
s,s,s,s,s,13,0.46153846153846156,,s,P.S. 130 Abram Stevens Hewitt,s,s,s,s,,s
s,,s,s,s,124,0.7737226277372263,31,97,P.S. 089 Cypress Hills,s,,s,,16,
s,,s,s,s,14,s,,22,P.S. 200 Benson School,s,,6,,11,
0.8333333333333334,,19,8,19,30,s,,31,P.S. 204 Morris Heights,s,,6,,23,
0.9464285714285714,,42,34,42,56,s,,85,P.S. 038 The Pacific,7,,13,,39,
s,,s,s,s,s,s,,s,Corona Arts and Sciences Academy,s,,s,,,
0.9534883720930233,,s,45,74,86,s,,93,P.S. 204 Vince Lombardi,s,,11,,32,
,,s,,,,,,s,P.S. 150 Queens,s,,,,,
,,s,,,,,,s,P.S. 059 William Floyd,s,,,,,
s,,s,s,s,s,s,,s,P.S. 020 Anna Silver,s,,s,,s,
,s,s,,,,,,s,P.S. 345 Patrolman Robert Bolden,s,s,,s,,s
,,s,,,,,,s,P.S. 015 Roberto Clemente,s,,,,s,
s,,s,s,s,s,s,,s,Professor Juan Bosch Public School,s,,s,,,
0.9454545454545454,,s,21,40,55,s,,58,P.S./I.S. 217 Roosevelt Island,s,,11,,33,
s,,s,s,s,12,1,,15,Urban Scholars Community School,s,,s,,s,
,s,s,,,,,,s,Bedford Park Elementary School,s,s,,s,,s
s,,s,s,s,s,1,,s,P.S. 200- The James Mccune Smith School,s,,s,,s,
,,s,,,,,,s,P.S. 147 Isaac Remsen,s,,,,,
s,,s,s,s,s,s,,s,P.S. 124 Yung Wing,s,,s,,,
0.9333333333333333,,77,31,42,75,s,,61,P.S. 153 Helen Keller,6,,26,,27,
s,,s,s,s,22,0.6956521739130435,,35,P.S. 132 Juan Pablo Duarte,s,,s,,19,
s,,s,s,s,s,s,,s,Corona Arts and Sciences Academy,s,,s,,,
s,,s,s,s,8,s,,22,P.S. 280,s,,s,,10,
,s,s,,,,,,s,P.S. 196 Ten Eyck,s,s,,s,,s
s,,s,s,10,29,s,,59,P.S. 184m Shuang Wen,s,,14,,10,
,,s,,,,,,s,P.S. 059 William Floyd,s,,,,,
