segmentid,lionkey,oft,nextstep,projectcode,installationdate,projectstatus,cbletterrequestdate
90960,4572802170,413540424590424690,,SR-20241112-35546,,"Accept planning proposal of Not Feasible, Closed",
335812,3486800030,354430328830335330,,SR-20240918-32339,,"Accept planning proposal of Not Feasible, Closed",
14817,5457200030,538600541300544600,,SR-20241125-35593,,"Planning denied Pre-inspection, Closed",
4650,5464000040,538990555420525908,Awaiting Inspection Result,SR-20210326-25577,,Study Assigned to Inspector,
41989,3492400200,355330375430336930,,SR-20241119-35572,,"Accept planning proposal of Not Feasible, Closed",
19902,3892400350,306480309830309880,,SR-20240530-31761,,"Accept planning proposal of Not Feasible, Closed",
119095,4673200010,424330422390441700,,SR-20240531-31768,,"Accept planning proposal of Not Feasible, Closed",
99917,4689404020,4.26040418040418140E+17,,SR-20240923-32359,,"Accept planning proposal of Not Feasible, Closed",
59981,4630605090,421290425050454102,,SR-20210713-25978,,"Planning denied Pre-inspection, Closed",
59969,4630605060,421290424970424960,,SR-20210713-25978,,"Planning denied Pre-inspection, Closed",
52760,4578604050,414490454670454297,,SR-20240514-31680,,"Reject planning proposal of Feasible, Closed",
85606,2641601040,264220218520238620,,SR-20160803-12104,,"Accept planning proposal of Not Feasible, Closed",
63276,4648002070,422700427070427090,,SR-20230823-30429,,Denied pre-inspection - Closed,
102186,4483000040,467425452420407690,,SR-20240606-31793,,"Accept planning proposal of Not Feasible, Closed",
9433,5738400040,554530554260528610,,SR-20240227-31369,,"Accept planning proposal of Not Feasible, Closed",
98286,4368401045,458090412040450290,Pending installation queue,SR-20240405-31512,,Accept planning proposal of Feasible,
171473,4648002055,422700427050427070,,SR-20230823-30429,,Denied pre-inspection - Closed,
342456,1505502077,134870111010111110,,SR-20240918-32332,,"Accept planning proposal of Not Feasible, Closed",
65622,4179801090,440990420790497065,,SR-20150930-11084,,"Accept planning proposal of Not Feasible, Closed",
9006278,3708407100,377030310920338190,,SR-20240513-31673,,"Accept planning proposal of Not Feasible, Closed",
52747,4578604030,414490458145456630,,SR-20240514-31680,,"Reject planning proposal of Feasible, Closed",
53324,4598205070,417390420490420590,,SR-20240415-31552,,"Accept planning proposal of Not Feasible, Closed",
128117,3072803142,314130337330337380,,SR-20201215-20197,,"Planning denied Pre-inspection, Closed",
97384,4688400130,425940408190408290,Pending installation queue,SR-20231018-30814,,Accept planning proposal of Feasible,
30294,3811200135,389730393230331530,,SR-20240917-32325,,"Accept planning proposal of Not Feasible, Closed",
62552,4708403120,427225423050423080,,SR-20231215-31164,,"Accept planning proposal of Not Feasible, Closed",
88278,2344200030,235680214020278450,,SR-20240617-31841,,"Accept planning proposal of Not Feasible, Closed",
9243,5738400090,554530525845518860,,SR-20240227-31369,,"Accept planning proposal of Not Feasible, Closed",
130026,4467200037,465350412740413190,,SR-20200804-18731,,Project on-hold,2023-12-01T00:00:00.000
29359,3184000020,324430343330342730,,SR-20240913-32302,,"Accept planning proposal of Not Feasible, Closed",
96266,4571603070,413240425140425150,,SR-20150710-10481,,Denied pre-inspection - Closed,
82375,4580004110,414740445180444290,,SR-20240618-31862,,"Accept planning proposal of Not Feasible, Closed",
1777,5631200180,547575536177537380,,SR-20040517-1288,,"Reject planning proposal of Feasible, Closed",
100609,4696008070,426740418450418540,,SR-20221005-28852,,"Accept planning proposal of Not Feasible, Closed",
77030,4589400030,416140406590442490,,SR-20161230-12518,,"Accept planning proposal of Not Feasible, Closed",
88661,2116004010,216020216620235680,,SR-20241106-35533,,"Accept planning proposal of Not Feasible, Closed",
6462,5583800010,540650525925534900,,SR-20210305-25460,,"Accept planning proposal of Not Feasible, Closed",
34612,1138000100,11723011221011230720.00%,,SR-20140610-8842,2016-03-23T00:00:00.000,"Study Completed, Closed",2015-05-11T00:00:00.000
168501,3461201022,353230348330356230,,SR-20240523-31737,,"Accept planning proposal of Not Feasible, Closed",
43342,3323200030,337980374230393830,,SR-20240523-31738,,"Accept planning proposal of Not Feasible, Closed",
13339,5126600140,521950531710543600,,SR-20240507-31643,,"Planning denied Pre-inspection, Closed",
97422,4552608060,410590425440425540,,SR-20241115-35561,,"Accept planning proposal of Not Feasible, Closed",
290471,3841603060,391030310880314680,,SR-20230814-30371,,"Accept planning proposal of Not Feasible, Closed",
114957,5661201025,549400541285550125,Confirm Feasibility,SR-20210602-25791,,Planning proposal - Feasible,
91730,4536601210,408190423240456380,,SR-20240610-31803,,"Accept planning proposal of Not Feasible, Closed",
179413,4164000225,439190406690406690,,SR-20240923-32356,,"Accept planning proposal of Not Feasible, Closed",
116675,2495602072,253420259420223800,,SR-20151222-11385,,"Accept planning proposal of Not Feasible, Closed",
14156,5076200040,518770533970538470,,SR-20241118-35566,,"Accept planning proposal of Not Feasible, Closed",
41643,3312001080,337470314630376950,,SR-20230202-29208,,"Accept planning proposal of Not Feasible, Closed",
2385,5474000020,570208526075556622,,SR-20240520-31705,,"Accept planning proposal of Not Feasible, Closed",
51319,4597000750,417140453790419890,Pending installation queue,SR-20240709-31988,,Accept planning proposal of Feasible,
9010,5422400230,536650522120555390,,SR-20220401-27065,,"Accept planning proposal of Not Feasible, Closed",
161838,3910401027,307980305280305430,,SR-20240617-31840,,"Accept planning proposal of Not Feasible, Closed",
184566,3687200067,374930311140300061,,SR-20241127-35606,,Denied pre-inspection - Closed,
53107,4060400040,428490451975400494,,SR-20240522-31733,,"Accept planning proposal of Not Feasible, Closed",
286625,4650201040,422820427050457550,,SR-20231031-30917,,"Accept planning proposal of Not Feasible, Closed",
68002,4534200190,407790408940409090,,SR-20240917-32328,,"Accept planning proposal of Not Feasible, Closed",
20179,3927600230,309480306580306680,,SR-20240607-31798,,"Accept planning proposal of Not Feasible, Closed",
28375,3492400010,355330340930318630,,SR-20240912-32293,,"Accept planning proposal of Not Feasible, Closed",
82789,4577405050,414240420590447390,,SR-20230717-30196,,"Accept planning proposal of Not Feasible, Closed",
67787,4534400080,407840407940408140,,SR-20240910-32291,,"Accept planning proposal of Not Feasible, Closed",
65073,4693209130,426440420520420570,,SR-20210318-25519,,"Accept planning proposal of Not Feasible, Closed",
68267,4546601020,409790407240407540,,SR-20240524-31743,,"Accept planning proposal of Not Feasible, Closed",
5433,5259200010,528135529795544675,,SR-20241106-35530,,"Accept planning proposal of Not Feasible, Closed",
49626,4591206050,416490414390414490,,SR-20160307-11535,2017-10-06T00:00:00.000,"Study Completed, Closed",2017-04-27T00:00:00.000
116143,4681804017,425150422700422820,,SR-20210614-25838,,"Accept planning proposal of Not Feasible, Closed",
46176,3708507000,377030373480397259,,SR-20150720-10652,,"Reject planning proposal of Feasible, Closed",
68855,4532200060,407490407090450330,,SR-20240618-31849,,"Accept planning proposal of Not Feasible, Closed",
292199,2724800020,270020259720255720,,SR-20240617-31831,,"Accept planning proposal of Not Feasible, Closed",
2344,5474000030,570208556622516885,,SR-20240522-31727,,"Accept planning proposal of Not Feasible, Closed",
169507,4469200172,465590412255451975,,SR-20231205-31103,,"Accept planning proposal of Not Feasible, Closed",
53106,4060400030,428490454297451975,,SR-20240522-31733,,"Accept planning proposal of Not Feasible, Closed",
25861,3225200030,329430322530322580,,SR-20240617-31842,,"Accept planning proposal of Not Feasible, Closed",
118290,5037800040,516100531425539722,,SR-20240501-31619,,"Accept planning proposal of Not Feasible, Closed",
19048,3105200010,316980310880319030,,SR-20240612-31813,,"Accept planning proposal of Not Feasible, Closed",
63971,4640201010,421990437420427190,,SR-20240604-31781,,"Accept planning proposal of Not Feasible, Closed",
227983,4582607010,415140427190439635,,SR-20240515-31690,,"Accept planning proposal of Not Feasible, Closed",
56441,4636602010,421790453790419990,,SR-20240916-32314,,"Accept planning proposal of Not Feasible, Closed",
9409,5738400020,554530525440525660,,SR-20240227-31369,,"Accept planning proposal of Not Feasible, Closed",
67490,4275400036,450170454102454102,,SR-20211108-26694,,"Accept planning proposal of Not Feasible, Closed",
120492,5037800014,516100516860570163,,SR-20240501-31619,,"Accept planning proposal of Not Feasible, Closed",
90118,4589606020,416190422590422740,,SR-20240423-31596,,"Accept planning proposal of Not Feasible, Closed",
6970,5585401520,544900536310570215,,SR-20211222-26781,,"Planning denied Pre-inspection, Closed",
15415,5724800090,553300526310551560,,SR-20210407-25613,,"Accept planning proposal of Not Feasible, Closed",
332,5427600060,537090523245518875,,SR-20240606-31796,,"Accept planning proposal of Not Feasible, Closed",
345479,3683201040,380330326730367047,,SR-20241113-35551,,"Accept planning proposal of Not Feasible, Closed",
9417,5738400010,554530534850525440,,SR-20240227-31369,,"Accept planning proposal of Not Feasible, Closed",
46219,3072405110,314080373210337830,,SR-20240618-31848,,"Accept planning proposal of Not Feasible, Closed",
41137,3303603070,336980314130341030,,SR-20210115-24305,,"Planning denied Pre-inspection, Closed",
21467,3914401020,30833030648033132544.00%,,SR-20231108-30957,,"Accept planning proposal of Not Feasible, Closed",
84824,4522400070,406190421640421690,,SR-20240513-31676,,"Accept planning proposal of Not Feasible, Closed",
64294,4623601020,420638425600425740,,SR-20210802-26153,,"Accept planning proposal of Not Feasible, Closed",
167587,3622401185,369330338430350830,,SR-20240528-31749,,"Accept planning proposal of Not Feasible, Closed",
74706,4562401080,411840416590416990,,SR-20240520-31710,,"Accept planning proposal of Not Feasible, Closed",
8726,5718200010,552860555517536280,,SR-20210914-26477,,"Accept planning proposal of Not Feasible, Closed",
5981,5678200020,550485533220513000,,SR-20240621-31873,,"Accept planning proposal of Not Feasible, Closed",
101266,4699800030,427070411840411940,,SR-20240126-31279,,"Accept planning proposal of Not Feasible, Closed",
14692,5457200070,538600534250554050,,SR-20241125-35593,,"Planning denied Pre-inspection, Closed",
171518,4648002087,422700427092427094,,SR-20230823-30429,,Denied pre-inspection - Closed,
62547,4655804020,423110427225427250,,SR-20231215-31163,,"Accept planning proposal of Not Feasible, Closed",
129539,4626404055,420830426890426940,,SR-20240923-32354,,"Accept planning proposal of Not Feasible, Closed",
63931,4644204040,422280427190427200,,SR-20240913-32303,,"Accept planning proposal of Not Feasible, Closed",
13931,5341400020,532600535020535450,,SR-20240906-32280,,"Accept planning proposal of Not Feasible, Closed",
82631,4254609660,447390413440413540,,SR-20240108-31229,,"Accept planning proposal of Not Feasible, Closed",
61083,4508600030,467960449520450640,,SR-20240923-32355,,"Accept planning proposal of Not Feasible, Closed",
112743,4407400010,461145435780440450,,SR-20061113-2659,,"Installation Cancel, Closed",2007-02-07T00:00:00.000
94660,2426005190,245120246520240420,,SR-20240610-31801,,"Accept planning proposal of Not Feasible, Closed",
88989,2447600010,247220228410228440,,SR-20170822-13175,,"Accept planning proposal of Not Feasible, Closed",
171606,4701000002,427095422520422620,Pending installation queue,SR-20240611-31810,,Accept planning proposal of Feasible,
27823,3226400073,329630367730367730,,SR-20160711-11979,,"Accept planning proposal of Not Feasible, Closed",
173646,1574500040,136910111710113610,,SR-20240517-31696,,"Accept planning proposal of Not Feasible, Closed",
59968,4678406020,424970421290465310,,SR-20240424-31606,,"Accept planning proposal of Not Feasible, Closed",
91565,4536601190,40819042319042330624.00%,,SR-20240610-31803,,"Accept planning proposal of Not Feasible, Closed",
14096,5259702150,546850548150547000,,SR-20241120-35574,,"Accept planning proposal of Not Feasible, Closed",
127834,3174803005,323480318950318950,,SR-20180808-14016,,"Accept planning proposal of Not Feasible, Closed",
115652,4051800015,427590467650452510,,SR-20240614-31826,,"Accept planning proposal of Not Feasible, Closed",
19491,3892400540,306480310780310830,,SR-20240530-31761,,"Accept planning proposal of Not Feasible, Closed",
67667,4536001390,4.08140437290408440E+17,,SR-20240923-32357,,"Accept planning proposal of Not Feasible, Closed",
46367,3072405120,314080337830337880,,SR-20240618-31848,,"Accept planning proposal of Not Feasible, Closed",
167888,3690000055,375330338080373480,,SR-20240912-32294,,"Accept planning proposal of Not Feasible, Closed",
328125,4151000030,438330439000425240,,SR-20241104-35525,,"Accept planning proposal of Not Feasible, Closed",
15425,5724800080,553300524010526310,,SR-20210407-25613,,"Accept planning proposal of Not Feasible, Closed",
14704,5457200045,538600543178524200,,SR-20241125-35593,,"Planning denied Pre-inspection, Closed",
85274,2434000020,245820255020257270,,SR-20240618-31856,,"Accept planning proposal of Not Feasible, Closed",
130078,4555204027,410890413190413490,,SR-20220708-27482,,"Accept planning proposal of Not Feasible, Closed",
68176,4546802010,4.09840411790411990E+17,,SR-20240920-32347,,"Accept planning proposal of Not Feasible, Closed",
69575,2114800020,215920246320208120,,SR-20230807-30293,,"Reject planning proposal of Feasible, Closed",
1448,5448700010,538240518980538240,,SR-20220720-27519,,"Accept planning proposal of Not Feasible, Closed",
88326,2067200200,209620278950232920,,SR-20230829-30483,,"Accept planning proposal of Not Feasible, Closed",
55047,4632203030,421490420240420440,,SR-20240617-31835,,"Accept planning proposal of Not Feasible, Closed",
12118,5498200030,540150555540544685,,SR-20240624-31895,,"Accept planning proposal of Not Feasible, Closed",
276810,4538201007,408390450330428790,,SR-20240207-31316,,"Accept planning proposal of Not Feasible, Closed",
59779,4630605020,421290461000424940,,SR-20210713-25978,,"Planning denied Pre-inspection, Closed",
84820,4522400060,406190421590421640,,SR-20240513-31676,,"Accept planning proposal of Not Feasible, Closed",
85329,2097202020,213410266920215920,,SR-20240517-31697,,"Accept planning proposal of Not Feasible, Closed",
29327,3396003050,345030380430372730,,SR-20231121-31044,,"Accept planning proposal of Not Feasible, Closed",
3934,5598800020,57027651610057031680.00%,,SR-20240903-32260,,"Accept planning proposal of Not Feasible, Closed",
128147,3311201025,337466314630382480,,SR-20210113-24299,,"Planning denied Pre-inspection, Closed",
7577,5249400050,527675522705570346,,SR-20231206-31110,,"Accept planning proposal of Not Feasible, Closed",
46169,3690000050,375330324670338080,,SR-20240912-32294,,"Accept planning proposal of Not Feasible, Closed",
19774,3892400390,306480317380310030,,SR-20240530-31761,,"Accept planning proposal of Not Feasible, Closed",
73853,4572602050,413490410890465350,,SR-20240522-31729,,"Accept planning proposal of Not Feasible, Closed",
3896,5598800070,570276570316570143,,SR-20240903-32260,,"Accept planning proposal of Not Feasible, Closed",
103043,4564016030,412040427258427262,,SR-20240117-31256,,"Accept planning proposal of Not Feasible, Closed",
67999,4546601050,409790457490407990,,SR-20240524-31743,,"Accept planning proposal of Not Feasible, Closed",
17779,3928400010,309530305130310670,,SR-20240607-31800,,"Accept planning proposal of Not Feasible, Closed",
127825,3804800185,388830323480315680,,SR-20240925-33361,,"Accept planning proposal of Not Feasible, Closed",
129306,4630605075,421290425040425050,,SR-20210713-25978,,"Planning denied Pre-inspection, Closed",
112979,4678204035,424960422975423037,,SR-20230406-29371,,"Accept planning proposal of Not Feasible, Closed",
12908,5056000230,517390517270570368,,SR-20231109-30961,,"Accept planning proposal of Not Feasible, Closed",
53109,4060400050,428490400494450670,,SR-20240522-31733,,"Accept planning proposal of Not Feasible, Closed",
