address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
105 Buckingham Road,Multifamily Housing,7541085.4,Not Available,Not Applicable: Standalone Property,No,353.7,Not Available,2512.3,Not Available,Not Available,Not Available,-18.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,512.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.78343,0,Not Available,Not Available,4209977.8,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Yes,Not Available,0.78343,Not Available,61,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,77863,2512.3,Not Available,Ok
239-245 E 44th St.,Multifamily Housing,21263913.5,2016-03-23,Not Applicable: Standalone Property,No,971.6,Not Available,6681.4,Not Available,Not Available,Not Available,-16.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.96678,0,Not Available,Not Available,214096.7,Not Available,Not Available,5.7,Not Available,Not Available,Not Available,Yes,Not Available,0.96678,Not Available,200,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,206872,6681.4,Not Available,Ok
181 Clarkson Ave,Multifamily Housing,5926753.6,2016-03-27,Not Applicable: Standalone Property,No,262.6,Not Available,4240,Not Available,Not Available,Not Available,-23.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,822.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.86957,0,Not Available,Not Available,4118114.7,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Yes,Not Available,0.86957,Not Available,54,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,62100,4240,Not Available,Ok
42 Broadway,Office,88602671.7,Not Available,Not Applicable: Standalone Property,No,2893,Not Available,Not Available,Not Available,Not Available,Not Available,-12.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.0,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,389917,Not Available,Not Available,Ok
135 West 27th Street,"Medical Office, Office",Not Available,2016-03-01,Not Applicable: Standalone Property,No,352.1,No,1003,Not Available,Not Available,Not Available,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.0,1.9596,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1056.7,Not Available,Not Available,14.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,81.82,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,55,Office,Not Available,Not Available,Not Available,56250,1003,Not Available,Ok
217 Broadway,Office,1847711198,Not Available,Not Applicable: Standalone Property,No,102676.8,Not Available,Not Available,Not Available,Not Available,Not Available,5557.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,21.0,2.11513,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,137580,Not Available,Not Available,Ok
50 ocean parkway,"Multifamily Housing, Office",6102380.9,2016-03-22,Not Applicable: Standalone Property,No,253.7,Not Available,2667,Not Available,Not Available,Not Available,-30.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,504.0,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,0.88087,0,Not Available,Not Available,3590394.2,Not Available,Not Available,3,Not Available,Not Available,Not Available,No,Not Available,0.88087,Not Available,58,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,69444,2667,Not Available,Ok
209 East 165th Street,Multifamily Housing,6008562.1,2016-03-30,Not Applicable: Standalone Property,No,443.5,No,10413.9,Not Available,Not Available,Not Available,-17.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.94595,0,Not Available,Not Available,8686.7,Not Available,Not Available,0.2,Not Available,Not Available,Not Available,Yes,Not Available,0.47298,Not Available,60,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,63428,10413.9,Not Available,Ok
408 West 130 street,Multifamily Housing,6942865.6,2016-03-27,Not Applicable: Standalone Property,No,284.8,No,3843.3,Not Available,Not Available,Not Available,-31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21303.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.14088,0,Not Available,Not Available,3961725.1,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,Yes,Not Available,1.14088,Not Available,83,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,72751,3843.3,Not Available,Ok
1920 Amsterdam Avenue,Multifamily Housing,14796556,Not Available,Not Applicable: Standalone Property,No,615.8,Not Available,9873.1,Not Available,Not Available,Not Available,-36.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,241.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0095,183,Not Available,Not Available,8772505.2,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,183,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,181278,Not Available,Not Available,Ok
