address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
881 WASHINGTON AVENUE,Multifamily Housing,Not Available,2016-03-02,Not Applicable: Standalone Property,No,341.8,Not Available,825.4,Not Available,Not Available,Not Available,-35.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,213.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.90458,0,Not Available,Not Available,4636804.6,Not Available,Not Available,0.8,Not Available,Not Available,Not Available,No,Not Available,0.90458,Not Available,73,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,80700,825.4,Not Available,Ok
1541-1551 Williamsbridge Rd.,Multifamily Housing,13197945.8,Not Available,Not Applicable: Standalone Property,No,685.9,Not Available,7258.3,Not Available,Not Available,Not Available,-8.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5081249.9,Not Available,Not Available,Not Available,256.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.18316,0,Not Available,Not Available,3406700.3,Not Available,Not Available,3.9,Not Available,Not Available,Not Available,No,Not Available,1.18316,Not Available,127,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,107340,7258.3,Not Available,Ok
575 5th Ave,"Office, Retail Store",113356486,Not Available,Not Applicable: Standalone Property,No,3376.1,Not Available,939.6,Not Available,Not Available,Not Available,-26.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,94.0,3.37943,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,514122,939.6,Not Available,Ok
120 West 21st Street,Multifamily Housing,18915457.2,Not Available,Not Applicable: Standalone Property,No,620.9,Not Available,6807.3,Not Available,Not Available,Not Available,-22.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.11709,209,Not Available,Not Available,4435410.4,Not Available,Not Available,7.1,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,209,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,187093,6807.3,Not Available,Ok
250 West Street,Multifamily Housing,32618954.5,Not Available,Not Applicable: Standalone Property,No,995.9,Not Available,Not Available,Not Available,Not Available,Not Available,-10.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.35971,104,Not Available,Not Available,5325886.1,Not Available,Not Available,8.7,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,104,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,289122,Not Available,Not Available,Ok
4380 Vireo Avenue,"Multifamily Housing, Parking",12442127,2016-03-22,Not Applicable: Standalone Property,No,519.9,Not Available,3080.5,Not Available,Not Available,Not Available,-15.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.16294,0,Not Available,Not Available,7543745.1,Not Available,Not Available,3.8,Not Available,12240,Not Available,No,Not Available,1.16294,0,127,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,109206,3080.5,Not Available,Ok
330 East 61st Street,Other - Recreation,66125942.7,2016-03-28,Not Applicable: Standalone Property,No,2145.6,Not Available,Not Available,Not Available,Not Available,Not Available,500.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14993569.8,Not Available,Not Available,40.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,Yes,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Other - Recreation,Not Available,Not Available,Not Available,115000,Not Available,Not Available,Ok
91-40 LaMont Avenue,Multifamily Housing,5146147,2016-03-23,Not Applicable: Standalone Property,No,193.8,Not Available,Not Available,Not Available,Not Available,Not Available,-49.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,463.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,Not Available,Not Available,Not Available,4.3,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,103.2,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,86000,Not Available,Not Available,Ok
1328 Inwood Avenue,Non-Refrigerated Warehouse,2010916.2,Not Available,Not Applicable: Standalone Property,No,99.5,Not Available,Not Available,Not Available,Not Available,Not Available,-5.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,219.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1827000,Not Available,Not Available,0.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,22575,Not Available,Not Available,Ok
41-41 43rd Street,Multifamily Housing,6908333.1,Not Available,Not Applicable: Standalone Property,No,479.8,Not Available,551.9,Not Available,Not Available,Not Available,-30.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5917725.3,Not Available,Not Available,Not Available,183.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.34286,0,Not Available,Not Available,338205.1,Not Available,Not Available,0.8,Not Available,Not Available,Not Available,Yes,Not Available,1.34286,Not Available,94,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,Yes,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
141-60 84th Road,Multifamily Housing,8054660.1,2016-03-29,Not Applicable: Standalone Property,No,327.4,Not Available,3629.5,Not Available,Not Available,Not Available,-18.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22002.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.14649,0,Not Available,Not Available,4633491.6,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,Yes,Not Available,1.14649,Not Available,79,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,68906,3629.5,Not Available,Ok
410 WEST 53RD STREET,Multifamily Housing,25357317.9,2016-03-28,Not Applicable: Standalone Property,No,1162.8,No,0,Not Available,Not Available,Not Available,8.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,133.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.31517,0,Not Available,Not Available,371929,Not Available,Not Available,8.4,Not Available,Not Available,Not Available,No,Not Available,1.31517,Not Available,219,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,166518,Not Available,Not Available,Ok
246-04 57 Drive,"Multifamily Housing, Parking",7968294.8,2016-02-24,Not Applicable: Standalone Property,No,396.6,No,Not Available,Not Available,Not Available,Not Available,-3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0353,0,Not Available,Not Available,Not Available,Not Available,Not Available,6.3,Not Available,6662,Not Available,No,Not Available,0,6662,64,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,61818,Not Available,Not Available,Ok
1600 Broadway,"Fast Food Restaurant, Multifamily Housing, Other, Retail Store",53461995.1,2016-03-09,Not Applicable: Standalone Property,No,1550.1,Not Available,6798.9,Not Available,Not Available,Not Available,49.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,0.68195,137,Not Available,Not Available,4795545.3,Not Available,Not Available,19.6,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,137,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,1625,Not Available,Not Available,230928,6798.9,Not Available,Ok
4301 46th Street,Multifamily Housing,8960406.4,2016-03-27,Not Applicable: Standalone Property,No,535,No,2943.6,Not Available,Not Available,Not Available,30.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25301.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.10827,0,Not Available,Not Available,553880,Not Available,Not Available,4.1,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,65,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,58650,2943.6,Not Available,Ok
1864 85 st.,Multifamily Housing,Not Available,2016-03-06,Not Applicable: Standalone Property,No,309.6,Not Available,5788.9,Not Available,Not Available,Not Available,-22,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,278.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.06944,0,Not Available,Not Available,4356920.7,Not Available,Not Available,3.7,Not Available,Not Available,Not Available,Yes,Not Available,1.06944,Not Available,77,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,72000,5788.9,Not Available,Ok
67-11 161st street,Multifamily Housing,1331016.8,Not Available,4442823,Not Available,67.2,Not Available,604.4,Not Available,Not Available,Not Available,-40.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02857,0,Not Available,Not Available,1264862.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,18,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Second Housing Company Inc,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,17500,Not Available,Not Available,Ok
57 Lincoln Rd,"Multifamily Housing, Retail Store, Supermarket/Grocery Store",8260632.7,Not Available,Not Applicable: Standalone Property,No,331.5,Not Available,Not Available,Not Available,Not Available,Not Available,-22.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79801.0,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.04709,0,1025,Not Available,4436182.2,Not Available,Not Available,4,Not Available,Not Available,Not Available,No,Not Available,1.04709,Not Available,84,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,1,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,83847,Not Available,Not Available,Ok
60 East 17 Street,Multifamily Housing,7505366.7,Not Available,Not Applicable: Standalone Property,No,353.2,Not Available,Not Available,Not Available,Not Available,Not Available,-26.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,506.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,6085736.5,Not Available,Not Available,1.2,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,101.52,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,84600,Not Available,Not Available,Ok
1450 128th Street,"Non-Refrigerated Warehouse, Office, Parking",Not Available,2016-03-30,Not Applicable: Standalone Property,No,279.2,Not Available,85.6,Not Available,Not Available,Not Available,180.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,947.0,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2414826.9,Not Available,Not Available,Not Available,Not Available,25000,Not Available,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,49000,Not Available,Not Available,Ok
24 John Street,Other,923801.7,Not Available,Not Applicable: Standalone Property,No,24.2,Not Available,396.2,Not Available,Not Available,Not Available,-85.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Other,Not Available,Not Available,Not Available,50000,396.2,Not Available,Ok
154 West 18th Street,Multifamily Housing,8354310.2,Not Available,Not Applicable: Standalone Property,No,386.2,Not Available,Not Available,Not Available,Not Available,Not Available,-8.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.40363,0,Not Available,Not Available,718500,Not Available,Not Available,6.7,Not Available,Not Available,Not Available,No,Not Available,0.20181,Not Available,26,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,64416,Not Available,Not Available,Ok
139 WEST 55 STREET,"Multifamily Housing, Retail Store",Not Available,Not Available,Not Applicable: Standalone Property,No,871.3,No,8409.7,Not Available,Not Available,Not Available,24.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,0.88731,90,Not Available,Not Available,1232024.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,90,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,106430,8409.7,Not Available,Ok
820 West End Avenue,Multifamily Housing,12856561.7,Not Available,Not Applicable: Standalone Property,No,673.8,No,5199.7,Not Available,Not Available,Not Available,-12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,187.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.89924,97,Not Available,Not Available,2437885.4,Not Available,Not Available,3.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,97,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,107869,5199.7,Not Available,Ok
45 E 8 St,Worship Facility,1956276.2,2016-03-23,Not Applicable: Standalone Property,No,81.8,Not Available,Not Available,Not Available,Not Available,Not Available,-62.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,504.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1162745.8,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Worship Facility,Not Available,Not Available,Not Available,52800,Not Available,Not Available,Ok
263 WEST 38TH STREET,"Office, Other",18290114.9,2016-03-28,Not Applicable: Standalone Property,No,720.4,Not Available,1285.5,Not Available,Not Available,Not Available,-46.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,113.0,1.77696,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.7,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,83.75,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,152439,Not Available,Not Available,Ok
580 Crown Street,"Multifamily Housing, Parking",17704182.9,2016-03-28,Not Applicable: Standalone Property,No,587.3,Not Available,7015.3,Not Available,Not Available,Not Available,-29.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,333.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.48376,0,Not Available,Not Available,4650599.9,Not Available,Not Available,6,Not Available,12000,Not Available,No,Not Available,0.28516,12000,95,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,196380,7015.3,Not Available,Ok
111-15 75th Avenue,Multifamily Housing,8742207.4,Not Available,Not Applicable: Standalone Property,No,356.9,Not Available,2888.9,Not Available,Not Available,Not Available,-36.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.68498,0,Not Available,Not Available,4932400.2,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Yes,Not Available,0.68498,Not Available,85,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,124091,2888.9,Not Available,Ok
354 Ocean Ave,Multifamily Housing,3705275.8,Not Available,Not Applicable: Standalone Property,No,170.7,Not Available,Not Available,Not Available,Not Available,Not Available,-44.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50804.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,2883372.8,Not Available,Not Available,1.1,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,66.24,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,55200,Not Available,Not Available,Ok
777 East 31 Street,Multifamily Housing,14404661,Not Available,Not Applicable: Standalone Property,No,597.4,Not Available,Not Available,Not Available,Not Available,Not Available,-13.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,786.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02742,0,Not Available,Not Available,8663085.1,Not Available,Not Available,3.9,Not Available,Not Available,Not Available,No,Not Available,1.02742,Not Available,125,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,121664,Not Available,Not Available,Ok
165 Sherman Avenue,"Multifamily Housing, Other, Retail Store, Supermarket/Grocery Store",11361742.5,2016-03-31,Not Applicable: Standalone Property,No,572.3,Not Available,Not Available,Not Available,Not Available,Not Available,-4.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,291.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1.07239,0,500,Not Available,367488.5,Not Available,Not Available,5.5,Not Available,Not Available,Not Available,No,Not Available,1.07239,Not Available,100,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,Yes,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,95250,Not Available,Not Available,Ok
235 west 46th street,Hotel,62011871.7,2016-03-17,Not Applicable: Standalone Property,No,2349.5,Not Available,Not Available,Not Available,Not Available,Not Available,30.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,125.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1901346,Not Available,Not Available,17,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,80,202445,Not Available,Not Available,Ok
1475 Walton Ave,Multifamily Housing,9676838,Not Available,Not Applicable: Standalone Property,No,400.7,Not Available,4853,Not Available,Not Available,Not Available,-15.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.80518,0,Not Available,Not Available,5713339.7,Not Available,Not Available,4,Not Available,Not Available,Not Available,No,Not Available,0.80518,Not Available,68,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,84453,4853,Not Available,Ok
1571 2 AVENUE,"Multifamily Housing, Retail Store",Not Available,Not Available,Not Applicable: Standalone Property,No,1749.9,No,Not Available,Not Available,Not Available,Not Available,42.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,138.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1.03529,176,Not Available,Not Available,1264834.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,176,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,189000,Not Available,Not Available,Ok
600 W 239 Street,Multifamily Housing,12552774,2016-03-14,Not Applicable: Standalone Property,No,520.5,Not Available,7324.7,Not Available,Not Available,Not Available,-11.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.82912,0,Not Available,Not Available,7603514.5,Not Available,Not Available,3.7,Not Available,Not Available,Not Available,No,Not Available,0.82912,Not Available,90,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,108549,7324.7,Not Available,Ok
345 West 86th Street,Multifamily Housing,12418542.5,2016-03-21,Not Applicable: Standalone Property,No,463.2,Not Available,7401.3,Not Available,Not Available,Not Available,-34.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,175.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.3303,260,Not Available,Not Available,5198372.9,Not Available,Not Available,8.3,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,260,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,78071,7401.3,Not Available,Ok
