permitnumber,createdon,permitseriesshortdesc,applicationtypeshortdesc,permitpurposecomments,specificstipulations
M032025191A08,2025-07-10T07:11:35.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B152025192A08,2025-07-11T09:18:27.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
M032025199A10,2025-07-18T07:34:44.000,MANHOLE EMBARGO PERMIT,New,CODE 753,
B162025191A65,2025-07-10T13:55:24.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025192A80,2025-07-11T12:44:48.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025196A22,2025-07-15T09:27:43.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A68,2025-07-10T15:09:18.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A11,2025-07-11T08:31:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A43,2025-07-11T10:06:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A42,2025-07-14T11:40:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A74,2025-07-11T10:06:27.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025196A10,2025-07-15T14:48:06.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025190A11,2025-07-09T09:16:26.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025196A15,2025-07-15T14:48:08.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
M032025196A30,2025-07-15T08:18:45.000,MANHOLE EMBARGO PERMIT,New,759,
B012021056B62,2021-02-25T13:16:19.000,STREET OPENING PERMIT,Renew,REPAIR GAS.....f.pisani,DP. JA/RRM-SIDEWALK ONLY
B162025192A75,2025-07-11T12:44:47.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025193A19,2025-07-12T10:35:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A58,2025-07-10T13:17:48.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192B29,2025-07-11T16:05:31.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025197A04,2025-07-16T08:00:57.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025195A38,2025-07-14T11:02:38.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A27,2025-07-10T10:09:45.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
M032025192A42,2025-07-11T09:33:12.000,MANHOLE EMBARGO PERMIT,New,CABLE FAILURE,
B162025192A91,2025-07-11T13:42:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025196A11,2025-07-15T14:48:06.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025197A06,2025-07-16T08:00:58.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025191A69,2025-07-10T15:47:04.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192B21,2025-07-11T16:05:15.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025192A59,2025-07-11T11:11:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025191A09,2025-07-10T08:28:15.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025190A50,2025-07-09T12:35:22.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B162025192A40,2025-07-11T09:55:28.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M012020214A03,2020-08-01T08:27:33.000,STREET OPENING PERMIT,Emergency,Repair Gas Leak,"SKT002 CRBRES MUST RESTORE CURB LANE, INCLUDING ALL SCARRING YP 8/3/20. MA THE WORK HOURS ARE GRANTED DURING COVID-19 PANDEMIC TERM ONLY."
M032025191A29,2025-07-10T07:17:40.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B162025194A13,2025-07-13T19:35:14.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B012025190A63,2025-07-09T08:26:29.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL AND MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING.
B162025192A53,2025-07-11T10:46:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A78,2025-07-14T14:46:37.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025190A90,2025-07-09T08:28:45.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL PRIOR TO MOBILIZING. MUST MAINTAIN STIPULATION 023 ON BOTH ROADWAYS. MUST COORDINATE WITH SCHOOL AND MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING.
M012025190B01,2025-07-09T22:44:03.000,STREET OPENING PERMIT,Emergency,na,
B162025196A25,2025-07-15T09:58:14.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025190B00,2025-07-09T08:32:26.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 4:00PM MONDAY - FRIDAY. MUST COORDINATE WITH THE ONGOING CONSTRUCTION PRIOR TO MOBILIZING.
B152025197A45,2025-07-16T14:59:57.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
M012025199A00,2025-07-18T00:24:43.000,STREET OPENING PERMIT,Emergency,EMERGENCY GAS MAIN REPAIR - 196 - WR 101406085,
B162025196A38,2025-07-15T10:31:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025198B82,2025-07-17T14:36:52.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
M032025192A32,2025-07-11T07:53:54.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B012021126A70,2021-05-06T11:43:26.000,STREET OPENING PERMIT,New,repair electric service,"SKT009 1FTRES MUST RESTORE ROADWAY FROM OUTER-EDGE TO CURB, INCLUDING ALL SCARRING CO 5/6/2021. JN THE CONTRACTOR MAY WORK SUNDAYS 9AM-5PM."
M032025198A12,2025-07-17T07:29:35.000,MANHOLE EMBARGO PERMIT,New,SECTION:162,
M002025192A00,2025-07-11T09:53:12.000,MISCELLANEOUS CASH RECEIPTS,New,This is not a vault license or construction permit. It is a filing fee for SCARA application @ DOT Reference #9517,
B002025192A00,2025-07-11T11:17:45.000,MISCELLANEOUS CASH RECEIPTS,New,"Replace returned e-checks in the amount of $120.00 and additional $80 returned checks fee (Total $200) for tracking #'s ending in 8776,2390, 5356 and 1803",
B012025190A61,2025-07-09T08:26:29.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,"JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL, ONGOING CONSTRUCTION AND MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING."
B152025192A12,2025-07-11T09:23:10.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025195A57,2025-07-14T13:01:31.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025195A90,2025-07-14T17:29:48.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025198B81,2025-07-17T14:36:52.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
M162025191A32,2025-07-10T11:49:53.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025196A13,2025-07-15T07:32:34.000,MANHOLE EMBARGO PERMIT,New,759,
B162025196A62,2025-07-15T12:10:55.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M012025198A73,2025-07-17T15:54:36.000,STREET OPENING PERMIT,New,RPO 4TH OF JULY,RECORD PURPOSES ONLY
B152025192A44,2025-07-11T09:33:55.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025191A78,2025-07-10T19:10:24.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025191A08,2025-07-10T08:22:19.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M012025192A29,2025-07-11T07:30:51.000,STREET OPENING PERMIT,Emergency,19691235 COLD TRAP ALARM,
B012025193A01,2025-07-12T08:15:16.000,STREET OPENING PERMIT,Emergency,Reapir water with 3days notice,IL.
B012025196B11,2025-07-15T10:53:41.000,STREET OPENING PERMIT,Renew,MAJOR INSTALLATION - GAS,JN
B162025195A51,2025-07-14T12:33:02.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025196A05,2025-07-15T07:21:44.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A97,2025-07-11T14:01:02.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A10,2025-07-10T08:34:05.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A61,2025-07-11T09:58:41.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B012021061A18,2021-03-02T06:59:35.000,STREET OPENING PERMIT,New,,"SIDEWALK ONLY, NO ROADWAY EXCAVATION; REPAIR ALL SCARRING CO 3/1/2021. JN"
B152025192A46,2025-07-11T09:33:55.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A60,2025-07-11T09:58:40.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025196A33,2025-07-15T10:22:23.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012021008A74,2021-01-08T01:15:37.000,STREET OPENING PERMIT,New,,JN
B012020327A15,2020-11-22T14:01:24.000,STREET OPENING PERMIT,New,geotechnical for engineering design,JN
B152025192A14,2025-07-11T09:23:10.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025190A08,2025-07-09T09:10:26.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025190A29,2025-07-09T12:12:21.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025190A28,2025-07-09T12:07:46.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
M032025196A22,2025-07-15T08:15:22.000,MANHOLE EMBARGO PERMIT,New,759,
B162025195A65,2025-07-14T13:33:23.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025195B94,2025-07-14T15:09:19.000,STREET OPENING PERMIT,New,Borings for proposed New Building development,"DP. MUST COORD. WITH NYCT BUS PRIOR TO MOBILIZING. ALSO, DO NOT BLOCK BUS STOP FROM LOADING AND UNLOADING AT ANYTIME."
B162025195A46,2025-07-14T11:55:17.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025195A06,2025-07-14T04:07:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B022025191A43,2025-07-10T10:09:01.000,BUILDING OPERATION PERMIT,New,,JG--BNEC-24-284
B152025197A01,2025-07-16T08:00:56.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A35,2025-07-11T09:28:01.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A30,2025-07-11T09:27:59.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A45,2025-07-11T09:33:55.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025192A93,2025-07-11T13:44:43.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025192A27,2025-07-11T07:51:44.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B162025190A25,2025-07-09T11:42:24.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192B15,2025-07-11T15:11:49.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025196A20,2025-07-15T09:26:38.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B042025198A22,2025-07-17T16:35:39.000,SIDEWALK CONSTRUCTION PERMIT,New,Repair sidewalk and patch curb 20ft,
B162025195A18,2025-07-14T09:10:43.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B152025192A00,2025-07-11T06:15:51.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025192B09,2025-07-11T14:46:33.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025192A14,2025-07-11T08:52:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A47,2025-07-11T10:24:11.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A19,2025-07-10T09:42:41.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025195A60,2025-07-14T13:07:26.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192B07,2025-07-11T14:29:48.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025192A69,2025-07-11T12:28:21.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025190A18,2025-07-09T11:02:46.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
M032025192A22,2025-07-11T07:48:52.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
M012025196A35,2025-07-15T08:41:36.000,STREET OPENING PERMIT,Emergency,REPLACING SEWER CASTING,
B022025191A45,2025-07-10T10:09:06.000,BUILDING OPERATION PERMIT,New,,JG--BNEC-24-284--USE STIP 011 DURING WORKING HOURS AND STIP 014 ALL OTHER TIMES.
B162025196A60,2025-07-15T11:58:39.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025197A28,2025-07-16T13:36:27.000,MANHOLE EMBARGO PERMIT,New,CODE 759,
B162025196A12,2025-07-15T08:53:10.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A08,2025-07-12T08:38:24.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192B08,2025-07-11T14:31:40.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025191A18,2025-07-10T09:42:41.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B012025190A80,2025-07-09T08:27:43.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 4:00PM MONDAY - FRIDAY.
B152025192B35,2025-07-11T10:20:47.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025195A94,2025-07-14T18:34:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A77,2025-07-11T10:06:28.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A34,2025-07-11T09:28:01.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025194A15,2025-07-13T20:23:08.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A31,2025-07-12T17:38:10.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A39,2025-07-12T21:02:14.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025196A85,2025-07-15T17:15:10.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A11,2025-07-14T07:22:50.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025196A31,2025-07-15T08:18:46.000,MANHOLE EMBARGO PERMIT,New,759,
B162025191A67,2025-07-10T14:52:23.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A12,2025-07-11T08:31:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025192A34,2025-07-11T09:45:23.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B152025192A21,2025-07-11T09:27:56.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025193A09,2025-07-12T08:40:56.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A01,2025-07-12T01:42:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012021119C73,2021-04-29T17:19:09.000,STREET OPENING PERMIT,New,Install water service,"SKT009 1FTRES MUST RESTORE ROADWAY FROM OUTER-EDGE TO CURB, INCLUDING ALL SCARRING CO 4/28/2021. DP"
B152025192A19,2025-07-11T09:27:55.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
M012025192A56,2025-07-11T09:43:25.000,STREET OPENING PERMIT,Emergency,Water leak,
M032025195A34,2025-07-14T08:34:40.000,MANHOLE EMBARGO PERMIT,New,759,
B162025190A05,2025-07-09T09:01:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A43,2025-07-14T11:40:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025196A09,2025-07-15T14:48:06.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025197A27,2025-07-16T14:59:52.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
B162025195A85,2025-07-14T16:32:59.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025196A05,2025-07-15T07:21:28.000,MANHOLE EMBARGO PERMIT,New,759,
B012025190C40,2025-07-09T13:41:17.000,STREET OPENING PERMIT,New,INSTALL ELECTRICAL CONDUIT AND POLE FOUNDATIONS E-711K,DP RCRRM: 7/9/25 MUST COORDINATE WITH DOT MILLING AND PAVING;THE FULL WIDTH OF THE ROADWAY MUST BE FULLY UNOBSTRUCTED WHEN DOT IS ACTIVELY MILLING OR PAVING.
B162025192A26,2025-07-11T09:18:31.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
Q162025195A64,2025-07-14T20:14:38.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025192A14,2025-07-11T07:46:46.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B162025194A10,2025-07-13T17:28:44.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B152025192A78,2025-07-11T10:06:28.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025193A27,2025-07-12T12:38:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A15,2025-07-11T09:23:11.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B012025192A38,2025-07-11T08:21:46.000,STREET OPENING PERMIT,Emergency,Reapir water with 3days notice,"IL. WORK 9AM-4PM MON-THUR. DURING WORKING HOURS, THE CONTRACTOR MUST PROVIDE WITH FLAGGERS AT BOTH ENDS OF THE WORK ZONE TO ASSIST PEDESTRIANS."
B162025192A01,2025-07-11T07:04:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025191A37,2025-07-10T07:29:14.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B162025195A86,2025-07-14T16:32:59.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A64,2025-07-14T13:26:29.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A71,2025-07-11T10:03:46.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192B38,2025-07-11T10:25:39.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025193A07,2025-07-12T08:36:11.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025196A52,2025-07-15T11:40:55.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B022025191B57,2025-07-10T15:48:02.000,BUILDING OPERATION PERMIT,New,,IM/ AS PER STIP BNEC-32-389. THE SIDEWALK MUST BE ACCESSIBLE BY THE ADJACENT PROPERTY OWNER. THE SIDEWALK MUST ALSO BE REOPENED AS SOON AS POSSIBLE WHILE MAINTAINING THE PEDESTRIAN WALKWAY IN PLACE AS DISCUSSED WITH THE ABUTTING PROPERTY OWNER.
B162025191A40,2025-07-10T10:40:17.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A33,2025-07-12T17:38:11.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A31,2025-07-11T09:27:59.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
M032025191A53,2025-07-10T07:39:43.000,MANHOLE EMBARGO PERMIT,New,MANHOLE,
B012025195B92,2025-07-14T15:02:45.000,STREET OPENING PERMIT,New,CAR restoration,JN: MAY WORK 9:00AM - 4:00PM MONDAY - THURSDAY. MUST COORDINATE WITH MTA BUSES AND ONGOING CONSTRUCTION PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING.
B012025190A68,2025-07-09T08:26:55.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL PRIOR TO MOBILIZING. MUST MAINTAIN STIPULATION 112 ON BOTH ROADWAYS.
B162025196A19,2025-07-15T09:26:37.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025190A69,2025-07-09T08:26:55.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL AND MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING.
M032025196A67,2025-07-15T15:23:57.000,MANHOLE EMBARGO PERMIT,New,759,
B162025190A39,2025-07-09T13:48:00.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025193A02,2025-07-12T14:25:47.000,MANHOLE EMBARGO PERMIT,New,759,
B152025192A07,2025-07-11T09:18:26.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
B162025192A27,2025-07-11T09:25:11.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
