msp,eng,mrgp_adj,pwgtp,sch,povunit_rel,ssp_adj,nycgov_income
2,4.0,0.0,199,1,4,0.0,54757.4737454
0,,3152.0397,79,3,3,0.0,137187.28267006
0,,2541.9675,192,3,3,0.0,415012.01400428
1,,3050.361,149,1,2,0.0,33554.8681026233
3,,0.0,91,1,1,0.0,40908.9647144
3,,1525.1805,111,1,4,7320.8664,43948.3306175
1,3.0,0.0,274,1,2,0.0,73713.161383
0,1.0,0.0,106,2,3,0.0,27818.5900755214
6,,0.0,74,3,4,0.0,87037.1325431366
0,,0.0,139,2,3,0.0,25824.6099705
0,,0.0,87,1,3,0.0,62506.6847943467
6,2.0,366.04332,71,1,4,0.0,33544.4386514
6,,0.0,55,1,1,0.0,19354.84541408
3,,0.0,63,1,1,9862.8339,29534.1940346411
1,1.0,0.0,66,1,1,0.0,69389.1360042421
0,,610.0722,70,2,3,0.0,30291.64184208
3,3.0,0.0,70,1,1,5185.6137,14856.3429
1,,0.0,73,1,1,0.0,58030.1893540167
6,3.0,0.0,175,1,4,6202.4007,28133.272585312
1,2.0,0.0,90,1,1,0.0,58414.4630350667
1,2.0,1321.8231,75,1,2,0.0,38304.04871552
1,3.0,0.0,100,1,2,3355.3971,16264.8905625641
4,,549.06498,75,1,1,0.0,65480.2193620872
6,1.0,3965.4693,208,1,1,0.0,59451.32824884
0,,0.0,132,3,3,0.0,22361.2791363333
5,,0.0,77,1,1,8235.9747,16286.9292784143
1,,0.0,206,1,2,0.0,27562.7305980332
3,3.0,0.0,107,1,4,0.0,14856.3429
1,1.0,0.0,121,1,2,0.0,297377.823960128
1,,0.0,127,1,2,0.0,51649.1409681
1,,0.0,360,1,1,0.0,54930.83694044
1,1.0,0.0,138,1,2,0.0,92800.66485992
6,,1220.1444,63,1,2,0.0,20864.4778740231
1,,1728.5379,77,1,2,0.0,80177.8652478667
1,2.0,0.0,72,1,1,19827.3465,76798.9251692221
4,,0.0,109,1,1,12201.444,37163.6642268143
6,1.0,0.0,82,2,3,0.0,26657.9099944249
1,2.0,508.3935,100,1,1,0.0,42972.1111064
6,1.0,0.0,186,1,1,0.0,38789.126196412
0,1.0,0.0,198,2,3,0.0,22731.07898734
0,2.0,0.0,76,2,3,0.0,62817.5727428006
1,,0.0,119,1,2,0.0,54007.75103725
6,1.0,0.0,100,1,4,0.0,111734.284352034
6,,0.0,76,1,4,0.0,50436.6143923641
1,,2643.6462,82,1,2,0.0,87239.6774593
6,,0.0,111,2,4,0.0,22508.0354000626
0,,0.0,149,2,3,0.0,38789.126196412
0,,0.0,184,2,3,0.0,27562.7305980332
0,,0.0,183,2,3,0.0,27562.7305980332
3,4.0,3050.361,201,1,4,6100.722,74670.7818720863
6,,0.0,132,2,4,0.0,122505.2356958
6,,0.0,231,1,4,0.0,35463.3719624167
1,2.0,0.0,83,1,1,6100.722,62518.419761605
6,,0.0,170,1,3,0.0,63575.1265247725
2,3.0,0.0,63,1,1,0.0,20068.6018037
0,1.0,0.0,73,2,3,0.0,57237.1106907549
6,3.0,1626.8592,77,2,1,0.0,42275.25307386
4,1.0,0.0,125,1,1,0.0,77238.211800135
6,2.0,0.0,206,2,4,0.0,47270.9737207791
6,1.0,0.0,113,1,2,0.0,231121.637661322
3,,0.0,109,1,1,6812.4729,11098.1165196429
1,1.0,0.0,150,1,4,0.0,51940.771578434
0,,1525.1805,202,2,3,0.0,1777.0731
6,3.0,0.0,158,1,1,0.0,31329.5143522057
1,1.0,0.0,86,1,2,9151.083,39094.2441272241
3,2.0,0.0,271,1,1,10981.2996,46252.32975685
6,1.0,0.0,172,1,1,0.0,20822.1742451882
1,,2541.9675,134,1,1,0.0,75945.62668253
0,,0.0,156,0,3,0.0,53462.0609681
6,,0.0,99,1,1,0.0,22361.2791363333
6,,0.0,112,1,1,0.0,41723.12909366
0,,3152.0397,77,3,3,0.0,137187.28267006
1,2.0,1728.5379,189,1,2,0.0,82499.76043596
6,2.0,0.0,64,1,1,32537.184,31436.80161856
5,3.0,0.0,216,1,2,0.0,46895.5860002527
4,,0.0,98,1,4,0.0,50357.2702879069
1,,915.1083,92,1,1,0.0,210598.17953448
6,,0.0,59,3,1,0.0,16569.372325913
1,,2541.9675,140,1,2,0.0,75945.62668253
0,1.0,0.0,241,2,3,0.0,73713.161383
6,1.0,0.0,110,1,4,0.0,51940.771578434
1,,0.0,65,1,1,13116.5523,33408.9582898091
1,,0.0,144,1,2,0.0,132475.392549561
4,,0.0,102,1,1,8134.296,12816.828157583
6,3.0,0.0,121,1,4,0.0,28234.3861768846
4,,0.0,97,1,1,0.0,33295.90958248
6,,0.0,128,1,1,0.0,23650.994588104
1,2.0,0.0,88,1,2,0.0,56392.9936619278
6,,0.0,154,1,1,0.0,23650.7598117019
0,,1626.8592,67,3,3,0.0,78812.6907026
5,3.0,0.0,97,1,1,0.0,51940.771578434
0,1.0,1626.8592,137,2,3,0.0,34482.92433456
6,,0.0,124,2,4,0.0,24592.9334998641
0,,0.0,200,3,3,0.0,67379.0746191734
1,2.0,0.0,73,1,1,0.0,20161.4925596641
6,,1118.4657,82,1,1,0.0,24160.87944256
1,1.0,0.0,80,1,2,0.0,62506.6847943467
1,4.0,0.0,99,1,1,15861.8772,26617.9066637141
5,3.0,813.4296,62,1,1,0.0,19471.7490335088
1,3.0,0.0,55,3,1,0.0,4050.419473355
1,,4372.1841,121,1,2,0.0,247876.749643913
6,1.0,0.0,106,2,3,0.0,26095.0697756309
0,,0.0,130,2,3,0.0,25824.6099705
6,,0.0,72,2,4,996.45126,27459.8703783623
1,,0.0,152,2,1,0.0,51649.1409681
1,,0.0,102,1,2,0.0,160685.339507776
1,,1626.8592,67,1,2,0.0,78812.6907026
0,1.0,0.0,155,2,3,0.0,40767.389274832
0,2.0,0.0,127,2,3,0.0,24323.0525388
0,,0.0,224,2,3,0.0,30805.3013169304
3,2.0,0.0,84,1,1,10066.1913,21269.5097784143
6,,549.06498,97,1,4,0.0,65480.2193620872
6,1.0,0.0,165,2,4,0.0,46895.5860002527
6,2.0,0.0,142,3,1,0.0,33386.23889588
