white,english_language_learners_1,asian,poverty_1,grade_1,white_1,grade_3k_pk_half_day_full,grade_3
141,0.035,17,39.0%,62,0.45,16,44
70,0.033,95,83.7%,0,0.044,0,0
11,0.704,232,74.8%,0,0.021,0,0
24,0.01,6,81.8%,29,0.118,26,22
78,0.021,86,69.4%,0,0.209,0,0
23,0.067,53,77.8%,0,0.057,0,0
7,0.194,4,90.3%,14,0.056,0,28
33,0.13,853,48.5%,162,0.034,18,170
145,0.067,358,64.7%,0,0.081,0,0
11,0.043,15,79.5%,0,0.031,0,0
377,0.037,108,9.4%,104,0.614,20,101
551,0.033,59,9.0%,163,0.628,19,155
5,0.029,10,85.1%,0,0.021,0,0
104,0.06,166,55.3%,0,0.27,0,0
101,0.086,27,62.3%,58,0.234,35,62
137,0.01,45,21.7%,15,0.436,0,15
10,0.137,96,88.3%,0,0.029,0,0
265,0.0,33,18.2%,0,0.548,0,0
297,0.03,85,13.5%,69,0.551,18,54
24,0.047,47,74.2%,0,0.054,0,0
634,0.0,2443,43.1%,0,0.191,0,0
255,0.039,35,43.3%,84,0.495,40,72
36,0.834,94,89.3%,0,0.101,0,0
102,0.014,21,28.6%,0,0.479,0,0
13,0.143,9,77.9%,0,0.084,0,0
119,0.009,18,34.1%,31,0.372,40,38
11,0.11,14,80.1%,0,0.028,0,0
22,0.024,22,75.5%,0,0.052,0,0
6,0.149,5,82.7%,0,0.016,0,0
231,0.025,81,9.8%,85,0.524,35,61
625,0.0,2425,44.0%,0,0.188,0,0
720,0.004,579,25.3%,151,0.413,0,118
230,0.002,167,44.0%,0,0.391,0,0
202,0.0,93,Below 5%,61,0.586,0,62
7,0.052,20,79.5%,0,0.018,0,0
15,0.274,686,61.7%,99,0.02,46,132
7,0.076,8,85.9%,0,0.019,0,0
30,0.016,18,82.9%,0,0.061,0,0
12,0.047,38,82.1%,0,0.023,0,0
695,0.003,121,25.7%,0,0.504,0,0
32,0.052,8,82.7%,51,0.088,64,61
10,0.032,21,83.2%,0,0.027,0,0
298,0.025,92,17.7%,65,0.532,18,62
25,0.13,9,68.2%,53,0.068,49,55
445,0.02,126,8.5%,100,0.687,70,96
