property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
SW - 532 East 79th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,4,532 East 79th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.948694,Not Available,0,84.5,198728.5,Not Available,2022-09-26T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.770646,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,4.3,758.402197,Not Available,1.3,Not Available,Not Available,Not Available,198728.5,171.6,192288.7,0,Existing,44952.0,03/03/2022 01:54 PM EST,Not Available,Not Available,Gas Heat supplied by 510 East 79th Street (PM ID # 7530286),Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10075,Not Available,Not Available,No,132.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.26909,Not Available,Not Available,Not Available,Not Available,Not Available
3130 Grand Concourse,Not Available,Not Available,Ok,Not Available,Not Available,No,831.7,3130 Grand Concourse,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.886286,Not Available,0,84.5,1102316.7,Not Available,2022-09-22T00:00:00.000,Not Available,207.0,Not Available,Not Available,40.875123,Not Available,Ok,Not Available,11.0,Yes,Bedford Park-Fordham North,Not Available,7.5,5023.59073,Not Available,2.2,Not Available,Not Available,12,1102317,122,1076117.9,0,Existing,143577.0,03/02/2022 03:19 AM EST,Not Available,Not Available,2-03311-7501,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10458,Not Available,Not Available,No,413.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.46395,Not Available,Not Available,Not Available,Not Available,Not Available
MCP: 85-28 118th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,85-28 118th St,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.832771,Not Available,0,84.5,206248.1,Not Available,2022-09-23T00:00:00.000,Not Available,409.0,Not Available,Not Available,40.701972,Not Available,Ok,Not Available,29.0,No,Richmond Hill,Not Available,4.8,Not Available,Not Available,1.4,Not Available,Not Available,0,206248.2,114.9,200146.1,0,Existing,41302.0,04/05/2022 09:09 AM EDT,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,11415,Not Available,Not Available,No,132.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.13796,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 305 West 150th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,228.4,305 West 150th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.939774,Not Available,0,84.5,281731.7,Not Available,2022-09-22T00:00:00.000,Not Available,110.0,Not Available,Not Available,40.826085,Not Available,Ok,Not Available,9.0,No,Central Harlem North-Polo Grounds,Not Available,4.4,43000.63297,Not Available,1.3,Not Available,Not Available,Not Available,281731.7,130.1,281731.7,0,Existing,63961.0,05/25/2022 05:15 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,10039,Not Available,Not Available,No,23502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.68853,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1494-1 - 268-19 82nd Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,643.6,268-19 82nd Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.701817,Not Available,0,161.2,480265.7,Not Available,2022-09-22T00:00:00.000,Not Available,413.0,Not Available,Not Available,40.742909,Not Available,Ok,Not Available,23.0,No,Glen Oaks-Floral Park-New Hyde Park,Not Available,3,121180.8843,Not Available,1.7,Not Available,Not Available,8,480265.7,93.5,470459.5,0,Existing,158670.0,03/07/2022 03:34 PM EST,Not Available,Not Available,"4-08743-0102, Multiple",Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,11040,Not Available,Not Available,No,157901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.13443,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - Hilltop Village 3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,669.5,87-50 204th Street / 202-35 Foothill Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,,Not Available,0,84.5,1168844.6,Not Available,2022-09-22T00:00:00.000,Not Available,,Not Available,Not Available,,Not Available,Ok,Not Available,,No,,Not Available,5.3,126042.0029,Not Available,1.6,Not Available,Not Available,18,1168845,105.9,1146517.7,0,Existing,215852.0,03/03/2022 05:06 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,11427,Not Available,Not Available,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91266,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 7540 - 150 Nassau St,Not Available,4272588.7,Ok,Not Available,Not Available,Not Available,145.8,150 Nassau Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.006027,Not Available,0,84.5,2346958.1,Not Available,2022-09-22T00:00:00.000,Not Available,101.0,Not Available,Not Available,40.711541,Not Available,Ok,Not Available,1.0,Yes,Battery Park City-Lower Manhattan,Not Available,15.3,27444.54436,Not Available,6.3,Not Available,Not Available,14,2346958,117,2346958.1,0.84618,Existing,147722.0,03/07/2022 01:10 PM EST,Not Available,Not Available,1-00100-7501,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,10038,6594,Not Available,No,1501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2185,Not Available,Not Available,Parking,Not Available,Not Available
ZARA - Woodhull Park 191 - I LLC,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,116.5,191-11 Woodhull Ave,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.767581,Not Available,0,84.5,98902.5,Not Available,2022-09-22T00:00:00.000,Not Available,412.0,Not Available,Not Available,40.710683,Not Available,Ok,Not Available,27.0,No,Hollis,Not Available,2.9,21937.00137,Not Available,0.8,Not Available,Not Available,Not Available,98902.6,104.3,99165.3,0,Existing,34340.0,04/07/2022 05:32 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,11423,Not Available,Not Available,No,500.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.39779,Not Available,Not Available,Not Available,Not Available,Not Available
Progressive - 14-03 - 14-21 Heyson Road,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,112.6,14-03 - 14-21 Heyson Road,Not Available,Not Available,Multifamily Housing,0,Not Available,,Not Available,0,84.5,82183.7,Not Available,2022-09-22T00:00:00.000,Not Available,,Not Available,Not Available,,Not Available,Ok,Not Available,,No,,Not Available,3.3,21199.85136,Not Available,0.9,Not Available,Not Available,Not Available,82183.7,102.1,82813.2,0,Existing,25080.0,04/05/2022 09:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.9,Not Available,0,Not Available,11691,Not Available,Not Available,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.27592,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2882 - 200 East 59th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,92.1,200 East 59th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.966249,Not Available,0,84.5,1216258.9,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.7614,Not Available,Ok,Not Available,4.0,No,Turtle Bay-East Midtown,Not Available,8,17336.21507,Not Available,2.3,Not Available,Not Available,Not Available,1216259,129.9,1216258.9,0.43795,Existing,152984.0,03/01/2022 04:32 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10022,Not Available,Not Available,No,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.31386,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 300 East 71st Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1133.7,300 East 71st Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.958512,Not Available,0,84.5,2041095.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.767963,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,5.8,6210.30359,Not Available,1.7,Not Available,Not Available,0,2041095,107.4,1979517.4,0.89432,Existing,323151.0,05/14/2022 07:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10021,Not Available,Not Available,No,126.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.89432,Not Available,Not Available,Retail Store,Not Available,Not Available
General Theological - Hoffman West Quad,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,68.5,180 10th Avenue,Not Available,Not Available,Residence Hall/Dormitory,0,Not Available,-74.005229,Not Available,0,84.5,655733.3,Not Available,2022-09-22T00:00:00.000,Not Available,104.0,Not Available,Not Available,40.746216,Not Available,Ok,Not Available,3.0,No,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,4.7,12888.77111,Not Available,1.3,Not Available,Not Available,Not Available,655733.3,149.9,655733.3,Not Available,Existing,140360.0,05/20/2022 09:39 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10011,Not Available,Not Available,No,89.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1206 - 1070 Park Ave,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,577.2,1070 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.956399,Not Available,0,84.5,900516.2,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.781293,Not Available,Ok,100,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,4,108660.9964,Not Available,1.2,Not Available,Not Available,7,900516.3,90.5,878065.8,0.41225,Existing,218315.0,03/03/2022 05:07 PM EST,Not Available,Not Available,1-01499-0040,Not Available,Not Available,Not Available,No,0.5,6,0,Not Available,10128,Not Available,Not Available,No,15002.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.51302,Not Available,65,Office,Not Available,Not Available
Stonehenge - 364 West 18th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,237.7,364 West 18th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.002432,Not Available,0,84.5,431071.5,Not Available,2022-09-22T00:00:00.000,Not Available,104.0,Not Available,Not Available,40.742974,Not Available,Ok,Not Available,3.0,Yes,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,7.2,44761.20618,Not Available,2.1,Not Available,Not Available,0,431071.6,126.2,420440.4,0,Existing,52706.0,05/14/2022 07:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10011,Not Available,Not Available,No,83.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.32812,Not Available,Not Available,Retail Store,Not Available,Not Available
Stonehenge - 141 East 33rd Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,4.6,141 East 33rd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.979963,Not Available,0,84.5,979335,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.74564,Not Available,Ok,Not Available,2.0,Yes,Murray Hill-Kips Bay,Not Available,9.3,874.136398,Not Available,2.8,Not Available,Not Available,7,979335.1,129.5,946553.6,1.26166,Existing,95113.0,03/07/2022 04:18 PM EST,Not Available,Not Available,1-00889-0022,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10016,Not Available,Not Available,No,72.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.49296,Not Available,Not Available,Retail Store,Not Available,Not Available
58 Gerry Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,58 GERRY STREET,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.947626,Not Available,0,84.5,438375.6,Not Available,2022-09-22T00:00:00.000,Not Available,301.0,Not Available,Not Available,40.701335,Not Available,Ok,Not Available,33.0,Yes,Bedford,Not Available,6.3,Not Available,Not Available,1.8,Not Available,Not Available,Not Available,438375.7,133.2,438375.6,0,Existing,69224.0,04/12/2022 08:05 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,11206,Not Available,Not Available,No,507.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.39995,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 2400 Johnson Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,632.7,2400 Johnson Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.918201,Not Available,0,84.5,658085,Not Available,2022-09-22T00:00:00.000,Not Available,208.0,Not Available,Not Available,40.876816,Not Available,Ok,Not Available,11.0,Yes,Spuyten Duyvil-Kingsbridge,Not Available,4.4,119115.4953,Not Available,1.3,Not Available,Not Available,Not Available,658085.1,125.9,630221.6,0.91549,Existing,142000.0,03/01/2022 08:55 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.9,Not Available,0,Not Available,10463,30000,Not Available,No,29302.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.37324,Not Available,Not Available,Parking,Not Available,Not Available
SW - 65 Hillside Ave,Not Available,Not Available,Ok,Not Available,Not Available,No,227.1,65 Hillside Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.928324,Not Available,0,84.5,209274.2,Not Available,2022-09-26T00:00:00.000,Not Available,112.0,Not Available,Not Available,40.858565,Not Available,Ok,Not Available,10.0,No,Washington Heights North,Not Available,3.6,42751.17369,Not Available,1.1,Not Available,Not Available,5,209274.2,111.9,201643,0,Existing,56140.0,03/07/2022 03:32 PM EST,Not Available,Not Available,1-02170-0134,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10040,Not Available,Not Available,No,283.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.01532,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1174 - 212 West 18th Street,13942279.6,40988371.5,Ok,Not Available,Not Available,Not Available,0,212 West 18th Street,0,Not Available,Multifamily Housing,0,Not Available,-73.998535,Not Available,0,84.5,2171236.9,Not Available,2022-09-22T00:00:00.000,Not Available,104.0,Not Available,Not Available,40.74133,Not Available,Ok,Not Available,3.0,No,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,6.2,Not Available,Not Available,9.6,Not Available,Not Available,Not Available,2171237,793.2,2171236.9,0.23963,Existing,196139.0,05/20/2022 08:11 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,10011,Not Available,Not Available,No,81.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.68829,Not Available,Not Available,Data Center,Not Available,Not Available
DEPM 2766 - 7 West 96th St,Not Available,Not Available,Ok,Not Available,Not Available,No,437.9,7 West 96th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.965207,Not Available,0,84.5,385916.7,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.791894,Not Available,Ok,Not Available,7.0,No,Upper West Side,Not Available,3.5,1629.311574,Not Available,1.1,Not Available,Not Available,15,385916.8,124.3,372372.6,0.7595,Existing,105332.0,03/07/2022 07:22 PM EST,Not Available,Not Available,1-01832-0025,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10025,Not Available,Not Available,No,181.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.56648,Not Available,Not Available,Not Available,Not Available,Not Available
