address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
1220 Gerard Avenue,Not Available,Not Available,No,440,Not Available,2024800008,Not Available,37.7,Not Available,No,Not Available,Not Available,414000,96.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,05/2018,1256065.3,Not Available,Not Available,10452,74682.3,Not Available,04/09/2019 02:10 PM EDT,Not Available,20266609.2,Not Available,125583.0,Not Available,20266609.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,125583,Not Available
167-02 45th Avenue,Not Available,Not Available,No,240,No,4054460018,Not Available,-17.6,Not Available,No,Not Available,Not Available,Not Available,69.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,545599.9,Not Available,Not Available,11358,7431.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,12627998.1,Not Available,132060.0,Not Available,12627998.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,132060,Not Available
17-15 Weirfield Street,Not Available,Not Available,No,610.3,Not Available,4035610001,Not Available,16.1,Not Available,No,Not Available,Not Available,621419.5,63.4,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,07/2018,1258148,Not Available,Not Available,11385,23907.2,Not Available,04/09/2019 02:10 PM EDT,Not Available,15545640.5,Not Available,117126.0,Not Available,15545640.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,117126,Not Available
555 Fifth Avenue,Not Available,Not Available,No,Not Available,Not Available,1-01281-0069,Not Available,-2.2,Not Available,No,Not Available,Not Available,Not Available,75.5,Not Available,57.99,Not Available,No,207357,Not Available,4337131.2,Not Available,Not Available,10017,Not Available,Not Available,03/12/2019 01:25 PM EDT,Not Available,45760039.2,2,243294.0,Not Available,45760039.2,Not Available,Not Available,Retail Store,34137,Not Available,Not Available,34137,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1000 East Tremont Avenue,Not Available,Not Available,No,202.4,Not Available,2030050010,Not Available,-10.5,Not Available,No,Not Available,Not Available,2646426.1,65.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,591978.2,Not Available,Not Available,10460,24247.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,10814277.7,Not Available,108480.0,Not Available,10814277.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,108480,Not Available
2703 Webster Avenue,Not Available,Not Available,No,328,Not Available,2032780014,Not Available,12.4,Not Available,No,Not Available,Not Available,331337.9,76.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,974902.2,Not Available,Not Available,10458,33412.6,Not Available,04/09/2019 02:10 PM EDT,Not Available,13146782.3,Not Available,91200.0,Not Available,13146782.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,91200,Not Available
468 East 140th Street,Not Available,Not Available,No,204,Not Available,2022840034,Not Available,-37.1,Not Available,No,Not Available,Not Available,Not Available,44.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,456399.9,Not Available,Not Available,10454,32319.4,Not Available,04/09/2019 02:09 PM EDT,Not Available,7748508,Not Available,108000.0,Not Available,7748508,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,108000,Not Available
2163 Dean Street,Not Available,Not Available,No,148.8,Not Available,3014400056,Not Available,36.7,Not Available,No,Not Available,Not Available,823169.9,92.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,542639.9,Not Available,Not Available,11233,61829.6,Not Available,04/09/2019 04:47 PM EDT,Not Available,12304122.3,Not Available,93600.0,Not Available,12304122.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,93600,Not Available
19 East 103rd Street,Not Available,Not Available,No,206.4,Not Available,1016090007,Not Available,-6.1,Not Available,No,Not Available,Not Available,0,84.2,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,541919.9,Not Available,Not Available,10029,78889.2,Not Available,04/09/2019 04:47 PM EDT,Not Available,13321821.8,Not Available,114100.0,Not Available,13321821.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,114100,Not Available
735 West End Avenue,Not Available,Not Available,No,260,No,1012530065,Not Available,-36.5,Not Available,No,Not Available,Not Available,3309239.8,49.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,603372.2,Not Available,Not Available,10025,754,Not Available,04/09/2019 04:47 PM EDT,Not Available,9210983.8,Not Available,110575.0,Not Available,9210983.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110575,Not Available
341 East 207th Street,Not Available,Not Available,No,328,Not Available,2033510001,Not Available,11.3,Not Available,No,Not Available,Not Available,0,87.7,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,980799.9,Not Available,Not Available,10467,50084.5,Not Available,04/09/2019 02:10 PM EDT,Not Available,14694300.7,Not Available,96000.0,Not Available,14694300.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,96000,Not Available
475 West 155th Street,Not Available,Not Available,No,266,No,1021070026,Not Available,-34.6,Not Available,No,Not Available,Not Available,Not Available,50.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,479199.9,Not Available,Not Available,10032,4131.1,Not Available,04/09/2019 04:47 PM EDT,Not Available,9186833.2,Not Available,122525.0,Not Available,9186833.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,122525,Not Available
982 Hegeman Avenue,Not Available,Not Available,No,319.2,Not Available,3044770001,Not Available,56.3,Not Available,No,Not Available,Not Available,1868520,112.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,11/2018,721827.3,Not Available,Not Available,11208,108860.7,Not Available,04/09/2019 04:47 PM EDT,Not Available,20451807.6,Not Available,136800.0,Not Available,20451807.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,136800,Not Available
34 West 118th Street,Not Available,Not Available,No,425.8,Not Available,1016010001,Not Available,-9,Not Available,No,Not Available,Not Available,Not Available,78,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1115950.6,Not Available,Not Available,10026,80026.1,Not Available,04/09/2019 04:46 PM EDT,41 West 117th Street,19085452.9,Not Available,151200.0,Not Available,19085452.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,151200,Not Available
41 Madison Ave,Not Available,Not Available,No,Not Available,Not Available,1008550037,Not Available,19.8,Not Available,No,Not Available,Not Available,Not Available,119.1,Not Available,62.99,04/11/2019 09:06 AM EDT,No,518623,Not Available,6253431.2,Not Available,8321.3,10010,77.1,Not Available,04/30/2019 04:40 PM EDT,Not Available,109931703.2,Not Available,527815.0,40,109931703.2,Not Available,Not Available,Restaurant,Not Available,Not Available,2,5192,Not Available,Not Available,4000,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
121-10 Rockaway Boulevard,Not Available,Not Available,No,464.4,Not Available,4117140100,Not Available,-15.4,Not Available,No,Not Available,Not Available,1193700,65.1,510548.8,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,1455617.4,Not Available,Not Available,11420,95346.4,Not Available,04/16/2019 03:14 PM EDT,Not Available,25764943.3,Not Available,250800.0,Not Available,25764943.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,217.4,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,250800,Not Available
196-35 Peck Avenue,Not Available,Not Available,No,156,Not Available,4071280010,Not Available,-66.4,Not Available,No,Not Available,Not Available,2276999.9,24.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,267153.9,Not Available,Not Available,11365,218,Not Available,04/09/2019 02:10 PM EDT,Not Available,4886846.1,Not Available,129725.0,Not Available,4886846.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,129725,Not Available
32 West 92nd Street,Not Available,Not Available,No,132,Not Available,1012050006,Not Available,-25.7,Not Available,No,Not Available,Not Available,4768976.1,59.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,396799.9,Not Available,Not Available,10025,752,Not Available,04/09/2019 04:47 PM EDT,Not Available,8686494.3,Not Available,104525.0,Not Available,8686494.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,104525,Not Available
1750 Amsterdam Avenue,Not Available,Not Available,No,395.5,Not Available,1020780019,Not Available,-28.5,Not Available,No,Not Available,Not Available,760380.1,56.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,787599.9,Not Available,Not Available,10031,58871.6,Not Available,04/09/2019 04:47 PM EDT,Not Available,14327379.4,Not Available,162125.0,Not Available,14327379.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,162125,Not Available
510 Clermont Avenue,Not Available,Not Available,No,153,No,3020080001,Not Available,69,Not Available,No,Not Available,Not Available,Not Available,243.9,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,401100,Not Available,Not Available,11238,144,Not Available,04/09/2019 04:47 PM EDT,Not Available,17524081.4,Not Available,61200.0,Not Available,17524081.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,61200,Not Available
605 3rd Avenue,Not Available,Not Available,No,Not Available,Not Available,1009200012,Not Available,-22.5,Not Available,No,Not Available,Not Available,Not Available,64.3,Not Available,32.81,Not Available,No,677630,Not Available,11206622.2,1673,15287.5,10016,Not Available,Not Available,04/04/2019 05:10 PM EDT,Not Available,142814322,Not Available,1056389.0,Not Available,142814322,Not Available,Not Available,Financial Office,Not Available,Not Available,Not Available,378759,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
560 Theriot Avenue,Not Available,Not Available,No,128,Not Available,2035240020,Not Available,-20.9,Not Available,No,Not Available,Not Available,1173000,55.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,260800,Not Available,Not Available,10473,9518.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,4654489,Not Available,54000.0,Not Available,4654489,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,54000,Not Available
420 East 12th Street,Not Available,Not Available,No,244,Not Available,1004390017,Not Available,-14.4,Not Available,No,Not Available,Not Available,0,70.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,10/2018,702399.9,Not Available,Not Available,10009,78415.2,Not Available,04/09/2019 04:47 PM EDT,Not Available,14911788.7,Not Available,144175.0,Not Available,14911788.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,144175,Not Available
1449 Shakespeare Avenue,Not Available,Not Available,No,180.8,Not Available,2028730027,Not Available,-1.5,Not Available,No,Not Available,Not Available,623484.1,79.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,473759.9,Not Available,Not Available,10452,78843.1,Not Available,04/09/2019 02:10 PM EDT,Not Available,13177622.7,Not Available,124900.0,Not Available,13177622.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,124900,Not Available
284 Baltic Street,Not Available,Not Available,No,424,No,3004020001,Not Available,-34.5,Not Available,No,Not Available,Not Available,Not Available,53.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,834399.9,Not Available,Not Available,11201,3607,Not Available,04/09/2019 04:47 PM EDT,Not Available,15278990.8,Not Available,189600.0,Not Available,15278990.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,189600,Not Available
551 Madison Avenue,Not Available,Not Available,No,Not Available,Not Available,1012910021,Not Available,1.8,Not Available,No,Not Available,Not Available,Not Available,67.2,Not Available,45.02,04/08/2019 11:26 AM EDT,No,127158,Not Available,1977631,Not Available,2645.2,10022,17407.8,Not Available,04/08/2019 11:29 AM EDT,Not Available,20862253.4,Not Available,127158.0,Not Available,20862253.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
