bronx_cooperatives_comparable_properties_address,nta,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_3_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_3_expense_per_sqft,comparable_rental_1_estimated_expense,comparable_rental_2_gross_sqft,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_1_boro_block_lot,bronx_cooperatives_comparable_properties_estimated_expense,comparable_rental_1_full_market_value,bbl,comparable_rental_2_expense_per_sqft,community_board,comparable_rental_2_year_built,comparable_rental_2_neighborhood,comparable_rental_1_estimated_gross_income,comparable_rental_3_market_value_per_sqft,postcode
"{'latitude': '40.829839156022', 'longitude': '-73.901913808846', 'human_address': '{""address"": ""1218 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Morrisania-Melrose                                                         ,"14,400","{'latitude': '40.831227753964', 'longitude': '-73.896802306874', 'human_address': '{""address"": ""1384 PROSPECT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","40,996",1904,11,17.01,MORRISANIA/LONGWOOD,5.93,85397,14400,8.78,1904,2-02971-0014,86080,245000,2026630004.0,5.93,3.0,1904,MORRISANIA/LONGWOOD,126393,17.01,10456.0
"{'latitude': '40.841929443978', 'longitude': '-73.911120153525', 'human_address': '{""address"": ""1561 SHERIDAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Concourse-Concourse Village                                           ,"68,886","{'latitude': '40.841712461315', 'longitude': '-73.911142414295', 'human_address': '{""address"": ""1551 SHERIDAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","303,498",1940,69,24.77,MOUNT HOPE/MOUNT EDEN,7.18,318611,96990,11.58,1927,2-02821-0061,421091,1585000,2028210052.0,6.28,4.0,1935,MOUNT HOPE/MOUNT EDEN,584848,28.24,10457.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3321 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Schuylerville-Throgs Neck-Edgewater Park                                   ,"54,000","{'latitude': '40.846050678162', 'longitude': '-73.82906447339', 'human_address': '{""address"": ""3070 ROBERTS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","201,864",1929,49,26.26,SCHUYLERVILLE/PELHAM BAY,6.63,235580,57000,10.36,1928,2-04172-0007,384500,1221000,2054030025.0,6.45,10.0,1929,SCHUYLERVILLE/PELHAM BAY,453917,23.26,10461.0
"{'latitude': '40.864424344522', 'longitude': '-73.889235183101', 'human_address': '{""address"": ""2676 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Belmont                                                                    ,"12,320","{'latitude': '40.864044879438', 'longitude': '-73.889596273764', 'human_address': '{""address"": ""2656 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","83,816",1910,17,41.86,BEDFORD PARK/NORWOOD,6.33,156079,19613,13.13,1910,2-03277-0014,113940,921000,2032770023.0,6.55,7.0,1917,BATHGATE,333260,44.97,10458.0
"{'latitude': '40.821381988849', 'longitude': '-73.910777260819', 'human_address': '{""address"": ""530 159 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"17,785","{'latitude': '40.822682814881', 'longitude': '-73.910552764013', 'human_address': '{""address"": ""873 BROOK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","55,958",1920,27,17.08,MORRISANIA/LONGWOOD,5.84,102469,17520,8.99,1912,2-02365-0026,225582,269000,,6.07,,1910,MORRISANIA/LONGWOOD,147790,18.78,
"{'latitude': '40.904195036683', 'longitude': '-73.905032116194', 'human_address': '{""address"": ""5601 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        ,"235,467","{'latitude': '40.903081812225', 'longitude': '-73.906275374608', 'human_address': '{""address"": ""5535 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","1,440,497",1948,270,27.17,RIVERDALE,6.88,992875,151500,13,1948,2-05950-0430,780626,4774000,2059530545.0,5.18,8.0,1939,RIVERDALE,1875756,39.1,10471.0
"{'latitude': '40.877088902777', 'longitude': '-73.88957359898', 'human_address': '{""address"": ""3400 PAUL AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Van Cortlandt Village                                                      ,"128,500","{'latitude': '40.884596845168', 'longitude': '-73.905535532873', 'human_address': '{""address"": ""3411 IRWIN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","832,984",1962,138,15.39,KINGSBRIDGE/JEROME PARK,6.18,2470200,121796,12.66,1962,2-05759-0573,2729485,5310000,2032510420.0,5.09,7.0,2004,KINGSBRIDGE/JEROME PARK,4567800,38.69,10468.0
"{'latitude': '40.82237304147', 'longitude': '-73.908309573848', 'human_address': '{""address"": ""902 EAGLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Morrisania-Melrose                                                         ,"11,445","{'latitude': '40.822682814881', 'longitude': '-73.910552764013', 'human_address': '{""address"": ""873 BROOK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","43,418",1920,28,17.08,MORRISANIA/LONGWOOD,5.46,102469,17520,9.25,1925,2-02365-0026,116271,269000,2026270005.0,6.07,3.0,1910,MORRISANIA/LONGWOOD,147790,22.54,10456.0
"{'latitude': '40.888435686198', 'longitude': '-73.913060215948', 'human_address': '{""address"": ""3720 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        ,"72,553","{'latitude': '40.887600254178', 'longitude': '-73.90868609313', 'human_address': '{""address"": ""3660 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","553,390",1967,57,40.42,RIVERDALE,4.63,765281,90025,12.25,1960,2-05796-0129,446453,4322000,2059060331.0,6.15,8.0,1939,RIVERDALE,1415876,38.21,10463.0
"{'latitude': '40.841346610721', 'longitude': '-73.88269878937', 'human_address': '{""address"": ""1962 VYSE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               , ,"{'latitude': '40.840511658227', 'longitude': '-73.881261477468', 'human_address': '{""address"": ""1010 TREMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1918, ,53.68,EAST TREMONT, ,186430,11145, , ,2-03005-0082,140184,1228000,,3.65,6.0,1964,SCHUYLERVILLE/PELHAM BAY,366485, ,10460.0
"{'latitude': '40.826243546456', 'longitude': '-73.925645012257', 'human_address': '{""address"": ""828 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",West Concourse                                                             ,"68,800","{'latitude': '40.826439249036', 'longitude': '-73.924593942722', 'human_address': '{""address"": ""853 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","219,343",1927,60,36.66,MELROSE/CONCOURSE,5.24,167011,84000,8.43,1929,2-02474-0049,223538,804000,2024740010.0,5.45,4.0,1926,MELROSE/CONCOURSE,287936,19.07,10451.0
"{'latitude': '40.848163388182', 'longitude': '-73.909428878429', 'human_address': '{""address"": ""110 176 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"19,620","{'latitude': '40.844230629079', 'longitude': '-73.905852752565', 'human_address': '{""address"": ""1707 TOPPING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","83,193",1924,23,31.55,MOUNT HOPE/MOUNT EDEN,6.87,194058,56849,11.11,1913,2-02791-0044,193047,967000,,4.88,,1926,HIGHBRIDGE/MORRIS HEIGHTS,344162,26.15,
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1075 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"124,805","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1000 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","436,367",1935,103,20.18,MELROSE/CONCOURSE,5.76,832975,83793,9.26,1966,2-02461-0090,624642,2656000,,4.72,,1927,MELROSE/CONCOURSE,1281457,20.36,
"{'latitude': '40.817723033952', 'longitude': '-73.89473420663', 'human_address': '{""address"": ""850 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Hunts Point                                                                , ,"{'latitude': '40.818501634454', 'longitude': '-73.895919345947', 'human_address': '{""address"": ""885 INTERVALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1931, ,21.31,MORRISANIA/LONGWOOD, ,125719,19717, , ,2-02709-0024,226538,458000,2027320021.0,4.96,2.0,1925,MORRISANIA/LONGWOOD,202875, ,10459.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3616 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Spuyten Duyvil-Kingsbridge                                                 ,"81,880","{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","282,410",1939,67,32.39,RIVERDALE,6.21,298924,134703,9.66,1941,2-05795-0537,1232245,1969000,2058000001.0,5.95,8.0,1928,RIVERDALE,714186,20.44,10463.0
"{'latitude': '40.864217439386', 'longitude': '-73.889522844095', 'human_address': '{""address"": ""2665 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Bedford Park-Fordham North                                                 ,"19,613","{'latitude': '40.864044879438', 'longitude': '-73.889596273764', 'human_address': '{""address"": ""2656 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","93,162",1910,26,41.86,BEDFORD PARK/NORWOOD,6.55,156079,30590,11.3,1917,2-03277-0014,172320,921000,2032820046.0,7.18,7.0,1922,FORDHAM,333260,29.83,10458.0
"{'latitude': '40.856169805382', 'longitude': '-73.866617620992', 'human_address': '{""address"": ""2186 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Pelham Parkway                                                             ,"88,810","{'latitude': '40.8565251774', 'longitude': '-73.866679883437', 'human_address': '{""address"": ""2197 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","694,258",1928,89,42.72,PELHAM PARKWAY SOUTH,6.21,255152,88386,14.03,1930,2-04318-0030,484354,3003000,2043190015.0,5.03,11.0,1930,PELHAM PARKWAY SOUTH,738553,45.46,10462.0
"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",West Concourse                                                             ,"30,800","{'latitude': '40.836243825191', 'longitude': '-73.91777984188', 'human_address': '{""address"": ""125 168 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","172,547",1924,27,17.85,MELROSE/CONCOURSE,6.85,252225,16410,12.45,1924,2-02466-0044,316710,812000,2024880036.0,6.21,4.0,1919,MELROSE/CONCOURSE,388015,37.56,10452.0
"{'latitude': '40.827294328068', 'longitude': '-73.881698144106', 'human_address': '{""address"": ""1160 COLGATE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Soundview-Bruckner                                                         ,"16,750","{'latitude': '40.816826201337', 'longitude': '-73.89697639151', 'human_address': '{""address"": ""800 FOX STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","66,955",1931,17,22.95,MORRISANIA/LONGWOOD,6.16,139123,16750,10.16,1931,2-02721-0001,82021,482000,2037370037.0,6.1,9.0,1931,MORRISANIA/LONGWOOD,224243,24.9,10472.0
"{'latitude': '40.818300393346', 'longitude': '-73.92031358746', 'human_address': '{""address"": ""318 151 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"13,235","{'latitude': '40.809904619543', 'longitude': '-73.920675358185', 'human_address': '{""address"": ""461 140 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","75,190",1905,20,37.25,MOTT HAVEN/PORT MORRIS,7.84,104499,13235,13.53,1902,2-02285-0064,54472,493000,,7.84,,1902,MOTT HAVEN/PORT MORRIS,179005,37.63,
"{'latitude': '40.912422945281', 'longitude': '-73.902569228577', 'human_address': '{""address"": ""6300 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        , ,"{'latitude': '40.903119530613', 'longitude': '-73.906169923979', 'human_address': '{""address"": ""5530 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1948, ,39.1,RIVERDALE, ,1619950,151500, , ,2-05950-0429,557600,9207000,2058911601.0,5.18,8.0,1939,RIVERDALE,3060447, ,10471.0
"{'latitude': '40.866020278366', 'longitude': '-73.868311851103', 'human_address': '{""address"": ""2750 OLINVILLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Bronxdale                                                                  ,"45,018","{'latitude': '40.867024267812', 'longitude': '-73.8682856311', 'human_address': '{""address"": ""2830 OLINVILLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","277,302",1929,49,24.3,BRONXDALE,5.65,244883,46008,11.81,1928,2-04508-0052,441787,1166000,2045080010.0,6.2,11.0,1929,BRONXDALE,463796,30.54,10467.0
"{'latitude': '40.849455668917', 'longitude': '-73.9009170266', 'human_address': '{""address"": ""2025 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Mount Hope                                                                 , ,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""908 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1915, ,40.21,EAST TREMONT, ,139240,23250, , ,2-03125-0012,283860,774000,2031490061.0,7.97,5.0,1923,HIGHBRIDGE/MORRIS HEIGHTS,263022, ,10457.0
"{'latitude': '40.872284277353', 'longitude': '-73.88556338049', 'human_address': '{""address"": ""3000 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Bedford Park-Fordham North                                                 ,"37,376","{'latitude': '40.872301526556', 'longitude': '-73.885632199289', 'human_address': '{""address"": ""3001 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","191,321",1926,37,32.08,BEDFORD PARK/NORWOOD,5.58,252019,32300,10.7,1937,2-03307-0053,287928,1177000,2033070001.0,5.16,7.0,1936,BEDFORD PARK/NORWOOD,458183,31.73,10458.0
"{'latitude': '40.887765742934', 'longitude': '-73.915779782582', 'human_address': '{""address"": ""3671 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        , ,"{'latitude': '40.885146854323', 'longitude': '-73.907410007235', 'human_address': '{""address"": ""500 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1954, ,46.09,KINGSBRIDGE/JEROME PARK, ,560265,90025, , ,2-05784-0340,1256976,4268000,2059200653.0,6.15,8.0,1939,RIVERDALE,1304480, ,10463.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1591 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Soundview-Bruckner                                                         ,"51,190","{'latitude': '40.821021276082', 'longitude': '-73.89565834556', 'human_address': '{""address"": ""955 163 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","246,664",1982,48,24.14,MORRISANIA/LONGWOOD,7.71,1022326,47826,12.53,1910,2-02713-0002,810124,3592000,2037170001.0,6.25,9.0,1929,MORRISANIA/LONGWOOD,1602028,32.29,10472.0
"{'latitude': '40.826159116255', 'longitude': '-73.915578141666', 'human_address': '{""address"": ""943 TELLER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Concourse-Concourse Village                                           , ,"{'latitude': '40.822992881431', 'longitude': '-73.912399838604', 'human_address': '{""address"": ""462 160 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1910, ,22.03,MORRISANIA/LONGWOOD, ,106268,16410, , ,2-02381-0051,202958,386000,2024220030.0,6.21,4.0,1919,MELROSE/CONCOURSE,171413, ,10451.0
"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",West Concourse                                                             ,"51,000","{'latitude': '40.831419386576', 'longitude': '-73.921651456151', 'human_address': '{""address"": ""1055 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","177,497",1938,50,20.22,MELROSE/CONCOURSE,6.46,341083,48395,9.94,1929,2-02478-0064,312875,1088000,2024790001.0,6.05,4.0,1922,MELROSE/CONCOURSE,524712,21.75,10452.0
"{'latitude': '40.823141442756', 'longitude': '-73.919767525003', 'human_address': '{""address"": ""780 CONCOURSE VILLAGE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"194,388","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""900 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","1,395,853",1923,189,42.41,MELROSE/CONCOURSE,18.59,2452472,156504,25.77,1972,2-02460-0001,7650375,11729000,,8.75,,1982,MELROSE/CONCOURSE,4156980,40.36,
"{'latitude': '40.850245148692', 'longitude': '-73.903860214205', 'human_address': '{""address"": ""250 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"61,806","{'latitude': '40.841065746342', 'longitude': '-73.910331190296', 'human_address': '{""address"": ""1546 SELWYN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","341,787",1927,60,28.24,MOUNT HOPE/MOUNT EDEN,6.5,494299,78000,12.03,1926,2-02820-0016,390600,1945000,,5.58,,1937,MOUNT HOPE/MOUNT EDEN,797797,35.21,
"{'latitude': '40.888990840119', 'longitude': '-73.913056791538', 'human_address': '{""address"": ""3777 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        , ,"{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1939, ,32.39,RIVERDALE, ,298924,108955, , ,2-05795-0537,1259700,1969000,2059190436.0,4.96,8.0,1955,RIVERDALE,714186, ,10463.0
"{'latitude': '40.849661699861', 'longitude': '-73.904448772928', 'human_address': '{""address"": ""240 ECHO PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Mount Hope                                                                 ,"41,250","{'latitude': '40.849681393271', 'longitude': '-73.907913750456', 'human_address': '{""address"": ""105 177 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","289,575",1927,44,40.28,MOUNT HOPE/MOUNT EDEN,7.92,176700,37000,14.94,1914,2-02806-0001,274657,1815000,2028090022.0,6.01,5.0,1936,MOUNT HOPE/MOUNT EDEN,494814,45.09,10457.0
"{'latitude': '40.841576707925', 'longitude': '-73.885442052196', 'human_address': '{""address"": ""1922 CROTONA PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",East Tremont                                                               ,"19,668","{'latitude': '40.843474901811', 'longitude': '-73.882673368985', 'human_address': '{""address"": ""916 179 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","73,493",1931,22,11.04,EAST TREMONT,6.04,66320,19250,9.77,1931,2-03122-0016,167254,179000,2029850023.0,7.23,6.0,1915,EAST TREMONT,96433,22.12,10460.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""268 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.85690882679', 'longitude': '-73.903387241676', 'human_address': '{""address"": ""62 182 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1921, ,30.74,FORDHAM, ,155470,17460, , ,2-03181-0022,140539,724000,,6.4,,1916,FORDHAM,268067, ,
