grade_k,students_with_disabilities,multi_racial_1,black_1,english_language_learners_1,grade_12,asian,grade_8,year,poverty,white_1
0,46,0.0,0.094,0.718,224,274,0,2018-19,404,0.018
0,20,0.025,0.006,0.0,833,2507,0,2016-17,1526,0.179
14,46,0.029,0.609,0.072,0,0,0,2018-19,113,0.014
0,161,0.002,0.228,0.087,124,3,0,2016-17,451,0.037
0,58,0.014,0.04,0.033,0,138,93,2019-20,135,0.243
86,96,0.061,0.117,0.082,0,112,0,2017-18,196,0.404
0,53,0.0,0.276,0.046,39,6,0,2018-19,173,0.046
23,67,0.008,0.169,0.017,0,7,0,2019-20,215,0.042
0,18,0.012,0.271,0.0,11,11,0,2016-17,91,0.289
0,12,0.0,0.202,0.837,86,74,0,2016-17,322,0.08
0,76,0.0,0.306,0.039,48,18,0,2018-19,265,0.066
