multi_racial,asian_1,school_name,total_enrollment,grade_9,female_1
1,0.135,Chelsea Career and Technical Education High School,451,149,0.262
31,0.874,P.S. 130 Hernando De Soto,913,0,0.478
3,0.059,New Design High School,407,140,0.565
10,0.168,Eleanor Roosevelt High School,541,133,0.604
10,0.259,P.S. 020 Anna Silver,464,0,0.502
1,0.453,P.S. 001 Alfred E. Smith,247,0,0.449
0,0.09,Manhattan Village Academy,456,106,0.599
30,0.22,P.S. 116 Mary Lindley Murray,500,0,0.526
21,0.064,Professional Performing Arts High School,544,125,0.756
32,0.139,P.S. 212 Midtown West,366,0,0.505
3,0.089,P.S. 019 Asher Levy,257,0,0.444
5,0.094,P.S. 102 Jacques Cartier,265,0,0.419
1,0.01,Wadleigh Secondary School for the Performing & Vis,313,81,0.661
5,0.055,Harvest Collegiate High School,452,149,0.546
4,0.044,The 47 American Sign Language & English Lower Scho,181,0,0.497
0,0.002,Manhattan Bridges High School,525,154,0.531
2,0.086,The Riverside School for Makers and Artists,521,0,0.459
1,0.059,High School of Hospitality Management,322,95,0.674
0,0.111,Orchard Collegiate Academy,171,72,0.474
25,0.093,Ella Baker School,343,0,0.496
83,0.082,P.S. 041 Greenwich Village,699,0,0.542
68,0.085,Art and Design High School,1478,437,0.661
2,0.025,P.S. 38 Roberto Clemente,243,0,0.506
8,0.171,P.S. 006 Lillie D. Blake,671,0,0.511
51,0.115,J.H.S. 054 Booker T. Washington,867,0,0.514
14,0.097,P.S. 452,319,0,0.483
1,0.02,STEM Institute of Manhattan,102,0,0.431
4,0.016,West Prep Academy,185,0,0.454
4,0.914,P.S. 042 Benjamin Altman,654,0,0.477
5,0.102,P.S. 102 Jacques Cartier,313,0,0.463
0,0.018,Murry Bergtraum High School for Business Careers,114,41,0.614
4,0.131,Union Square Academy for Health Sciences,406,128,0.729
9,0.13,P.S. 452,376,0,0.457
24,0.159,Special Music School,314,44,0.487
1,0.611,M.S. 131,252,0,0.444
18,0.163,P.S. 89,412,0,0.483
20,0.069,M.S. M245 The Computer School,403,0,0.514
0,0.039,City Knoll Middle School,129,0,0.442
28,0.168,P.S. 212 Midtown West,328,0,0.506
43,0.233,J.H.S. 167 Robert F. Wagner,1357,0,0.475
21,0.312,The River School,459,0,0.508
8,0.036,Talent Unlimited High School,478,129,0.797
61,0.08,P.S. 234 Independence School,638,0,0.511
7,0.036,Talent Unlimited High School,532,139,0.75
2,0.019,The Global Learning Collaborative,428,106,0.47
41,0.393,J.H.S. 104 Simon Baruch,1017,0,0.472
0,0.016,The Urban Assembly School for Green Careers,319,71,0.445
39,0.552,New York City Lab Middle School for Collaborative,574,0,0.488
39,0.149,P.S. 011 William T. Harris,931,0,0.498
53,0.176,P.S. 059 Beekman Hill International,614,0,0.51
11,0.275,"Ballet Tech, NYC Public School for Dance",142,0,0.521
0,0.018,47 The American Sign Language and English Secondar,222,46,0.685
0,0.033,P.S. 108 Assemblyman Angelo Del Toro Educational C,513,0,0.454
