pops_number,bin,building_location,developer,borocode,tax_block,council_district,borough_name,xcoordinate,:@computed_region_yeji_bk3q
M050064,1014387.0,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,Harry Helmsley & Larry Wien,1,783.0,3,Manhattan,986363,4
M060045,1037599.0,South side of East 47th Street between Second and Third Avenues,,1,1320.0,4,Manhattan,992102,4
M110001,1082901.0,Northwest corner of Third Avenue and East 96th Street,,1,1624.0,8,Manhattan,998199,4
M080100,1045271.0,"Full blockfront on east side of First Avenue between East 60th and 61st Streets. Original BBL: 1455/1, 4, 6.",,1,1455.0,5,Manhattan,995143,4
M080093,1050342.0,East side of Second Avenue between East 95th and 96th Streets. Original BBL: 1558/85.,,1,1558.0,8,Manhattan,998940,4
M010032,1000021.0,"Full block bounded by Whitehall Street, State Street, Pearl Street and Bridge Street",,1,9.0,1,Manhattan,980443,4
M060033,1081162.0,West side of Third Avenue between East 54th and 55th Streets,Progress Partners,1,1309.0,4,Manhattan,992812,4
M070016,1027461.0,North side of West 62nd Street between Broadway and Columbus Avenue,The Harkness Company,1,1115.0,6,Manhattan,989004,4
M080040,1047938.0,Full blockfront on west side of Third Avenue between East 85th and 86th Streets,,1,1514.0,4,Manhattan,996787,4
M050021,1083719.0,West side of Sixth Avenue between West 54th and 55th Streets,Fisher Brothers,1,1007.0,6,Manhattan,989997,4
M080032,1046427.0,East side of Fifth Avenue between East 79th and 80th Streets,Bernard Spitzer,1,1491.0,4,Manhattan,994456,4
M060055,1038549.0,East side of Third Avenue between East 53rd and 54th Streets,Gerald Hines,1,1327.0,4,Manhattan,992900,4
M080082,1043921.0,North side of East 70th Street between Second and Third Avenues,211 East 70th Street Company,1,1425.0,5,Manhattan,995179,4
M010014,1000864.0,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,,1,33.0,1,Manhattan,982148,4
M060038,1037178.0,South side of East 41st Street between Second and Third Avenues,Zeckendorf Worldwide,1,1314.0,4,Manhattan,991544,4
M080068,1050543.0,"South side of East 86th Street between York and First Avenues. Additional lot: 1565/17,29.",Kal Associates,1,1565.0,5,Manhattan,998684,4
M010050,1087146.0,Northeast side of Maiden Lane between Gold Street and Pearl Street,Rockrose Development Corp.,1,69.0,1,Manhattan,982328,4
M050057,1034196.0,Southeast corner of Sixth Avenue and West 43rd Streets,Robert Arnow,1,1258.0,4,Manhattan,989002,4
M070017,1027365.0,Southeast corner of Columbus Avenue and West 62nd Street,"Lincoln Plaza, Inc.",1,1114.0,6,Manhattan,988922,4
M010030,1000018.0,Full blockfront on west side of Whitehall Street between State and  Pearl Streets,,1,9.0,1,Manhattan,980562,4
K020008,3393888.0,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,"Avalon Bay Communities, Inc.",3,2049.0,35,Brooklyn,988996,2
M080043,1048043.0,North side of East 87th Street between Lexington and Park Avenues,,1,1516.0,4,Manhattan,996547,4
M050015,1035778.0,Southwest corner of East 57th Street and Madison Avenue,,1,1292.0,4,Manhattan,991718,4
M060030,1036446.0,West side of Third Avenue between East 49th and 50th Streets,"Cohen, Levy & Wohl",1,1304.0,4,Manhattan,992186,4
M050031,1081406.0,East Side of Sixth Avenue between West 52nd and 53rd Streets,,1,1268.0,4,Manhattan,990138,4
M010021,1000814.0,Southeast corner of Exchange Alley and Broadway,Jack Resnick,1,22.0,1,Manhattan,980847,4
M070026,1077845.0,Full blockfront on west side of Amsterdam Avenue between West 59th and 60th Streets,,1,1151.0,6,Manhattan,987630,4
M010046,1001004.0,North side of Wall Street between William and Pearl Streets,,1,40.0,1,Manhattan,981892,4
M050113,1000000.0,,,1,830.0,3,Manhattan,987275,4
M050069,1016749.0,Southeast corner of East 26th Street and Madison Avenue,Samuel Rudin,1,855.0,2,Manhattan,988055,4
M060060,1038670.0,South side of East 44th Street between First and Second Avenues,United Nations Development Corporation,1,1336.0,4,Manhattan,992603,4
K020012,3428715.0,,Two Trees Management,3,2110.0,35,Brooklyn,990213,2
M010053,1087485.0,Fronting Spruce Street and Beekman Street between Nassau Street and Gold Street,Forest City Ratner,1,100.0,1,Manhattan,982676,4
M060065,1038896.0,East side of Second Avenue between East 46th and 47th Streets,Harry Macklowe,1,1339.0,4,Manhattan,992584,4
Q070001,4607310.0,,,4,4978.0,20,Queens,1031978,3
M010007,1001116.0,Full blockfront on east side of William Street bounded by Platt and John Streets,,1,68.0,1,Manhattan,982254,4
M060058,1038577.0,East side of Third Avenue between East 55th and 56th Streets,,1,1329.0,4,Manhattan,993229,4
M060092,1089237.0,,JDS Development Group,1,967.0,4,Manhattan,992025,4
M050039,1035466.0,East side of Madison Avenue between East 50th and 51st Streets,Harry Helmsley,1,1286.0,4,Manhattan,991176,4
M050008,1035071.0,North side of West 57th Street between Fifth and Sixth Avenues,Solow Building Co.,1,1273.0,4,Manhattan,991178,4
M060041,1037555.0,East side of Third Avenue between East 43rd and 44th Streets,American Home Products Corporation,1,1317.0,4,Manhattan,991639,4
M010041,1001137.0,"Full block bounded by Water, John, Front, and Fletcher Streets",Howard Ronson,1,71.0,1,Manhattan,982828,4
M060026,1089024.0,Northwest corner of East 40th Street and Third Avenue,"Tishman Realty and Construction Co., Inc.",1,1295.0,4,Manhattan,990934,4
M050102,1069590.0,"North side of West 54th Street between Sixth and Seventh Avenues. Additional lot: 1007/5, 58.","William Zeckendorf, Jr.",1,1007.0,6,Manhattan,989662,4
M050078,1081145.0,East side of Fifth Avenue between East 49th and 50th Streets,Saks Fifth Avenue/Swiss Bank Corp.,1,1285.0,4,Manhattan,990673,4
M080059,1050044.0,Northeast corner of Second Avenue and East 87th Street,,1,1550.0,5,Manhattan,997877,4
K020010,3424471.0,Building is located at the northeast corner of Fulton Street and St. Felix Street.,,3,2108.0,35,Brooklyn,990374,2
M080086,1043902.0,Full blockfront on east side of Third Avenue between East 68th and 69th Streets. Original BBL: 1423/1001-1416.,The Trump Organization,1,1423.0,5,Manhattan,994842,4
M040012,1089807.0,,,1,689.0,3,Manhattan,982194,4
M050115,1090786.0,,GDSNY,1,832.0,3,Manhattan,987389,4
M060023,1021933.0,North side of East 38th Street between First and Second Avenues,,1,944.0,4,Manhattan,991670,4
M050089,1076267.0,South side of East 52nd Street between Park and Madison Avenues,Jack and Lewis Rudin,1,1287.0,4,Manhattan,991419,4
M060003,1078756.0,North side of East 31st Street between Third and Lexington Avenues,Mastic Development  Corp.,1,887.0,2,Manhattan,989761,4
M060034,1036882.0,Southwest corner of Third Avenue and East 57th Street,Greenwich Savings Bank,1,1311.0,4,Manhattan,993089,4
M060035,1036915.0,South side of East 58th Street between Third and Lexington Avenues,,1,1312.0,4,Manhattan,993136,4
M050101,1022667.0,South side of  West 47th Street between Sixth and Seventh Avenues,The Durst Organization,1,999.0,4,Manhattan,988949,4
M080054,1076841.0,Full blockfront on west side of First Avenue between East 80th and 81st Streets. Original BBL: 1543/1001-1335.,,1,1543.0,5,Manhattan,997460,4
M010022,1000804.0,West side of Broadway between Morris Street and Exchange Alley,"HRO International, Ltd.",1,20.0,1,Manhattan,980572,4
M060044,1037607.0,West side of Second Avenue between East 46th and 47th Streets,"R. H. Sanbar Projects, Inc.",1,1320.0,4,Manhattan,992442,4
M010047,1075702.0,East side of Church Street between Dey and Fulton Streets,Kalikow Realty,1,80.0,1,Manhattan,981410,4
M070027,1088686.0,Full blockfronts on west side of West End Avenue between West 61st and 63rd Streets,Brodsky Organization,1,1171.0,6,Manhattan,987185,4
M060073,1040156.0,North side of East 52nd Street between FDR Drive and First Avenue,,1,1364.0,4,Manhattan,994308,4
M050077,,North side of West 56th Street and south side of West 57th Street between Sixth and Seventh Avenues,Rockrose Development Corp.,1,,6,Manhattan,989803,4
M080069,1050621.0,Full blockfront on west side of York Avenue between East 88th and 89th Streets,Madison Holding Corp. and Arwin East 88th St. Co.,1,1568.0,5,Manhattan,999114,4
M070009,1028458.0,Northwest corner of Central Park West and West 68th Street,"Julius Hoffman, Irving Klein, Michael Hoffman, Pasquale Dario",1,1121.0,6,Manhattan,990305,4
