dbn,school_name,asian_2,grade_5,grade_2,grade_12,english_language_learners_1,poverty,year,grade_8,male_1,english_language_learners_2,grade_pk,hispanic_2,grade_6,grade_9,male_2
01M448,University Neighborhood High School,28.0,0.0,0,49.0,47.0,300,2015-16,0.0,195.0,13.7,0.0,41.4,0.0,120.0,56.9
15K131,P.S. 131 Brooklyn,34.5,165.0,197,0.0,462.0,1085,2015-16,0.0,570.0,42.6,36.0,55.3,0.0,0.0,52.5
04M038,P.S. 38 Roberto Clemente,4.4,42.0,38,0.0,24.0,240,2015-16,0.0,129.0,9.5,27.0,60.7,0.0,0.0,51.2
02M276,Battery Park City School,20.5,114.0,96,0.0,19.0,58,2015-16,65.0,454.0,2.2,0.0,10.9,93.0,0.0,52.1
12X478,The Cinema School,,0.0,0,79.0,15.0,251,2015-16,0.0,121.0,4.7,0.0,70.4,0.0,76.0,38.1
10X244,The New School for Leadership and Journalism,2.3,0.0,0,0.0,158.0,731,2015-16,327.0,396.0,20.5,0.0,82.9,169.0,0.0,51.3
05M197,P.S. 197 John B. Russwurm,,36.0,50,0.0,18.0,290,2015-16,0.0,189.0,5.7,36.0,32.7,0.0,0.0,59.4
02M425,Leadership and Public Service High School,5.1,0.0,0,169.0,44.0,495,2015-16,0.0,289.0,6.4,0.0,61.5,0.0,223.0,42.3
19K504,High School for Civil Rights,,0.0,0,57.0,18.0,201,2015-16,0.0,176.0,6.1,0.0,22.2,0.0,78.0,60.1
16K393,Frederick Douglass Academy IV Secondary School,0.0,0.0,0,21.0,0.0,62,2015-16,0.0,37.0,0.0,0.0,15.6,0.0,16.0,48.1
13K483,The Urban Assembly School for Law and Justice,2.4,0.0,0,108.0,,334,2015-16,0.0,206.0,,0.0,20.9,0.0,115.0,44.9
01M650,Cascades High School,,0.0,0,99.0,,169,2015-16,0.0,97.0,,0.0,55.4,0.0,,41.6
07X522,Bronx Design and Construction Academy,,0.0,0,97.0,85.0,535,2015-16,0.0,464.0,14.7,0.0,70.5,0.0,204.0,80.4
15K130,P.S. 130 The Parkside,19.9,96.0,101,0.0,113.0,770,2015-16,0.0,386.0,14.7,72.0,26.9,0.0,0.0,50.1
11X265,Bronx Lab School,3.0,0.0,0,90.0,48.0,436,2015-16,0.0,247.0,11.0,0.0,50.9,0.0,144.0,56.7
02M420,High School for Health Professions and Human Servi,20.6,0.0,0,331.0,107.0,1700,2015-16,0.0,505.0,6.3,0.0,53.0,0.0,511.0,29.7
11X019,P.S. 019 Judith K. Weiss,3.7,64.0,60,0.0,39.0,284,2015-16,53.0,255.0,7.5,0.0,28.4,49.0,0.0,49.2
09X543,High School for Violin and Dance,,0.0,0,82.0,49.0,300,2015-16,0.0,62.0,15.0,0.0,64.2,0.0,67.0,19.0
09X365,Academy for Language and Technology,0.0,0.0,0,64.0,195.0,307,2015-16,0.0,181.0,62.7,0.0,99.7,0.0,87.0,58.2
12X300,The School of Science and Applied Learning,,101.0,113,0.0,84.0,526,2015-16,0.0,318.0,13.7,18.0,59.3,0.0,0.0,52.0
15K136,I.S. 136 Charles O. Dewey,5.9,0.0,0,0.0,180.0,469,2015-16,185.0,276.0,36.4,0.0,84.0,155.0,0.0,55.8
14K577,Conselyea Preparatory School,2.8,0.0,0,0.0,15.0,506,2015-16,170.0,214.0,3.0,0.0,58.9,180.0,0.0,42.3
17K600,Clara Barton High School,1.3,0.0,0,297.0,115.0,1059,2015-16,0.0,404.0,8.5,0.0,6.3,0.0,454.0,29.7
14K031,P.S. 031 Samuel F. Dupont,8.3,74.0,84,0.0,41.0,439,2015-16,0.0,314.0,6.7,91.0,43.4,0.0,0.0,51.4
20K104,P.S./I.S. 104 The Fort Hamilton School,21.8,115.0,113,0.0,116.0,744,2015-16,161.0,656.0,9.4,0.0,24.5,166.0,0.0,53.1
19K510,World Academy for Total Community Health High Scho,,0.0,0,75.0,25.0,202,2015-16,0.0,101.0,10.0,0.0,19.1,0.0,61.0,40.2
15K058,P.S. 058 The Carroll,4.0,151.0,168,0.0,53.0,105,2015-16,0.0,517.0,5.3,54.0,11.7,0.0,0.0,52.0
05M362,Columbia Secondary School,12.3,0.0,0,80.0,,358,2015-16,97.0,331.0,,0.0,43.9,99.0,101.0,49.6
12X267,Bronx Latin,,0.0,0,61.0,70.0,526,2015-16,94.0,322.0,12.4,0.0,77.5,73.0,96.0,57.1
10X546,Bronx Theatre High School,,0.0,0,58.0,37.0,322,2015-16,0.0,116.0,9.7,0.0,64.8,0.0,146.0,30.3
03M185,P.S. 185 - The Early Childhood Discovery and Design,,0.0,47,0.0,18.0,210,2015-16,0.0,117.0,7.5,58.0,27.8,0.0,0.0,48.5
10X054,P.S./I.S. 54,,84.0,78,0.0,130.0,494,2015-16,0.0,251.0,25.8,53.0,69.8,0.0,0.0,49.8
15K767,Pre-K Center District 15,15.6,0.0,0,0.0,0.0,218,2015-16,0.0,111.0,0.0,218.0,53.7,0.0,0.0,50.9
14K477,School for Legal Studies,,0.0,0,125.0,94.0,378,2015-16,0.0,274.0,18.5,0.0,53.8,0.0,145.0,53.8
02M412,N.Y.C. Lab School for Collaborative Studies,24.3,0.0,0,134.0,,163,2015-16,0.0,232.0,,0.0,15.4,0.0,117.0,44.0
15K519,Cobble Hill School of American Studies,3.1,0.0,0,105.0,42.0,498,2015-16,0.0,280.0,7.1,0.0,25.6,0.0,177.0,47.5
02M442,"Ballet Tech, NYC Public School for Dance",36.2,44.0,0,0.0,0.0,152,2015-16,23.0,71.0,0.0,0.0,15.8,25.0,0.0,46.7
19K659,Cypress Hills Collegiate Preparatory School,6.9,0.0,0,77.0,42.0,190,2015-16,0.0,125.0,18.1,0.0,65.9,0.0,40.0,53.9
05M125,P.S. 125 Ralph Bunche,5.7,23.0,35,0.0,26.0,181,2015-16,0.0,117.0,11.3,38.0,41.7,0.0,0.0,50.9
10X003,P.S. 3 Raul Julia Micro Society,,24.0,43,0.0,35.0,332,2015-16,43.0,153.0,10.2,30.0,68.3,38.0,0.0,44.5
09X011,P.S. 011 Highbridge,,132.0,114,0.0,176.0,669,2015-16,0.0,366.0,25.2,0.0,69.1,0.0,0.0,52.4
07X547,New Explorers High School,,0.0,0,62.0,44.0,346,2015-16,0.0,183.0,10.3,0.0,69.5,0.0,174.0,43.0
11X089,P.S. 089 Bronx,6.8,120.0,179,0.0,308.0,1484,2015-16,176.0,768.0,20.8,51.0,53.9,159.0,0.0,51.8
03M417,Frank Mccourt High School,7.3,0.0,0,73.0,,178,2015-16,0.0,165.0,,0.0,40.9,0.0,110.0,42.7
12X480,Bronx Regional High School,,0.0,0,99.0,25.0,199,2015-16,0.0,106.0,9.5,0.0,63.6,0.0,0.0,40.2
07X298,Academy of Public Relations,,0.0,0,0.0,71.0,312,2015-16,130.0,170.0,22.8,0.0,72.4,83.0,0.0,54.5
11X121,P.S. 121 Throop,7.0,161.0,175,0.0,57.0,958,2015-16,0.0,470.0,5.9,36.0,26.3,0.0,0.0,49.1
17K539,High School for Service & Learning at Erasmus,4.1,0.0,0,114.0,43.0,288,2015-16,0.0,275.0,10.4,0.0,10.2,0.0,71.0,66.7
08X093,P.S. 093 Albert G. Oliver,0.0,64.0,45,0.0,34.0,384,2015-16,0.0,199.0,8.9,65.0,39.8,0.0,0.0,51.8
04M050,P.S. 050 Vito Marcantonio,,31.0,37,0.0,28.0,288,2015-16,37.0,156.0,9.7,0.0,52.8,27.0,0.0,54.2
19K404,Academy for Young Writers,,0.0,0,88.0,,400,2015-16,69.0,214.0,,0.0,24.1,71.0,84.0,36.6
11X566,Pelham Gardens Middle School,,0.0,0,0.0,32.0,458,2015-16,165.0,220.0,7.0,0.0,27.1,145.0,0.0,48.0
02M550,Liberty High School Academy for Newcomers,9.1,0.0,0,77.0,340.0,427,2015-16,0.0,268.0,79.6,0.0,49.9,0.0,109.0,62.8
08X101,M.S. X101 Edward R. Byrne,13.5,0.0,0,0.0,,323,2015-16,161.0,248.0,,0.0,55.6,167.0,0.0,50.0
03M494,High School of Arts and Technology,1.9,0.0,0,80.0,54.0,513,2015-16,0.0,378.0,9.4,0.0,60.1,0.0,231.0,65.6
16K594,Gotham Professional Arts Academy,0.0,0.0,0,45.0,,197,2015-16,0.0,88.0,,0.0,15.2,0.0,61.0,44.7
10X315,P.S. 315 Lab School,,30.0,32,0.0,44.0,269,2015-16,50.0,145.0,15.7,0.0,81.8,31.0,0.0,51.8
01M539,"New Explorations into Science, Technology and Math",33.0,116.0,113,188.0,,468,2015-16,137.0,868.0,,0.0,11.3,144.0,143.0,49.5
12X211,P.S. 211,,64.0,67,0.0,151.0,603,2015-16,102.0,297.0,24.0,35.0,83.8,68.0,0.0,47.1
06M209,Hamilton Grange Middle School,,0.0,0,0.0,56.0,142,2015-16,0.0,89.0,33.9,0.0,84.8,89.0,0.0,53.9
12X372,Urban Assembly School for Wildlife Conservation,,0.0,0,85.0,65.0,576,2015-16,65.0,309.0,11.3,0.0,69.1,81.0,90.0,53.6
02M151,Yorkville Community School,6.6,81.0,95,0.0,36.0,221,2015-16,0.0,285.0,6.6,0.0,27.0,0.0,0.0,52.0
04M102,P.S. 102 Jacques Cartier,8.2,36.0,48,0.0,35.0,247,2015-16,0.0,160.0,12.4,14.0,55.3,0.0,0.0,56.7
06M018,P.S. 018 Park Terrace,,34.0,46,0.0,174.0,395,2015-16,46.0,216.0,44.1,0.0,96.7,54.0,0.0,54.7
18K567,Brooklyn Theatre Arts High School,,0.0,0,67.0,,298,2015-16,0.0,159.0,,0.0,13.4,0.0,104.0,42.5
06M189,P.S. 189,,129.0,176,0.0,300.0,916,2015-16,0.0,503.0,29.3,72.0,96.5,0.0,0.0,49.1
02M006,P.S. 006 Lillie D. Blake,13.0,114.0,120,0.0,12.0,43,2015-16,0.0,379.0,1.7,0.0,7.1,0.0,0.0,54.1
06M187,P.S./I.S. 187 Hudson Cliffs,2.1,89.0,77,0.0,59.0,397,2015-16,85.0,407.0,7.4,0.0,57.6,104.0,0.0,50.7
04M555,Central Park East High School,8.1,0.0,0,95.0,12.0,415,2015-16,0.0,161.0,2.6,0.0,61.7,0.0,123.0,34.3
10X226,P.S. 226,,72.0,84,0.0,111.0,476,2015-16,0.0,268.0,22.3,37.0,75.7,0.0,0.0,53.9
02M655,Life Sciences Secondary School,4.9,0.0,0,110.0,40.0,444,2015-16,36.0,319.0,6.5,0.0,59.9,19.0,168.0,51.8
13K412,"Brooklyn Community High School of Communication, Arts and Media",,0.0,0,81.0,17.0,303,2015-16,0.0,161.0,4.5,0.0,18.5,0.0,119.0,42.5
02M408,Professional Performing Arts High School,4.8,0.0,0,113.0,,182,2015-16,32.0,139.0,,0.0,20.1,33.0,109.0,25.5
10X374,Knowledge and Power Preparatory Academy International High School,2.6,0.0,0,128.0,55.0,427,2015-16,0.0,219.0,11.0,0.0,62.1,0.0,138.0,43.9
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science,,38.0,41,0.0,95.0,495,2015-16,53.0,254.0,19.2,28.0,81.0,55.0,0.0,51.3
02M303,"Facing History School, The",,0.0,0,62.0,74.0,409,2015-16,0.0,200.0,18.1,0.0,66.0,0.0,154.0,48.9
14K318,I.S. 318 Eugenio Maria De Hostos,6.8,0.0,0,0.0,78.0,1491,2015-16,503.0,751.0,5.2,0.0,61.6,479.0,0.0,50.4
09X414,Jonathan Levin High School for Media and Communications,0.0,0.0,0,72.0,31.0,72,2015-16,0.0,49.0,43.1,0.0,79.2,0.0,0.0,68.1
06M173,P.S. 173,2.5,89.0,84,0.0,93.0,498,2015-16,0.0,304.0,15.7,68.0,91.6,0.0,0.0,51.3
14K147,P.S. 147 Isaac Remsen,,32.0,53,0.0,25.0,244,2015-16,0.0,127.0,8.4,47.0,64.6,0.0,0.0,42.8
12X050,P.S. 050 Clara Barton,0.0,58.0,0,0.0,,58,2015-16,0.0,30.0,,0.0,62.1,0.0,0.0,51.7
19K224,P.S. 224 Hale A. Woodruff,2.4,89.0,83,0.0,28.0,444,2015-16,0.0,253.0,5.5,35.0,29.7,0.0,0.0,50.1
20K112,P.S. 112 Lefferts Park,40.9,92.0,84,0.0,149.0,614,2015-16,0.0,331.0,24.3,19.0,31.3,0.0,0.0,53.9
08X119,P.S. 119,30.6,177.0,151,0.0,246.0,979,2015-16,0.0,483.0,25.1,36.0,51.4,0.0,0.0,49.3
11X175,P.S. 175 City Island,6.1,41.0,27,0.0,,122,2015-16,33.0,165.0,,0.0,29.4,46.0,0.0,50.5
03M250,M.S. 250 West Side Collaborative Middle School,,0.0,0,0.0,,128,2015-16,62.0,100.0,,0.0,54.7,58.0,0.0,55.2
12X217,School of Performing Arts,,0.0,0,0.0,66.0,271,2015-16,105.0,134.0,21.1,0.0,67.4,107.0,0.0,42.8
12X273,Frederick Douglass Academy V. Middle School,,0.0,0,0.0,21.0,226,2015-16,93.0,151.0,7.8,0.0,67.4,88.0,0.0,55.9
13K616,Brooklyn High School for Leadership and Community,,0.0,0,87.0,11.0,174,2015-16,0.0,110.0,4.8,0.0,27.8,0.0,53.0,47.8
06M103,Dos Puentes Elementary School,0.0,0.0,65,0.0,91.0,203,2015-16,0.0,100.0,44.8,0.0,80.8,0.0,0.0,49.3
12X314,Fairmont Neighborhood School,0.0,0.0,58,0.0,48.0,282,2015-16,0.0,141.0,15.9,31.0,57.5,0.0,0.0,46.8
04M680,"Heritage School, The",,0.0,0,66.0,17.0,299,2015-16,0.0,153.0,5.1,0.0,64.2,0.0,114.0,45.7
05M469,Choir Academy of Harlem,,0.0,0,33.0,,26,2015-16,0.0,15.0,,0.0,,0.0,0.0,45.5
09X274,The New American Academy at Roberto Clemente State,,0.0,120,0.0,121.0,600,2015-16,0.0,339.0,17.5,70.0,58.7,0.0,0.0,49.0
09X241,Urban Assembly School for Applied Math and Science,,0.0,0,83.0,69.0,570,2015-16,85.0,325.0,11.1,0.0,64.3,85.0,85.0,52.3
02M527,P.S. 527 - East Side School for Social Action,15.2,0.0,50,0.0,,24,2015-16,0.0,129.0,,0.0,19.5,0.0,0.0,55.8
02M391,Pre-K Center District 02,17.1,0.0,0,0.0,0.0,234,2015-16,0.0,112.0,0.0,234.0,17.9,0.0,0.0,47.9
08X036,P.S. 036 Unionport,18.5,114.0,116,0.0,121.0,777,2015-16,0.0,423.0,15.6,54.0,64.5,0.0,0.0,54.4
08X152,P.S. 152 Evergreen,1.2,144.0,162,0.0,250.0,948,2015-16,0.0,482.0,26.4,72.0,78.4,0.0,0.0,50.8
06M423,High School for Excellence and Innovation,,0.0,0,46.0,59.0,177,2015-16,0.0,114.0,27.3,0.0,79.6,0.0,56.0,52.8
10X141,Riverdale / Kingsbridge Academy (Middle School / H,7.3,0.0,0,130.0,97.0,745,2015-16,225.0,740.0,6.8,0.0,56.2,247.0,192.0,52.1
02M531,Repertory Company High School for Theatre Arts,,0.0,0,49.0,,181,2015-16,0.0,40.0,,0.0,49.4,0.0,66.0,16.2
02M150,P.S. 150,15.8,28.0,27,0.0,,26,2015-16,0.0,97.0,,18.0,13.6,0.0,0.0,52.7
02M449,Vanguard High School,5.9,0.0,0,90.0,29.0,332,2015-16,0.0,211.0,6.3,0.0,58.1,0.0,124.0,45.8
07X495,University Heights Secondary School,2.7,0.0,0,116.0,,433,2015-16,0.0,220.0,,0.0,65.6,0.0,127.0,45.6
17K375,P.S. 375 Jackie Robinson School,3.1,58.0,81,0.0,115.0,410,2015-16,0.0,245.0,25.3,35.0,30.0,0.0,0.0,54.0
02M414,N.Y.C. Museum School,33.9,0.0,0,119.0,,333,2015-16,0.0,181.0,,0.0,37.9,0.0,96.0,40.6
04M037,River East Elementary,0.0,44.0,24,0.0,,169,2015-16,0.0,102.0,,13.0,51.2,0.0,0.0,50.2
12X318,"I.S. X318 Math, Science & Technology Through Arts",,0.0,0,0.0,55.0,286,2015-16,89.0,166.0,18.6,0.0,70.2,105.0,0.0,56.3
02M529,Jacqueline Kennedy Onassis High School,5.7,0.0,0,128.0,45.0,480,2015-16,0.0,269.0,6.9,0.0,66.9,0.0,208.0,41.4
09X053,P.S. 053 Basheer Quisim,,201.0,206,0.0,313.0,1259,2015-16,0.0,651.0,24.9,54.0,64.4,0.0,0.0,51.7
04M406,Global Technology Preparatory,,0.0,0,0.0,17.0,156,2015-16,62.0,92.0,10.9,0.0,56.4,51.0,0.0,59.0
15K443,New Voices School of Academic & Creative Arts,5.7,0.0,0,0.0,,179,2015-16,172.0,180.0,,0.0,35.5,188.0,0.0,33.3
02M565,Urban Academy Laboratory High School,7.5,0.0,0,11.0,0.0,87,2015-16,0.0,56.0,0.0,0.0,33.3,0.0,19.0,35.2
18K578,Brooklyn Bridge Academy,,0.0,0,60.0,,176,2015-16,0.0,114.0,,0.0,9.6,0.0,27.0,52.1
11X160,P.S. 160 Walt Disney,,55.0,52,0.0,27.0,320,2015-16,0.0,230.0,6.4,53.0,32.8,0.0,0.0,54.6
15K462,Secondary School for Law,,0.0,0,67.0,,260,2015-16,0.0,123.0,,0.0,23.2,0.0,94.0,34.5
31R005,P.S. 005 Huguenot,,26.0,33,0.0,,45,2015-16,0.0,121.0,,0.0,7.0,0.0,0.0,47.3
03M163,P.S. 163 Alfred E. Smith,6.3,110.0,91,0.0,43.0,280,2015-16,0.0,313.0,7.3,29.0,45.7,0.0,0.0,53.3
19K306,P.S. 306 Ethan Allen,,65.0,61,0.0,16.0,579,2015-16,57.0,307.0,2.8,44.0,23.3,56.0,0.0,53.0
11X087,P.S. 087 Bronx,5.5,111.0,119,0.0,15.0,545,2015-16,0.0,335.0,2.4,0.0,16.2,0.0,0.0,52.8
06M319,M.S. 319 - Maria Teresa,,0.0,0,0.0,164.0,458,2015-16,186.0,275.0,30.7,0.0,92.9,149.0,0.0,51.5
12X271,East Bronx Academy for the Future,,0.0,0,99.0,72.0,601,2015-16,79.0,341.0,10.8,0.0,71.6,84.0,97.0,51.3
14K632,Frances Perkins Academy,,0.0,0,20.0,,98,2015-16,0.0,79.0,,0.0,30.0,0.0,19.0,71.8
09X325,Urban Science Academy,,0.0,0,0.0,107.0,301,2015-16,108.0,172.0,35.5,0.0,67.1,90.0,0.0,57.1
02M114,East Side Middle School,15.0,0.0,0,0.0,0.0,40,2015-16,150.0,211.0,0.0,0.0,9.1,149.0,0.0,47.8
12X278,Peace and Diversity Academy,,0.0,0,43.0,24.0,99,2015-16,0.0,69.0,19.2,0.0,52.0,0.0,29.0,55.2
11X021,P.S. 021 Philip H. Sheridan,,105.0,119,0.0,50.0,607,2015-16,0.0,382.0,7.1,0.0,24.4,0.0,0.0,54.6
01M364,Earth School,7.4,56.0,48,0.0,19.0,157,2015-16,0.0,177.0,5.6,36.0,35.3,0.0,0.0,52.1
02M520,Murry Bergtraum High School for Business Careers,10.9,0.0,0,140.0,64.0,416,2015-16,0.0,307.0,10.7,0.0,38.3,0.0,176.0,51.3
16K028,P.S. 028 The Warren Prep Academy,,32.0,34,0.0,19.0,185,2015-16,0.0,101.0,9.5,16.0,10.6,0.0,0.0,50.8
05M499,Frederick Douglass Academy,1.5,0.0,0,271.0,37.0,1003,2015-16,103.0,764.0,2.6,0.0,22.8,91.0,273.0,54.2
07X043,P.S. 043 Jonas Bronck,0.0,61.0,88,0.0,46.0,483,2015-16,0.0,243.0,9.2,44.0,70.7,0.0,0.0,48.7
09X042,P.S. 042 Claremont,,71.0,65,0.0,69.0,437,2015-16,0.0,218.0,15.6,27.0,56.5,0.0,0.0,49.4
09X028,P.S. 028 Mount Hope,,116.0,119,0.0,243.0,760,2015-16,0.0,437.0,31.6,54.0,80.9,0.0,0.0,56.9
13K256,P.S. 256 Benjamin Banneker,,50.0,51,0.0,26.0,281,2015-16,0.0,150.0,8.9,16.0,27.5,0.0,0.0,51.5
04M825,Isaac Newton Middle School for Math & Science,5.2,0.0,0,0.0,21.0,212,2015-16,92.0,143.0,9.0,0.0,64.4,56.0,0.0,61.4
01M332,University Neighborhood Middle School,,0.0,0,0.0,16.0,94,2015-16,36.0,61.0,14.5,0.0,62.7,39.0,0.0,55.5
10X024,P.S. 024 Spuyten Duyvil,9.1,127.0,163,0.0,33.0,275,2015-16,0.0,517.0,3.3,0.0,42.0,0.0,0.0,51.1
03M334,The Anderson School,28.1,52.0,56,0.0,,55,2015-16,62.0,267.0,,0.0,8.6,90.0,0.0,47.8
07X259,"H.E.R.O. High (Health, Education, and Research Occ",,0.0,0,0.0,35.0,343,2015-16,0.0,99.0,10.2,0.0,58.9,0.0,123.0,28.9
10X291,P.S. 291,,106.0,114,0.0,165.0,666,2015-16,0.0,345.0,24.4,0.0,88.1,0.0,0.0,51.1
05M030,P.S. 030 Hernandez/Hughes,,42.0,40,0.0,27.0,262,2015-16,0.0,140.0,9.5,23.0,46.7,0.0,0.0,49.1
06M552,Gregorio Luperon High School for Science and Mathematics,0.0,0.0,0,98.0,344.0,458,2015-16,0.0,234.0,68.4,0.0,100.0,0.0,122.0,46.5
08X123,J.H.S. 123 James M. Kieran,,0.0,0,0.0,82.0,343,2015-16,135.0,164.0,23.9,0.0,77.8,83.0,0.0,47.8
17K524,International High School at Prospect Heights,15.6,0.0,0,101.0,346.0,417,2015-16,0.0,238.0,83.0,0.0,47.0,0.0,105.0,57.1
02M051,P.S. 051 Elias Howe,23.5,54.0,62,0.0,34.0,370,2015-16,0.0,194.0,9.2,48.0,42.4,0.0,0.0,52.4
02M183,P.S. 183 Robert L. Stevenson,16.9,94.0,74,0.0,33.0,45,2015-16,0.0,307.0,5.9,0.0,10.5,0.0,0.0,55.3
14K110,P.S. 110 The Monitor,4.9,30.0,61,0.0,46.0,154,2015-16,0.0,227.0,10.3,89.0,22.6,0.0,0.0,50.8
10X205,P.S. 205 Fiorello Laguardia,1.1,153.0,186,0.0,215.0,1049,2015-16,0.0,505.0,20.5,0.0,78.6,0.0,0.0,48.1
12X150,P.S. 150 Charles James Fox,,157.0,139,0.0,199.0,856,2015-16,0.0,473.0,22.1,36.0,76.1,0.0,0.0,52.6
11X189,Cornerstone Academy for Social Action,,52.0,75,0.0,16.0,364,2015-16,0.0,210.0,3.9,44.0,41.3,0.0,0.0,51.6
10X308,Bronx Dance Academy School,,0.0,0,0.0,17.0,238,2015-16,95.0,64.0,6.1,0.0,76.5,86.0,0.0,23.1
13K056,P.S. 056 Lewis H. Latimer,,33.0,31,0.0,,166,2015-16,0.0,102.0,,13.0,10.5,0.0,0.0,51.0
13K287,P.S. 287 Bailey K. Ashford,,21.0,46,0.0,,188,2015-16,0.0,106.0,,29.0,21.7,0.0,0.0,53.5
18K635,Olympus Academy,,0.0,0,19.0,,133,2015-16,0.0,76.0,,0.0,9.0,0.0,35.0,45.5
15K464,Park Slope Collegiate,6.9,0.0,0,71.0,45.0,378,2015-16,48.0,299.0,8.6,0.0,35.9,73.0,129.0,57.2
12X195,P.S. 195,1.8,129.0,169,0.0,258.0,994,2015-16,0.0,491.0,26.0,36.0,80.2,0.0,0.0,49.4
08X146,P.S. 146 Edward Collins,,48.0,73,0.0,52.0,390,2015-16,0.0,205.0,12.8,32.0,55.0,0.0,0.0,50.4
11X112,P.S. 112 Bronxwood,,69.0,62,0.0,19.0,392,2015-16,0.0,195.0,4.5,46.0,49.9,0.0,0.0,46.5
08X182,P.S. 182,7.6,160.0,158,0.0,43.0,879,2015-16,0.0,515.0,4.2,54.0,62.4,0.0,0.0,50.0
15K039,P.S. 039 Henry Bristow,7.1,51.0,72,0.0,16.0,62,2015-16,0.0,230.0,3.8,36.0,9.0,0.0,0.0,54.5
01M064,P.S. 064 Robert Simon,7.4,48.0,37,0.0,15.0,239,2015-16,0.0,153.0,5.8,20.0,65.5,0.0,0.0,59.3
05M133,P.S. 133 Fred R Moore,,31.0,27,0.0,12.0,179,2015-16,0.0,102.0,6.0,17.0,36.7,0.0,0.0,51.3
04M495,Park East High School,4.5,0.0,0,83.0,,345,2015-16,0.0,198.0,,0.0,64.6,0.0,105.0,49.0
18K272,P.S. 272 Curtis Estabrook,2.8,66.0,79,0.0,13.0,444,2015-16,0.0,254.0,2.6,47.0,15.2,0.0,0.0,51.4
16K057,J.H.S. 057 Whitelaw Reid,0.0,0.0,0,0.0,,169,2015-16,54.0,92.0,,0.0,32.0,65.0,0.0,54.4
10X077,Bedford Park Elementary School,5.9,0.0,0,0.0,42.0,158,2015-16,0.0,96.0,22.5,40.0,72.7,0.0,0.0,51.3
17K006,P.S. 006,,104.0,115,0.0,106.0,712,2015-16,0.0,350.0,14.9,0.0,22.9,0.0,0.0,49.2
10X310,P.S. 310 Marble Hill,1.3,124.0,123,0.0,127.0,809,2015-16,0.0,416.0,15.4,75.0,85.4,0.0,0.0,50.5
17K543,"Science, Technology and Research Early College High School at Erasmus",3.4,0.0,0,77.0,,415,2015-16,59.0,272.0,,0.0,8.0,73.0,92.0,51.7
08X349,Bronx River High School,,0.0,0,0.0,47.0,298,2015-16,0.0,154.0,15.8,0.0,61.7,0.0,120.0,51.7
