school_name,grade_4,grade_7,grade_11,students_with_disabilities_1,asian_1,female_1,poverty_2,female_2,white_2,other_1,hispanic_1,other_2
Teachers College Community School,48.0,0.0,0.0,32.0,16.0,137.0,46.2,51.5,20.3,,75.0,6.8
P.S. 132 Garret A. Morgan,82.0,0.0,0.0,101.0,,215.0,100.0,48.6,,,240.0,
Yorkville East Middle School,0.0,58.0,0.0,40.0,16.0,64.0,36.6,45.1,42.3,,42.0,
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.0,0.0,44.0,11.0,,138.0,90.6,47.9,,0.0,263.0,0.0
P.S. 133 William A. Butler,59.0,0.0,0.0,92.0,20.0,340.0,100.0,49.4,31.4,45.0,222.0,6.5
P.S. 191 Amsterdam,33.0,47.0,0.0,122.0,31.0,230.0,72.8,50.8,11.3,,203.0,
Young Women's Leadership School of the Bronx,0.0,80.0,0.0,56.0,,329.0,87.2,100.0,,,191.0,
Lower Manhattan Community Middle School,0.0,129.0,0.0,109.0,156.0,198.0,55.2,51.0,27.3,13.0,77.0,3.4
Arturo A. Schomburg Satellite Academy Bronx,0.0,0.0,34.0,29.0,,121.0,75.0,63.0,,,105.0,
P.S. 316 Elijah Stroud,58.0,0.0,0.0,73.0,,198.0,74.8,46.2,5.6,,85.0,
P.S. 087 William Sherman,122.0,0.0,0.0,142.0,58.0,428.0,7.0,50.2,64.0,81.0,126.0,9.5
"High School for Law, Advocacy and Community Justic",0.0,0.0,99.0,97.0,11.0,276.0,87.4,55.1,,,279.0,
Sunset Park Prep,0.0,171.0,0.0,109.0,100.0,242.0,89.5,47.0,4.3,,386.0,
P.S. 102 The Bayview,251.0,0.0,0.0,225.0,213.0,704.0,65.4,49.4,56.2,32.0,363.0,2.2
Ella Baker School,28.0,23.0,0.0,67.0,12.0,174.0,39.4,51.9,35.2,19.0,124.0,5.7
The Urban Assembly School for Collaborative Health,0.0,0.0,0.0,23.0,17.0,105.0,70.1,68.2,,,51.0,
Brooklyn Gardens Elementary School,42.0,0.0,0.0,64.0,,137.0,100.0,48.1,,,97.0,
Essence School,0.0,39.0,0.0,43.0,,58.0,89.5,46.8,,0.0,25.0,0.0
M.S. 035 Stephen Decatur,0.0,63.0,0.0,49.0,,79.0,83.9,47.0,0.0,,23.0,
P.S. 246 Poe Center,108.0,0.0,0.0,151.0,15.0,319.0,91.3,45.3,2.1,,600.0,
"Magnet School of Math, Science and Design Technology",146.0,0.0,0.0,202.0,63.0,480.0,100.0,51.0,48.6,54.0,288.0,5.7
Muscota,34.0,0.0,0.0,29.0,11.0,140.0,33.3,51.9,41.9,14.0,123.0,5.2
P.S. 002 Meyer London,117.0,0.0,0.0,124.0,573.0,313.0,96.4,46.6,,,63.0,
Williamsburg High School for Architecture and Design,0.0,0.0,143.0,148.0,19.0,142.0,81.8,24.8,4.4,,347.0,
"Collaborative Academy of Science, Technology, & La",0.0,40.0,0.0,42.0,14.0,46.0,95.2,43.8,,0.0,55.0,0.0
P.S./M.S. 029 Melrose School,85.0,95.0,0.0,174.0,19.0,357.0,96.7,47.1,,,510.0,
Urban Assembly High School of Music and Art,0.0,0.0,52.0,76.0,,233.0,80.2,70.0,,,66.0,
New Bridges Elementary,56.0,0.0,0.0,74.0,,196.0,88.6,47.6,,,85.0,
Middle School for Academic and Social Excellence,0.0,29.0,0.0,29.0,,39.0,96.3,47.6,,0.0,11.0,0.0
Kingsbridge International High School,0.0,0.0,108.0,13.0,31.0,240.0,80.5,51.5,2.4,,401.0,
Academy for Conservation and the Environment,0.0,0.0,56.0,57.0,11.0,113.0,82.3,38.6,,,30.0,
P.S. 289 George V. Brower,64.0,0.0,0.0,100.0,13.0,195.0,100.0,49.2,,14.0,74.0,3.5
P.S./M.S. 280 Mosholu Parkway,97.0,100.0,0.0,241.0,101.0,416.0,94.0,46.5,5.0,,664.0,
Manhattan Comprehensive Night and Day High School,0.0,0.0,258.0,44.0,175.0,346.0,87.9,46.4,5.8,,294.0,
The Math & Science Exploratory School,0.0,174.0,0.0,92.0,42.0,247.0,16.8,47.0,52.4,12.0,106.0,2.3
"The School for Classics: An Academy of Thinkers, Writers and Performers",0.0,0.0,62.0,66.0,25.0,185.0,85.9,60.7,3.9,,87.0,
P.S. 041 Gun Hill Road,162.0,0.0,0.0,167.0,12.0,471.0,97.9,48.9,1.7,,415.0,
Inwood Early College for Health and Information Te,0.0,0.0,0.0,39.0,,82.0,86.2,42.1,,,148.0,
P.S. 155 William Paca,45.0,0.0,0.0,115.0,,170.0,99.7,49.4,,,298.0,
P.S. 070 Max Schoenfeld,248.0,0.0,0.0,223.0,11.0,674.0,98.1,49.7,,,997.0,
Brooklyn Frontiers High School,0.0,0.0,28.0,85.0,0.0,83.0,83.0,47.2,,0.0,35.0,0.0
M.S. M245 The Computer School,0.0,134.0,0.0,73.0,24.0,230.0,23.5,56.8,50.1,18.0,105.0,4.4
M.S. 442 Carroll Gardens School for Innovation,0.0,64.0,0.0,74.0,13.0,68.0,68.7,31.3,19.4,,101.0,
P.S. 003 The Bedford Village,63.0,0.0,0.0,53.0,48.0,227.0,87.1,50.4,,21.0,55.0,4.7
Soundview Academy for Culture and Scholarship,0.0,118.0,0.0,86.0,,209.0,100.0,57.7,,,236.0,
P.S. 138 Brooklyn,59.0,94.0,0.0,99.0,,352.0,83.4,51.8,4.4,,61.0,
I.S. 232,0.0,185.0,0.0,96.0,,246.0,94.1,48.1,,,402.0,
P.S. 108 Sal Abbracciamento,155.0,0.0,0.0,192.0,57.0,488.0,100.0,49.7,1.6,15.0,779.0,1.5
P.S. 152 Dyckman Valley,87.0,0.0,0.0,113.0,,306.0,90.8,47.7,,,616.0,
P.S. 770 New American Academy,45.0,0.0,0.0,43.0,,147.0,60.4,48.5,15.5,32.0,24.0,10.6
P.S. 065,120.0,0.0,0.0,75.0,14.0,319.0,100.0,48.3,,33.0,539.0,5.0
P.S. 108 Philip J. Abinanti,86.0,0.0,0.0,95.0,68.0,302.0,78.4,50.6,36.7,,261.0,
P.S. 092 Adrian Hegeman,65.0,0.0,0.0,77.0,27.0,218.0,89.9,45.8,,,84.0,
P.S. 184m Shuang Wen,63.0,78.0,0.0,106.0,471.0,331.0,70.0,49.9,8.6,34.0,77.0,5.1
The School of Integrated Learning,0.0,69.0,0.0,60.0,,79.0,92.6,39.1,,,27.0,
P.S. 076 The Bennington School,183.0,0.0,0.0,181.0,32.0,513.0,100.0,48.2,8.4,15.0,450.0,1.4
The Walton Avenue School,83.0,0.0,0.0,104.0,,205.0,95.5,48.2,2.6,,311.0,
P.S. 192 Jacob H. Schiff,34.0,0.0,0.0,56.0,,141.0,95.8,45.9,,,281.0,
P.S. 244 Richard R. Green,110.0,0.0,0.0,133.0,,317.0,79.8,52.0,,,15.0,
J.H.S. 054 Booker T. Washington,0.0,260.0,0.0,101.0,74.0,399.0,18.1,46.9,64.4,61.0,99.0,7.2
P.S. 179 Kensington,135.0,0.0,0.0,133.0,526.0,462.0,100.0,49.2,14.9,,235.0,
Bread & Roses Integrated Arts High School,0.0,0.0,,12.0,0.0,,79.3,,,,,
P.S./M.S. 004 Crotona Park West,62.0,49.0,0.0,136.0,,278.0,95.3,46.4,,,271.0,
P.S. 396,59.0,0.0,0.0,91.0,0.0,160.0,88.2,44.8,,0.0,272.0,0.0
"Urban Assembly Academy of Government and Law, The",0.0,0.0,76.0,74.0,20.0,184.0,78.2,55.6,3.9,,166.0,
Urban Assembly Institute of Math and Science for Y,0.0,65.0,66.0,88.0,22.0,476.0,80.3,100.0,8.0,,68.0,
Emma Lazarus High School,0.0,0.0,23.0,0.0,143.0,123.0,92.9,46.2,9.0,,65.0,
Bronx Collaborative High School,0.0,0.0,87.0,72.0,,162.0,89.8,45.9,3.4,,221.0,
Global Neighborhood Secondary School,0.0,36.0,0.0,39.0,,56.0,95.4,51.9,,0.0,67.0,0.0
Manhattan Early College School for Advertising,0.0,0.0,0.0,42.0,19.0,101.0,80.1,52.9,11.0,,82.0,
P.S. 178 - Dr. Selman Waksman,91.0,0.0,0.0,113.0,12.0,240.0,76.5,48.2,4.4,,134.0,
Professor Juan Bosch Public School,56.0,0.0,0.0,76.0,,139.0,76.6,45.7,12.2,,256.0,
M.S. 584,0.0,28.0,0.0,30.0,,47.0,87.0,51.1,0.0,,21.0,
One World Middle School at Edenwald,0.0,105.0,0.0,73.0,,164.0,100.0,50.6,,,105.0,
High School for Law and Public Service,0.0,0.0,126.0,129.0,,286.0,73.8,46.5,2.0,,500.0,
P.S. 536,64.0,0.0,0.0,74.0,25.0,221.0,100.0,50.5,,,310.0,
FDNY High School for Fire and Life Safety,0.0,0.0,58.0,85.0,,80.0,81.1,24.0,,,88.0,
Transit Tech Career and Technical Education High School,0.0,0.0,164.0,266.0,57.0,149.0,70.8,14.6,1.5,20.0,294.0,2.0
High School for Teaching and the Professions,0.0,0.0,119.0,111.0,,267.0,85.3,57.1,,,358.0,
Academy of Arts and Letters,58.0,65.0,0.0,98.0,35.0,280.0,29.3,54.4,30.9,29.0,89.0,5.6
P.S. 154 Jonathan D. Hyatt,65.0,0.0,0.0,80.0,0.0,174.0,95.7,44.5,,,222.0,
P.S. 66,87.0,101.0,0.0,88.0,,440.0,70.6,53.7,2.6,12.0,57.0,1.5
P.S. 340,98.0,0.0,0.0,162.0,22.0,293.0,100.0,45.3,1.9,,550.0,
Mott Haven Community High School,0.0,0.0,70.0,71.0,0.0,118.0,100.0,48.8,,,156.0,
P.S. 034 Franklin D. Roosevelt,36.0,62.0,0.0,114.0,18.0,200.0,97.2,50.8,3.6,0.0,249.0,0.0
P.S. 306,139.0,0.0,0.0,153.0,,391.0,100.0,50.9,,,538.0,
Banana Kelly High School,0.0,0.0,50.0,79.0,,100.0,84.6,42.7,,,146.0,
Community Health Academy of the Heights,0.0,83.0,85.0,127.0,,326.0,91.5,50.5,,,585.0,
Pathways in Technology Early College High School (P-Tech),0.0,0.0,61.0,78.0,13.0,137.0,66.7,26.5,,,50.0,
Urban Assembly School of Design and Construction,0.0,0.0,83.0,89.0,15.0,111.0,76.7,27.8,3.0,,256.0,
The Metropolitan Soundview High School,0.0,0.0,105.0,94.0,11.0,206.0,93.2,48.5,,,286.0,
Pre-K Center District 10,0.0,0.0,0.0,,,62.0,100.0,45.6,,0.0,121.0,0.0
P.S. 011 William T. Harris,148.0,0.0,0.0,122.0,133.0,434.0,27.7,47.1,49.1,39.0,234.0,4.2
P.S./M.S. 194,165.0,154.0,0.0,209.0,444.0,671.0,100.0,49.2,4.5,26.0,721.0,1.9
W. H. Maxwell Career and Technical Education High,0.0,0.0,97.0,153.0,,349.0,83.7,70.1,,,141.0,
P.S. 161 Juan Ponce De Leon School,64.0,0.0,0.0,138.0,,252.0,94.1,46.5,2.4,,398.0,
Bronx Engineering and Technology Academy,0.0,0.0,68.0,94.0,22.0,58.0,88.3,14.1,,,239.0,
Stephen T. Mather Building Arts & Craftsmanship High School,0.0,0.0,69.0,83.0,,84.0,75.9,29.8,6.0,,177.0,
English Language Learners and International Support Preparatory Academy,0.0,0.0,94.0,,,136.0,83.5,40.8,,,262.0,
"High School for Mathematics, Science and Engineering at City College",0.0,0.0,112.0,19.0,167.0,146.0,43.2,,26.9,,107.0,5.5
El Puente Academy for Peace and Justice,0.0,0.0,55.0,60.0,,135.0,75.2,54.9,,,211.0,
P.S. 212 Midtown West,59.0,0.0,0.0,47.0,39.0,202.0,21.2,53.4,47.9,50.0,86.0,13.2
The Urban Assembly Institute for New Technologies,0.0,35.0,0.0,43.0,,48.0,96.3,44.4,,0.0,30.0,0.0
P.S./M.S. 11X498 - VAN NEST ACADEMY,56.0,98.0,0.0,120.0,46.0,314.0,79.4,50.2,14.2,,410.0,
Bronx Early College Academy for Teaching & Learnin,0.0,81.0,80.0,93.0,13.0,252.0,79.0,50.0,,,333.0,
P.S. 319,0.0,0.0,0.0,17.0,,73.0,100.0,52.1,,0.0,131.0,0.0
Creston Academy,0.0,171.0,0.0,99.0,12.0,256.0,90.8,53.7,,,401.0,
Brooklyn Arbor Elementary School,106.0,0.0,0.0,105.0,13.0,275.0,68.3,47.2,25.7,11.0,389.0,1.9
Benjamin Banneker Academy,0.0,0.0,245.0,82.0,35.0,515.0,54.6,56.2,,12.0,83.0,1.3
P.S. 241 Emma L. Johnston,86.0,0.0,0.0,47.0,,292.0,87.1,52.9,2.4,,54.0,
P.S. 009 Sarah Anderson,79.0,0.0,0.0,87.0,52.0,318.0,20.6,52.0,59.4,36.0,130.0,5.9
P.S. 109 Sedgwick,125.0,0.0,0.0,144.0,,367.0,92.5,47.7,,,612.0,
P.S. 208 Alain L. Locke,45.0,0.0,0.0,39.0,,84.0,95.0,59.6,,,48.0,
Academy of Innovative Technology,0.0,0.0,93.0,101.0,20.0,72.0,81.5,17.7,,,178.0,
P.S. 243K- The Weeksville School,47.0,0.0,0.0,64.0,12.0,145.0,94.9,53.3,,,60.0,
Brownsville Academy High School,0.0,0.0,73.0,32.0,,87.0,84.0,53.4,0.0,,13.0,
Bronx Academy for Software Engineering (BASE),0.0,0.0,92.0,91.0,25.0,59.0,100.0,18.0,,,195.0,
Community Action School - MS 258,0.0,82.0,0.0,76.0,,103.0,100.0,43.8,10.6,,100.0,
P.S. 273 Wortman,53.0,0.0,0.0,78.0,,193.0,100.0,55.0,,,79.0,
P.S. 051 Bronx New School,33.0,0.0,0.0,36.0,,122.0,87.4,51.3,,0.0,141.0,0.0
The East Village Community School,45.0,0.0,0.0,58.0,28.0,144.0,21.1,48.2,54.8,19.0,62.0,6.4
M.S. 129 Academy for Independent Learning and Lead,0.0,197.0,0.0,147.0,13.0,263.0,88.2,48.4,,,342.0,
Brighter Choice Community School,23.0,0.0,0.0,24.0,0.0,82.0,89.2,49.1,,0.0,48.0,0.0
I.S. 219 New Venture School,0.0,89.0,0.0,99.0,,155.0,90.0,46.8,,,202.0,
City Knoll Middle School,0.0,82.0,0.0,43.0,15.0,91.0,68.2,58.0,19.7,,74.0,
P.S. 054 Samuel C. Barnes,35.0,0.0,0.0,49.0,,119.0,93.8,49.4,,,88.0,
Urban Scholars Community School,48.0,0.0,0.0,60.0,,158.0,99.0,50.3,,0.0,163.0,0.0
Harry S Truman High School,0.0,0.0,434.0,457.0,60.0,851.0,66.6,41.1,2.2,25.0,884.0,1.2
P.S. 132 Ralph Bunche,53.0,0.0,0.0,74.0,,179.0,84.5,47.0,,,14.0,
P.S. 018 John Peter Zenger,90.0,0.0,0.0,151.0,14.0,292.0,95.4,46.8,2.6,,401.0,
P.S. 048 Mapleton,96.0,0.0,0.0,103.0,282.0,287.0,100.0,48.1,22.4,11.0,165.0,1.8
M.S. K394,55.0,63.0,0.0,77.0,35.0,312.0,92.8,54.6,,,87.0,
P.S. 130 Hernando De Soto,184.0,0.0,0.0,120.0,853.0,470.0,100.0,48.5,3.4,26.0,49.0,2.7
M.S. 180 Dr. Daniel Hale Williams,0.0,290.0,0.0,152.0,25.0,487.0,66.6,55.5,3.1,14.0,203.0,1.6
Innovation Diploma Plus,0.0,0.0,71.0,23.0,,88.0,67.0,45.4,,,120.0,
New Design Middle School,0.0,63.0,0.0,73.0,,117.0,91.1,54.7,,,91.0,0.5
P.S. 134 George F. Bristow,106.0,0.0,0.0,94.0,,331.0,98.4,48.2,1.7,,343.0,
Entrada Academy,0.0,99.0,0.0,46.0,,118.0,97.6,46.5,,,203.0,
Brooklyn High School of the Arts,0.0,0.0,196.0,116.0,26.0,678.0,73.9,73.4,2.4,38.0,205.0,4.1
P.S. 111 Adolph S. Ochs,52.0,0.0,0.0,109.0,71.0,192.0,100.0,48.9,12.7,14.0,195.0,3.6
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,116.0,86.0,0.0,179.0,42.0,504.0,100.0,50.1,,,896.0,
P.S. 219 Kennedy-King,75.0,0.0,0.0,115.0,,275.0,100.0,49.4,,,67.0,
Bronx Delta School,0.0,0.0,0.0,18.0,,71.0,73.8,47.7,15.4,,110.0,
P.S. 081 Robert J. Christen,112.0,0.0,0.0,116.0,54.0,325.0,45.8,47.6,29.6,25.0,337.0,3.7
P.S. X037 - Multiple Intelligence School,72.0,72.0,0.0,159.0,11.0,299.0,100.0,46.3,2.0,,467.0,
Bronx Haven High School,0.0,0.0,36.0,41.0,,88.0,75.4,48.1,,0.0,126.0,0.0
School for Democracy and Leadership,0.0,18.0,60.0,73.0,,128.0,70.9,43.8,,,23.0,
Secondary School for Journalism,0.0,0.0,44.0,41.0,14.0,141.0,69.4,63.5,5.4,,81.0,
I.S. 254,0.0,190.0,0.0,136.0,13.0,211.0,100.0,44.6,,,368.0,
P.S. 029 John M. Harrigan,133.0,0.0,0.0,98.0,44.0,461.0,8.7,51.5,73.7,53.0,102.0,5.9
P.S. 196,139.0,0.0,0.0,170.0,,482.0,100.0,48.7,,28.0,768.0,2.8
P.S. 019 Asher Levy,35.0,0.0,0.0,80.0,27.0,125.0,80.4,46.3,5.9,,169.0,
P.S. 005 Ellen Lurie,98.0,0.0,0.0,108.0,,317.0,100.0,50.2,,,583.0,0.6
Urban Assembly Maker Academy,0.0,0.0,0.0,24.0,20.0,65.0,76.4,32.7,9.5,11.0,100.0,5.5
Eximius College Preparatory Academy: A College Boa,0.0,0.0,94.0,100.0,,218.0,89.5,49.8,,,233.0,
P.S. 262 El Hajj Malik El Shabazz Elementary School,45.0,41.0,0.0,92.0,,226.0,93.1,51.7,,0.0,59.0,0.0
High School for Health Careers and Sciences,0.0,0.0,109.0,79.0,11.0,243.0,97.1,46.2,,,437.0,
P.S. 325,41.0,0.0,0.0,52.0,0.0,114.0,96.7,46.9,,0.0,222.0,0.0
J.H.S. 162 Lola Rodriguez De Tio,0.0,120.0,0.0,111.0,,161.0,88.9,43.8,,,257.0,
P.S. 207,0.0,0.0,0.0,59.0,,185.0,100.0,45.6,4.4,,334.0,
P.S. 5 Port Morris,76.0,100.0,0.0,157.0,,378.0,97.8,49.7,1.4,,537.0,
J.H.S. 144 Michelangelo,0.0,158.0,0.0,135.0,15.0,235.0,100.0,48.4,2.3,,141.0,
Central Park East I,23.0,0.0,0.0,32.0,19.0,95.0,30.8,47.3,27.9,28.0,58.0,13.9
J.H.S. 218 James P. Sinnott,0.0,132.0,0.0,112.0,83.0,196.0,79.0,46.8,,,179.0,
P.S. 072 Dr. William Dorney,129.0,0.0,0.0,222.0,28.0,425.0,83.1,48.5,5.1,,632.0,
Thurgood Marshall Academy Lower School,34.0,0.0,0.0,33.0,,115.0,84.5,52.5,,,31.0,
Mott Haven Village Preparatory High School,0.0,0.0,70.0,92.0,,162.0,95.0,42.6,,,278.0,
Bronx International High School,0.0,0.0,91.0,,14.0,206.0,90.3,51.0,,,311.0,
J.H.S. 050 John D. Wells,0.0,59.0,0.0,67.0,,87.0,83.3,43.9,,,163.0,
East New York Family Academy,0.0,69.0,70.0,85.0,12.0,246.0,71.1,50.1,,,149.0,
Satellite West Middle School,0.0,20.0,0.0,32.0,,27.0,92.2,35.1,0.0,,40.0,
High School of World Cultures,0.0,0.0,132.0,,39.0,186.0,96.4,47.7,,,299.0,
P.S. 069 Journey Prep School,84.0,0.0,0.0,126.0,,310.0,85.9,49.8,,,500.0,
P.S. 059 Beekman Hill International,95.0,0.0,0.0,96.0,88.0,273.0,11.3,47.6,59.3,59.0,74.0,10.3
I.S. 068 Isaac Bildersee,0.0,139.0,0.0,132.0,,208.0,69.2,44.8,3.0,,25.0,
Mott Hall II,0.0,111.0,0.0,64.0,22.0,185.0,49.9,53.6,26.4,13.0,128.0,3.8
High School for Environmental Studies,0.0,0.0,318.0,217.0,168.0,627.0,73.3,49.8,6.4,16.0,807.0,1.3
The Brooklyn Academy of Global Finance,0.0,0.0,34.0,35.0,,53.0,100.0,42.1,,,20.0,
J.H.S. 022 Jordan L. Mott,0.0,139.0,0.0,96.0,,190.0,94.1,44.7,,,307.0,
P.S. 380 John Wayne Elementary,71.0,0.0,0.0,144.0,,336.0,100.0,53.1,6.8,,466.0,
J.H.S. 292 Margaret S. Douglas,0.0,220.0,0.0,102.0,73.0,293.0,88.1,47.0,,,206.0,
P.S. 007 Abraham Lincoln,183.0,0.0,0.0,152.0,64.0,485.0,86.6,50.1,1.9,19.0,776.0,2.0
Ebbets Field Middle School,0.0,53.0,0.0,46.0,,90.0,96.3,47.9,,0.0,56.0,0.0
P.S. 040 Augustus Saint-Gaudens,95.0,0.0,0.0,106.0,54.0,324.0,8.4,51.3,63.7,73.0,84.0,11.6
P.S. 023 Carter G. Woodson,53.0,0.0,0.0,81.0,,130.0,100.0,44.4,,,136.0,
P.S. 134 Hollis,71.0,0.0,0.0,83.0,11.0,205.0,72.7,47.0,,,39.0,
"P.S. 145, The Bloomingdale School",45.0,0.0,0.0,83.0,,188.0,100.0,51.1,6.8,,231.0,
P.S. 196 Ten Eyck,42.0,0.0,0.0,90.0,,149.0,89.6,42.9,,,269.0,
Esperanza Preparatory Academy,0.0,88.0,42.0,150.0,,279.0,90.9,48.6,,,470.0,
P.S. 191 Paul Robeson,29.0,0.0,0.0,33.0,,95.0,88.7,51.1,0.0,,31.0,
"Archimedes Academy for Math, Science and Technology",0.0,88.0,84.0,181.0,51.0,268.0,74.9,39.4,,,394.0,
Bronx Guild,0.0,0.0,72.0,88.0,,145.0,100.0,45.0,,,205.0,
Unity Center for Urban Technologies,0.0,0.0,55.0,74.0,16.0,99.0,87.7,32.9,3.7,,188.0,
Nelson Mandela High School,0.0,0.0,0.0,48.0,0.0,92.0,69.8,43.4,,,20.0,
School for International Studies,0.0,41.0,76.0,107.0,23.0,233.0,67.9,47.9,15.6,14.0,166.0,2.9
Crotona Academy High School,0.0,0.0,46.0,42.0,,82.0,95.0,50.9,,,90.0,
Manhattan Center for Science and Mathematics,0.0,0.0,424.0,148.0,295.0,799.0,80.3,49.7,4.5,35.0,872.0,2.2
Milton Fein School,162.0,0.0,0.0,98.0,33.0,364.0,85.9,49.8,8.6,,580.0,
A. Philip Randolph Campus High School,0.0,0.0,291.0,196.0,78.0,711.0,81.8,49.4,1.6,35.0,873.0,2.4
P.S. 034 Oliver H. Perry,68.0,0.0,0.0,56.0,17.0,233.0,100.0,48.4,73.0,,91.0,
Thurgood Marshall Academy for Learning and Social,0.0,50.0,117.0,89.0,,292.0,69.9,53.2,,,125.0,1.1
P.S. 290 Manhattan New School,93.0,0.0,0.0,87.0,68.0,329.0,10.0,52.5,72.6,41.0,54.0,6.5
Beacon High School,0.0,0.0,291.0,104.0,100.0,839.0,24.0,64.2,52.7,55.0,285.0,4.2
Hamilton Heights School,28.0,0.0,0.0,23.0,11.0,97.0,76.9,44.9,14.8,,125.0,
Accion Academy,0.0,37.0,0.0,55.0,,74.0,81.8,48.1,,,107.0,
The Academy of the Arts,51.0,0.0,0.0,65.0,,134.0,92.6,47.5,,,188.0,
John Ericsson Middle School 126,0.0,143.0,0.0,104.0,,141.0,79.8,37.9,12.4,,234.0,
P.S. 092 Bronx,61.0,0.0,0.0,92.0,,238.0,94.3,52.3,,,351.0,
Pablo Neruda Academy,0.0,0.0,72.0,107.0,20.0,114.0,100.0,36.2,,,194.0,
Bronx High School of Science,0.0,0.0,730.0,33.0,1871.0,1293.0,44.0,43.0,21.0,280.0,160.0,9.3
P.S. 212,43.0,66.0,0.0,72.0,,224.0,96.7,49.3,,,276.0,
Brooklyn Institute for Liberal Arts,0.0,0.0,93.0,65.0,,170.0,85.8,48.2,,,21.0,
Brooklyn School for Music & Theatre,0.0,0.0,77.0,65.0,,253.0,77.6,71.9,,,58.0,
