ind2,nyc_poverty_rate,ind2definition,indexscore,ind4outcome,ind7definition
Bank / Credit Union Density,0.211,"Number of bank and credit union branches per 10,000 residents",2.01629287,Asian 15.25%; Black or African American (non-Hispanic or Latino) 16.15%; Hispanic or Latino 5.44%; Other/No Information 27.59%; White (non-Hispanic or Latino) 35.57%,Estimated percentage of residents that used mobile banking in past twelve months
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.271,,1.530314558,,
,0.135,,,,
Housing Stability,0.199,Percentage of rental housing units that are under regulatory protection,4.741060441,0.548,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.135,,6.962413375,,
Child Care Capacity,0.194,Percentage of 3- and 4-year-olds enrolled in early education programs,3.813166308,598.3116667,
Jobs With Health Insurance,0.235,Percentage of the population that has health insurance coverage through their current or former employer or through their union,2.804228667,27303.87109,Percentage of eligible Tax Units claiming EITC
,0.189,,,,
Child Care Capacity,0.19,Percentage of 3- and 4-year-olds enrolled in early education programs,3.918961695,668.2625,
Neighborhood Tenure,0.19,Percentage of residents who have lived in their homes for 10 or more years,5.454276373,3.17:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
,0.22,,,,
Housing Stability,0.205,Percentage of rental housing units that are under regulatory protection,2.476304992,0.573,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.212,,4.1347834,,
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.24,,2.88002545,,
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.231,,2.336565755,,
,0.114,,,,
Housing Stability,0.231,Percentage of rental housing units that are under regulatory protection,6.461446952,0.499,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Neighborhood Tenure,0.14,Percentage of residents who have lived in their homes for 10 or more years,6.575279816,3.11:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Jobs With Health Insurance,0.173,Percentage of the population that has health insurance coverage through their current or former employer or through their union,4.385767849,32390.9043,Percentage of eligible Tax Units claiming EITC
Housing Stability,0.271,Percentage of rental housing units that are under regulatory protection,0.207749269,0.646,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Housing Stability,0.19,Percentage of rental housing units that are under regulatory protection,1.524973214,0.579,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
,0.179,,,,
Housing Stability,0.323,Percentage of rental housing units that are under regulatory protection,0.839734266,0.636,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.108,,10.0,,
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.252,,3.75008876,,
Child Care Capacity,0.163,Percentage of 3- and 4-year-olds enrolled in early education programs,8.823640768,756.3141667,
Child Care Capacity,0.235,Percentage of 3- and 4-year-olds enrolled in early education programs,2.489594462,656.7316667,
Child Care Capacity,0.088,Percentage of 3- and 4-year-olds enrolled in early education programs,10.0,1366.0575,
Child Care Capacity,0.293,Percentage of 3- and 4-year-olds enrolled in early education programs,3.005490318,278.0391667,
Housing Stability,0.1,Percentage of rental housing units that are under regulatory protection,9.997055176,0.43,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Housing Stability,0.22,Percentage of rental housing units that are under regulatory protection,4.291639466,0.566,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Jobs With Health Insurance,0.121,Percentage of the population that has health insurance coverage through their current or former employer or through their union,6.44439353,42938.36328,Percentage of eligible Tax Units claiming EITC
