totaloutcome,ind4rank,puma,ind5outcome,cd,goal,ind5,ind6definition
6.441490993,52.0,3806,0.130560059,MN Community District 7,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
0.609,,3807,,MN Community Districts 4 & 5,Majority Race/Ethnicity,,
26.95764131,17.0,3901,,SI Community District 3,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-5.059251694,44.0,4105,0.10654123,QN Community District 13,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
11.90527337,11.0,4105,26.93525581,QN Community District 13,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
-3.640606759,37.0,3803,0.693,MN Community District 10,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-5.986524543,19.0,4007,0.362,BK Community District 16,Financial Shocks,Severe Rent Burden,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units"
3.923156414,16.0,4009,0.764,BK Community District 18,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
0.068056325,37.0,4009,0.11715991,BK Community District 18,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
0.573,,4013,,BK Community District 10,Majority Race/Ethnicity,,
18.19866432,37.0,4104,0.974,QN Community District 11,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
-11.3284104,26.0,4003,,BK Community District 3,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-4.030105119,25.0,4112,0.12050532,QN Community District 12,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
-24.01926014,48.0,4102,,QN Community District 3,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-2.487571751,13.0,4008,0.785,BK Community District 5,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
64.32925609,2.0,3808,,MN Community District 6,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-3.512748177,50.0,4017,0.94,BK Community District 11,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
-7.5885516,53.0,3710,26.22133785,BX Community Districts 1 & 2,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
9.569745561,10.0,4009,23.1667624,BK Community District 18,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
0.691,,4016,,BK Community District 15,Majority Race/Ethnicity,,
1.763083535,17.0,4111,17.6789021,QN Community District 9,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
-3.436882815,30.0,3903,0.345,SI Community District 1,Financial Shocks,Severe Rent Burden,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units"
4.081652315,14.0,4016,0.944,BK Community District 15,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
11.97699326,1.0,3808,251.7206133,MN Community District 6,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
-3.319284382,14.0,4018,0.15024172,BK Community District 13,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
2.875891348,3.0,4109,0.934,QN Community District 2,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
,,4004,,BK Community District 2,Majority Race/Ethnicity,,
-4.298660442,9.0,4002,0.136748244,BK Community District 4,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
34.57210812,9.0,4108,,QN Community District 6,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-13.63572939,54.0,3708,0.654,BX Community District 4,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
14.73058044,47.0,3810,0.967,MN Community Districts 1 & 2,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
5.665179163,24.0,3806,0.948,MN Community District 7,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
4.634140738,10.0,4104,0.88,QN Community District 11,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-37.5607177,33.0,3710,,BX Community Districts 1 & 2,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
27.49994681,4.0,4004,,BK Community District 2,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
6.228383868,11.0,4101,0.243,QN Community District 1,Financial Shocks,Severe Rent Burden,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units"
-17.5521773,37.0,3704,,BX Community District 11,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
0.507,,4107,,QN Community District 4,Majority Race/Ethnicity,,
26.25633513,32.0,3902,,SI Community District 2,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
-1.673029298,40.0,4003,0.792,BK Community District 3,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
8.798954732,39.0,3808,0.969,MN Community District 6,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
0.646,,4005,,BK Community District 6,Majority Race/Ethnicity,,
6.105064034,53.0,3808,0.131177706,MN Community District 6,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
0.688,,3707,,BX Community District 5,Majority Race/Ethnicity,,
3.639814008,26.0,4016,24.44825781,BK Community District 15,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
,,3704,,BX Community District 11,Majority Race/Ethnicity,,
4.486995639,12.0,3902,0.833,SI Community District 2,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-2.968906929,47.0,3710,0.321,BX Community Districts 1 & 2,Financial Shocks,Severe Rent Burden,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units"
0.683,,3902,,SI Community District 2,Majority Race/Ethnicity,,
