grade_12,ela_test_takers,ell_spanish_2,ell_korean_1,ell_haitian_creole_1,ell_korean_2,year,ela_level_1_2,ell_other_2
64,81,No Data,No Data,No Data,No Data,2016-17,29.6%,No Data
s,s,50.0%,s,s,s,2016-17,s,s
11,19,No Data,No Data,No Data,No Data,2016-17,63.2%,No Data
23,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
28,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
74,105,No Data,No Data,No Data,No Data,2016-17,41.0%,No Data
s,17,No Data,No Data,No Data,No Data,2016-17,35.3%,No Data
31,21,No Data,No Data,No Data,No Data,2016-17,s,No Data
17,29,56.9%,s,s,s,2016-17,89.7%,15.5%
26,36,No Data,No Data,No Data,No Data,2016-17,33.3%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,13,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,6,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
7,9,No Data,No Data,No Data,No Data,2016-17,77.8%,No Data
No Data,No Data,s,s,s,s,2016-17,No Data,s
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,10,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,s,65.0%,s,s,s,2016-17,s,20.0%
7,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
32,6,No Data,No Data,No Data,No Data,2016-17,s,No Data
84,40,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,87.5%,s,s,s,2016-17,s,s
157,123,No Data,No Data,No Data,No Data,2016-17,s,No Data
12,12,No Data,No Data,No Data,No Data,2016-17,58.3%,No Data
61,41,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
6,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
6,7,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
33,22,No Data,No Data,No Data,No Data,2016-17,45.5%,No Data
85,90,No Data,No Data,No Data,No Data,2016-17,s,No Data
111,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
s,9,No Data,No Data,No Data,No Data,2016-17,s,No Data
11,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,10,85.3%,s,s,s,2016-17,90.0%,s
s,No Data,s,s,s,s,2016-17,No Data,s
20,17,No Data,No Data,No Data,No Data,2016-17,47.1%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
73,50,No Data,No Data,No Data,No Data,2016-17,34.0%,No Data
91,121,No Data,No Data,No Data,No Data,2016-17,33.1%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,14,No Data,No Data,No Data,No Data,2016-17,50.0%,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
416,400,No Data,No Data,No Data,No Data,2016-17,15.3%,No Data
