ell_french_2,female_2,other_1,grade_9,ell_urdu_2,ela_l3_l4_1,category
s,53.3%,s,7,s,s,English Language Learners
No Data,55.6%,s,76,No Data,s,Receive free or reduced price lunch
No Data,56.1%,12,171,No Data,46,All Students
No Data,32.1%,9,103,No Data,s,Receive free or reduced price lunch
s,50.0%,s,10,s,s,English Language Learners
s,s,s,s,s,s,English Language Learners
s,50.0%,s,6,s,s,English Language Learners
No Data,66.0%,s,13,No Data,s,Reside in temporary housing
No Data,50.2%,6,116,No Data,s,All Students
No Data,62.5%,s,14,No Data,s,Reside in temporary housing
No Data,39.7%,s,28,No Data,s,Students with Disabilities
No Data,32.0%,42,133,No Data,102,All Students
No Data,50.0%,s,s,No Data,No Data,Students with Disabilities
No Data,38.5%,s,9,No Data,s,Students with Disabilities
No Data,58.1%,s,12,No Data,s,Reside in temporary housing
s,26.9%,s,7,s,s,English Language Learners
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,s,s,80,No Data,s,Receive free or reduced price lunch
s,48.4%,s,s,s,No Data,English Language Learners
No Data,74.4%,s,12,No Data,s,Reside in temporary housing
No Data,22.2%,9,88,No Data,s,Receive free or reduced price lunch
No Data,46.7%,s,72,No Data,s,Receive free or reduced price lunch
No Data,s,s,No Data,No Data,No Data,Enrolled over the Counter
s,61.9%,s,11,s,s,English Language Learners
No Data,43.1%,s,No Data,No Data,No Data,Enrolled over the Counter
No Data,30.7%,6,120,No Data,s,All Students
No Data,61.4%,9,115,No Data,s,Receive free or reduced price lunch
No Data,55.6%,s,22,No Data,s,Reside in temporary housing
s,28.2%,s,30,s,s,English Language Learners
No Data,57.2%,s,102,No Data,s,Receive free or reduced price lunch
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,54.5%,11,142,No Data,s,All Students
No Data,59.2%,s,No Data,No Data,No Data,Enrolled over the Counter
No Data,47.9%,s,42,No Data,s,Students with Disabilities
s,49.4%,s,23,s,s,English Language Learners
No Data,52.3%,s,58,No Data,No Data,All Students
No Data,41.7%,s,No Data,No Data,No Data,Students with Disabilities
No Data,44.7%,s,37,No Data,s,All Students
No Data,44.9%,16,240,No Data,65,Receive free or reduced price lunch
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,38.4%,s,22,No Data,s,Students with Disabilities
No Data,49.3%,s,17,No Data,s,Students with Disabilities
No Data,38.3%,25,153,No Data,46,All Students
s,19.0%,s,19,s,s,English Language Learners
No Data,69.0%,s,9,No Data,s,Reside in temporary housing
s,s,s,8,s,s,English Language Learners
s,s,s,s,s,s,English Language Learners
s,s,s,s,s,s,English Language Learners
s,s,s,s,s,s,English Language Learners
s,38.1%,s,21,s,s,English Language Learners
No Data,64.1%,s,19,No Data,s,Enrolled over the Counter
s,75.0%,s,14,s,s,English Language Learners
No Data,50.9%,s,8,No Data,s,Enrolled over the Counter
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,94.6%,16,416,No Data,155,Receive free or reduced price lunch
No Data,s,s,s,No Data,s,Enrolled over the Counter
No Data,s,s,No Data,No Data,No Data,Enrolled over the Counter
s,41.7%,s,14,s,s,English Language Learners
No Data,49.3%,s,89,No Data,s,All Students
No Data,43.3%,s,s,No Data,s,Reside in temporary housing
No Data,49.9%,8,119,No Data,s,All Students
No Data,21.1%,s,10,No Data,s,Students with Disabilities
s,22.2%,s,12,s,s,English Language Learners
s,s,s,11,s,s,English Language Learners
No Data,55.0%,s,55,No Data,s,Receive free or reduced price lunch
No Data,45.3%,s,29,No Data,s,All Students
s,53.6%,s,11,s,s,English Language Learners
No Data,44.0%,s,124,No Data,48,Receive free or reduced price lunch
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,42.3%,s,33,No Data,s,Students with Disabilities
No Data,81.0%,32,139,No Data,68,All Students
No Data,49.4%,15,66,No Data,s,Receive free or reduced price lunch
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,35.3%,s,7,No Data,s,Reside in temporary housing
No Data,72.9%,10,128,No Data,s,All Students
No Data,65.9%,s,17,No Data,s,Reside in temporary housing
No Data,53.6%,s,17,No Data,s,Reside in temporary housing
No Data,32.2%,7,128,No Data,s,All Students
No Data,79.6%,10,71,No Data,30,Receive free or reduced price lunch
No Data,66.7%,s,23,No Data,s,Enrolled over the Counter
