ell_bengali_1,ell_spanish_1,ell_arabic_2,math_level_2_2,ela_level_1_1,grade_11,male_1,math_level_3_1,ela_level_4_2,math_level_1_2,math_level_4_1,black_1
No Data,No Data,No Data,s,s,19,47,s,s,50.0%,s,31
No Data,No Data,No Data,21.6%,38,80,193,s,s,74.5%,s,14
No Data,No Data,No Data,s,6,16,33,s,s,58.3%,s,7
No Data,No Data,No Data,19.6%,31,47,154,s,s,80.4%,s,58
No Data,No Data,No Data,30.9%,36,85,172,s,s,60.6%,s,129
s,196,s,s,25,35,121,s,s,87.9%,s,s
No Data,No Data,No Data,42.9%,s,23,54,s,s,50.0%,s,19
s,6,s,s,s,s,s,s,s,s,s,s
s,13,s,s,6,s,s,s,s,s,s,s
No Data,No Data,No Data,32.4%,s,36,72,12,s,s,s,27
No Data,No Data,No Data,34.1%,32,98,227,s,s,52.9%,s,105
No Data,No Data,No Data,28.6%,23,64,94,s,s,69.4%,s,97
No Data,No Data,No Data,No Data,No Data,No Data,52,No Data,No Data,No Data,No Data,51
No Data,No Data,No Data,35.9%,21,31,118,s,s,56.3%,s,79
No Data,No Data,No Data,No Data,No Data,65,135,No Data,No Data,No Data,No Data,65
No Data,No Data,No Data,36.0%,24,149,316,16,9.8%,44.7%,6,141
No Data,No Data,No Data,s,s,13,s,s,s,s,s,15
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
s,25,s,No Data,No Data,s,9,No Data,No Data,No Data,No Data,s
s,20,s,s,10,s,17,s,s,80.0%,s,s
s,167,s,25.0%,30,36,99,s,s,75.0%,s,s
No Data,No Data,No Data,27.2%,9,118,201,32,9.0%,22.2%,9,76
No Data,No Data,No Data,43.0%,24,85,258,16,8.0%,35.0%,6,83
No Data,No Data,No Data,s,s,8,26,s,s,s,s,7
No Data,No Data,No Data,s,s,59,108,s,26.5%,s,s,48
No Data,No Data,No Data,38.6%,41,125,359,s,5.1%,51.8%,s,199
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,6
No Data,No Data,No Data,No Data,No Data,42,82,No Data,No Data,No Data,No Data,68
No Data,No Data,No Data,s,10,17,55,s,s,86.7%,s,27
No Data,No Data,No Data,No Data,No Data,No Data,8,No Data,No Data,No Data,No Data,9
No Data,No Data,No Data,s,18,16,54,s,s,84.6%,s,16
No Data,No Data,No Data,s,s,s,15,s,s,s,s,17
8,88,6.5%,24.3%,21,15,55,s,s,73.0%,s,s
No Data,No Data,No Data,41.5%,35,109,399,s,s,48.9%,s,143
s,34,s,s,15,s,25,s,s,94.1%,s,s
No Data,No Data,No Data,No Data,No Data,No Data,23,No Data,No Data,No Data,No Data,19
No Data,No Data,No Data,No Data,No Data,270,361,No Data,No Data,No Data,No Data,204
No Data,No Data,No Data,s,s,s,24,s,s,s,s,35
No Data,No Data,No Data,27.3%,31,87,177,s,s,62.7%,s,142
No Data,No Data,No Data,28.4%,44,98,274,s,s,67.6%,s,117
s,14,s,s,s,9,27,s,s,s,s,s
No Data,No Data,No Data,26.6%,75,95,396,s,s,67.1%,s,105
No Data,No Data,No Data,s,s,s,7,s,s,s,s,s
10,284,5.7%,s,20,100,204,s,s,97.0%,s,42
No Data,No Data,No Data,34.8%,12,23,93,s,s,60.9%,s,30
s,s,s,s,No Data,No Data,s,s,No Data,s,s,s
No Data,No Data,No Data,s,8,53,109,s,s,73.7%,s,55
No Data,No Data,No Data,39.4%,32,104,242,s,6.4%,46.8%,s,162
No Data,No Data,No Data,37.2%,19,82,198,s,7.1%,47.7%,s,88
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,50.6%,14,97,203,15,10.6%,24.7%,6,101
No Data,No Data,No Data,40.3%,22,65,89,s,s,44.2%,s,68
No Data,No Data,No Data,No Data,s,s,s,No Data,s,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,42,80,No Data,No Data,No Data,No Data,50
No Data,No Data,No Data,No Data,No Data,s,7,No Data,No Data,No Data,No Data,17
No Data,No Data,No Data,s,11,25,63,s,s,88.2%,s,39
No Data,No Data,No Data,No Data,No Data,s,7,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,8,19,69,s,s,83.3%,s,19
s,52,s,s,9,s,s,s,s,83.3%,s,s
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
s,8,s,s,s,No Data,s,s,s,s,s,s
s,14,s,s,7,8,11,s,s,90.9%,s,s
No Data,No Data,No Data,s,6,s,28,s,s,66.7%,s,14
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,8
No Data,No Data,No Data,No Data,s,18,20,No Data,s,No Data,No Data,14
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,No Data,No Data,74,89,No Data,No Data,No Data,No Data,76
No Data,No Data,No Data,s,20,13,74,s,s,88.0%,s,36
No Data,No Data,No Data,s,s,22,33,s,s,s,s,s
s,s,s,s,s,No Data,s,s,s,s,s,s
No Data,No Data,No Data,s,6,7,20,s,s,88.9%,s,s
No Data,No Data,No Data,s,s,66,120,14,40.6%,s,19,49
No Data,No Data,No Data,33.8%,89,178,602,38,6.4%,50.7%,6,339
No Data,No Data,No Data,20.0%,18,101,183,s,s,65.5%,s,162
No Data,No Data,No Data,s,9,16,40,s,s,69.2%,s,s
No Data,No Data,No Data,37.1%,26,83,186,s,6.0%,47.2%,s,155
No Data,No Data,No Data,s,s,11,21,s,s,s,s,15
No Data,No Data,No Data,s,s,7,10,s,s,s,s,s
No Data,No Data,No Data,37.0%,32,90,210,s,s,50.0%,s,167
No Data,No Data,No Data,s,s,s,s,s,s,76.9%,s,29
No Data,No Data,No Data,s,8,41,82,s,s,90.9%,s,51
No Data,No Data,No Data,28.2%,35,76,206,s,s,62.8%,s,104
s,36,s,s,s,10,26,s,s,s,s,s
