math_l3_l4_1,dbn,school_name,math_level_1_1,ell_other_1,ela_level_3_1,math_level_4_2,grade_10,ell_bengali_2
s,07X500,Hostos-Lincoln Academy of Science,32,No Data,20,s,101,No Data
s,02M135,The Urban Assembly School for Emergency Management,s,No Data,s,s,8,No Data
s,02M298,Pace High School,42,No Data,31,s,109,No Data
No Data,01M458,Forsyth Satellite Academy,No Data,No Data,No Data,No Data,28,No Data
s,04M680,"Heritage School, The",17,No Data,s,s,21,No Data
s,02M400,High School for Environmental Studies,17,8,s,s,24,s
s,02M407,Institute for Collaborative Education,6,No Data,s,s,11,No Data
s,02M551,Urban Assembly New York Harbor School,s,No Data,s,s,No Data,No Data
s,02M393,Business Of Sports School,27,No Data,s,s,26,No Data
s,01M509,Marta Valle High School,13,No Data,9,s,58,No Data
s,02M135,The Urban Assembly School for Emergency Management,32,No Data,14,s,87,No Data
56,02M545,High School for Dual Language and Asian Studies,s,No Data,26,48.4%,71,No Data
s,05M362,Columbia Secondary School,6,No Data,34,s,101,No Data
s,03M307,"Urban Assembly School for Media Studies, The",s,No Data,s,s,12,No Data
s,07X259,"H.E.R.O. High (Health, Education, and Research Occ",50,No Data,s,s,125,No Data
s,07X495,University Heights Secondary School,s,No Data,s,s,10,No Data
s,08X269,Bronx Studio School for Writers and Artists,18,s,s,s,10,s
s,05M148,Eagle Academy for Young Men of Harlem,38,No Data,s,s,No Data,No Data
s,03M860,Frederick Douglass Academy II Secondary School,9,7,s,s,s,s
s,02M414,N.Y.C. Museum School,s,No Data,s,s,s,No Data
s,02M519,Talent Unlimited High School,s,s,No Data,s,No Data,s
s,08X558,Westchester Square Academy,s,No Data,s,s,15,No Data
s,02M308,Lower Manhattan Arts Academy,21,No Data,s,s,29,No Data
s,07X259,"H.E.R.O. High (Health, Education, and Research Occ",18,No Data,s,s,30,No Data
s,04M495,Park East High School,7,No Data,s,s,19,No Data
s,02M551,Urban Assembly New York Harbor School,23,No Data,18,s,64,No Data
No Data,02M376,NYC iSchool,No Data,s,No Data,No Data,s,s
s,09X227,Bronx Collegiate Academy,19,No Data,s,s,31,No Data
s,07X527,Bronx Leadership Academy II High School,27,8,s,s,30,6.7%
No Data,02M586,Harvey Milk High School,No Data,No Data,No Data,No Data,14,No Data
s,02M316,"Urban Assembly School of Business for Young Women,",29,No Data,14,s,67,No Data
s,02M393,Business Of Sports School,76,No Data,s,s,123,No Data
s,02M300,"Urban Assembly School of Design and Construction,",32,No Data,s,s,89,No Data
s,08X349,Bronx River High School,23,No Data,s,s,31,No Data
s,03M859,Special Music School,s,No Data,s,s,13,No Data
41,05M499,Frederick Douglass Academy,118,No Data,81,3.2%,269,No Data
s,02M394,Emma Lazarus High School,s,13,s,s,95,3.2%
s,03M494,High School of Arts and Technology,24,No Data,s,s,44,No Data
No Data,02M531,Repertory Company High School for Theatre Arts,No Data,No Data,No Data,No Data,s,No Data
s,07X334,International Community High School,32,No Data,s,s,153,No Data
s,02M400,High School for Environmental Studies,11,No Data,s,s,27,No Data
No Data,09X260,Bronx Center for Science and Mathematics,No Data,No Data,No Data,No Data,s,No Data
s,09X231,Eagle Academy for Young Men,17,No Data,s,s,31,No Data
s,04M680,"Heritage School, The",6,No Data,s,s,s,No Data
No Data,08X377,Bronx Community High School,No Data,No Data,No Data,No Data,12,No Data
No Data,02M570,Satellite Academy High School,No Data,No Data,No Data,No Data,s,No Data
No Data,02M533,Union Square Academy for Health Sciences,No Data,No Data,No Data,No Data,s,No Data
s,03M415,Wadleigh Secondary School for the Performing & Vis,s,No Data,s,s,7,No Data
No Data,03M404,Innovation Diploma Plus,No Data,s,No Data,No Data,No Data,s
s,02M655,Life Sciences Secondary School,15,No Data,s,s,42,No Data
s,03M492,"High School for Law, Advocacy and Community Justic",20,No Data,s,s,31,No Data
No Data,06M552,Gregorio Luperon High School for Science and Mathe,No Data,No Data,No Data,No Data,49,No Data
s,06M552,Gregorio Luperon High School for Science and Mathe,10,No Data,s,s,34,No Data
s,02M280,Manhattan Early College School for Advertising,s,No Data,s,s,s,No Data
s,02M305,"Urban Assembly Academy of Government and Law, The",s,No Data,s,s,s,No Data
s,02M394,Emma Lazarus High School,s,No Data,s,s,s,No Data
s,02M529,Jacqueline Kennedy Onassis High School,36,No Data,24,s,126,No Data
s,02M655,Life Sciences Secondary School,59,No Data,s,s,114,No Data
s,02M419,Landmark High School,20,No Data,s,s,25,No Data
s,07X334,International Community High School,12,No Data,s,s,50,No Data
s,02M280,Manhattan Early College School for Advertising,s,No Data,s,s,s,No Data
s,02M545,High School for Dual Language and Asian Studies,s,No Data,s,s,s,No Data
No Data,03M505,Edward A. Reynolds West Side High School,No Data,No Data,No Data,No Data,192,No Data
s,06M463,High School for Media and Communications,28,No Data,s,s,94,No Data
87,02M630,Art and Design High School,58,No Data,149,10.1%,355,No Data
s,03M307,"Urban Assembly School for Media Studies, The",s,No Data,s,s,12,No Data
s,07X551,The Urban Assembly Bronx Academy of Letters,67,No Data,s,s,91,No Data
s,08X376,Antonia Pantoja Preparatory Academy: A College Boa,11,No Data,s,s,7,No Data
No Data,02M437,Hudson High School of Learning Technologies,No Data,No Data,No Data,No Data,s,No Data
s,08X559,School for Tourism and Hospitality,s,No Data,s,s,23,No Data
s,02M630,Art and Design High School,32,No Data,23,s,62,No Data
s,06M348,Washington Heights Expeditionary Learning School,22,No Data,28,s,123,No Data
s,09X250,Eximius College Preparatory Academy: A College Boa,7,No Data,s,s,11,No Data
s,07X334,International Community High School,s,No Data,s,s,7,No Data
s,01M539,"New Explorations into Science, Technology and Math",s,No Data,s,s,s,No Data
s,08X519,Felisa Rincon de Gautier Institute for Law and Pub,s,No Data,s,s,13,No Data
24,02M615,Chelsea Career and Technical Education High School,35,No Data,42,5.7%,105,No Data
s,08X452,Bronx Guild,s,No Data,s,s,s,No Data
s,02M544,Independence High School,s,No Data,s,s,74,No Data
s,07X495,University Heights Secondary School,18,No Data,s,s,25,No Data
s,07X600,Alfred E. Smith Career and Technical Education Hig,s,No Data,s,s,s,No Data
52,02M400,High School for Environmental Studies,88,No Data,68,8.7%,223,No Data
s,10X524,Crotona International High School,17,21,s,s,66,s
s,08X293,Renaissance High School for Musical Theater & Tech,63,No Data,s,s,137,No Data
40,02M489,High School of Economics and Finance,60,No Data,66,7.4%,197,No Data
s,06M293,City College Academy of the Arts,9,No Data,s,s,8,No Data
s,08X452,Bronx Guild,13,No Data,s,s,26,No Data
s,07X522,Bronx Design and Construction Academy,s,No Data,s,s,s,No Data
No Data,02M550,Liberty High School Academy for Newcomers,No Data,No Data,No Data,No Data,8,No Data
No Data,05M285,Harlem Renaissance High School,No Data,No Data,No Data,No Data,62,No Data
s,02M546,Academy for Software Engineering,s,s,s,s,6,s
s,03M415,Wadleigh Secondary School for the Performing & Vis,25,No Data,16,s,69,No Data
s,08X432,Bronx Bridges High School,38,No Data,s,s,89,No Data
s,07X670,Health Opportunities High School,8,No Data,s,s,18,No Data
s,07X223,M.S. 223 The Laboratory School of Finance and Tech,s,No Data,6,s,10,No Data
s,02M449,Vanguard High School,6,s,s,s,7,s
s,02M439,Manhattan Village Academy,s,No Data,s,s,s,No Data
No Data,02M416,Eleanor Roosevelt High School,No Data,No Data,No Data,No Data,No Data,No Data
s,03M860,Frederick Douglass Academy II Secondary School,s,No Data,s,s,15,No Data
s,02M531,Repertory Company High School for Theatre Arts,9,No Data,17,s,42,No Data
62,02M414,N.Y.C. Museum School,6,No Data,49,20.0%,95,No Data
s,02M047,47 The American Sign Language and English Secondar,s,No Data,s,s,s,No Data
87,03M479,Beacon High School,s,No Data,101,47.1%,329,No Data
s,06M423,High School for Excellence and Innovation,12,No Data,s,s,74,No Data
s,07X500,Hostos-Lincoln Academy of Science,10,No Data,s,s,15,No Data
s,03M307,"Urban Assembly School for Media Studies, The",28,No Data,21,s,90,No Data
s,02M543,New Design High School,s,No Data,s,s,19,No Data
s,02M615,Chelsea Career and Technical Education High School,s,No Data,s,s,8,No Data
s,06M468,High School for Health Careers and Sciences,23,No Data,s,s,s,No Data
s,02M425,Leadership and Public Service High School,8,No Data,s,s,16,No Data
s,02M280,Manhattan Early College School for Advertising,21,No Data,28,s,85,No Data
s,01M448,University Neighborhood High School,s,No Data,s,s,7,No Data
s,09X227,Bronx Collegiate Academy,s,No Data,s,s,s,No Data
s,07X379,Jill Chaifetz Transfer High School,6,No Data,s,s,76,No Data
s,09X324,Bronx Early College Academy for Teaching & Learnin,s,s,s,s,s,s
27,01M450,East Side Community School,17,No Data,20,7.8%,96,No Data
s,08X312,Millennium Art Academy,64,No Data,s,s,118,No Data
s,02M294,Essex Street Academy,s,s,s,s,s,s
30,01M696,Bard High School Early College,s,No Data,25,43.6%,76,No Data
s,08X349,Bronx River High School,57,No Data,s,s,113,No Data
s,06M467,High School for Law and Public Service,28,No Data,s,s,39,No Data
s,09X250,Eximius College Preparatory Academy: A College Boa,s,No Data,s,s,s,No Data
s,02M543,New Design High School,22,No Data,s,s,34,No Data
s,02M407,Institute for Collaborative Education,s,s,s,s,No Data,s
59,02M416,Eleanor Roosevelt High School,s,No Data,27,57.1%,125,No Data
s,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,33,No Data,s,s,93,No Data
s,04M372,Esperanza Preparatory Academy,22,s,s,s,27,s
s,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,s,No Data,s,s,13,No Data
s,08X432,Bronx Bridges High School,11,No Data,s,s,12,No Data
s,03M860,Frederick Douglass Academy II Secondary School,11,No Data,s,s,25,No Data
s,08X367,"Archimedes Academy for Math, Science and Technolog",19,No Data,s,s,26,No Data
s,08X305,Pablo Neruda Academy,6,s,s,s,24,18.8%
No Data,02M560,High School M560 - City As School,No Data,No Data,No Data,No Data,s,No Data
s,05M367,Academy for Social Action,7,No Data,s,s,38,No Data
s,07X548,Careers in Sports High School,10,No Data,s,s,17,No Data
s,05M369,Urban Assembly School for the Performing Arts,52,No Data,s,s,118,No Data
s,02M475,Stuyvesant High School,s,No Data,s,100.0%,11,No Data
s,07X221,South Bronx Preparatory: A College Board School,25,No Data,32,s,90,No Data
s,07X221,South Bronx Preparatory: A College Board School,10,No Data,s,s,23,No Data
s,08X305,Pablo Neruda Academy,7,No Data,s,s,14,No Data
s,09X241,Urban Assembly School for Applied Math and Science,s,s,s,s,s,s
s,07X259,"H.E.R.O. High (Health, Education, and Research Occ",s,No Data,s,s,20,No Data
s,06M552,Gregorio Luperon High School for Science and Mathe,s,No Data,s,s,s,No Data
s,05M670,Thurgood Marshall Academy for Learning and Social,25,No Data,s,s,12,No Data
s,02M313,"James Baldwin School, The: A School for Expedition",s,No Data,s,s,62,No Data
s,03M494,High School of Arts and Technology,s,No Data,s,s,18,No Data
No Data,03M404,Innovation Diploma Plus,No Data,No Data,No Data,No Data,47,No Data
s,02M296,High School of Hospitality Management,7,No Data,s,s,12,No Data
s,02M308,Lower Manhattan Arts Academy,36,No Data,s,s,86,No Data
s,02M282,Urban Assembly Maker Academy,s,s,s,s,s,s
s,08X519,Felisa Rincon de Gautier Institute for Law and Pub,s,No Data,s,s,s,No Data
No Data,02M534,Harvest Collegiate High School,No Data,No Data,No Data,No Data,s,No Data
s,02M047,47 The American Sign Language and English Secondar,24,No Data,15,s,51,No Data
