school_dbn,number_of_hispanic_students,percent_of_students_entering_1,number_of_students_entering_4,number_of_students_entering_2,number_of_black_students,percent_of_students_entering_2,number_of_students_entering_6,percent_of_students_entering_3,percent_of_students_entering_4,number_of_asian_students,number_of_students_entering,number_of_students_entering_7,number_of_students_with,number_of_white_students,number_of_students_entering_5,percent_of_female_psal
17K745,s,0.0,13,0,s,0.0,s,0.0,38.2,0,0,s,s,0,11,32.4
07X473,34,0.0,13,0,14,0.0,14,0.0,25.5,s,0,12,11,s,12,43.1
21K620,27,0.0,19,0,61,0.0,37,0.0,18.6,s,0,23,27,s,23,17.6
17K600,s,0.0,26,0,117,0.0,30,0.0,20.6,0,0,50,12,s,20,61.9
09X350,s,0.0,s,0,s,0.0,s,0.0,s,0,0,s,s,0,s,s
08X537,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
12X248,54,0.0,31,0,s,0.0,12,s,43.1,0,0,s,12,s,20,44.4
24Q299,25,0.0,30,0,18,0.0,37,0.0,20.3,39,0,34,s,62,47,60.1
03M485,45,s,78,0,24,0.0,104,0.0,25.2,71,0,65,13,144,s,65.7
26Q435,s,0.0,48,0,83,0.0,46,0.0,27.3,41,0,37,19,s,45,43.2
10X439,15,0.0,17,0,22,0.0,9,0.0,45.9,0,0,s,s,0,s,51.4
26Q495,166,0.0,128,0,85,0.0,185,0.0,21.9,196,0,142,63,129,130,47.9
27Q323,37,0.0,46,0,26,0.0,57,0.0,22.2,19,0,57,12,123,47,64.7
75R721,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
75X723,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
25Q670,74,0.0,55,0,21,0.0,34,0.0,29.9,61,0,38,17,24,57,47.8
15K529,s,0.0,s,s,s,s,0,0.0,s,0,0,0,s,0,0,s
13K594,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
02M139,35,0.0,6,0,s,0.0,14,0.0,13.0,0,0,16,10,s,10,30.4
06M211,s,0.0,s,0,s,0.0,16,s,s,0,0,s,s,0,6,s
02M411,s,0.0,33,0,s,0.0,45,0.0,22.1,30,0,35,11,85,36,41.6
03M479,60,0.0,83,0,57,0.0,112,0.0,20.5,33,0,115,44,197,94,51.9
11X249,s,0.0,9,0,13,0.0,s,0.0,47.4,0,0,s,s,s,s,s
24Q600,160,0.0,62,0,11,0.0,58,0.0,31.6,17,0,23,11,8,53,42.9
15K462,s,0.0,9,0,38,0.0,20,0.0,15.5,0,0,7,6,s,22,53.4
30Q301,83,0.0,35,0,s,0.0,42,0.0,24.8,s,0,32,21,25,32,56.7
17K751,s,0.0,14,0,39,0.0,7,0.0,31.1,s,0,11,9,0,13,73.3
18K642,s,0.0,9,0,35,0.0,11,0.0,20.5,0,0,11,s,s,13,18.2
75M138,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
07X670,42,0.0,20,0,s,0.0,13,0.0,27.8,0,0,11,s,s,28,65.3
07X548,93,0.0,37,0,s,0.0,37,0.0,27.6,0,0,22,13,s,38,24.6
75M751,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
07X551,57,0.0,17,0,s,0.0,30,0.0,19.1,0,0,21,18,s,21,47.2
23K697,s,0.0,16,0,26,0.0,s,0.0,45.7,s,0,s,6,0,8,45.7
20K490,128,0.0,145,0,33,0.0,s,s,29.0,95,0,118,32,232,124,49.0
08X530,55,0.0,10,0,s,0.0,38,0.0,12.5,s,0,15,17,0,17,46.3
18K673,s,s,8,0,16,0.0,s,31.8,36.4,0,0,0,7,s,s,s
75X754,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
02M630,90,0.0,49,0,25,0.0,25,0.0,31.8,15,0,29,32,21,51,56.5
02M280,32,0.0,21,0,26,0.0,15,0.0,30.9,s,0,16,10,s,16,39.7
02M560,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
20K445,125,0.0,105,0,37,0.0,139,0.0,22.0,157,0,118,55,146,116,44.8
08X312,23,0.0,11,0,s,0.0,9,0.0,28.9,0,0,7,s,s,11,81.6
13K674,10,0.0,s,0,17,0.0,7,0.0,s,s,0,s,s,s,12,s
12X480,16,0.0,12,s,s,s,s,25.0,42.9,0,0,0,7,s,s,42.9
29Q265,9,0.0,18,0,70,0.0,26,0.0,20.7,s,0,20,s,s,23,47.1
13K616,0,0.0,s,0,s,0.0,0,0.0,s,0,0,0,s,0,0,s
02M296,s,0.0,0,0,s,0.0,s,0.0,0.0,s,0,s,s,0,s,s
13K527,s,0.0,s,0,10,0.0,s,0.0,s,0,0,s,s,s,s,100.0
01M292,s,0.0,0,0,s,0.0,s,0.0,0.0,s,0,0,s,0,s,100.0
02M282,27,0.0,13,0,13,0.0,11,0.0,23.2,6,0,20,14,7,12,30.4
06M540,222,0.0,67,0,97,0.0,171,0.0,19.0,12,0,42,47,9,73,42.5
13K483,26,0.0,19,0,36,0.0,17,0.0,27.9,s,0,10,8,s,22,39.7
10X549,22,0.0,10,0,8,0.0,s,0.0,32.3,0,0,9,7,0,s,19.4
18K569,6,0.0,24,0,53,0.0,13,s,39.3,0,0,s,15,0,14,21.3
28Q350,s,0.0,35,0,45,0.0,44,0.0,26.9,44,0,12,16,s,39,43.8
02M575,15,s,21,s,21,s,7,20.0,38.2,11,0,0,0,6,14,50.9
02M531,s,0.0,s,0,0,0.0,s,0.0,s,0,0,s,s,s,s,s
75M226,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
32K556,14,0.0,6,0,s,0.0,6,0.0,31.6,0,0,s,s,s,s,31.6
17K590,11,0.0,41,0,152,0.0,60,s,23.0,s,0,39,s,s,s,58.4
01M448,36,0.0,15,0,10,0.0,24,0.0,27.3,s,0,0,s,s,16,52.7
01M458,s,0.0,s,0,s,0.0,0,s,s,0,0,0,s,0,0,0.0
10X342,74,0.0,18,0,0,0.0,13,0.0,24.3,0,0,20,s,0,23,52.7
29Q313,s,0.0,10,0,37,0.0,15,0.0,20.4,s,0,13,7,0,11,30.6
06M552,58,0.0,21,0,0,0.0,s,0.0,36.2,0,0,s,0,0,20,39.7
30Q445,226,0.0,107,0,36,0.0,100,s,24.5,106,0,s,33,61,140,49.4
12X684,43,0.0,18,0,39,0.0,24,0.0,22.0,0,0,19,14,0,21,35.4
02M600,120,0.0,43,0,58,0.0,51,0.0,20.7,10,0,52,27,15,62,80.3
15K667,117,0.0,46,0,11,0.0,38,0.0,29.1,15,0,28,26,15,45,51.9
30Q450,249,0.0,115,0,36,0.0,85,0.0,29.3,68,0,76,33,29,116,48.2
75X188,0,0.0,s,0,s,0.0,0,0.0,s,0,0,s,s,0,0,0.0
09X263,33,0.0,23,0,s,0.0,s,0.0,41.8,0,0,s,9,s,21,58.2
09X403,38,0.0,12,0,15,0.0,11,s,20.7,s,0,s,s,s,21,39.7
12X251,34,0.0,16,0,8,0.0,9,0.0,38.1,0,0,11,6,0,6,35.7
07X495,146,0.0,41,0,67,0.0,73,0.0,17.7,s,0,55,35,s,62,58.9
02M374,18,0.0,9,0,s,0.0,s,0.0,30.0,0,0,s,s,s,8,80.0
24Q485,218,0.0,117,0,30,0.0,86,0.0,31.6,47,0,78,30,61,89,54.1
19K583,s,0.0,8,0,s,0.0,8,0.0,22.9,0,0,6,s,0,13,37.1
21K468,23,0.0,18,0,28,0.0,19,0.0,21.7,7,0,24,7,23,22,47.0
31R455,82,0.0,177,0,26,0.0,279,0.0,18.9,56,0,253,124,759,228,47.1
27Q480,166,0.0,98,0,167,0.0,130,0.0,21.8,84,0,81,46,14,140,51.4
21K525,43,0.0,62,0,34,0.0,66,0.0,24.7,66,0,69,26,101,54,58.2
02M400,132,0.0,47,s,28,s,70,0.0,22.6,27,0,s,21,20,46,50.0
08X559,33,0.0,23,0,15,0.0,s,s,46.0,s,0,13,7,s,8,80.0
16K455,9,0.0,28,0,113,0.0,34,0.0,21.7,s,0,34,28,s,33,21.7
21K348,16,0.0,18,0,33,0.0,14,0.0,28.1,s,0,13,10,s,19,15.6
